,group,variable,month,ENDODONCIAS CANTIDAD,ENDODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
COMARAPA,atencion odontologica,endodoncias,2010-01-01,15,17,15,17,32
COPACABANA,atencion odontologica,endodoncias,2010-01-01,0,1,0,1,1
COROICO,atencion odontologica,endodoncias,2010-01-01,14,36,14,36,50
CORQUE,atencion odontologica,endodoncias,2010-01-01,0,1,0,1,1
COTAGAITA,atencion odontologica,endodoncias,2010-01-01,16,10,16,10,26
COTOCA,atencion odontologica,endodoncias,2010-01-01,0,3,0,3,3
CUATRO CAÑADAS,atencion odontologica,endodoncias,2010-01-01,6,0,6,0,6
CUEVO,atencion odontologica,endodoncias,2010-01-01,0,6,0,6,6
CULPINA,atencion odontologica,endodoncias,2010-01-01,3,8,3,8,11
CURAHUARA DE CARANGAS,atencion odontologica,endodoncias,2010-01-01,1,6,1,6,7
EL ALTO,atencion odontologica,endodoncias,2010-01-01,457,562,457,562,1019
EL PUENTE(TJA),atencion odontologica,endodoncias,2010-01-01,3,33,3,33,36
EL TORNO,atencion odontologica,endodoncias,2010-01-01,3,32,3,32,35
ENTRE RIOS TRJ,atencion odontologica,endodoncias,2010-01-01,3,10,3,10,13
ENTRE RIOS CBBA,atencion odontologica,endodoncias,2010-01-01,1,0,1,0,1
ESCOMA,atencion odontologica,endodoncias,2010-01-01,1,1,1,1,2
EUCALIPTUS,atencion odontologica,endodoncias,2010-01-01,5,6,5,6,11
FERNANDEZ ALONSO,atencion odontologica,endodoncias,2010-01-01,4,4,4,4,8
FILADELFIA,atencion odontologica,endodoncias,2010-01-01,2,2,2,2,4
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncias,2010-01-01,0,8,0,8,8
GUANAY,atencion odontologica,endodoncias,2010-01-01,9,21,9,21,30
GUAQUI,atencion odontologica,endodoncias,2010-01-01,2,1,2,1,3
GUAYARAMERIN,atencion odontologica,endodoncias,2010-01-01,10,49,10,49,59
GUTIERREZ,atencion odontologica,endodoncias,2010-01-01,3,5,3,5,8
HUACARETA,atencion odontologica,endodoncias,2010-01-01,1,2,1,2,3
HUACHACALLA,atencion odontologica,endodoncias,2010-01-01,0,6,0,6,6
HUANUNI,atencion odontologica,endodoncias,2010-01-01,4,8,4,8,12
HUARACAJE,atencion odontologica,endodoncias,2010-01-01,2,4,2,4,6
HUAYLLAMARCA,atencion odontologica,endodoncias,2010-01-01,2,2,2,2,4
ICLA,atencion odontologica,endodoncias,2010-01-01,4,1,4,1,5
INQUISIVI,atencion odontologica,endodoncias,2010-01-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),atencion odontologica,endodoncias,2010-01-01,2,6,2,6,8
IXIAMAS,atencion odontologica,endodoncias,2010-01-01,4,6,4,6,10
JESUS DE MACHACA,atencion odontologica,endodoncias,2010-01-01,2,2,2,2,4
LA ASUNTA,atencion odontologica,endodoncias,2010-01-01,5,3,5,3,8
LA GUARDIA,atencion odontologica,endodoncias,2010-01-01,8,19,8,19,27
LA PAZ,atencion odontologica,endodoncias,2010-01-01,810,774,810,774,1584
LAGUNILLAS,atencion odontologica,endodoncias,2010-01-01,2,0,2,0,2
LAJA,atencion odontologica,endodoncias,2010-01-01,1,3,1,3,4
LAS CARRERAS,atencion odontologica,endodoncias,2010-01-01,0,3,0,3,3
LLALLAGUA,atencion odontologica,endodoncias,2010-01-01,26,39,26,39,65
MACHACAMARCA,atencion odontologica,endodoncias,2010-01-01,5,5,5,5,10
MAGDALENA,atencion odontologica,endodoncias,2010-01-01,30,8,30,8,38
MAPIRI,atencion odontologica,endodoncias,2010-01-01,0,1,0,1,1
MECAPACA,atencion odontologica,endodoncias,2010-01-01,7,9,7,9,16
MINEROS,atencion odontologica,endodoncias,2010-01-01,2,23,2,23,25
MIZQUE,atencion odontologica,endodoncias,2010-01-01,2,4,2,4,6
MOJOCOYA,atencion odontologica,endodoncias,2010-01-01,2,4,2,4,6
MONTEAGUDO,atencion odontologica,endodoncias,2010-01-01,11,34,11,34,45
MONTERO,atencion odontologica,endodoncias,2010-01-01,81,156,81,156,237
MORO MORO,atencion odontologica,endodoncias,2010-01-01,1,0,1,0,1
MOROCHATA,atencion odontologica,endodoncias,2010-01-01,0,1,0,1,1
OKINAWA,atencion odontologica,endodoncias,2010-01-01,1,2,1,2,3
OMEREQUE,atencion odontologica,endodoncias,2010-01-01,7,6,7,6,13
ORURO,atencion odontologica,endodoncias,2010-01-01,486,389,486,389,875
PADCAYA,atencion odontologica,endodoncias,2010-01-01,5,8,5,8,13
PADILLA,atencion odontologica,endodoncias,2010-01-01,1,7,1,7,8
PAILON,atencion odontologica,endodoncias,2010-01-01,8,5,8,5,13
PAMPA AULLAGAS,atencion odontologica,endodoncias,2010-01-01,1,1,1,1,2
PAMPA GRANDE,atencion odontologica,endodoncias,2010-01-01,4,2,4,2,6
PASORAPA,atencion odontologica,endodoncias,2010-01-01,2,9,2,9,11
PATACAMAYA,atencion odontologica,endodoncias,2010-01-01,0,9,0,9,9
PAZÑA,atencion odontologica,endodoncias,2010-01-01,1,5,1,5,6
POCONA,atencion odontologica,endodoncias,2010-01-01,18,0,18,0,18
POJO (CBBA),atencion odontologica,endodoncias,2010-01-01,18,0,18,0,18
POOPO,atencion odontologica,endodoncias,2010-01-01,0,5,0,5,5
PORCO,atencion odontologica,endodoncias,2010-01-01,4,4,4,4,8
POROMA,atencion odontologica,endodoncias,2010-01-01,1,3,1,3,4
PORTACHUELO,atencion odontologica,endodoncias,2010-01-01,3,6,3,6,9
PORVENIR,atencion odontologica,endodoncias,2010-01-01,0,1,0,1,1
POSTRER VALLE,atencion odontologica,endodoncias,2010-01-01,1,0,1,0,1
POTOSI,atencion odontologica,endodoncias,2010-01-01,87,83,87,83,170
PRESTO,atencion odontologica,endodoncias,2010-01-01,1,1,1,1,2
PUERTO CARABUCO,atencion odontologica,endodoncias,2010-01-01,3,1,3,1,4
PUERTO GONZALO MORENO,atencion odontologica,endodoncias,2010-01-01,0,8,0,8,8
PUERTO RICO,atencion odontologica,endodoncias,2010-01-01,8,2,8,2,10
PUERTO SUAREZ,atencion odontologica,endodoncias,2010-01-01,9,20,9,20,29
PUERTO VILLARROEL,atencion odontologica,endodoncias,2010-01-01,51,55,51,55,106
PUNA,atencion odontologica,endodoncias,2010-01-01,3,3,3,3,6
PUNATA,atencion odontologica,endodoncias,2010-01-01,34,35,34,35,69
QUILLACOLLO,atencion odontologica,endodoncias,2010-01-01,63,54,63,54,117
QUIRUSILLAS,atencion odontologica,endodoncias,2010-01-01,0,5,0,5,5
RAVELO,atencion odontologica,endodoncias,2010-01-01,2,4,2,4,6
REYES,atencion odontologica,endodoncias,2010-01-01,1,4,1,4,5
RIBERALTA,atencion odontologica,endodoncias,2010-01-01,37,52,37,52,89
ROBORE,atencion odontologica,endodoncias,2010-01-01,6,7,6,7,13
SABAYA,atencion odontologica,endodoncias,2010-01-01,0,3,0,3,3
SACABA,atencion odontologica,endodoncias,2010-01-01,60,99,60,99,159
SACABAMBA,atencion odontologica,endodoncias,2010-01-01,1,0,1,0,1
SACACA,atencion odontologica,endodoncias,2010-01-01,4,5,4,5,9
SAIPINA,atencion odontologica,endodoncias,2010-01-01,1,3,1,3,4
SALINAS DE GARCI MENDOZA,atencion odontologica,endodoncias,2010-01-01,3,3,3,3,6
SAMAIPATA,atencion odontologica,endodoncias,2010-01-01,1,1,1,1,2
SAN ANDRES DE MACHACA,atencion odontologica,endodoncias,2010-01-01,1,2,1,2,3
SAN ANTONIO DE LOMERIO,atencion odontologica,endodoncias,2010-01-01,10,0,10,0,10
SAN BENITO,atencion odontologica,endodoncias,2010-01-01,7,5,7,5,12
SAN BORJA,atencion odontologica,endodoncias,2010-01-01,1,5,1,5,6
SAN BUENA VENTURA,atencion odontologica,endodoncias,2010-01-01,1,1,1,1,2
SAN CARLOS,atencion odontologica,endodoncias,2010-01-01,5,10,5,10,15
SAN IGNACIO,atencion odontologica,endodoncias,2010-01-01,17,22,17,22,39
SAN JAVIER(STC),atencion odontologica,endodoncias,2010-01-01,0,1,0,1,1
SAN LORENZO(PND),atencion odontologica,endodoncias,2010-01-01,0,1,0,1,1
SAN LORENZO(TJA),atencion odontologica,endodoncias,2010-01-01,54,84,54,84,138
SAN LUCAS,atencion odontologica,endodoncias,2010-01-01,7,25,7,25,32
SAN MATIAS,atencion odontologica,endodoncias,2010-01-01,7,7,7,7,14
SAN MIGUEL DE VELASCO,atencion odontologica,endodoncias,2010-01-01,7,21,7,21,28
SAN PEDRO,atencion odontologica,endodoncias,2010-01-01,2,4,2,4,6
SAN PEDRO DE TIQUINA,atencion odontologica,endodoncias,2010-01-01,1,0,1,0,1
SAN RAFAEL,atencion odontologica,endodoncias,2010-01-01,2,11,2,11,13
SAN RAMON BENI,atencion odontologica,endodoncias,2010-01-01,9,6,9,6,15
SAN RAMON SCZ,atencion odontologica,endodoncias,2010-01-01,1,0,1,0,1
SANTA ANA,atencion odontologica,endodoncias,2010-01-01,8,11,8,11,19
SANTA CRUZ DE LA SIERRA,atencion odontologica,endodoncias,2010-01-01,613,419,613,419,1032
SANTA ROSA,atencion odontologica,endodoncias,2010-01-01,5,1,5,1,6
SANTA ROSA DEL SARA,atencion odontologica,endodoncias,2010-01-01,0,4,0,4,4
SANTIAGO DE HUARI,atencion odontologica,endodoncias,2010-01-01,4,4,4,4,8
SANTIVAÑES,atencion odontologica,endodoncias,2010-01-01,0,4,0,4,4
SANTUARIO DE QUILLACAS,atencion odontologica,endodoncias,2010-01-01,4,2,4,2,6
SAPAHAQUI,atencion odontologica,endodoncias,2010-01-01,1,2,1,2,3
SENA,atencion odontologica,endodoncias,2010-01-01,1,1,1,1,2
SHINAOTA,atencion odontologica,endodoncias,2010-01-01,28,16,28,16,44
SICA SICA (VILLA AROMA),atencion odontologica,endodoncias,2010-01-01,5,3,5,3,8
SIPE SIPE,atencion odontologica,endodoncias,2010-01-01,23,84,23,84,107
SOPACHUY,atencion odontologica,endodoncias,2010-01-01,0,2,0,2,2
SORACACHI,atencion odontologica,endodoncias,2010-01-01,0,1,0,1,1
SORATA,atencion odontologica,endodoncias,2010-01-01,0,2,0,2,2
SUCRE,atencion odontologica,endodoncias,2010-01-01,436,572,436,572,1008
TACACOMA,atencion odontologica,endodoncias,2010-01-01,4,10,4,10,14
TACOPAYA,atencion odontologica,endodoncias,2010-01-01,2,3,2,3,5
TAHUA,atencion odontologica,endodoncias,2010-01-01,0,3,0,3,3
TAPACARI,atencion odontologica,endodoncias,2010-01-01,5,0,5,0,5
TARABUCO,atencion odontologica,endodoncias,2010-01-01,3,6,3,6,9
TARACO,atencion odontologica,endodoncias,2010-01-01,1,0,1,0,1
TARATA,atencion odontologica,endodoncias,2010-01-01,2,2,2,2,4
TARIJA,atencion odontologica,endodoncias,2010-01-01,302,391,302,391,693
TARVITA,atencion odontologica,endodoncias,2010-01-01,12,16,12,16,28
TIAWANACU,atencion odontologica,endodoncias,2010-01-01,1,1,1,1,2
TIQUIPAYA,atencion odontologica,endodoncias,2010-01-01,23,43,23,43,66
TIRAQUE (CBBA),atencion odontologica,endodoncias,2010-01-01,5,6,5,6,11
TOCO,atencion odontologica,endodoncias,2010-01-01,11,21,11,21,32
TOLATA,atencion odontologica,endodoncias,2010-01-01,3,4,3,4,7
TOMINA,atencion odontologica,endodoncias,2010-01-01,0,4,0,4,4
TORO TORO,atencion odontologica,endodoncias,2010-01-01,6,4,6,4,10
TOTORA(CBBA),atencion odontologica,endodoncias,2010-01-01,29,0,29,0,29
TRINIDAD,atencion odontologica,endodoncias,2010-01-01,88,9,88,9,97
TUPIZA,atencion odontologica,endodoncias,2010-01-01,96,80,96,80,176
TURCO,atencion odontologica,endodoncias,2010-01-01,1,11,1,11,12
UNCIA,atencion odontologica,endodoncias,2010-01-01,22,45,22,45,67
URIONDO (A. CONCEPCION),atencion odontologica,endodoncias,2010-01-01,17,29,17,29,46
URUBICHA,atencion odontologica,endodoncias,2010-01-01,13,17,13,17,30
UYUNI,atencion odontologica,endodoncias,2010-01-01,2,13,2,13,15
VACAS,atencion odontologica,endodoncias,2010-01-01,7,12,7,12,19
VALLEGRANDE,atencion odontologica,endodoncias,2010-01-01,10,22,10,22,32
VIACHA,atencion odontologica,endodoncias,2010-01-01,10,7,10,7,17
VILLA CHARCAS,atencion odontologica,endodoncias,2010-01-01,2,2,2,2,4
VILLA MONTES,atencion odontologica,endodoncias,2010-01-01,22,49,22,49,71
VILLA RIVERO,atencion odontologica,endodoncias,2010-01-01,3,3,3,3,6
VILLA SERRANO,atencion odontologica,endodoncias,2010-01-01,0,5,0,5,5
VILLA TUNARI,atencion odontologica,endodoncias,2010-01-01,37,56,37,56,93
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,endodoncias,2010-01-01,3,8,3,8,11
VILLAZON,atencion odontologica,endodoncias,2010-01-01,47,41,47,41,88
VINTO,atencion odontologica,endodoncias,2010-01-01,6,5,6,5,11
WALDO BALLIVIAN,atencion odontologica,endodoncias,2010-01-01,1,2,1,2,3
WARNES,atencion odontologica,endodoncias,2010-01-01,6,11,6,11,17
YACUIBA,atencion odontologica,endodoncias,2010-01-01,20,47,20,47,67
YAMPARAEZ,atencion odontologica,endodoncias,2010-01-01,0,1,0,1,1
YANACACHI,atencion odontologica,endodoncias,2010-01-01,2,2,2,2,4
YAPACANI,atencion odontologica,endodoncias,2010-01-01,7,22,7,22,29
YOTALA,atencion odontologica,endodoncias,2010-01-01,5,9,5,9,14
YUNCHARA,atencion odontologica,endodoncias,2010-01-01,7,7,7,7,14
ACACIO,atencion odontologica,endodoncias,2010-02-01,1,3,1,3,4
ACHACACHI,atencion odontologica,endodoncias,2010-02-01,19,19,19,19,38
AIQUILE,atencion odontologica,endodoncias,2010-02-01,8,25,8,25,33
ALCALA,atencion odontologica,endodoncias,2010-02-01,3,5,3,5,8
ALTO BENI,atencion odontologica,endodoncias,2010-02-01,0,1,0,1,1
ANCORAIMES,atencion odontologica,endodoncias,2010-02-01,1,0,1,0,1
ANDAMARCA,atencion odontologica,endodoncias,2010-02-01,3,1,3,1,4
ANTEQUERA,atencion odontologica,endodoncias,2010-02-01,1,0,1,0,1
ARANI,atencion odontologica,endodoncias,2010-02-01,16,15,16,15,31
ARBIETO,atencion odontologica,endodoncias,2010-02-01,6,2,6,2,8
ASCENCION DE GUARAYOS,atencion odontologica,endodoncias,2010-02-01,7,8,7,8,15
ATOCHA,atencion odontologica,endodoncias,2010-02-01,5,20,5,20,25
AYO AYO,atencion odontologica,endodoncias,2010-02-01,1,2,1,2,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,endodoncias,2010-02-01,5,2,5,2,7
AZURDUY,atencion odontologica,endodoncias,2010-02-01,0,2,0,2,2
BATALLAS,atencion odontologica,endodoncias,2010-02-01,0,1,0,1,1
BELEN DE URMIRI,atencion odontologica,endodoncias,2010-02-01,1,0,1,0,1
BERMEJO,atencion odontologica,endodoncias,2010-02-01,28,33,28,33,61
BETANZOS,atencion odontologica,endodoncias,2010-02-01,2,2,2,2,4
BOLIVAR,atencion odontologica,endodoncias,2010-02-01,3,3,3,3,6
BOYUIBE,atencion odontologica,endodoncias,2010-02-01,3,3,3,3,6
BUENA VISTA,atencion odontologica,endodoncias,2010-02-01,0,1,0,1,1
CABEZAS,atencion odontologica,endodoncias,2010-02-01,0,1,0,1,1
CAIROMA,atencion odontologica,endodoncias,2010-02-01,6,0,6,0,6
CAJUATA,atencion odontologica,endodoncias,2010-02-01,1,1,1,1,2
CALAMARCA,atencion odontologica,endodoncias,2010-02-01,10,16,10,16,26
CAMARGO,atencion odontologica,endodoncias,2010-02-01,10,20,10,20,30
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,endodoncias,2010-02-01,0,4,0,4,4
CAMIRI,atencion odontologica,endodoncias,2010-02-01,31,74,31,74,105
CAPINOTA,atencion odontologica,endodoncias,2010-02-01,7,1,7,1,8
CARACOLLO,atencion odontologica,endodoncias,2010-02-01,2,0,2,0,2
CARANAVI,atencion odontologica,endodoncias,2010-02-01,1,3,1,3,4
CARAPARI,atencion odontologica,endodoncias,2010-02-01,14,22,14,22,36
CARIPUYO,atencion odontologica,endodoncias,2010-02-01,0,11,0,11,11
CARMEN RIVERO TORREZ,atencion odontologica,endodoncias,2010-02-01,2,8,2,8,10
CATACORA,atencion odontologica,endodoncias,2010-02-01,0,1,0,1,1
CHALLAPATA,atencion odontologica,endodoncias,2010-02-01,8,5,8,5,13
CHARAGUA,atencion odontologica,endodoncias,2010-02-01,4,9,4,9,13
CHAYANTA,atencion odontologica,endodoncias,2010-02-01,4,4,4,4,8
CHIMORE,atencion odontologica,endodoncias,2010-02-01,0,3,0,3,3
CHIPAYA,atencion odontologica,endodoncias,2010-02-01,0,2,0,2,2
CHOQUE COTA,atencion odontologica,endodoncias,2010-02-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,endodoncias,2010-02-01,1,4,1,4,5
CHUMA,atencion odontologica,endodoncias,2010-02-01,5,1,5,1,6
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,endodoncias,2010-02-01,3,4,3,4,7
CLIZA,atencion odontologica,endodoncias,2010-02-01,12,27,12,27,39
COBIJA,atencion odontologica,endodoncias,2010-02-01,27,42,27,42,69
COCHABAMBA,atencion odontologica,endodoncias,2010-02-01,267,295,267,295,562
COLCAPIRHUA,atencion odontologica,endodoncias,2010-02-01,37,39,37,39,76
"COLCHA ""K""",atencion odontologica,endodoncias,2010-02-01,0,2,0,2,2
COLOMI,atencion odontologica,endodoncias,2010-02-01,2,3,2,3,5
COLPA BELGICA,atencion odontologica,endodoncias,2010-02-01,1,1,1,1,2
COLQUECHACA,atencion odontologica,endodoncias,2010-02-01,0,1,0,1,1
COLQUENCHA,atencion odontologica,endodoncias,2010-02-01,0,2,0,2,2
COMARAPA,atencion odontologica,endodoncias,2010-02-01,14,14,14,14,28
CONCEPCION,atencion odontologica,endodoncias,2010-02-01,3,0,3,0,3
COPACABANA,atencion odontologica,endodoncias,2010-02-01,1,1,1,1,2
CORIPATA,atencion odontologica,endodoncias,2010-02-01,1,0,1,0,1
COROICO,atencion odontologica,endodoncias,2010-02-01,3,7,3,7,10
CORQUE,atencion odontologica,endodoncias,2010-02-01,0,3,0,3,3
COTAGAITA,atencion odontologica,endodoncias,2010-02-01,13,10,13,10,23
COTOCA,atencion odontologica,endodoncias,2010-02-01,2,2,2,2,4
CUATRO CAÑADAS,atencion odontologica,endodoncias,2010-02-01,5,0,5,0,5
CUEVO,atencion odontologica,endodoncias,2010-02-01,1,5,1,5,6
CULPINA,atencion odontologica,endodoncias,2010-02-01,0,1,0,1,1
CURAHUARA DE CARANGAS,atencion odontologica,endodoncias,2010-02-01,3,2,3,2,5
EL ALTO,atencion odontologica,endodoncias,2010-02-01,456,489,456,489,945
EL CHORO,atencion odontologica,endodoncias,2010-02-01,1,0,1,0,1
EL PUENTE(STC),atencion odontologica,endodoncias,2010-02-01,0,1,0,1,1
EL PUENTE(TJA),atencion odontologica,endodoncias,2010-02-01,10,33,10,33,43
EL TORNO,atencion odontologica,endodoncias,2010-02-01,11,29,11,29,40
EL VILLAR,atencion odontologica,endodoncias,2010-02-01,0,3,0,3,3
ENTRE RIOS TRJ,atencion odontologica,endodoncias,2010-02-01,7,23,7,23,30
ENTRE RIOS CBBA,atencion odontologica,endodoncias,2010-02-01,4,3,4,3,7
ESCOMA,atencion odontologica,endodoncias,2010-02-01,1,3,1,3,4
EUCALIPTUS,atencion odontologica,endodoncias,2010-02-01,1,4,1,4,5
EXALTACION,atencion odontologica,endodoncias,2010-02-01,8,20,8,20,28
FERNANDEZ ALONSO,atencion odontologica,endodoncias,2010-02-01,4,7,4,7,11
FILADELFIA,atencion odontologica,endodoncias,2010-02-01,0,2,0,2,2
GENERAL SAAVEDRA,atencion odontologica,endodoncias,2010-02-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncias,2010-02-01,0,13,0,13,13
GUANAY,atencion odontologica,endodoncias,2010-02-01,14,18,14,18,32
GUAYARAMERIN,atencion odontologica,endodoncias,2010-02-01,17,29,17,29,46
GUTIERREZ,atencion odontologica,endodoncias,2010-02-01,13,19,13,19,32
HUACARETA,atencion odontologica,endodoncias,2010-02-01,6,6,6,6,12
HUACHACALLA,atencion odontologica,endodoncias,2010-02-01,1,2,1,2,3
HUANUNI,atencion odontologica,endodoncias,2010-02-01,8,20,8,20,28
HUARACAJE,atencion odontologica,endodoncias,2010-02-01,3,1,3,1,4
HUAYLLAMARCA,atencion odontologica,endodoncias,2010-02-01,5,3,5,3,8
HUMANATA,atencion odontologica,endodoncias,2010-02-01,4,7,4,7,11
ICLA,atencion odontologica,endodoncias,2010-02-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),atencion odontologica,endodoncias,2010-02-01,0,5,0,5,5
IXIAMAS,atencion odontologica,endodoncias,2010-02-01,3,4,3,4,7
JESUS DE MACHACA,atencion odontologica,endodoncias,2010-02-01,3,2,3,2,5
LA GUARDIA,atencion odontologica,endodoncias,2010-02-01,7,17,7,17,24
LA PAZ,atencion odontologica,endodoncias,2010-02-01,507,966,507,966,1473
LAGUNILLAS,atencion odontologica,endodoncias,2010-02-01,5,6,5,6,11
LAS CARRERAS,atencion odontologica,endodoncias,2010-02-01,1,3,1,3,4
LLALLAGUA,atencion odontologica,endodoncias,2010-02-01,26,24,26,24,50
MACHACAMARCA,atencion odontologica,endodoncias,2010-02-01,1,2,1,2,3
MACHARETI,atencion odontologica,endodoncias,2010-02-01,0,1,0,1,1
MAGDALENA,atencion odontologica,endodoncias,2010-02-01,21,8,21,8,29
MALLA,atencion odontologica,endodoncias,2010-02-01,1,1,1,1,2
MAPIRI,atencion odontologica,endodoncias,2010-02-01,27,40,27,40,67
MECAPACA,atencion odontologica,endodoncias,2010-02-01,2,2,2,2,4
MINEROS,atencion odontologica,endodoncias,2010-02-01,5,20,5,20,25
MIZQUE,atencion odontologica,endodoncias,2010-02-01,8,14,8,14,22
MOJOCOYA,atencion odontologica,endodoncias,2010-02-01,6,11,6,11,17
MONTEAGUDO,atencion odontologica,endodoncias,2010-02-01,14,24,14,24,38
MONTERO,atencion odontologica,endodoncias,2010-02-01,17,20,17,20,37
MOROCHATA,atencion odontologica,endodoncias,2010-02-01,2,3,2,3,5
OKINAWA,atencion odontologica,endodoncias,2010-02-01,1,2,1,2,3
OMEREQUE,atencion odontologica,endodoncias,2010-02-01,3,4,3,4,7
ORURO,atencion odontologica,endodoncias,2010-02-01,234,252,234,252,486
PADCAYA,atencion odontologica,endodoncias,2010-02-01,14,46,14,46,60
PADILLA,atencion odontologica,endodoncias,2010-02-01,5,2,5,2,7
PAILON,atencion odontologica,endodoncias,2010-02-01,4,4,4,4,8
PALOS BLANCOS,atencion odontologica,endodoncias,2010-02-01,1,3,1,3,4
PAMPA AULLAGAS,atencion odontologica,endodoncias,2010-02-01,0,2,0,2,2
PAMPA GRANDE,atencion odontologica,endodoncias,2010-02-01,0,3,0,3,3
PATACAMAYA,atencion odontologica,endodoncias,2010-02-01,0,1,0,1,1
PAZÑA,atencion odontologica,endodoncias,2010-02-01,1,1,1,1,2
POCOATA,atencion odontologica,endodoncias,2010-02-01,0,3,0,3,3
POCONA,atencion odontologica,endodoncias,2010-02-01,1,6,1,6,7
POJO (CBBA),atencion odontologica,endodoncias,2010-02-01,7,0,7,0,7
