,group,variable,month,PRIMERA CONSULTA CANTIDAD,PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,primera consulta,2010-01-01,40,58,40,58,98
CHUMA,atencion odontologica,primera consulta,2010-01-01,74,201,74,201,275
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,primera consulta,2010-01-01,35,45,35,45,80
CKOCHAS,atencion odontologica,primera consulta,2010-01-01,15,32,15,32,47
CLIZA,atencion odontologica,primera consulta,2010-01-01,31,51,31,51,82
COBIJA,atencion odontologica,primera consulta,2010-01-01,192,347,192,347,539
COCAPATA,atencion odontologica,primera consulta,2010-01-01,25,43,25,43,68
COCHABAMBA,atencion odontologica,primera consulta,2010-01-01,19245,1469,19245,1469,20714
COIPASA,atencion odontologica,primera consulta,2010-01-01,5,3,5,3,8
COLCAPIRHUA,atencion odontologica,primera consulta,2010-01-01,84,136,84,136,220
"COLCHA ""K""",atencion odontologica,primera consulta,2010-01-01,45,42,45,42,87
COLLANA,atencion odontologica,primera consulta,2010-01-01,8,11,8,11,19
COLOMI,atencion odontologica,primera consulta,2010-01-01,42,73,42,73,115
COLPA BELGICA,atencion odontologica,primera consulta,2010-01-01,79,138,79,138,217
COLQUECHACA,atencion odontologica,primera consulta,2010-01-01,15,43,15,43,58
COLQUIRI,atencion odontologica,primera consulta,2010-01-01,48,60,48,60,108
COMANCHE,atencion odontologica,primera consulta,2010-01-01,11,15,11,15,26
COMARAPA,atencion odontologica,primera consulta,2010-01-01,110,190,110,190,300
COMBAYA,atencion odontologica,primera consulta,2010-01-01,14,47,14,47,61
CONCEPCION,atencion odontologica,primera consulta,2010-01-01,1,0,1,0,1
COPACABANA,atencion odontologica,primera consulta,2010-01-01,20,37,20,37,57
CORIPATA,atencion odontologica,primera consulta,2010-01-01,32,45,32,45,77
CORO CORO,atencion odontologica,primera consulta,2010-01-01,20,30,20,30,50
COROICO,atencion odontologica,primera consulta,2010-01-01,15,28,15,28,43
CORQUE,atencion odontologica,primera consulta,2010-01-01,28,41,28,41,69
COTAGAITA,atencion odontologica,primera consulta,2010-01-01,138,191,138,191,329
COTOCA,atencion odontologica,primera consulta,2010-01-01,10,58,10,58,68
CUATRO CAÑADAS,atencion odontologica,primera consulta,2010-01-01,222,0,222,0,222
CUEVO,atencion odontologica,primera consulta,2010-01-01,24,115,24,115,139
CULPINA,atencion odontologica,primera consulta,2010-01-01,52,58,52,58,110
CURAHUARA DE CARANGAS,atencion odontologica,primera consulta,2010-01-01,6,0,6,0,6
CURVA,atencion odontologica,primera consulta,2010-01-01,9,16,9,16,25
DESAGUADERO,atencion odontologica,primera consulta,2010-01-01,1,0,1,0,1
EL ALTO,atencion odontologica,primera consulta,2010-01-01,2214,3029,2214,3029,5243
EL CHORO,atencion odontologica,primera consulta,2010-01-01,0,1,0,1,1
EL PUENTE(STC),atencion odontologica,primera consulta,2010-01-01,43,72,43,72,115
EL PUENTE(TJA),atencion odontologica,primera consulta,2010-01-01,45,121,45,121,166
EL TORNO,atencion odontologica,primera consulta,2010-01-01,45,91,45,91,136
EL VILLAR,atencion odontologica,primera consulta,2010-01-01,16,13,16,13,29
ENTRE RIOS TRJ,atencion odontologica,primera consulta,2010-01-01,54,132,54,132,186
ENTRE RIOS CBBA,atencion odontologica,primera consulta,2010-01-01,52,50,52,50,102
ESCOMA,atencion odontologica,primera consulta,2010-01-01,80,116,80,116,196
EUCALIPTUS,atencion odontologica,primera consulta,2010-01-01,62,34,62,34,96
FERNANDEZ ALONSO,atencion odontologica,primera consulta,2010-01-01,42,71,42,71,113
FILADELFIA,atencion odontologica,primera consulta,2010-01-01,35,42,35,42,77
GENERAL SAAVEDRA,atencion odontologica,primera consulta,2010-01-01,32,58,32,58,90
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,primera consulta,2010-01-01,97,113,97,113,210
GUANAY,atencion odontologica,primera consulta,2010-01-01,105,151,105,151,256
GUAQUI,atencion odontologica,primera consulta,2010-01-01,68,105,68,105,173
GUAYARAMERIN,atencion odontologica,primera consulta,2010-01-01,170,172,170,172,342
GUTIERREZ,atencion odontologica,primera consulta,2010-01-01,50,65,50,65,115
HUACARETA,atencion odontologica,primera consulta,2010-01-01,23,27,23,27,50
HUACHACALLA,atencion odontologica,primera consulta,2010-01-01,23,56,23,56,79
HUANUNI,atencion odontologica,primera consulta,2010-01-01,94,118,94,118,212
HUARACAJE,atencion odontologica,primera consulta,2010-01-01,4,6,4,6,10
HUARINA,atencion odontologica,primera consulta,2010-01-01,20,19,20,19,39
HUAYLLAMARCA,atencion odontologica,primera consulta,2010-01-01,22,27,22,27,49
ICHOCA,atencion odontologica,primera consulta,2010-01-01,2,0,2,0,2
ICLA,atencion odontologica,primera consulta,2010-01-01,82,91,82,91,173
INCAHUASI,atencion odontologica,primera consulta,2010-01-01,8,15,8,15,23
INQUISIVI,atencion odontologica,primera consulta,2010-01-01,18,30,18,30,48
IRUPANA (VILLA DE LANZA),atencion odontologica,primera consulta,2010-01-01,55,120,55,120,175
IXIAMAS,atencion odontologica,primera consulta,2010-01-01,45,50,45,50,95
JESUS DE MACHACA,atencion odontologica,primera consulta,2010-01-01,65,134,65,134,199
LA ASUNTA,atencion odontologica,primera consulta,2010-01-01,31,40,31,40,71
LA GUARDIA,atencion odontologica,primera consulta,2010-01-01,97,133,97,133,230
LA PAZ,atencion odontologica,primera consulta,2010-01-01,3430,4995,3430,4995,8425
LA RIVERA,atencion odontologica,primera consulta,2010-01-01,6,5,6,5,11
LAGUNILLAS,atencion odontologica,primera consulta,2010-01-01,26,29,26,29,55
LAJA,atencion odontologica,primera consulta,2010-01-01,46,144,46,144,190
LAS CARRERAS,atencion odontologica,primera consulta,2010-01-01,39,52,39,52,91
LLALLAGUA,atencion odontologica,primera consulta,2010-01-01,123,167,123,167,290
LLICA,atencion odontologica,primera consulta,2010-01-01,23,15,23,15,38
LURIBAY,atencion odontologica,primera consulta,2010-01-01,17,21,17,21,38
MACHACAMARCA,atencion odontologica,primera consulta,2010-01-01,27,65,27,65,92
MAGDALENA,atencion odontologica,primera consulta,2010-01-01,3,33,3,33,36
MAIRANA,atencion odontologica,primera consulta,2010-01-01,7,12,7,12,19
MALLA,atencion odontologica,primera consulta,2010-01-01,1,2,1,2,3
MAPIRI,atencion odontologica,primera consulta,2010-01-01,39,103,39,103,142
MECAPACA,atencion odontologica,primera consulta,2010-01-01,27,30,27,30,57
MINEROS,atencion odontologica,primera consulta,2010-01-01,42,90,42,90,132
MIZQUE,atencion odontologica,primera consulta,2010-01-01,47,27,47,27,74
MOCOMOCO,atencion odontologica,primera consulta,2010-01-01,67,86,67,86,153
MOJOCOYA,atencion odontologica,primera consulta,2010-01-01,9,26,9,26,35
MONTEAGUDO,atencion odontologica,primera consulta,2010-01-01,74,104,74,104,178
MONTERO,atencion odontologica,primera consulta,2010-01-01,389,599,389,599,988
MORO MORO,atencion odontologica,primera consulta,2010-01-01,19,21,19,21,40
MOROCHATA,atencion odontologica,primera consulta,2010-01-01,22,44,22,44,66
OCURI,atencion odontologica,primera consulta,2010-01-01,30,31,30,31,61
OKINAWA,atencion odontologica,primera consulta,2010-01-01,32,95,32,95,127
OMEREQUE,atencion odontologica,primera consulta,2010-01-01,7,8,7,8,15
ORURO,atencion odontologica,primera consulta,2010-01-01,1198,1242,1198,1242,2440
PADCAYA,atencion odontologica,primera consulta,2010-01-01,22,45,22,45,67
PADILLA,atencion odontologica,primera consulta,2010-01-01,24,67,24,67,91
PAILON,atencion odontologica,primera consulta,2010-01-01,110,109,110,109,219
PALCA,atencion odontologica,primera consulta,2010-01-01,34,59,34,59,93
PALOS BLANCOS,atencion odontologica,primera consulta,2010-01-01,40,56,40,56,96
PAMPA AULLAGAS,atencion odontologica,primera consulta,2010-01-01,11,28,11,28,39
PAMPA GRANDE,atencion odontologica,primera consulta,2010-01-01,29,60,29,60,89
PAPEL PAMPA,atencion odontologica,primera consulta,2010-01-01,69,30,69,30,99
PASORAPA,atencion odontologica,primera consulta,2010-01-01,4,3,4,3,7
PATACAMAYA,atencion odontologica,primera consulta,2010-01-01,27,44,27,44,71
PAZÑA,atencion odontologica,primera consulta,2010-01-01,10,13,10,13,23
PELECHUCO,atencion odontologica,primera consulta,2010-01-01,2,1,2,1,3
POCOATA,atencion odontologica,primera consulta,2010-01-01,70,52,70,52,122
POCONA,atencion odontologica,primera consulta,2010-01-01,129,0,129,0,129
POJO (CBBA),atencion odontologica,primera consulta,2010-01-01,141,0,141,0,141
POOPO,atencion odontologica,primera consulta,2010-01-01,11,32,11,32,43
PORCO,atencion odontologica,primera consulta,2010-01-01,20,30,20,30,50
POROMA,atencion odontologica,primera consulta,2010-01-01,6,3,6,3,9
PORONGO,atencion odontologica,primera consulta,2010-01-01,8,11,8,11,19
PORTACHUELO,atencion odontologica,primera consulta,2010-01-01,84,85,84,85,169
PORVENIR,atencion odontologica,primera consulta,2010-01-01,46,73,46,73,119
POSTRER VALLE,atencion odontologica,primera consulta,2010-01-01,44,49,44,49,93
POTOSI,atencion odontologica,primera consulta,2010-01-01,1814,297,1814,297,2111
PRESTO,atencion odontologica,primera consulta,2010-01-01,10,32,10,32,42
PUCARA,atencion odontologica,primera consulta,2010-01-01,0,6,0,6,6
PUCARANI,atencion odontologica,primera consulta,2010-01-01,88,130,88,130,218
PUERTO ACOSTA,atencion odontologica,primera consulta,2010-01-01,23,40,23,40,63
PUERTO CARABUCO,atencion odontologica,primera consulta,2010-01-01,49,74,49,74,123
PUERTO GONZALO MORENO,atencion odontologica,primera consulta,2010-01-01,7,21,7,21,28
PUERTO QUIJARRO,atencion odontologica,primera consulta,2010-01-01,20,29,20,29,49
PUERTO RICO,atencion odontologica,primera consulta,2010-01-01,45,41,45,41,86
PUERTO SUAREZ,atencion odontologica,primera consulta,2010-01-01,66,86,66,86,152
PUERTO VILLARROEL,atencion odontologica,primera consulta,2010-01-01,102,154,102,154,256
PUNA,atencion odontologica,primera consulta,2010-01-01,62,84,62,84,146
PUNATA,atencion odontologica,primera consulta,2010-01-01,152,190,152,190,342
QUILLACOLLO,atencion odontologica,primera consulta,2010-01-01,69,136,69,136,205
QUIME,atencion odontologica,primera consulta,2010-01-01,7,76,7,76,83
QUIRUSILLAS,atencion odontologica,primera consulta,2010-01-01,6,16,6,16,22
RAVELO,atencion odontologica,primera consulta,2010-01-01,12,23,12,23,35
RIBERALTA,atencion odontologica,primera consulta,2010-01-01,149,340,149,340,489
ROBORE,atencion odontologica,primera consulta,2010-01-01,2,2,2,2,4
RURRENABAQUE,atencion odontologica,primera consulta,2010-01-01,12,19,12,19,31
SABAYA,atencion odontologica,primera consulta,2010-01-01,45,65,45,65,110
SACABA,atencion odontologica,primera consulta,2010-01-01,342,508,342,508,850
SACABAMBA,atencion odontologica,primera consulta,2010-01-01,5,18,5,18,23
SACACA,atencion odontologica,primera consulta,2010-01-01,19,38,19,38,57
SAIPINA,atencion odontologica,primera consulta,2010-01-01,23,35,23,35,58
SALINAS DE GARCI MENDOZA,atencion odontologica,primera consulta,2010-01-01,34,65,34,65,99
SAMAIPATA,atencion odontologica,primera consulta,2010-01-01,68,95,68,95,163
SAN AGUSTIN,atencion odontologica,primera consulta,2010-01-01,3,1,3,1,4
SAN ANDRES,atencion odontologica,primera consulta,2010-01-01,52,84,52,84,136
SAN ANDRES DE MACHACA,atencion odontologica,primera consulta,2010-01-01,41,39,41,39,80
SAN ANTONIO DE LOMERIO,atencion odontologica,primera consulta,2010-01-01,123,0,123,0,123
SAN BENITO,atencion odontologica,primera consulta,2010-01-01,1,5,1,5,6
SAN BORJA,atencion odontologica,primera consulta,2010-01-01,76,125,76,125,201
SAN BUENA VENTURA,atencion odontologica,primera consulta,2010-01-01,30,70,30,70,100
SAN CARLOS,atencion odontologica,primera consulta,2010-01-01,37,80,37,80,117
SAN IGNACIO,atencion odontologica,primera consulta,2010-01-01,203,203,203,203,406
SAN IGNACIO DE VELASCO,atencion odontologica,primera consulta,2010-01-01,114,87,114,87,201
SAN JAVIER(BNI),atencion odontologica,primera consulta,2010-01-01,30,0,30,0,30
SAN JAVIER(STC),atencion odontologica,primera consulta,2010-01-01,17,31,17,31,48
SAN JOAQUIN,atencion odontologica,primera consulta,2010-01-01,13,14,13,14,27
SAN JOSE DE CHIQUITOS,atencion odontologica,primera consulta,2010-01-01,59,90,59,90,149
SAN JUAN DE YAPACANI,atencion odontologica,primera consulta,2010-01-01,35,73,35,73,108
SAN LORENZO(PND),atencion odontologica,primera consulta,2010-01-01,6,16,6,16,22
SAN LORENZO(TJA),atencion odontologica,primera consulta,2010-01-01,171,387,171,387,558
SAN LUCAS,atencion odontologica,primera consulta,2010-01-01,57,77,57,77,134
SAN MATIAS,atencion odontologica,primera consulta,2010-01-01,92,59,92,59,151
SAN MIGUEL DE VELASCO,atencion odontologica,primera consulta,2010-01-01,8,54,8,54,62
SAN PEDRO,atencion odontologica,primera consulta,2010-01-01,4,4,4,4,8
SAN PEDRO DE BUENA VISTA,atencion odontologica,primera consulta,2010-01-01,36,66,36,66,102
SAN PEDRO DE TIQUINA,atencion odontologica,primera consulta,2010-01-01,37,59,37,59,96
SAN RAFAEL,atencion odontologica,primera consulta,2010-01-01,16,29,16,29,45
SAN RAMON BENI,atencion odontologica,primera consulta,2010-01-01,55,48,55,48,103
SAN RAMON SCZ,atencion odontologica,primera consulta,2010-01-01,60,46,60,46,106
SANTA ANA,atencion odontologica,primera consulta,2010-01-01,61,114,61,114,175
SANTA CRUZ DE LA SIERRA,atencion odontologica,primera consulta,2010-01-01,2247,3119,2247,3119,5366
SANTA ROSA,atencion odontologica,primera consulta,2010-01-01,40,30,40,30,70
SANTA ROSA DEL SARA,atencion odontologica,primera consulta,2010-01-01,63,118,63,118,181
SANTIAGO DE CALLAPA,atencion odontologica,primera consulta,2010-01-01,3,8,3,8,11
SANTIAGO DE HUARI,atencion odontologica,primera consulta,2010-01-01,64,73,64,73,137
SANTIAGO DE HUATA,atencion odontologica,primera consulta,2010-01-01,5,16,5,16,21
SANTIAGO DE MACHACA,atencion odontologica,primera consulta,2010-01-01,5,15,5,15,20
SANTIVAÑES,atencion odontologica,primera consulta,2010-01-01,40,76,40,76,116
SANTUARIO DE QUILLACAS,atencion odontologica,primera consulta,2010-01-01,14,40,14,40,54
SAPAHAQUI,atencion odontologica,primera consulta,2010-01-01,49,66,49,66,115
SENA,atencion odontologica,primera consulta,2010-01-01,13,16,13,16,29
SHINAOTA,atencion odontologica,primera consulta,2010-01-01,6,9,6,9,15
SICA SICA (VILLA AROMA),atencion odontologica,primera consulta,2010-01-01,72,88,72,88,160
SIPE SIPE,atencion odontologica,primera consulta,2010-01-01,57,163,57,163,220
SOPACHUY,atencion odontologica,primera consulta,2010-01-01,28,63,28,63,91
SORACACHI,atencion odontologica,primera consulta,2010-01-01,14,42,14,42,56
SORATA,atencion odontologica,primera consulta,2010-01-01,98,102,98,102,200
SUCRE,atencion odontologica,primera consulta,2010-01-01,1259,1516,1259,1516,2775
TACACOMA,atencion odontologica,primera consulta,2010-01-01,71,88,71,88,159
TACOPAYA,atencion odontologica,primera consulta,2010-01-01,1,1,1,1,2
TAHUA,atencion odontologica,primera consulta,2010-01-01,5,11,5,11,16
TAPACARI,atencion odontologica,primera consulta,2010-01-01,84,35,84,35,119
TARABUCO,atencion odontologica,primera consulta,2010-01-01,140,183,140,183,323
TARACO,atencion odontologica,primera consulta,2010-01-01,14,23,14,23,37
TARATA,atencion odontologica,primera consulta,2010-01-01,22,32,22,32,54
TARIJA,atencion odontologica,primera consulta,2010-01-01,1087,1436,1087,1436,2523
TARVITA,atencion odontologica,primera consulta,2010-01-01,6,36,6,36,42
TIAWANACU,atencion odontologica,primera consulta,2010-01-01,87,146,87,146,233
TINGUIPAYA,atencion odontologica,primera consulta,2010-01-01,34,0,34,0,34
TIPUANI,atencion odontologica,primera consulta,2010-01-01,4,15,4,15,19
TIQUIPAYA,atencion odontologica,primera consulta,2010-01-01,160,275,160,275,435
TIRAQUE (CBBA),atencion odontologica,primera consulta,2010-01-01,5,29,5,29,34
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,primera consulta,2010-01-01,0,8,0,8,8
TOCO,atencion odontologica,primera consulta,2010-01-01,26,36,26,36,62
TOLATA,atencion odontologica,primera consulta,2010-01-01,26,36,26,36,62
TOLEDO,atencion odontologica,primera consulta,2010-01-01,64,56,64,56,120
TOMAVE,atencion odontologica,primera consulta,2010-01-01,33,51,33,51,84
TOMINA,atencion odontologica,primera consulta,2010-01-01,27,66,27,66,93
TORO TORO,atencion odontologica,primera consulta,2010-01-01,34,72,34,72,106
TOTORA(CBBA),atencion odontologica,primera consulta,2010-01-01,143,0,143,0,143
TOTORA(ORR),atencion odontologica,primera consulta,2010-01-01,20,21,20,21,41
TRIGAL,atencion odontologica,primera consulta,2010-01-01,16,18,16,18,34
TRINIDAD,atencion odontologica,primera consulta,2010-01-01,636,418,636,418,1054
TUPIZA,atencion odontologica,primera consulta,2010-01-01,191,192,191,192,383
TURCO,atencion odontologica,primera consulta,2010-01-01,20,38,20,38,58
UMALA,atencion odontologica,primera consulta,2010-01-01,4,17,4,17,21
UNCIA,atencion odontologica,primera consulta,2010-01-01,35,101,35,101,136
URIONDO (A. CONCEPCION),atencion odontologica,primera consulta,2010-01-01,158,258,158,258,416
URUBICHA,atencion odontologica,primera consulta,2010-01-01,15,15,15,15,30
UYUNI,atencion odontologica,primera consulta,2010-01-01,20,50,20,50,70
VACAS,atencion odontologica,primera consulta,2010-01-01,32,38,32,38,70
VALLEGRANDE,atencion odontologica,primera consulta,2010-01-01,75,118,75,118,193
VIACHA,atencion odontologica,primera consulta,2010-01-01,33,215,33,215,248
VILLA CHARCAS,atencion odontologica,primera consulta,2010-01-01,60,74,60,74,134
VILLA MONTES,atencion odontologica,primera consulta,2010-01-01,268,406,268,406,674
VILLA NUEVA (LOMA ALTA),atencion odontologica,primera consulta,2010-01-01,26,75,26,75,101
VILLA RIVERO,atencion odontologica,primera consulta,2010-01-01,59,32,59,32,91
VILLA SERRANO,atencion odontologica,primera consulta,2010-01-01,16,28,16,28,44
VILLA TUNARI,atencion odontologica,primera consulta,2010-01-01,260,369,260,369,629
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,primera consulta,2010-01-01,17,56,17,56,73
VILLAZON,atencion odontologica,primera consulta,2010-01-01,244,236,244,236,480
VINTO,atencion odontologica,primera consulta,2010-01-01,55,62,55,62,117
VITICHI,atencion odontologica,primera consulta,2010-01-01,7,26,7,26,33
WALDO BALLIVIAN,atencion odontologica,primera consulta,2010-01-01,8,18,8,18,26
WARNES,atencion odontologica,primera consulta,2010-01-01,160,274,160,274,434
YACO,atencion odontologica,primera consulta,2010-01-01,30,38,30,38,68
YACUIBA,atencion odontologica,primera consulta,2010-01-01,400,518,400,518,918
YAMPARAEZ,atencion odontologica,primera consulta,2010-01-01,14,15,14,15,29
YANACACHI,atencion odontologica,primera consulta,2010-01-01,16,18,16,18,34
YAPACANI,atencion odontologica,primera consulta,2010-01-01,81,170,81,170,251
YOCALLA,atencion odontologica,primera consulta,2010-01-01,4,6,4,6,10
YOTALA,atencion odontologica,primera consulta,2010-01-01,30,47,30,47,77
ZUDAÑEZ,atencion odontologica,primera consulta,2010-01-01,12,23,12,23,35
ACACIO,atencion odontologica,primera consulta,2010-02-01,19,12,19,12,31
ACHACACHI,atencion odontologica,primera consulta,2010-02-01,449,589,449,589,1038
ACHOCALLA,atencion odontologica,primera consulta,2010-02-01,41,52,41,52,93
AIQUILE,atencion odontologica,primera consulta,2010-02-01,24,43,24,43,67
ALALAY,atencion odontologica,primera consulta,2010-02-01,10,17,10,17,27
ALCALA,atencion odontologica,primera consulta,2010-02-01,30,29,30,29,59
ALTO BENI,atencion odontologica,primera consulta,2010-02-01,75,79,75,79,154
ANCORAIMES,atencion odontologica,primera consulta,2010-02-01,79,73,79,73,152
ANDAMARCA,atencion odontologica,primera consulta,2010-02-01,28,27,28,27,55
ANTEQUERA,atencion odontologica,primera consulta,2010-02-01,17,21,17,21,38
APOLO,atencion odontologica,primera consulta,2010-02-01,71,84,71,84,155
ARAMPAMPA,atencion odontologica,primera consulta,2010-02-01,5,8,5,8,13
ARANI,atencion odontologica,primera consulta,2010-02-01,18,37,18,37,55
ARBIETO,atencion odontologica,primera consulta,2010-02-01,59,58,59,58,117
ARQUE,atencion odontologica,primera consulta,2010-02-01,10,28,10,28,38
ASCENCION DE GUARAYOS,atencion odontologica,primera consulta,2010-02-01,45,188,45,188,233
ATOCHA,atencion odontologica,primera consulta,2010-02-01,361,407,361,407,768
AYATA,atencion odontologica,primera consulta,2010-02-01,60,67,60,67,127
AYO AYO,atencion odontologica,primera consulta,2010-02-01,42,53,42,53,95
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,primera consulta,2010-02-01,66,74,66,74,140
AZURDUY,atencion odontologica,primera consulta,2010-02-01,12,17,12,17,29
BATALLAS,atencion odontologica,primera consulta,2010-02-01,35,61,35,61,96
BELEN DE URMIRI,atencion odontologica,primera consulta,2010-02-01,19,14,19,14,33
BELLA FLOR,atencion odontologica,primera consulta,2010-02-01,16,26,16,26,42
BERMEJO,atencion odontologica,primera consulta,2010-02-01,117,169,117,169,286
BETANZOS,atencion odontologica,primera consulta,2010-02-01,46,29,46,29,75
BOLIVAR,atencion odontologica,primera consulta,2010-02-01,43,41,43,41,84
BOLPEBRA,atencion odontologica,primera consulta,2010-02-01,56,62,56,62,118
BOYUIBE,atencion odontologica,primera consulta,2010-02-01,27,36,27,36,63
BUENA VISTA,atencion odontologica,primera consulta,2010-02-01,10,12,10,12,22
CABEZAS,atencion odontologica,primera consulta,2010-02-01,74,142,74,142,216
CAIROMA,atencion odontologica,primera consulta,2010-02-01,135,150,135,150,285
"CAIZA ""D""",atencion odontologica,primera consulta,2010-02-01,59,0,59,0,59
CAJUATA,atencion odontologica,primera consulta,2010-02-01,25,48,25,48,73
CALACOTO,atencion odontologica,primera consulta,2010-02-01,32,31,32,31,63
CALAMARCA,atencion odontologica,primera consulta,2010-02-01,174,192,174,192,366
CAMARGO,atencion odontologica,primera consulta,2010-02-01,74,141,74,141,215
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,primera consulta,2010-02-01,15,17,15,17,32
CAMIRI,atencion odontologica,primera consulta,2010-02-01,295,423,295,423,718
CAPINOTA,atencion odontologica,primera consulta,2010-02-01,14,24,14,24,38
CAQUIAVIRI,atencion odontologica,primera consulta,2010-02-01,34,43,34,43,77
CARACOLLO,atencion odontologica,primera consulta,2010-02-01,62,80,62,80,142
CARANAVI,atencion odontologica,primera consulta,2010-02-01,181,193,181,193,374
CARAPARI,atencion odontologica,primera consulta,2010-02-01,110,132,110,132,242
CARIPUYO,atencion odontologica,primera consulta,2010-02-01,28,40,28,40,68
CARMEN RIVERO TORREZ,atencion odontologica,primera consulta,2010-02-01,18,22,18,22,40
CATACORA,atencion odontologica,primera consulta,2010-02-01,4,6,4,6,10
CHALLAPATA,atencion odontologica,primera consulta,2010-02-01,97,123,97,123,220
CHARAGUA,atencion odontologica,primera consulta,2010-02-01,104,222,104,222,326
CHAYANTA,atencion odontologica,primera consulta,2010-02-01,48,61,48,61,109
CHIMORE,atencion odontologica,primera consulta,2010-02-01,4,10,4,10,14
CHIPAYA,atencion odontologica,primera consulta,2010-02-01,6,12,6,12,18
CHOQUE COTA,atencion odontologica,primera consulta,2010-02-01,1,3,1,3,4
