,group,variable,month,CIRUGIA BUCAL MENOR CANTIDAD,CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucal menor,2010-01-01,4,9,4,9,13
CKOCHAS,atencion odontologica,cirugia bucal menor,2010-01-01,5,13,5,13,18
CLIZA,atencion odontologica,cirugia bucal menor,2010-01-01,9,9,9,9,18
COBIJA,atencion odontologica,cirugia bucal menor,2010-01-01,37,56,37,56,93
COCHABAMBA,atencion odontologica,cirugia bucal menor,2010-01-01,173,217,173,217,390
COIPASA,atencion odontologica,cirugia bucal menor,2010-01-01,5,3,5,3,8
COLCAPIRHUA,atencion odontologica,cirugia bucal menor,2010-01-01,26,41,26,41,67
"COLCHA ""K""",atencion odontologica,cirugia bucal menor,2010-01-01,9,9,9,9,18
COLLANA,atencion odontologica,cirugia bucal menor,2010-01-01,4,8,4,8,12
COLOMI,atencion odontologica,cirugia bucal menor,2010-01-01,11,19,11,19,30
COLPA BELGICA,atencion odontologica,cirugia bucal menor,2010-01-01,0,2,0,2,2
COLQUECHACA,atencion odontologica,cirugia bucal menor,2010-01-01,26,0,26,0,26
COLQUENCHA,atencion odontologica,cirugia bucal menor,2010-01-01,0,7,0,7,7
COLQUIRI,atencion odontologica,cirugia bucal menor,2010-01-01,40,50,40,50,90
COMARAPA,atencion odontologica,cirugia bucal menor,2010-01-01,20,47,20,47,67
COPACABANA,atencion odontologica,cirugia bucal menor,2010-01-01,12,20,12,20,32
CORIPATA,atencion odontologica,cirugia bucal menor,2010-01-01,24,27,24,27,51
CORO CORO,atencion odontologica,cirugia bucal menor,2010-01-01,10,23,10,23,33
COROICO,atencion odontologica,cirugia bucal menor,2010-01-01,32,76,32,76,108
CORQUE,atencion odontologica,cirugia bucal menor,2010-01-01,18,21,18,21,39
COTAGAITA,atencion odontologica,cirugia bucal menor,2010-01-01,4,5,4,5,9
COTOCA,atencion odontologica,cirugia bucal menor,2010-01-01,15,28,15,28,43
CUEVO,atencion odontologica,cirugia bucal menor,2010-01-01,2,5,2,5,7
CULPINA,atencion odontologica,cirugia bucal menor,2010-01-01,14,14,14,14,28
CURAHUARA DE CARANGAS,atencion odontologica,cirugia bucal menor,2010-01-01,21,22,21,22,43
CURVA,atencion odontologica,cirugia bucal menor,2010-01-01,0,1,0,1,1
DESAGUADERO,atencion odontologica,cirugia bucal menor,2010-01-01,39,37,39,37,76
EL ALTO,atencion odontologica,cirugia bucal menor,2010-01-01,917,1337,917,1337,2254
EL CHORO,atencion odontologica,cirugia bucal menor,2010-01-01,2,1,2,1,3
EL PUENTE(STC),atencion odontologica,cirugia bucal menor,2010-01-01,32,46,32,46,78
EL PUENTE(TJA),atencion odontologica,cirugia bucal menor,2010-01-01,27,92,27,92,119
EL TORNO,atencion odontologica,cirugia bucal menor,2010-01-01,12,35,12,35,47
EL VILLAR,atencion odontologica,cirugia bucal menor,2010-01-01,4,3,4,3,7
ENTRE RIOS TRJ,atencion odontologica,cirugia bucal menor,2010-01-01,6,22,6,22,28
ESCOMA,atencion odontologica,cirugia bucal menor,2010-01-01,47,39,47,39,86
EUCALIPTUS,atencion odontologica,cirugia bucal menor,2010-01-01,15,40,15,40,55
FILADELFIA,atencion odontologica,cirugia bucal menor,2010-01-01,12,17,12,17,29
GENERAL SAAVEDRA,atencion odontologica,cirugia bucal menor,2010-01-01,9,26,9,26,35
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,cirugia bucal menor,2010-01-01,12,30,12,30,42
GUAQUI,atencion odontologica,cirugia bucal menor,2010-01-01,31,53,31,53,84
GUAYARAMERIN,atencion odontologica,cirugia bucal menor,2010-01-01,7,9,7,9,16
GUTIERREZ,atencion odontologica,cirugia bucal menor,2010-01-01,13,27,13,27,40
HUACARETA,atencion odontologica,cirugia bucal menor,2010-01-01,12,43,12,43,55
HUACHACALLA,atencion odontologica,cirugia bucal menor,2010-01-01,13,24,13,24,37
HUANUNI,atencion odontologica,cirugia bucal menor,2010-01-01,16,16,16,16,32
HUARACAJE,atencion odontologica,cirugia bucal menor,2010-01-01,6,8,6,8,14
HUAYLLAMARCA,atencion odontologica,cirugia bucal menor,2010-01-01,11,6,11,6,17
ICHOCA,atencion odontologica,cirugia bucal menor,2010-01-01,3,1,3,1,4
ICLA,atencion odontologica,cirugia bucal menor,2010-01-01,11,8,11,8,19
INCAHUASI,atencion odontologica,cirugia bucal menor,2010-01-01,4,14,4,14,18
INQUISIVI,atencion odontologica,cirugia bucal menor,2010-01-01,18,24,18,24,42
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucal menor,2010-01-01,24,56,24,56,80
IXIAMAS,atencion odontologica,cirugia bucal menor,2010-01-01,37,44,37,44,81
JESUS DE MACHACA,atencion odontologica,cirugia bucal menor,2010-01-01,25,49,25,49,74
LA ASUNTA,atencion odontologica,cirugia bucal menor,2010-01-01,15,30,15,30,45
LA GUARDIA,atencion odontologica,cirugia bucal menor,2010-01-01,19,40,19,40,59
LA PAZ,atencion odontologica,cirugia bucal menor,2010-01-01,359,708,359,708,1067
LA RIVERA,atencion odontologica,cirugia bucal menor,2010-01-01,4,4,4,4,8
LAGUNILLAS,atencion odontologica,cirugia bucal menor,2010-01-01,12,6,12,6,18
LAJA,atencion odontologica,cirugia bucal menor,2010-01-01,27,90,27,90,117
LAS CARRERAS,atencion odontologica,cirugia bucal menor,2010-01-01,5,7,5,7,12
LLALLAGUA,atencion odontologica,cirugia bucal menor,2010-01-01,24,36,24,36,60
LLICA,atencion odontologica,cirugia bucal menor,2010-01-01,11,6,11,6,17
LURIBAY,atencion odontologica,cirugia bucal menor,2010-01-01,7,8,7,8,15
MACHACAMARCA,atencion odontologica,cirugia bucal menor,2010-01-01,8,41,8,41,49
MAGDALENA,atencion odontologica,cirugia bucal menor,2010-01-01,7,14,7,14,21
MALLA,atencion odontologica,cirugia bucal menor,2010-01-01,1,2,1,2,3
MAPIRI,atencion odontologica,cirugia bucal menor,2010-01-01,17,30,17,30,47
MECAPACA,atencion odontologica,cirugia bucal menor,2010-01-01,14,8,14,8,22
MIZQUE,atencion odontologica,cirugia bucal menor,2010-01-01,9,10,9,10,19
MOCOMOCO,atencion odontologica,cirugia bucal menor,2010-01-01,16,27,16,27,43
MOJOCOYA,atencion odontologica,cirugia bucal menor,2010-01-01,0,4,0,4,4
MONTEAGUDO,atencion odontologica,cirugia bucal menor,2010-01-01,20,47,20,47,67
MONTERO,atencion odontologica,cirugia bucal menor,2010-01-01,56,89,56,89,145
MORO MORO,atencion odontologica,cirugia bucal menor,2010-01-01,4,9,4,9,13
OCURI,atencion odontologica,cirugia bucal menor,2010-01-01,25,31,25,31,56
OKINAWA,atencion odontologica,cirugia bucal menor,2010-01-01,9,26,9,26,35
ORURO,atencion odontologica,cirugia bucal menor,2010-01-01,271,292,271,292,563
PADCAYA,atencion odontologica,cirugia bucal menor,2010-01-01,26,61,26,61,87
PADILLA,atencion odontologica,cirugia bucal menor,2010-01-01,4,10,4,10,14
PALCA,atencion odontologica,cirugia bucal menor,2010-01-01,15,26,15,26,41
PALOS BLANCOS,atencion odontologica,cirugia bucal menor,2010-01-01,28,19,28,19,47
PAMPA AULLAGAS,atencion odontologica,cirugia bucal menor,2010-01-01,7,14,7,14,21
PAMPA GRANDE,atencion odontologica,cirugia bucal menor,2010-01-01,7,18,7,18,25
PAPEL PAMPA,atencion odontologica,cirugia bucal menor,2010-01-01,9,25,9,25,34
PATACAMAYA,atencion odontologica,cirugia bucal menor,2010-01-01,17,27,17,27,44
PAZÑA,atencion odontologica,cirugia bucal menor,2010-01-01,7,14,7,14,21
PELECHUCO,atencion odontologica,cirugia bucal menor,2010-01-01,1,1,1,1,2
POCOATA,atencion odontologica,cirugia bucal menor,2010-01-01,13,14,13,14,27
POCONA,atencion odontologica,cirugia bucal menor,2010-01-01,56,0,56,0,56
POJO (CBBA),atencion odontologica,cirugia bucal menor,2010-01-01,110,0,110,0,110
POOPO,atencion odontologica,cirugia bucal menor,2010-01-01,0,29,0,29,29
PORCO,atencion odontologica,cirugia bucal menor,2010-01-01,3,5,3,5,8
POROMA,atencion odontologica,cirugia bucal menor,2010-01-01,4,19,4,19,23
PORONGO,atencion odontologica,cirugia bucal menor,2010-01-01,4,0,4,0,4
PORTACHUELO,atencion odontologica,cirugia bucal menor,2010-01-01,12,15,12,15,27
PORVENIR,atencion odontologica,cirugia bucal menor,2010-01-01,5,14,5,14,19
POSTRER VALLE,atencion odontologica,cirugia bucal menor,2010-01-01,10,8,10,8,18
POTOSI,atencion odontologica,cirugia bucal menor,2010-01-01,1047,97,1047,97,1144
PRESTO,atencion odontologica,cirugia bucal menor,2010-01-01,1,7,1,7,8
PUCARA,atencion odontologica,cirugia bucal menor,2010-01-01,0,2,0,2,2
PUCARANI,atencion odontologica,cirugia bucal menor,2010-01-01,34,56,34,56,90
PUERTO ACOSTA,atencion odontologica,cirugia bucal menor,2010-01-01,15,30,15,30,45
PUERTO CARABUCO,atencion odontologica,cirugia bucal menor,2010-01-01,28,71,28,71,99
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucal menor,2010-01-01,3,4,3,4,7
PUERTO PEREZ,atencion odontologica,cirugia bucal menor,2010-01-01,5,7,5,7,12
PUERTO RICO,atencion odontologica,cirugia bucal menor,2010-01-01,52,22,52,22,74
PUERTO VILLARROEL,atencion odontologica,cirugia bucal menor,2010-01-01,18,61,18,61,79
PUNA,atencion odontologica,cirugia bucal menor,2010-01-01,17,36,17,36,53
PUNATA,atencion odontologica,cirugia bucal menor,2010-01-01,31,54,31,54,85
QUILLACOLLO,atencion odontologica,cirugia bucal menor,2010-01-01,3,5,3,5,8
QUIRUSILLAS,atencion odontologica,cirugia bucal menor,2010-01-01,4,3,4,3,7
RAVELO,atencion odontologica,cirugia bucal menor,2010-01-01,12,27,12,27,39
REYES,atencion odontologica,cirugia bucal menor,2010-01-01,1,0,1,0,1
RIBERALTA,atencion odontologica,cirugia bucal menor,2010-01-01,64,136,64,136,200
RURRENABAQUE,atencion odontologica,cirugia bucal menor,2010-01-01,5,10,5,10,15
SABAYA,atencion odontologica,cirugia bucal menor,2010-01-01,6,9,6,9,15
SACABA,atencion odontologica,cirugia bucal menor,2010-01-01,76,103,76,103,179
SACABAMBA,atencion odontologica,cirugia bucal menor,2010-01-01,2,7,2,7,9
SACACA,atencion odontologica,cirugia bucal menor,2010-01-01,15,17,15,17,32
SAIPINA,atencion odontologica,cirugia bucal menor,2010-01-01,13,10,13,10,23
SALINAS DE GARCI MENDOZA,atencion odontologica,cirugia bucal menor,2010-01-01,23,40,23,40,63
SAMAIPATA,atencion odontologica,cirugia bucal menor,2010-01-01,7,24,7,24,31
SAN AGUSTIN,atencion odontologica,cirugia bucal menor,2010-01-01,5,7,5,7,12
SAN ANDRES DE MACHACA,atencion odontologica,cirugia bucal menor,2010-01-01,18,25,18,25,43
SAN BENITO,atencion odontologica,cirugia bucal menor,2010-01-01,16,29,16,29,45
SAN BORJA,atencion odontologica,cirugia bucal menor,2010-01-01,30,51,30,51,81
SAN BUENA VENTURA,atencion odontologica,cirugia bucal menor,2010-01-01,8,7,8,7,15
SAN CARLOS,atencion odontologica,cirugia bucal menor,2010-01-01,9,6,9,6,15
SAN JAVIER(STC),atencion odontologica,cirugia bucal menor,2010-01-01,3,9,3,9,12
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucal menor,2010-01-01,8,26,8,26,34
SAN LORENZO(PND),atencion odontologica,cirugia bucal menor,2010-01-01,1,9,1,9,10
SAN LORENZO(TJA),atencion odontologica,cirugia bucal menor,2010-01-01,30,61,30,61,91
SAN LUCAS,atencion odontologica,cirugia bucal menor,2010-01-01,23,80,23,80,103
SAN MIGUEL DE VELASCO,atencion odontologica,cirugia bucal menor,2010-01-01,16,35,16,35,51
SAN PEDRO DE BUENA VISTA,atencion odontologica,cirugia bucal menor,2010-01-01,16,28,16,28,44
SAN PEDRO DE TIQUINA,atencion odontologica,cirugia bucal menor,2010-01-01,8,10,8,10,18
SAN RAFAEL,atencion odontologica,cirugia bucal menor,2010-01-01,13,16,13,16,29
SAN RAMON BENI,atencion odontologica,cirugia bucal menor,2010-01-01,36,26,36,26,62
SANTA ANA,atencion odontologica,cirugia bucal menor,2010-01-01,42,71,42,71,113
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucal menor,2010-01-01,232,327,232,327,559
SANTA ROSA,atencion odontologica,cirugia bucal menor,2010-01-01,41,37,41,37,78
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucal menor,2010-01-01,16,26,16,26,42
SANTIAGO DE HUARI,atencion odontologica,cirugia bucal menor,2010-01-01,6,5,6,5,11
SANTIAGO DE MACHACA,atencion odontologica,cirugia bucal menor,2010-01-01,7,12,7,12,19
SANTIVAÑES,atencion odontologica,cirugia bucal menor,2010-01-01,7,10,7,10,17
SANTUARIO DE QUILLACAS,atencion odontologica,cirugia bucal menor,2010-01-01,4,11,4,11,15
SAPAHAQUI,atencion odontologica,cirugia bucal menor,2010-01-01,9,23,9,23,32
SENA,atencion odontologica,cirugia bucal menor,2010-01-01,11,18,11,18,29
SHINAOTA,atencion odontologica,cirugia bucal menor,2010-01-01,13,20,13,20,33
SICA SICA (VILLA AROMA),atencion odontologica,cirugia bucal menor,2010-01-01,19,23,19,23,42
SIPE SIPE,atencion odontologica,cirugia bucal menor,2010-01-01,7,6,7,6,13
SOPACHUY,atencion odontologica,cirugia bucal menor,2010-01-01,15,29,15,29,44
SORACACHI,atencion odontologica,cirugia bucal menor,2010-01-01,7,17,7,17,24
SORATA,atencion odontologica,cirugia bucal menor,2010-01-01,28,34,28,34,62
SUCRE,atencion odontologica,cirugia bucal menor,2010-01-01,246,319,246,319,565
TACACOMA,atencion odontologica,cirugia bucal menor,2010-01-01,36,70,36,70,106
TAHUA,atencion odontologica,cirugia bucal menor,2010-01-01,2,9,2,9,11
TAPACARI,atencion odontologica,cirugia bucal menor,2010-01-01,4,13,4,13,17
TARABUCO,atencion odontologica,cirugia bucal menor,2010-01-01,9,17,9,17,26
TARACO,atencion odontologica,cirugia bucal menor,2010-01-01,10,10,10,10,20
TARATA,atencion odontologica,cirugia bucal menor,2010-01-01,7,10,7,10,17
TARIJA,atencion odontologica,cirugia bucal menor,2010-01-01,299,462,299,462,761
TARVITA,atencion odontologica,cirugia bucal menor,2010-01-01,10,2,10,2,12
TEOPONTE,atencion odontologica,cirugia bucal menor,2010-01-01,4,4,4,4,8
TIAWANACU,atencion odontologica,cirugia bucal menor,2010-01-01,60,74,60,74,134
TIPUANI,atencion odontologica,cirugia bucal menor,2010-01-01,1,10,1,10,11
TIQUIPAYA,atencion odontologica,cirugia bucal menor,2010-01-01,42,64,42,64,106
TIRAQUE (CBBA),atencion odontologica,cirugia bucal menor,2010-01-01,18,11,18,11,29
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,cirugia bucal menor,2010-01-01,0,4,0,4,4
TOCO,atencion odontologica,cirugia bucal menor,2010-01-01,11,34,11,34,45
TOLATA,atencion odontologica,cirugia bucal menor,2010-01-01,3,9,3,9,12
TOLEDO,atencion odontologica,cirugia bucal menor,2010-01-01,16,20,16,20,36
TOMAVE,atencion odontologica,cirugia bucal menor,2010-01-01,13,30,13,30,43
TOMINA,atencion odontologica,cirugia bucal menor,2010-01-01,7,28,7,28,35
TORO TORO,atencion odontologica,cirugia bucal menor,2010-01-01,2,15,2,15,17
TOTORA(ORR),atencion odontologica,cirugia bucal menor,2010-01-01,3,3,3,3,6
TRIGAL,atencion odontologica,cirugia bucal menor,2010-01-01,5,2,5,2,7
TRINIDAD,atencion odontologica,cirugia bucal menor,2010-01-01,32,26,32,26,58
TUPIZA,atencion odontologica,cirugia bucal menor,2010-01-01,5,38,5,38,43
TURCO,atencion odontologica,cirugia bucal menor,2010-01-01,13,5,13,5,18
UMALA,atencion odontologica,cirugia bucal menor,2010-01-01,4,17,4,17,21
UNCIA,atencion odontologica,cirugia bucal menor,2010-01-01,17,35,17,35,52
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucal menor,2010-01-01,53,68,53,68,121
UYUNI,atencion odontologica,cirugia bucal menor,2010-01-01,12,33,12,33,45
VALLEGRANDE,atencion odontologica,cirugia bucal menor,2010-01-01,6,23,6,23,29
VIACHA,atencion odontologica,cirugia bucal menor,2010-01-01,31,8,31,8,39
VILLA MONTES,atencion odontologica,cirugia bucal menor,2010-01-01,60,154,60,154,214
VILLA NUEVA (LOMA ALTA),atencion odontologica,cirugia bucal menor,2010-01-01,17,3,17,3,20
VILLA RIVERO,atencion odontologica,cirugia bucal menor,2010-01-01,10,6,10,6,16
VILLA SERRANO,atencion odontologica,cirugia bucal menor,2010-01-01,5,15,5,15,20
VILLA TUNARI,atencion odontologica,cirugia bucal menor,2010-01-01,27,46,27,46,73
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,cirugia bucal menor,2010-01-01,1,9,1,9,10
VITICHI,atencion odontologica,cirugia bucal menor,2010-01-01,5,14,5,14,19
WALDO BALLIVIAN,atencion odontologica,cirugia bucal menor,2010-01-01,6,4,6,4,10
WARNES,atencion odontologica,cirugia bucal menor,2010-01-01,31,44,31,44,75
YACO,atencion odontologica,cirugia bucal menor,2010-01-01,10,19,10,19,29
YACUIBA,atencion odontologica,cirugia bucal menor,2010-01-01,284,361,284,361,645
YANACACHI,atencion odontologica,cirugia bucal menor,2010-01-01,15,25,15,25,40
YAPACANI,atencion odontologica,cirugia bucal menor,2010-01-01,36,64,36,64,100
YOCALLA,atencion odontologica,cirugia bucal menor,2010-01-01,0,1,0,1,1
YUNCHARA,atencion odontologica,cirugia bucal menor,2010-01-01,5,2,5,2,7
ZUDAÑEZ,atencion odontologica,cirugia bucal menor,2010-01-01,5,17,5,17,22
ACACIO,atencion odontologica,cirugia bucal menor,2010-02-01,1,2,1,2,3
ACHACACHI,atencion odontologica,cirugia bucal menor,2010-02-01,73,95,73,95,168
ACHOCALLA,atencion odontologica,cirugia bucal menor,2010-02-01,16,26,16,26,42
AIQUILE,atencion odontologica,cirugia bucal menor,2010-02-01,1,0,1,0,1
ALALAY,atencion odontologica,cirugia bucal menor,2010-02-01,0,3,0,3,3
ALCALA,atencion odontologica,cirugia bucal menor,2010-02-01,21,27,21,27,48
ALTO BENI,atencion odontologica,cirugia bucal menor,2010-02-01,9,8,9,8,17
ANCORAIMES,atencion odontologica,cirugia bucal menor,2010-02-01,27,40,27,40,67
ANDAMARCA,atencion odontologica,cirugia bucal menor,2010-02-01,5,6,5,6,11
ANTEQUERA,atencion odontologica,cirugia bucal menor,2010-02-01,0,1,0,1,1
APOLO,atencion odontologica,cirugia bucal menor,2010-02-01,16,28,16,28,44
ARAMPAMPA,atencion odontologica,cirugia bucal menor,2010-02-01,3,2,3,2,5
ARANI,atencion odontologica,cirugia bucal menor,2010-02-01,19,25,19,25,44
ARBIETO,atencion odontologica,cirugia bucal menor,2010-02-01,0,1,0,1,1
ATOCHA,atencion odontologica,cirugia bucal menor,2010-02-01,37,45,37,45,82
AYATA,atencion odontologica,cirugia bucal menor,2010-02-01,27,37,27,37,64
AYO AYO,atencion odontologica,cirugia bucal menor,2010-02-01,18,28,18,28,46
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucal menor,2010-02-01,12,22,12,22,34
AZURDUY,atencion odontologica,cirugia bucal menor,2010-02-01,11,6,11,6,17
BATALLAS,atencion odontologica,cirugia bucal menor,2010-02-01,23,37,23,37,60
BELEN DE URMIRI,atencion odontologica,cirugia bucal menor,2010-02-01,13,8,13,8,21
BELLA FLOR,atencion odontologica,cirugia bucal menor,2010-02-01,1,13,1,13,14
BERMEJO,atencion odontologica,cirugia bucal menor,2010-02-01,50,112,50,112,162
BETANZOS,atencion odontologica,cirugia bucal menor,2010-02-01,19,35,19,35,54
BOLIVAR,atencion odontologica,cirugia bucal menor,2010-02-01,11,10,11,10,21
BOLPEBRA,atencion odontologica,cirugia bucal menor,2010-02-01,12,19,12,19,31
BOYUIBE,atencion odontologica,cirugia bucal menor,2010-02-01,5,20,5,20,25
BUENA VISTA,atencion odontologica,cirugia bucal menor,2010-02-01,14,5,14,5,19
CABEZAS,atencion odontologica,cirugia bucal menor,2010-02-01,19,46,19,46,65
CAIROMA,atencion odontologica,cirugia bucal menor,2010-02-01,20,28,20,28,48
"CAIZA ""D""",atencion odontologica,cirugia bucal menor,2010-02-01,23,0,23,0,23
CAJUATA,atencion odontologica,cirugia bucal menor,2010-02-01,14,30,14,30,44
CALACOTO,atencion odontologica,cirugia bucal menor,2010-02-01,14,7,14,7,21
CALAMARCA,atencion odontologica,cirugia bucal menor,2010-02-01,14,19,14,19,33
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,cirugia bucal menor,2010-02-01,6,10,6,10,16
CAMIRI,atencion odontologica,cirugia bucal menor,2010-02-01,46,130,46,130,176
CAPINOTA,atencion odontologica,cirugia bucal menor,2010-02-01,1,0,1,0,1
CAQUIAVIRI,atencion odontologica,cirugia bucal menor,2010-02-01,17,27,17,27,44
CARACOLLO,atencion odontologica,cirugia bucal menor,2010-02-01,42,71,42,71,113
CARANAVI,atencion odontologica,cirugia bucal menor,2010-02-01,48,76,48,76,124
CARAPARI,atencion odontologica,cirugia bucal menor,2010-02-01,52,85,52,85,137
CARIPUYO,atencion odontologica,cirugia bucal menor,2010-02-01,5,9,5,9,14
CATACORA,atencion odontologica,cirugia bucal menor,2010-02-01,6,9,6,9,15
CHALLAPATA,atencion odontologica,cirugia bucal menor,2010-02-01,50,83,50,83,133
CHARAGUA,atencion odontologica,cirugia bucal menor,2010-02-01,27,50,27,50,77
CHAYANTA,atencion odontologica,cirugia bucal menor,2010-02-01,15,20,15,20,35
CHIMORE,atencion odontologica,cirugia bucal menor,2010-02-01,17,21,17,21,38
CHIPAYA,atencion odontologica,cirugia bucal menor,2010-02-01,0,1,0,1,1
CHOQUE COTA,atencion odontologica,cirugia bucal menor,2010-02-01,2,18,2,18,20
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucal menor,2010-02-01,10,7,10,7,17
CHUMA,atencion odontologica,cirugia bucal menor,2010-02-01,78,98,78,98,176
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucal menor,2010-02-01,3,12,3,12,15
CKOCHAS,atencion odontologica,cirugia bucal menor,2010-02-01,26,7,26,7,33
CLIZA,atencion odontologica,cirugia bucal menor,2010-02-01,12,19,12,19,31
COBIJA,atencion odontologica,cirugia bucal menor,2010-02-01,33,52,33,52,85
COCAPATA,atencion odontologica,cirugia bucal menor,2010-02-01,5,4,5,4,9
COCHABAMBA,atencion odontologica,cirugia bucal menor,2010-02-01,243,243,243,243,486
COIPASA,atencion odontologica,cirugia bucal menor,2010-02-01,1,2,1,2,3
COLCAPIRHUA,atencion odontologica,cirugia bucal menor,2010-02-01,22,35,22,35,57
"COLCHA ""K""",atencion odontologica,cirugia bucal menor,2010-02-01,5,16,5,16,21
COLLANA,atencion odontologica,cirugia bucal menor,2010-02-01,5,0,5,0,5
COLOMI,atencion odontologica,cirugia bucal menor,2010-02-01,32,72,32,72,104
COLPA BELGICA,atencion odontologica,cirugia bucal menor,2010-02-01,8,19,8,19,27
COLQUENCHA,atencion odontologica,cirugia bucal menor,2010-02-01,4,6,4,6,10
COLQUIRI,atencion odontologica,cirugia bucal menor,2010-02-01,47,41,47,41,88
