,group,variable,month,PERIODONCIAS CANTIDAD,PERIODONCIAS CANTIDAD,TOTALES,TOTALES,TOTALES
COTAGAITA,atencion odontologica,periodoncias,2010-01-01,2,1,2,1,3
COTOCA,atencion odontologica,periodoncias,2010-01-01,0,37,0,37,37
CUATRO CAÑADAS,atencion odontologica,periodoncias,2010-01-01,36,0,36,0,36
CULPINA,atencion odontologica,periodoncias,2010-01-01,0,3,0,3,3
CURAHUARA DE CARANGAS,atencion odontologica,periodoncias,2010-01-01,1,0,1,0,1
EL ALTO,atencion odontologica,periodoncias,2010-01-01,198,283,198,283,481
EL PUENTE(STC),atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
EL PUENTE(TJA),atencion odontologica,periodoncias,2010-01-01,1,2,1,2,3
EL TORNO,atencion odontologica,periodoncias,2010-01-01,4,23,4,23,27
EL VILLAR,atencion odontologica,periodoncias,2010-01-01,0,11,0,11,11
ENTRE RIOS TRJ,atencion odontologica,periodoncias,2010-01-01,1,3,1,3,4
ENTRE RIOS CBBA,atencion odontologica,periodoncias,2010-01-01,2,0,2,0,2
EUCALIPTUS,atencion odontologica,periodoncias,2010-01-01,2,3,2,3,5
FERNANDEZ ALONSO,atencion odontologica,periodoncias,2010-01-01,2,3,2,3,5
FILADELFIA,atencion odontologica,periodoncias,2010-01-01,6,11,6,11,17
GENERAL SAAVEDRA,atencion odontologica,periodoncias,2010-01-01,3,2,3,2,5
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,periodoncias,2010-01-01,0,4,0,4,4
GUANAY,atencion odontologica,periodoncias,2010-01-01,12,41,12,41,53
GUAYARAMERIN,atencion odontologica,periodoncias,2010-01-01,4,7,4,7,11
GUTIERREZ,atencion odontologica,periodoncias,2010-01-01,0,6,0,6,6
HUACHACALLA,atencion odontologica,periodoncias,2010-01-01,0,2,0,2,2
HUANUNI,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
HUARACAJE,atencion odontologica,periodoncias,2010-01-01,4,6,4,6,10
HUARINA,atencion odontologica,periodoncias,2010-01-01,2,0,2,0,2
HUAYLLAMARCA,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
ICLA,atencion odontologica,periodoncias,2010-01-01,0,2,0,2,2
INQUISIVI,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
LA GUARDIA,atencion odontologica,periodoncias,2010-01-01,19,26,19,26,45
LA PAZ,atencion odontologica,periodoncias,2010-01-01,494,436,494,436,930
LA RIVERA,atencion odontologica,periodoncias,2010-01-01,1,0,1,0,1
LAGUNILLAS,atencion odontologica,periodoncias,2010-01-01,6,0,6,0,6
LAJA,atencion odontologica,periodoncias,2010-01-01,0,15,0,15,15
LLALLAGUA,atencion odontologica,periodoncias,2010-01-01,3,3,3,3,6
LURIBAY,atencion odontologica,periodoncias,2010-01-01,3,2,3,2,5
MACHACAMARCA,atencion odontologica,periodoncias,2010-01-01,1,1,1,1,2
MAGDALENA,atencion odontologica,periodoncias,2010-01-01,4,8,4,8,12
MAPIRI,atencion odontologica,periodoncias,2010-01-01,13,27,13,27,40
MINEROS,atencion odontologica,periodoncias,2010-01-01,0,7,0,7,7
MIZQUE,atencion odontologica,periodoncias,2010-01-01,2,5,2,5,7
MOCOMOCO,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
MOJOCOYA,atencion odontologica,periodoncias,2010-01-01,2,2,2,2,4
MONTEAGUDO,atencion odontologica,periodoncias,2010-01-01,2,5,2,5,7
MONTERO,atencion odontologica,periodoncias,2010-01-01,14,174,14,174,188
MOROCHATA,atencion odontologica,periodoncias,2010-01-01,0,7,0,7,7
OKINAWA,atencion odontologica,periodoncias,2010-01-01,0,2,0,2,2
OMEREQUE,atencion odontologica,periodoncias,2010-01-01,8,2,8,2,10
ORURO,atencion odontologica,periodoncias,2010-01-01,109,74,109,74,183
PADCAYA,atencion odontologica,periodoncias,2010-01-01,3,4,3,4,7
PADILLA,atencion odontologica,periodoncias,2010-01-01,1,5,1,5,6
PAILON,atencion odontologica,periodoncias,2010-01-01,6,7,6,7,13
PALCA,atencion odontologica,periodoncias,2010-01-01,2,0,2,0,2
PAMPA AULLAGAS,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
PAMPA GRANDE,atencion odontologica,periodoncias,2010-01-01,2,1,2,1,3
PASORAPA,atencion odontologica,periodoncias,2010-01-01,1,0,1,0,1
PATACAMAYA,atencion odontologica,periodoncias,2010-01-01,0,2,0,2,2
POCONA,atencion odontologica,periodoncias,2010-01-01,18,0,18,0,18
POJO (CBBA),atencion odontologica,periodoncias,2010-01-01,7,0,7,0,7
POOPO,atencion odontologica,periodoncias,2010-01-01,0,6,0,6,6
POROMA,atencion odontologica,periodoncias,2010-01-01,1,4,1,4,5
PORTACHUELO,atencion odontologica,periodoncias,2010-01-01,8,19,8,19,27
PORVENIR,atencion odontologica,periodoncias,2010-01-01,4,6,4,6,10
POTOSI,atencion odontologica,periodoncias,2010-01-01,195,15,195,15,210
PUCARANI,atencion odontologica,periodoncias,2010-01-01,1,0,1,0,1
PUERTO ACOSTA,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
PUERTO CARABUCO,atencion odontologica,periodoncias,2010-01-01,1,6,1,6,7
PUERTO GONZALO MORENO,atencion odontologica,periodoncias,2010-01-01,1,2,1,2,3
PUERTO SUAREZ,atencion odontologica,periodoncias,2010-01-01,11,10,11,10,21
PUERTO VILLARROEL,atencion odontologica,periodoncias,2010-01-01,9,22,9,22,31
PUNA,atencion odontologica,periodoncias,2010-01-01,2,0,2,0,2
PUNATA,atencion odontologica,periodoncias,2010-01-01,72,92,72,92,164
QUILLACOLLO,atencion odontologica,periodoncias,2010-01-01,6,25,6,25,31
QUIRUSILLAS,atencion odontologica,periodoncias,2010-01-01,1,1,1,1,2
REYES,atencion odontologica,periodoncias,2010-01-01,3,4,3,4,7
RIBERALTA,atencion odontologica,periodoncias,2010-01-01,21,64,21,64,85
ROBORE,atencion odontologica,periodoncias,2010-01-01,11,10,11,10,21
SABAYA,atencion odontologica,periodoncias,2010-01-01,3,4,3,4,7
SACABA,atencion odontologica,periodoncias,2010-01-01,77,97,77,97,174
SACABAMBA,atencion odontologica,periodoncias,2010-01-01,3,6,3,6,9
SAIPINA,atencion odontologica,periodoncias,2010-01-01,0,2,0,2,2
SALINAS DE GARCI MENDOZA,atencion odontologica,periodoncias,2010-01-01,1,3,1,3,4
SAMAIPATA,atencion odontologica,periodoncias,2010-01-01,1,6,1,6,7
SAN ANDRES,atencion odontologica,periodoncias,2010-01-01,13,13,13,13,26
SAN ANTONIO DE LOMERIO,atencion odontologica,periodoncias,2010-01-01,3,0,3,0,3
SAN BENITO,atencion odontologica,periodoncias,2010-01-01,1,4,1,4,5
SAN BORJA,atencion odontologica,periodoncias,2010-01-01,10,17,10,17,27
SAN BUENA VENTURA,atencion odontologica,periodoncias,2010-01-01,2,0,2,0,2
SAN CARLOS,atencion odontologica,periodoncias,2010-01-01,1,23,1,23,24
SAN IGNACIO,atencion odontologica,periodoncias,2010-01-01,2,2,2,2,4
SAN IGNACIO DE VELASCO,atencion odontologica,periodoncias,2010-01-01,0,2,0,2,2
SAN JAVIER(BNI),atencion odontologica,periodoncias,2010-01-01,2,1,2,1,3
SAN JAVIER(STC),atencion odontologica,periodoncias,2010-01-01,3,6,3,6,9
SAN JOSE DE CHIQUITOS,atencion odontologica,periodoncias,2010-01-01,0,2,0,2,2
SAN LORENZO(PND),atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
SAN LORENZO(TJA),atencion odontologica,periodoncias,2010-01-01,13,35,13,35,48
SAN LUCAS,atencion odontologica,periodoncias,2010-01-01,1,6,1,6,7
SAN MATIAS,atencion odontologica,periodoncias,2010-01-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,atencion odontologica,periodoncias,2010-01-01,2,11,2,11,13
SAN PEDRO DE TIQUINA,atencion odontologica,periodoncias,2010-01-01,0,4,0,4,4
SAN RAFAEL,atencion odontologica,periodoncias,2010-01-01,16,29,16,29,45
SAN RAMON SCZ,atencion odontologica,periodoncias,2010-01-01,2,2,2,2,4
SANTA ANA,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,periodoncias,2010-01-01,395,545,395,545,940
SANTA ROSA,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
SANTA ROSA DEL SARA,atencion odontologica,periodoncias,2010-01-01,1,0,1,0,1
SANTIAGO DE CALLAPA,atencion odontologica,periodoncias,2010-01-01,1,2,1,2,3
SANTIAGO DE HUARI,atencion odontologica,periodoncias,2010-01-01,1,0,1,0,1
SANTIAGO DE HUATA,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
SANTIVAÑES,atencion odontologica,periodoncias,2010-01-01,0,3,0,3,3
SANTUARIO DE QUILLACAS,atencion odontologica,periodoncias,2010-01-01,1,2,1,2,3
SAPAHAQUI,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
SENA,atencion odontologica,periodoncias,2010-01-01,0,11,0,11,11
SHINAOTA,atencion odontologica,periodoncias,2010-01-01,24,15,24,15,39
SICA SICA (VILLA AROMA),atencion odontologica,periodoncias,2010-01-01,19,23,19,23,42
SIPE SIPE,atencion odontologica,periodoncias,2010-01-01,5,23,5,23,28
SOPACHUY,atencion odontologica,periodoncias,2010-01-01,2,1,2,1,3
SORACACHI,atencion odontologica,periodoncias,2010-01-01,0,2,0,2,2
SORATA,atencion odontologica,periodoncias,2010-01-01,9,12,9,12,21
SUCRE,atencion odontologica,periodoncias,2010-01-01,136,155,136,155,291
TACACOMA,atencion odontologica,periodoncias,2010-01-01,3,5,3,5,8
TAPACARI,atencion odontologica,periodoncias,2010-01-01,63,30,63,30,93
TARABUCO,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
TARACO,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
TARIJA,atencion odontologica,periodoncias,2010-01-01,108,159,108,159,267
TARVITA,atencion odontologica,periodoncias,2010-01-01,0,13,0,13,13
TIAWANACU,atencion odontologica,periodoncias,2010-01-01,1,5,1,5,6
TIPUANI,atencion odontologica,periodoncias,2010-01-01,0,17,0,17,17
TIQUIPAYA,atencion odontologica,periodoncias,2010-01-01,10,124,10,124,134
TIRAQUE (CBBA),atencion odontologica,periodoncias,2010-01-01,4,21,4,21,25
TOCO,atencion odontologica,periodoncias,2010-01-01,1,5,1,5,6
TOLATA,atencion odontologica,periodoncias,2010-01-01,13,61,13,61,74
TOLEDO,atencion odontologica,periodoncias,2010-01-01,3,0,3,0,3
TOMINA,atencion odontologica,periodoncias,2010-01-01,2,12,2,12,14
TORO TORO,atencion odontologica,periodoncias,2010-01-01,0,2,0,2,2
TOTORA(CBBA),atencion odontologica,periodoncias,2010-01-01,15,0,15,0,15
TRINIDAD,atencion odontologica,periodoncias,2010-01-01,37,0,37,0,37
TUPIZA,atencion odontologica,periodoncias,2010-01-01,65,75,65,75,140
TURCO,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
UMALA,atencion odontologica,periodoncias,2010-01-01,1,1,1,1,2
URIONDO (A. CONCEPCION),atencion odontologica,periodoncias,2010-01-01,1,4,1,4,5
VACAS,atencion odontologica,periodoncias,2010-01-01,2,4,2,4,6
VALLEGRANDE,atencion odontologica,periodoncias,2010-01-01,2,0,2,0,2
VIACHA,atencion odontologica,periodoncias,2010-01-01,0,9,0,9,9
VILLA CHARCAS,atencion odontologica,periodoncias,2010-01-01,0,3,0,3,3
VILLA MONTES,atencion odontologica,periodoncias,2010-01-01,18,22,18,22,40
VILLA RIVERO,atencion odontologica,periodoncias,2010-01-01,6,6,6,6,12
VILLA TUNARI,atencion odontologica,periodoncias,2010-01-01,72,113,72,113,185
VILLAZON,atencion odontologica,periodoncias,2010-01-01,3,3,3,3,6
VINTO,atencion odontologica,periodoncias,2010-01-01,9,9,9,9,18
WALDO BALLIVIAN,atencion odontologica,periodoncias,2010-01-01,2,2,2,2,4
WARNES,atencion odontologica,periodoncias,2010-01-01,22,32,22,32,54
YACUIBA,atencion odontologica,periodoncias,2010-01-01,25,42,25,42,67
YAMPARAEZ,atencion odontologica,periodoncias,2010-01-01,2,0,2,0,2
YANACACHI,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
YAPACANI,atencion odontologica,periodoncias,2010-01-01,4,10,4,10,14
YOTALA,atencion odontologica,periodoncias,2010-01-01,0,1,0,1,1
ACACIO,atencion odontologica,periodoncias,2010-02-01,0,5,0,5,5
ACHOCALLA,atencion odontologica,periodoncias,2010-02-01,0,2,0,2,2
AIQUILE,atencion odontologica,periodoncias,2010-02-01,6,10,6,10,16
ALALAY,atencion odontologica,periodoncias,2010-02-01,8,1,8,1,9
ALCALA,atencion odontologica,periodoncias,2010-02-01,1,6,1,6,7
ALTO BENI,atencion odontologica,periodoncias,2010-02-01,1,2,1,2,3
ANCORAIMES,atencion odontologica,periodoncias,2010-02-01,1,10,1,10,11
ANDAMARCA,atencion odontologica,periodoncias,2010-02-01,1,1,1,1,2
ANTEQUERA,atencion odontologica,periodoncias,2010-02-01,12,19,12,19,31
APOLO,atencion odontologica,periodoncias,2010-02-01,1,2,1,2,3
ARAMPAMPA,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
ARANI,atencion odontologica,periodoncias,2010-02-01,9,9,9,9,18
ARBIETO,atencion odontologica,periodoncias,2010-02-01,24,24,24,24,48
ASCENCION DE GUARAYOS,atencion odontologica,periodoncias,2010-02-01,10,20,10,20,30
ATOCHA,atencion odontologica,periodoncias,2010-02-01,7,3,7,3,10
AYO AYO,atencion odontologica,periodoncias,2010-02-01,2,1,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,periodoncias,2010-02-01,6,5,6,5,11
AZURDUY,atencion odontologica,periodoncias,2010-02-01,0,3,0,3,3
BERMEJO,atencion odontologica,periodoncias,2010-02-01,20,37,20,37,57
BETANZOS,atencion odontologica,periodoncias,2010-02-01,3,5,3,5,8
BOLIVAR,atencion odontologica,periodoncias,2010-02-01,0,7,0,7,7
CABEZAS,atencion odontologica,periodoncias,2010-02-01,14,29,14,29,43
CAIROMA,atencion odontologica,periodoncias,2010-02-01,9,4,9,4,13
"CAIZA ""D""",atencion odontologica,periodoncias,2010-02-01,2,0,2,0,2
CAJUATA,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
CAMARGO,atencion odontologica,periodoncias,2010-02-01,2,3,2,3,5
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
CAMIRI,atencion odontologica,periodoncias,2010-02-01,56,74,56,74,130
CAPINOTA,atencion odontologica,periodoncias,2010-02-01,0,2,0,2,2
CAQUIAVIRI,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
CARACOLLO,atencion odontologica,periodoncias,2010-02-01,2,12,2,12,14
CARANAVI,atencion odontologica,periodoncias,2010-02-01,10,23,10,23,33
CARAPARI,atencion odontologica,periodoncias,2010-02-01,6,10,6,10,16
CARMEN RIVERO TORREZ,atencion odontologica,periodoncias,2010-02-01,6,10,6,10,16
CATACORA,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
CHALLAPATA,atencion odontologica,periodoncias,2010-02-01,3,3,3,3,6
CHARAGUA,atencion odontologica,periodoncias,2010-02-01,1,7,1,7,8
CHIMORE,atencion odontologica,periodoncias,2010-02-01,2,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,periodoncias,2010-02-01,0,8,0,8,8
CHUMA,atencion odontologica,periodoncias,2010-02-01,5,6,5,6,11
CLIZA,atencion odontologica,periodoncias,2010-02-01,4,21,4,21,25
COBIJA,atencion odontologica,periodoncias,2010-02-01,3,42,3,42,45
COCHABAMBA,atencion odontologica,periodoncias,2010-02-01,311,394,311,394,705
COIPASA,atencion odontologica,periodoncias,2010-02-01,0,2,0,2,2
COLCAPIRHUA,atencion odontologica,periodoncias,2010-02-01,53,60,53,60,113
COLOMI,atencion odontologica,periodoncias,2010-02-01,0,3,0,3,3
COLPA BELGICA,atencion odontologica,periodoncias,2010-02-01,0,6,0,6,6
COLQUENCHA,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
COLQUIRI,atencion odontologica,periodoncias,2010-02-01,4,10,4,10,14
COMARAPA,atencion odontologica,periodoncias,2010-02-01,1,0,1,0,1
CORIPATA,atencion odontologica,periodoncias,2010-02-01,3,1,3,1,4
COROICO,atencion odontologica,periodoncias,2010-02-01,3,1,3,1,4
CORQUE,atencion odontologica,periodoncias,2010-02-01,1,0,1,0,1
COTAGAITA,atencion odontologica,periodoncias,2010-02-01,5,2,5,2,7
COTOCA,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
CUATRO CAÑADAS,atencion odontologica,periodoncias,2010-02-01,2,0,2,0,2
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,periodoncias,2010-02-01,4,4,4,4,8
CULPINA,atencion odontologica,periodoncias,2010-02-01,3,16,3,16,19
CURAHUARA DE CARANGAS,atencion odontologica,periodoncias,2010-02-01,1,0,1,0,1
EL ALTO,atencion odontologica,periodoncias,2010-02-01,135,205,135,205,340
EL PUENTE(TJA),atencion odontologica,periodoncias,2010-02-01,31,14,31,14,45
EL TORNO,atencion odontologica,periodoncias,2010-02-01,3,9,3,9,12
EL VILLAR,atencion odontologica,periodoncias,2010-02-01,0,4,0,4,4
ENTRE RIOS TRJ,atencion odontologica,periodoncias,2010-02-01,7,6,7,6,13
ENTRE RIOS CBBA,atencion odontologica,periodoncias,2010-02-01,1,0,1,0,1
EUCALIPTUS,atencion odontologica,periodoncias,2010-02-01,1,3,1,3,4
EXALTACION,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
FERNANDEZ ALONSO,atencion odontologica,periodoncias,2010-02-01,3,7,3,7,10
GENERAL SAAVEDRA,atencion odontologica,periodoncias,2010-02-01,1,1,1,1,2
GUANAY,atencion odontologica,periodoncias,2010-02-01,4,14,4,14,18
GUAYARAMERIN,atencion odontologica,periodoncias,2010-02-01,10,11,10,11,21
GUTIERREZ,atencion odontologica,periodoncias,2010-02-01,17,8,17,8,25
HUACHACALLA,atencion odontologica,periodoncias,2010-02-01,1,0,1,0,1
HUARACAJE,atencion odontologica,periodoncias,2010-02-01,7,10,7,10,17
HUAYLLAMARCA,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
HUMANATA,atencion odontologica,periodoncias,2010-02-01,1,1,1,1,2
ICLA,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),atencion odontologica,periodoncias,2010-02-01,0,5,0,5,5
JESUS DE MACHACA,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
LA GUARDIA,atencion odontologica,periodoncias,2010-02-01,1,15,1,15,16
LA PAZ,atencion odontologica,periodoncias,2010-02-01,275,631,275,631,906
LAGUNILLAS,atencion odontologica,periodoncias,2010-02-01,9,9,9,9,18
LLALLAGUA,atencion odontologica,periodoncias,2010-02-01,1,1,1,1,2
LURIBAY,atencion odontologica,periodoncias,2010-02-01,0,2,0,2,2
MACHACAMARCA,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
MACHARETI,atencion odontologica,periodoncias,2010-02-01,1,1,1,1,2
MAGDALENA,atencion odontologica,periodoncias,2010-02-01,9,5,9,5,14
MAIRANA,atencion odontologica,periodoncias,2010-02-01,4,15,4,15,19
MAPIRI,atencion odontologica,periodoncias,2010-02-01,1,2,1,2,3
MECAPACA,atencion odontologica,periodoncias,2010-02-01,1,0,1,0,1
MIZQUE,atencion odontologica,periodoncias,2010-02-01,20,45,20,45,65
MOCOMOCO,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
MOJOCOYA,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
MONTEAGUDO,atencion odontologica,periodoncias,2010-02-01,5,10,5,10,15
MONTERO,atencion odontologica,periodoncias,2010-02-01,57,45,57,45,102
MOROCHATA,atencion odontologica,periodoncias,2010-02-01,2,13,2,13,15
OKINAWA,atencion odontologica,periodoncias,2010-02-01,2,1,2,1,3
OMEREQUE,atencion odontologica,periodoncias,2010-02-01,8,15,8,15,23
ORURO,atencion odontologica,periodoncias,2010-02-01,124,185,124,185,309
PADCAYA,atencion odontologica,periodoncias,2010-02-01,21,16,21,16,37
PADILLA,atencion odontologica,periodoncias,2010-02-01,1,2,1,2,3
PAILON,atencion odontologica,periodoncias,2010-02-01,4,3,4,3,7
PALCA,atencion odontologica,periodoncias,2010-02-01,1,0,1,0,1
PALOS BLANCOS,atencion odontologica,periodoncias,2010-02-01,1,14,1,14,15
PAMPA GRANDE,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
PATACAMAYA,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
PAZÑA,atencion odontologica,periodoncias,2010-02-01,1,0,1,0,1
POCOATA,atencion odontologica,periodoncias,2010-02-01,0,6,0,6,6
POCONA,atencion odontologica,periodoncias,2010-02-01,1,3,1,3,4
POJO (CBBA),atencion odontologica,periodoncias,2010-02-01,10,0,10,0,10
PORONGO,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
PORTACHUELO,atencion odontologica,periodoncias,2010-02-01,3,5,3,5,8
PORVENIR,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
POSTRER VALLE,atencion odontologica,periodoncias,2010-02-01,0,2,0,2,2
POTOSI,atencion odontologica,periodoncias,2010-02-01,26,17,26,17,43
PUERTO CARABUCO,atencion odontologica,periodoncias,2010-02-01,22,25,22,25,47
PUERTO GONZALO MORENO,atencion odontologica,periodoncias,2010-02-01,1,0,1,0,1
PUERTO PEREZ,atencion odontologica,periodoncias,2010-02-01,5,6,5,6,11
PUERTO RICO,atencion odontologica,periodoncias,2010-02-01,5,2,5,2,7
PUERTO SUAREZ,atencion odontologica,periodoncias,2010-02-01,3,10,3,10,13
PUERTO VILLARROEL,atencion odontologica,periodoncias,2010-02-01,12,18,12,18,30
PUNA,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
PUNATA,atencion odontologica,periodoncias,2010-02-01,12,38,12,38,50
QUILLACOLLO,atencion odontologica,periodoncias,2010-02-01,23,35,23,35,58
QUIME,atencion odontologica,periodoncias,2010-02-01,28,30,28,30,58
QUIRUSILLAS,atencion odontologica,periodoncias,2010-02-01,0,1,0,1,1
REYES,atencion odontologica,periodoncias,2010-02-01,3,7,3,7,10
RIBERALTA,atencion odontologica,periodoncias,2010-02-01,13,51,13,51,64
ROBORE,atencion odontologica,periodoncias,2010-02-01,4,4,4,4,8
SABAYA,atencion odontologica,periodoncias,2010-02-01,0,2,0,2,2
SACABA,atencion odontologica,periodoncias,2010-02-01,67,95,67,95,162
SACABAMBA,atencion odontologica,periodoncias,2010-02-01,0,2,0,2,2
SALINAS DE GARCI MENDOZA,atencion odontologica,periodoncias,2010-02-01,1,1,1,1,2
SAMAIPATA,atencion odontologica,periodoncias,2010-02-01,0,3,0,3,3
SAN ANDRES,atencion odontologica,periodoncias,2010-02-01,10,15,10,15,25
SAN ANDRES DE MACHACA,atencion odontologica,periodoncias,2010-02-01,0,2,0,2,2
SAN BENITO,atencion odontologica,periodoncias,2010-02-01,1,7,1,7,8
SAN BORJA,atencion odontologica,periodoncias,2010-02-01,15,27,15,27,42
