,group,variable,month,RESTAURACIONES CANTIDAD,RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,restauraciones,2010-01-01,8,22,8,22,30
CKOCHAS,atencion odontologica,restauraciones,2010-01-01,6,8,6,8,14
CLIZA,atencion odontologica,restauraciones,2010-01-01,53,91,53,91,144
COBIJA,atencion odontologica,restauraciones,2010-01-01,50,120,50,120,170
COCAPATA,atencion odontologica,restauraciones,2010-01-01,6,23,6,23,29
COCHABAMBA,atencion odontologica,restauraciones,2010-01-01,3140,2257,3140,2257,5397
COIPASA,atencion odontologica,restauraciones,2010-01-01,0,3,0,3,3
COLCAPIRHUA,atencion odontologica,restauraciones,2010-01-01,182,372,182,372,554
"COLCHA ""K""",atencion odontologica,restauraciones,2010-01-01,3,15,3,15,18
COLLANA,atencion odontologica,restauraciones,2010-01-01,4,0,4,0,4
COLOMI,atencion odontologica,restauraciones,2010-01-01,50,71,50,71,121
COLPA BELGICA,atencion odontologica,restauraciones,2010-01-01,16,35,16,35,51
COLQUECHACA,atencion odontologica,restauraciones,2010-01-01,9,2,9,2,11
COLQUENCHA,atencion odontologica,restauraciones,2010-01-01,0,10,0,10,10
COLQUIRI,atencion odontologica,restauraciones,2010-01-01,8,38,8,38,46
COMANCHE,atencion odontologica,restauraciones,2010-01-01,5,8,5,8,13
COMARAPA,atencion odontologica,restauraciones,2010-01-01,156,241,156,241,397
COMBAYA,atencion odontologica,restauraciones,2010-01-01,11,17,11,17,28
CONCEPCION,atencion odontologica,restauraciones,2010-01-01,7,0,7,0,7
COPACABANA,atencion odontologica,restauraciones,2010-01-01,9,11,9,11,20
CORIPATA,atencion odontologica,restauraciones,2010-01-01,10,11,10,11,21
CORO CORO,atencion odontologica,restauraciones,2010-01-01,4,1,4,1,5
COROICO,atencion odontologica,restauraciones,2010-01-01,73,114,73,114,187
CORQUE,atencion odontologica,restauraciones,2010-01-01,12,19,12,19,31
COTAGAITA,atencion odontologica,restauraciones,2010-01-01,25,57,25,57,82
COTOCA,atencion odontologica,restauraciones,2010-01-01,17,54,17,54,71
CUATRO CAÑADAS,atencion odontologica,restauraciones,2010-01-01,163,0,163,0,163
CUEVO,atencion odontologica,restauraciones,2010-01-01,8,30,8,30,38
CULPINA,atencion odontologica,restauraciones,2010-01-01,8,14,8,14,22
CURAHUARA DE CARANGAS,atencion odontologica,restauraciones,2010-01-01,8,15,8,15,23
CURVA,atencion odontologica,restauraciones,2010-01-01,2,1,2,1,3
DESAGUADERO,atencion odontologica,restauraciones,2010-01-01,12,8,12,8,20
EL ALTO,atencion odontologica,restauraciones,2010-01-01,2275,2854,2275,2854,5129
EL CHORO,atencion odontologica,restauraciones,2010-01-01,8,4,8,4,12
EL PUENTE(STC),atencion odontologica,restauraciones,2010-01-01,2,16,2,16,18
EL PUENTE(TJA),atencion odontologica,restauraciones,2010-01-01,55,158,55,158,213
EL TORNO,atencion odontologica,restauraciones,2010-01-01,41,107,41,107,148
EL VILLAR,atencion odontologica,restauraciones,2010-01-01,11,15,11,15,26
ENTRE RIOS TRJ,atencion odontologica,restauraciones,2010-01-01,29,93,29,93,122
ENTRE RIOS CBBA,atencion odontologica,restauraciones,2010-01-01,37,33,37,33,70
ESCOMA,atencion odontologica,restauraciones,2010-01-01,26,97,26,97,123
EUCALIPTUS,atencion odontologica,restauraciones,2010-01-01,20,50,20,50,70
FERNANDEZ ALONSO,atencion odontologica,restauraciones,2010-01-01,45,37,45,37,82
FILADELFIA,atencion odontologica,restauraciones,2010-01-01,0,6,0,6,6
GENERAL SAAVEDRA,atencion odontologica,restauraciones,2010-01-01,12,19,12,19,31
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,restauraciones,2010-01-01,18,45,18,45,63
GUANAY,atencion odontologica,restauraciones,2010-01-01,43,76,43,76,119
GUAQUI,atencion odontologica,restauraciones,2010-01-01,9,9,9,9,18
GUAYARAMERIN,atencion odontologica,restauraciones,2010-01-01,120,170,120,170,290
GUTIERREZ,atencion odontologica,restauraciones,2010-01-01,4,19,4,19,23
HUACARETA,atencion odontologica,restauraciones,2010-01-01,26,27,26,27,53
HUACHACALLA,atencion odontologica,restauraciones,2010-01-01,7,20,7,20,27
HUANUNI,atencion odontologica,restauraciones,2010-01-01,27,67,27,67,94
HUARACAJE,atencion odontologica,restauraciones,2010-01-01,12,19,12,19,31
HUARINA,atencion odontologica,restauraciones,2010-01-01,2,4,2,4,6
HUAYLLAMARCA,atencion odontologica,restauraciones,2010-01-01,11,25,11,25,36
ICHOCA,atencion odontologica,restauraciones,2010-01-01,0,1,0,1,1
ICLA,atencion odontologica,restauraciones,2010-01-01,9,7,9,7,16
INCAHUASI,atencion odontologica,restauraciones,2010-01-01,4,12,4,12,16
INQUISIVI,atencion odontologica,restauraciones,2010-01-01,5,14,5,14,19
IRUPANA (VILLA DE LANZA),atencion odontologica,restauraciones,2010-01-01,36,80,36,80,116
IXIAMAS,atencion odontologica,restauraciones,2010-01-01,33,19,33,19,52
JESUS DE MACHACA,atencion odontologica,restauraciones,2010-01-01,12,28,12,28,40
LA ASUNTA,atencion odontologica,restauraciones,2010-01-01,8,22,8,22,30
LA GUARDIA,atencion odontologica,restauraciones,2010-01-01,68,134,68,134,202
LA PAZ,atencion odontologica,restauraciones,2010-01-01,5366,4988,5366,4988,10354
LA RIVERA,atencion odontologica,restauraciones,2010-01-01,2,1,2,1,3
LAGUNILLAS,atencion odontologica,restauraciones,2010-01-01,4,0,4,0,4
LAJA,atencion odontologica,restauraciones,2010-01-01,9,25,9,25,34
LAS CARRERAS,atencion odontologica,restauraciones,2010-01-01,12,27,12,27,39
LLALLAGUA,atencion odontologica,restauraciones,2010-01-01,79,155,79,155,234
LLICA,atencion odontologica,restauraciones,2010-01-01,4,11,4,11,15
MACHACAMARCA,atencion odontologica,restauraciones,2010-01-01,22,64,22,64,86
MAGDALENA,atencion odontologica,restauraciones,2010-01-01,55,73,55,73,128
MAIRANA,atencion odontologica,restauraciones,2010-01-01,1,2,1,2,3
MAPIRI,atencion odontologica,restauraciones,2010-01-01,27,38,27,38,65
MECAPACA,atencion odontologica,restauraciones,2010-01-01,3,17,3,17,20
MINEROS,atencion odontologica,restauraciones,2010-01-01,22,60,22,60,82
MIZQUE,atencion odontologica,restauraciones,2010-01-01,4,22,4,22,26
MOCOMOCO,atencion odontologica,restauraciones,2010-01-01,3,12,3,12,15
MOJOCOYA,atencion odontologica,restauraciones,2010-01-01,14,17,14,17,31
MONTEAGUDO,atencion odontologica,restauraciones,2010-01-01,89,206,89,206,295
MONTERO,atencion odontologica,restauraciones,2010-01-01,95,105,95,105,200
MORO MORO,atencion odontologica,restauraciones,2010-01-01,2,3,2,3,5
MOROCHATA,atencion odontologica,restauraciones,2010-01-01,17,49,17,49,66
OCURI,atencion odontologica,restauraciones,2010-01-01,5,19,5,19,24
OKINAWA,atencion odontologica,restauraciones,2010-01-01,12,27,12,27,39
OMEREQUE,atencion odontologica,restauraciones,2010-01-01,22,44,22,44,66
ORURO,atencion odontologica,restauraciones,2010-01-01,765,900,765,900,1665
PADCAYA,atencion odontologica,restauraciones,2010-01-01,64,85,64,85,149
PADILLA,atencion odontologica,restauraciones,2010-01-01,20,56,20,56,76
PAILON,atencion odontologica,restauraciones,2010-01-01,60,55,60,55,115
PALCA,atencion odontologica,restauraciones,2010-01-01,21,19,21,19,40
PALOS BLANCOS,atencion odontologica,restauraciones,2010-01-01,10,36,10,36,46
PAMPA AULLAGAS,atencion odontologica,restauraciones,2010-01-01,4,12,4,12,16
PAMPA GRANDE,atencion odontologica,restauraciones,2010-01-01,5,20,5,20,25
PAPEL PAMPA,atencion odontologica,restauraciones,2010-01-01,22,27,22,27,49
PASORAPA,atencion odontologica,restauraciones,2010-01-01,20,32,20,32,52
PATACAMAYA,atencion odontologica,restauraciones,2010-01-01,12,40,12,40,52
PAZÑA,atencion odontologica,restauraciones,2010-01-01,7,15,7,15,22
PELECHUCO,atencion odontologica,restauraciones,2010-01-01,1,1,1,1,2
POCOATA,atencion odontologica,restauraciones,2010-01-01,28,50,28,50,78
POCONA,atencion odontologica,restauraciones,2010-01-01,64,0,64,0,64
POJO (CBBA),atencion odontologica,restauraciones,2010-01-01,23,0,23,0,23
POOPO,atencion odontologica,restauraciones,2010-01-01,8,19,8,19,27
PORCO,atencion odontologica,restauraciones,2010-01-01,5,14,5,14,19
POROMA,atencion odontologica,restauraciones,2010-01-01,6,11,6,11,17
PORONGO,atencion odontologica,restauraciones,2010-01-01,0,2,0,2,2
PORTACHUELO,atencion odontologica,restauraciones,2010-01-01,125,203,125,203,328
PORVENIR,atencion odontologica,restauraciones,2010-01-01,20,24,20,24,44
POSTRER VALLE,atencion odontologica,restauraciones,2010-01-01,13,14,13,14,27
POTOSI,atencion odontologica,restauraciones,2010-01-01,550,312,550,312,862
PRESTO,atencion odontologica,restauraciones,2010-01-01,3,9,3,9,12
PUCARANI,atencion odontologica,restauraciones,2010-01-01,40,30,40,30,70
PUERTO ACOSTA,atencion odontologica,restauraciones,2010-01-01,11,24,11,24,35
PUERTO CARABUCO,atencion odontologica,restauraciones,2010-01-01,13,54,13,54,67
PUERTO GONZALO MORENO,atencion odontologica,restauraciones,2010-01-01,0,20,0,20,20
PUERTO QUIJARRO,atencion odontologica,restauraciones,2010-01-01,75,13,75,13,88
PUERTO RICO,atencion odontologica,restauraciones,2010-01-01,6,13,6,13,19
PUERTO SUAREZ,atencion odontologica,restauraciones,2010-01-01,25,23,25,23,48
PUERTO VILLARROEL,atencion odontologica,restauraciones,2010-01-01,150,197,150,197,347
PUNA,atencion odontologica,restauraciones,2010-01-01,41,43,41,43,84
PUNATA,atencion odontologica,restauraciones,2010-01-01,151,229,151,229,380
QUILLACOLLO,atencion odontologica,restauraciones,2010-01-01,340,353,340,353,693
QUIME,atencion odontologica,restauraciones,2010-01-01,21,17,21,17,38
QUIRUSILLAS,atencion odontologica,restauraciones,2010-01-01,6,7,6,7,13
RAVELO,atencion odontologica,restauraciones,2010-01-01,2,9,2,9,11
REYES,atencion odontologica,restauraciones,2010-01-01,16,26,16,26,42
RIBERALTA,atencion odontologica,restauraciones,2010-01-01,91,276,91,276,367
ROBORE,atencion odontologica,restauraciones,2010-01-01,51,52,51,52,103
RURRENABAQUE,atencion odontologica,restauraciones,2010-01-01,9,4,9,4,13
SABAYA,atencion odontologica,restauraciones,2010-01-01,10,25,10,25,35
SACABA,atencion odontologica,restauraciones,2010-01-01,768,902,768,902,1670
SACABAMBA,atencion odontologica,restauraciones,2010-01-01,5,28,5,28,33
SACACA,atencion odontologica,restauraciones,2010-01-01,4,30,4,30,34
SAIPINA,atencion odontologica,restauraciones,2010-01-01,12,20,12,20,32
SALINAS DE GARCI MENDOZA,atencion odontologica,restauraciones,2010-01-01,47,34,47,34,81
SAMAIPATA,atencion odontologica,restauraciones,2010-01-01,22,37,22,37,59
SAN AGUSTIN,atencion odontologica,restauraciones,2010-01-01,1,2,1,2,3
SAN ANDRES,atencion odontologica,restauraciones,2010-01-01,5,6,5,6,11
SAN ANDRES DE MACHACA,atencion odontologica,restauraciones,2010-01-01,17,12,17,12,29
SAN ANTONIO DE LOMERIO,atencion odontologica,restauraciones,2010-01-01,28,0,28,0,28
SAN BENITO,atencion odontologica,restauraciones,2010-01-01,69,79,69,79,148
SAN BORJA,atencion odontologica,restauraciones,2010-01-01,132,162,132,162,294
SAN BUENA VENTURA,atencion odontologica,restauraciones,2010-01-01,10,19,10,19,29
SAN CARLOS,atencion odontologica,restauraciones,2010-01-01,39,77,39,77,116
SAN IGNACIO,atencion odontologica,restauraciones,2010-01-01,96,99,96,99,195
SAN IGNACIO DE VELASCO,atencion odontologica,restauraciones,2010-01-01,16,29,16,29,45
SAN JAVIER(STC),atencion odontologica,restauraciones,2010-01-01,12,25,12,25,37
SAN JOAQUIN,atencion odontologica,restauraciones,2010-01-01,6,6,6,6,12
SAN JOSE DE CHIQUITOS,atencion odontologica,restauraciones,2010-01-01,31,50,31,50,81
SAN JUAN DE YAPACANI,atencion odontologica,restauraciones,2010-01-01,8,46,8,46,54
SAN LORENZO(PND),atencion odontologica,restauraciones,2010-01-01,2,5,2,5,7
SAN LORENZO(TJA),atencion odontologica,restauraciones,2010-01-01,84,217,84,217,301
SAN LUCAS,atencion odontologica,restauraciones,2010-01-01,21,76,21,76,97
SAN MATIAS,atencion odontologica,restauraciones,2010-01-01,41,48,41,48,89
SAN MIGUEL DE VELASCO,atencion odontologica,restauraciones,2010-01-01,46,112,46,112,158
SAN PEDRO,atencion odontologica,restauraciones,2010-01-01,20,25,20,25,45
SAN PEDRO DE BUENA VISTA,atencion odontologica,restauraciones,2010-01-01,11,60,11,60,71
SAN RAFAEL,atencion odontologica,restauraciones,2010-01-01,35,53,35,53,88
SAN RAMON BENI,atencion odontologica,restauraciones,2010-01-01,53,32,53,32,85
SAN RAMON SCZ,atencion odontologica,restauraciones,2010-01-01,5,7,5,7,12
SANTA ANA,atencion odontologica,restauraciones,2010-01-01,147,317,147,317,464
SANTA CRUZ DE LA SIERRA,atencion odontologica,restauraciones,2010-01-01,3474,2503,3474,2503,5977
SANTA ROSA,atencion odontologica,restauraciones,2010-01-01,31,22,31,22,53
SANTA ROSA DEL SARA,atencion odontologica,restauraciones,2010-01-01,13,46,13,46,59
SANTIAGO DE CALLAPA,atencion odontologica,restauraciones,2010-01-01,0,1,0,1,1
SANTIAGO DE HUARI,atencion odontologica,restauraciones,2010-01-01,17,39,17,39,56
SANTIAGO DE HUATA,atencion odontologica,restauraciones,2010-01-01,0,1,0,1,1
SANTIAGO DE MACHACA,atencion odontologica,restauraciones,2010-01-01,6,15,6,15,21
SANTIVAÑES,atencion odontologica,restauraciones,2010-01-01,17,21,17,21,38
SANTUARIO DE QUILLACAS,atencion odontologica,restauraciones,2010-01-01,8,26,8,26,34
SAPAHAQUI,atencion odontologica,restauraciones,2010-01-01,7,13,7,13,20
SENA,atencion odontologica,restauraciones,2010-01-01,4,10,4,10,14
SHINAOTA,atencion odontologica,restauraciones,2010-01-01,129,188,129,188,317
SICA SICA (VILLA AROMA),atencion odontologica,restauraciones,2010-01-01,24,29,24,29,53
SIPE SIPE,atencion odontologica,restauraciones,2010-01-01,179,388,179,388,567
SOPACHUY,atencion odontologica,restauraciones,2010-01-01,20,56,20,56,76
SORACACHI,atencion odontologica,restauraciones,2010-01-01,2,10,2,10,12
SORATA,atencion odontologica,restauraciones,2010-01-01,17,26,17,26,43
SUCRE,atencion odontologica,restauraciones,2010-01-01,1725,1794,1725,1794,3519
TACACOMA,atencion odontologica,restauraciones,2010-01-01,32,38,32,38,70
TACOPAYA,atencion odontologica,restauraciones,2010-01-01,3,4,3,4,7
TAHUA,atencion odontologica,restauraciones,2010-01-01,3,5,3,5,8
TAPACARI,atencion odontologica,restauraciones,2010-01-01,56,19,56,19,75
TARABUCO,atencion odontologica,restauraciones,2010-01-01,30,50,30,50,80
TARACO,atencion odontologica,restauraciones,2010-01-01,2,9,2,9,11
TARATA,atencion odontologica,restauraciones,2010-01-01,18,32,18,32,50
TARIJA,atencion odontologica,restauraciones,2010-01-01,1316,1968,1316,1968,3284
TARVITA,atencion odontologica,restauraciones,2010-01-01,28,27,28,27,55
TEOPONTE,atencion odontologica,restauraciones,2010-01-01,3,2,3,2,5
TIAWANACU,atencion odontologica,restauraciones,2010-01-01,18,28,18,28,46
TINGUIPAYA,atencion odontologica,restauraciones,2010-01-01,1,0,1,0,1
TIPUANI,atencion odontologica,restauraciones,2010-01-01,0,11,0,11,11
TIQUIPAYA,atencion odontologica,restauraciones,2010-01-01,487,570,487,570,1057
TIRAQUE (CBBA),atencion odontologica,restauraciones,2010-01-01,10,41,10,41,51
TOCO,atencion odontologica,restauraciones,2010-01-01,30,35,30,35,65
TOLATA,atencion odontologica,restauraciones,2010-01-01,9,45,9,45,54
TOLEDO,atencion odontologica,restauraciones,2010-01-01,63,39,63,39,102
TOMAVE,atencion odontologica,restauraciones,2010-01-01,6,23,6,23,29
TOMINA,atencion odontologica,restauraciones,2010-01-01,6,28,6,28,34
TORO TORO,atencion odontologica,restauraciones,2010-01-01,7,28,7,28,35
TOTORA(CBBA),atencion odontologica,restauraciones,2010-01-01,49,0,49,0,49
TOTORA(ORR),atencion odontologica,restauraciones,2010-01-01,5,4,5,4,9
TRIGAL,atencion odontologica,restauraciones,2010-01-01,6,11,6,11,17
TRINIDAD,atencion odontologica,restauraciones,2010-01-01,682,200,682,200,882
TUPIZA,atencion odontologica,restauraciones,2010-01-01,159,190,159,190,349
TURCO,atencion odontologica,restauraciones,2010-01-01,10,57,10,57,67
UMALA,atencion odontologica,restauraciones,2010-01-01,1,13,1,13,14
UNCIA,atencion odontologica,restauraciones,2010-01-01,31,98,31,98,129
URIONDO (A. CONCEPCION),atencion odontologica,restauraciones,2010-01-01,81,164,81,164,245
URUBICHA,atencion odontologica,restauraciones,2010-01-01,3,6,3,6,9
UYUNI,atencion odontologica,restauraciones,2010-01-01,1,2,1,2,3
VACAS,atencion odontologica,restauraciones,2010-01-01,23,27,23,27,50
VALLEGRANDE,atencion odontologica,restauraciones,2010-01-01,48,160,48,160,208
VIACHA,atencion odontologica,restauraciones,2010-01-01,31,25,31,25,56
VILLA CHARCAS,atencion odontologica,restauraciones,2010-01-01,4,11,4,11,15
VILLA MONTES,atencion odontologica,restauraciones,2010-01-01,85,158,85,158,243
VILLA NUEVA (LOMA ALTA),atencion odontologica,restauraciones,2010-01-01,23,30,23,30,53
VILLA RIVERO,atencion odontologica,restauraciones,2010-01-01,10,30,10,30,40
VILLA SERRANO,atencion odontologica,restauraciones,2010-01-01,5,23,5,23,28
VILLA TUNARI,atencion odontologica,restauraciones,2010-01-01,209,532,209,532,741
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,restauraciones,2010-01-01,26,73,26,73,99
VILLAZON,atencion odontologica,restauraciones,2010-01-01,51,99,51,99,150
VINTO,atencion odontologica,restauraciones,2010-01-01,60,71,60,71,131
VITICHI,atencion odontologica,restauraciones,2010-01-01,0,1,0,1,1
WALDO BALLIVIAN,atencion odontologica,restauraciones,2010-01-01,8,13,8,13,21
WARNES,atencion odontologica,restauraciones,2010-01-01,123,162,123,162,285
YACO,atencion odontologica,restauraciones,2010-01-01,0,8,0,8,8
YACUIBA,atencion odontologica,restauraciones,2010-01-01,578,460,578,460,1038
YAMPARAEZ,atencion odontologica,restauraciones,2010-01-01,6,5,6,5,11
YANACACHI,atencion odontologica,restauraciones,2010-01-01,4,13,4,13,17
YAPACANI,atencion odontologica,restauraciones,2010-01-01,93,140,93,140,233
YOCALLA,atencion odontologica,restauraciones,2010-01-01,0,2,0,2,2
YOTALA,atencion odontologica,restauraciones,2010-01-01,52,36,52,36,88
YUNCHARA,atencion odontologica,restauraciones,2010-01-01,23,7,23,7,30
ZUDAÑEZ,atencion odontologica,restauraciones,2010-01-01,7,6,7,6,13
ACACIO,atencion odontologica,restauraciones,2010-02-01,2,7,2,7,9
ACHACACHI,atencion odontologica,restauraciones,2010-02-01,36,71,36,71,107
ACHOCALLA,atencion odontologica,restauraciones,2010-02-01,0,12,0,12,12
AIQUILE,atencion odontologica,restauraciones,2010-02-01,20,28,20,28,48
ALCALA,atencion odontologica,restauraciones,2010-02-01,11,20,11,20,31
ALTO BENI,atencion odontologica,restauraciones,2010-02-01,13,24,13,24,37
ANCORAIMES,atencion odontologica,restauraciones,2010-02-01,13,18,13,18,31
ANDAMARCA,atencion odontologica,restauraciones,2010-02-01,4,12,4,12,16
ANTEQUERA,atencion odontologica,restauraciones,2010-02-01,6,4,6,4,10
APOLO,atencion odontologica,restauraciones,2010-02-01,35,89,35,89,124
ARAMPAMPA,atencion odontologica,restauraciones,2010-02-01,2,7,2,7,9
ARANI,atencion odontologica,restauraciones,2010-02-01,27,65,27,65,92
ARBIETO,atencion odontologica,restauraciones,2010-02-01,38,34,38,34,72
ARQUE,atencion odontologica,restauraciones,2010-02-01,30,43,30,43,73
ATOCHA,atencion odontologica,restauraciones,2010-02-01,69,159,69,159,228
AYATA,atencion odontologica,restauraciones,2010-02-01,14,18,14,18,32
AYO AYO,atencion odontologica,restauraciones,2010-02-01,8,16,8,16,24
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,restauraciones,2010-02-01,27,47,27,47,74
AZURDUY,atencion odontologica,restauraciones,2010-02-01,5,22,5,22,27
BATALLAS,atencion odontologica,restauraciones,2010-02-01,2,23,2,23,25
BELEN DE URMIRI,atencion odontologica,restauraciones,2010-02-01,0,4,0,4,4
BELLA FLOR,atencion odontologica,restauraciones,2010-02-01,6,4,6,4,10
BERMEJO,atencion odontologica,restauraciones,2010-02-01,129,192,129,192,321
BETANZOS,atencion odontologica,restauraciones,2010-02-01,36,65,36,65,101
BOLIVAR,atencion odontologica,restauraciones,2010-02-01,18,15,18,15,33
BOYUIBE,atencion odontologica,restauraciones,2010-02-01,11,15,11,15,26
BUENA VISTA,atencion odontologica,restauraciones,2010-02-01,5,15,5,15,20
CABEZAS,atencion odontologica,restauraciones,2010-02-01,11,20,11,20,31
CAIROMA,atencion odontologica,restauraciones,2010-02-01,11,4,11,4,15
"CAIZA ""D""",atencion odontologica,restauraciones,2010-02-01,26,0,26,0,26
CAJUATA,atencion odontologica,restauraciones,2010-02-01,4,16,4,16,20
CALACOTO,atencion odontologica,restauraciones,2010-02-01,9,6,9,6,15
CALAMARCA,atencion odontologica,restauraciones,2010-02-01,28,32,28,32,60
CAMARGO,atencion odontologica,restauraciones,2010-02-01,24,83,24,83,107
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,restauraciones,2010-02-01,0,8,0,8,8
CAMIRI,atencion odontologica,restauraciones,2010-02-01,133,293,133,293,426
CAPINOTA,atencion odontologica,restauraciones,2010-02-01,11,21,11,21,32
CAQUIAVIRI,atencion odontologica,restauraciones,2010-02-01,0,13,0,13,13
CARACOLLO,atencion odontologica,restauraciones,2010-02-01,42,14,42,14,56
CARANAVI,atencion odontologica,restauraciones,2010-02-01,35,111,35,111,146
CARAPARI,atencion odontologica,restauraciones,2010-02-01,39,44,39,44,83
CARIPUYO,atencion odontologica,restauraciones,2010-02-01,4,10,4,10,14
CARMEN RIVERO TORREZ,atencion odontologica,restauraciones,2010-02-01,17,23,17,23,40
CATACORA,atencion odontologica,restauraciones,2010-02-01,5,5,5,5,10
CHALLAPATA,atencion odontologica,restauraciones,2010-02-01,49,48,49,48,97
CHARAGUA,atencion odontologica,restauraciones,2010-02-01,47,102,47,102,149
CHAYANTA,atencion odontologica,restauraciones,2010-02-01,10,40,10,40,50
CHIMORE,atencion odontologica,restauraciones,2010-02-01,20,52,20,52,72
CHIPAYA,atencion odontologica,restauraciones,2010-02-01,3,5,3,5,8
CHOQUE COTA,atencion odontologica,restauraciones,2010-02-01,2,8,2,8,10
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,restauraciones,2010-02-01,12,7,12,7,19
CHUMA,atencion odontologica,restauraciones,2010-02-01,26,60,26,60,86
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,restauraciones,2010-02-01,16,22,16,22,38
CKOCHAS,atencion odontologica,restauraciones,2010-02-01,25,7,25,7,32
CLIZA,atencion odontologica,restauraciones,2010-02-01,75,120,75,120,195
COBIJA,atencion odontologica,restauraciones,2010-02-01,39,95,39,95,134
COCAPATA,atencion odontologica,restauraciones,2010-02-01,13,9,13,9,22
