,group,variable,month,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
CARAPARI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,6,1,6,1,7
CARIPUYO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,15,11,15,11,26
CARMEN RIVERO TORREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,5,9,5,9,14
CATACORA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,9,2,9,2,11
CHALLAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,20,16,20,16,36
CHARAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,3,0,3,0,3
CHIMORE,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,3,0,3,0,3
CHIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,6,8,6,8,14
CHOQUE COTA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,5,0,5,0,5
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,25,0,25,0,25
CHUMA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,2,0,2,2
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,28,40,28,40,68
CLIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,48,93,48,93,141
COBIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,153,372,153,372,525
COCAPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,12,16,12,16,28
COCHABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,3960,1298,3960,1298,5258
COIPASA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,1,3,1,3,4
COLCAPIRHUA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,50,145,50,145,195
"COLCHA ""K""",atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,3,2,3,2,5
COLOMI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,60,41,60,41,101
COLPA BELGICA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,40,43,40,43,83
COLQUENCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,1,2,1,3
COLQUIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,12,11,12,11,23
COMARAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,2,2,2,4
COMBAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,1,2,1,3
COPACABANA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,13,2,13,15
CORO CORO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,4,1,4,1,5
COROICO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,1,3,1,3,4
COTAGAITA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,19,34,19,34,53
COTOCA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,20,17,20,17,37
CUATRO CAÑADAS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,140,0,140,0,140
CUEVO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,1,2,1,2,3
CULPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,9,7,9,7,16
CURVA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,2,0,2,2
EL ALTO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,960,1721,960,1721,2681
EL CHORO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,14,11,14,11,25
EL PUENTE(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,6,3,6,3,9
EL PUENTE(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,13,27,13,27,40
EL TORNO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,10,54,10,54,64
EL VILLAR,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,9,3,9,3,12
ENTRE RIOS TRJ,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,10,14,10,14,24
ENTRE RIOS CBBA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,12,11,12,11,23
ESCOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,15,26,15,26,41
EUCALIPTUS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,10,2,10,12
FERNANDEZ ALONSO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,7,11,7,11,18
FILADELFIA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,19,14,19,14,33
GENERAL SAAVEDRA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,3,0,3,3
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,33,26,33,26,59
GUANAY,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,18,27,18,27,45
GUAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,9,19,9,19,28
GUAYARAMERIN,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,39,70,39,70,109
GUTIERREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,12,9,12,9,21
HUACARETA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,7,5,7,5,12
HUACHACALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,1,3,1,3,4
HUANUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,46,38,46,38,84
HUARACAJE,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,10,12,10,12,22
HUARINA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,4,5,4,5,9
HUAYLLAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,7,1,7,1,8
ICLA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,4,4,4,4,8
INCAHUASI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,12,14,12,14,26
IRUPANA (VILLA DE LANZA),atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,16,17,16,17,33
IXIAMAS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,14,7,14,7,21
JESUS DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,5,9,5,9,14
LA ASUNTA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,5,4,5,4,9
LA GUARDIA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,31,39,31,39,70
LA PAZ,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,1333,3561,1333,3561,4894
LAGUNILLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,6,0,6,0,6
LAJA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,3,14,3,14,17
LAS CARRERAS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,3,4,3,4,7
LLALLAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,95,145,95,145,240
LLICA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,11,1,11,1,12
LURIBAY,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,4,6,4,6,10
MACHACAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,15,39,15,39,54
MAGDALENA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,8,20,8,20,28
MAPIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,25,2,25,27
MINEROS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,5,9,5,9,14
MOCOMOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,14,2,14,16
MOJOCOYA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,12,45,12,45,57
MONTEAGUDO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,19,98,19,98,117
MONTERO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,155,156,155,156,311
MORO MORO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,3,1,3,1,4
MOROCHATA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,9,14,9,14,23
OMEREQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,30,50,30,50,80
ORURO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,863,823,863,823,1686
PADCAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,8,13,8,13,21
PADILLA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,13,20,13,20,33
PAILON,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,84,73,84,73,157
PALCA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,26,45,26,45,71
PALOS BLANCOS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,4,23,4,23,27
PAMPA AULLAGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,2,0,2,2
PAMPA GRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,13,0,13,0,13
PAPEL PAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,38,24,38,24,62
PASORAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,2,0,2,2
PATACAMAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,5,10,5,10,15
PAZÑA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,2,2,2,4
PORCO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,23,6,23,6,29
POROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,10,19,10,19,29
PORONGO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,8,3,8,3,11
PORTACHUELO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,12,24,12,24,36
PORVENIR,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,42,59,42,59,101
POSTRER VALLE,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,3,7,3,7,10
POTOSI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,120,142,120,142,262
PRESTO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,1,1,1,1,2
PUCARA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,3,0,3,3
PUCARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,2,0,2,2
PUERTO ACOSTA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,2,0,2,2
PUERTO CARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,1,2,1,3
PUERTO QUIJARRO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,6,5,6,5,11
PUERTO RICO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,14,0,14,14
PUERTO SUAREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,10,4,10,4,14
PUERTO VILLARROEL,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,39,84,39,84,123
PUNA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,11,0,11,11
PUNATA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,282,226,282,226,508
QUILLACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,112,170,112,170,282
QUIME,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,4,3,4,3,7
QUIRUSILLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,5,2,5,7
RAVELO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,10,0,10,10
REYES,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,12,4,12,4,16
RIBERALTA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,15,122,15,122,137
ROBORE,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,3,3,3,3,6
SABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,44,29,44,29,73
SACABA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,514,579,514,579,1093
SACABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,9,18,9,18,27
SACACA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,8,0,8,8
SAIPINA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,2,0,2,2
SALINAS DE GARCI MENDOZA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,38,39,38,39,77
SAMAIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,30,41,30,41,71
SAN ANDRES,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,16,13,16,13,29
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,7,4,7,4,11
SAN ANTONIO DE LOMERIO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,7,0,7,0,7
SAN BENITO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,43,52,43,52,95
SAN BORJA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,2,2,2,4
SAN BUENA VENTURA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,3,2,3,5
SAN CARLOS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,20,31,20,31,51
SAN IGNACIO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,25,20,25,20,45
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,123,122,123,122,245
SAN JAVIER(STC),atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,3,8,3,8,11
SAN JOSE DE CHIQUITOS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,2,0,2,2
SAN LORENZO(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,37,52,37,52,89
SAN LUCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,5,2,5,2,7
SAN MATIAS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,15,0,15,0,15
SAN MIGUEL DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,4,15,4,15,19
SAN PEDRO DE BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,29,5,29,5,34
SAN PEDRO DE TIQUINA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,10,20,10,20,30
SAN RAFAEL,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,16,29,16,29,45
SAN RAMON BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,10,16,10,16,26
SAN RAMON SCZ,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,40,21,40,21,61
SANTA ANA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,36,88,36,88,124
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,911,1077,911,1077,1988
SANTA ROSA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,9,21,9,21,30
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,9,10,9,10,19
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,11,11,11,11,22
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,1,5,1,5,6
SANTIAGO DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,2,0,2,2
SANTUARIO DE QUILLACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,10,7,10,7,17
SAPAHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,28,24,28,24,52
SENA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,6,5,6,5,11
SHINAOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,45,63,45,63,108
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,98,48,98,48,146
SICAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,0,2,0,2
SIPE SIPE,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,50,124,50,124,174
SOPACHUY,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,7,6,7,6,13
SORATA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,27,34,27,34,61
SUCRE,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,291,302,291,302,593
TACACOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,10,5,10,5,15
TAPACARI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,23,32,23,32,55
TARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,39,80,39,80,119
TARATA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,14,16,14,16,30
TARIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,259,331,259,331,590
TARVITA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,5,17,5,17,22
TEOPONTE,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,1,2,1,3
TIAWANACU,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,8,16,8,16,24
TIPUANI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,15,0,15,0,15
TIQUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,280,413,280,413,693
TIRAQUE (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,1,0,1,1
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,7,0,7,7
TOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,8,21,8,21,29
TOLATA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,83,189,83,189,272
TOLEDO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,1,3,1,3,4
TOMAVE,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,6,2,6,8
TOMINA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,3,0,3,0,3
TORO TORO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,7,3,7,3,10
TOTORA(CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,70,0,70,0,70
TRIGAL,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,2,2,2,4
TRINIDAD,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,793,657,793,657,1450
TUPIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,41,47,41,47,88
TURCO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,19,24,19,24,43
UMALA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,5,0,5,5
UNCIA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,38,41,38,41,79
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,28,40,28,40,68
URUBICHA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,1,1,1,1,2
UYUNI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,9,11,9,11,20
VALLEGRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,106,138,106,138,244
VIACHA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,1,1,1,1,2
VILLA CHARCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,14,6,14,6,20
VILLA MONTES,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,38,171,38,171,209
VILLA NUEVA (LOMA ALTA),atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,8,12,8,12,20
VILLA RIVERO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,30,17,30,17,47
VILLA SERRANO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,6,2,6,8
VILLA TUNARI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,105,177,105,177,282
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,10,17,10,17,27
VILLAZON,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,88,51,88,51,139
VINTO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,20,146,20,146,166
VITICHI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,1,0,1,1
WALDO BALLIVIAN,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,17,5,17,5,22
WARNES,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,40,73,40,73,113
YACO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,7,4,7,4,11
YACUIBA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,177,231,177,231,408
YAMPARAEZ,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,9,3,9,3,12
YANACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,0,1,0,1,1
YAPACANI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,24,34,24,34,58
YOCALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,1,1,1,1,2
YOTALA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,1,4,1,4,5
YUNCHARA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-01-01,2,9,2,9,11
ACHACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-02-01,122,92,122,92,214
ACHOCALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-02-01,2,4,2,4,6
AIQUILE,atencion odontologica,acciones preventivas dentro del establecimiento,2010-02-01,201,317,201,317,518
ALALAY,atencion odontologica,acciones preventivas dentro del establecimiento,2010-02-01,0,2,0,2,2
ALCALA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-02-01,24,27,24,27,51
ALTO BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-02-01,35,31,35,31,66
ANCORAIMES,atencion odontologica,acciones preventivas dentro del establecimiento,2010-02-01,25,56,25,56,81
ANDAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-02-01,11,9,11,9,20
ANTEQUERA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-02-01,1,2,1,2,3
APOLO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-02-01,0,5,0,5,5
ARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2010-02-01,18,37,18,37,55
ARBIETO,atencion odontologica,acciones preventivas dentro del establecimiento,2010-02-01,27,60,27,60,87
ARQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2010-02-01,20,23,20,23,43
ATOCHA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-02-01,8,20,8,20,28
AYATA,atencion odontologica,acciones preventivas dentro del establecimiento,2010-02-01,7,11,7,11,18
