,group,variable,month,TOTAL 1910 ANTI AMARÍLICA CANTIDAD,TOTAL 1910 ANTI AMARÍLICA CANTIDAD,TOTALES
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,299,29,328
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,2,0,2
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,2,2
SENA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,2,2
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,3,2,5
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,9,3,12
SORATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,15,0,15
TARABUCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,32,1,33
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
TINGUIPAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,8,8
TIPUANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,1,2
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,13,6,19
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,2,0,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,18,0,18
TUPIZA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,0,1
UMALA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,1,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,1,2,3
VACAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,1,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,3,0,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,3,5,8
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,4,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,6,0,6
VINTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,7,0,7
VITICHI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,0,2,2
WARNES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,8,2,10
YACUIBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,10,0,10
YAPACANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-01-01,4,0,4
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,3,1,4
ALALAY,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,2,2
ARBIETO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,2,7,9
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
ATOCHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,7,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,1,1
BATALLAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,2,3
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,1,1
BERMEJO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,2,2,4
BETANZOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,1,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
CAIROMA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,5,19,24
"CAIZA ""D""",vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,3,3
CALACOTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,1,1
CAMARGO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,1,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,3,0,3
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,5,0,5
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,2,7,9
CARAPARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,2,3
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,6,0,6
COCAPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,2,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,121,49,170
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,17,3,20
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,3,1,4
COLOMI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,3,5,8
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,2,3
COPACABANA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,1,1
COROICO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,1,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,4,4
COTOCA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,5,0,5
DESAGUADERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,3,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,200,45,245
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,1,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,7,0,7
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,3,0,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,1,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,3,3
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,16,0,16
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,4,7,11
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,3,3
HUANUNI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
INCAHUASI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,5,0,5
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,8,0,8
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,2,3
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,8,0,8
LA PAZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,91,24,115
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,3,4
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
MAIRANA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,2,0,2
MAPIRI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,1,1
MIZQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,24,8,32
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,1,1
OKINAWA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,10,16,26
PAILON,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,11,11
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,1,2
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,1,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,7,8
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
PORONGO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,3,4
POTOSI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,24,5,29
PUCARANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,1,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,13,0,13
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,3,3
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,2,0,2
PUNA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,1,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,2,1,3
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,28,89,117
RAVELO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,12,12
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,3,1,4
ROBORE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,3,3
SACABA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,12,5,17
SACACA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,8,0,8
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,2,0,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,15,7,22
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,2,5,7
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,3,0,3
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,2,2,4
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,1,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,2,0,2
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,3,1,4
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,2,0,2
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,2,2
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,266,20,286
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,5,6
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,1,2
SANTIVAÑES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
SENA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,4,4
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,10,1,11
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,2,0,2
SORATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,4,4
SUCRE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,5,3,8
TAPACARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,24,7,31
TEOPONTE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,1,1
TIPUANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,3,3
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,17,5,22
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,1,2
TOLATA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
TOLEDO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,2,2,4
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,14,0,14
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,3,4
UYUNI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,5,0,5
VACAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,3,3
VIACHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,8,0,8
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,4,6,10
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,10,0,10
VILLAZON,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,0,1
VINTO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,4,1,5
VITICHI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,2,2
WARNES,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,18,3,21
YACUIBA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,2,2,4
YAPACANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,1,1,2
YOTALA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-02-01,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,5,6
AIQUILE,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,2,1,3
ARANI,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,7,2,9
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,5,1,6
ATOCHA,vacunaciones en ninos de 2 a 4 anos,        anti amarilica,2014-03-01,0,2,2
