,group,variable,month,TOTAL 19.5 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTAL 19.5 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTALES
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,2,12,14
TARATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,3,1,4
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,10,6,16
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,10,10
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,17,0,17
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,1,1
URUBICHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,6,6
VACAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,3,0,3
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,3,3
VINTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,15,0,15
VITICHI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,4,1,5
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,0,1,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,3,0,3
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2
ACACIO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,3,3
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,4,3,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,5,4,9
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,1,2
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,5,0,5
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,2,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,1,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,6,1,7
CHACARILLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,9,9
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,4,4,8
COBIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,13,25,38
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,140,2,142
COLOMI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,3,0,3
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,2,2
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,2,2
COROICO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,3,4
CORQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
CUEVO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,54,20,74
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,2,1,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,2,2
ESMERALDA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,13,1,14
GUANAY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,6,0,6
GUAQUI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,2,9,11
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,3,0,3
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,5,0,5
ICLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,4,5
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,3,4
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,47,4,51
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
MAPIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
MECAPACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,4,2,6
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,5,0,5
MONTERO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,18,8,26
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,3,3
ORURO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,8,12,20
PADILLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,7,22,29
PASORAPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,3,3
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,7,0,7
PAZÑA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,31,8,39
POTOSI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,8,1,9
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,17,29,46
RAVELO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,3,1,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,40,17,57
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,11,6,17
SACACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,3,0,3
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,4,6,10
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,10,2,12
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,2,4,6
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,3,0,3
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,196,3,199
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,5,0,5
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,6,2,8
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,4,6,10
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,12,0,12
SUCRE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,10,1,11
TACACOMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,1,1
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,3,4
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,2,12,14
TARACO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,2,0,2
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,7,4,11
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,7,8
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,1,2
TOLEDO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,10,0,10
URUBICHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,1,1
VACAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,2,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,2,0,2
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,3,0,3
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,0,5,5
VINTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,12,0,12
WARNES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-02-01,2,0,2
ACACIO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,6,6
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,5,0,5
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,2,2
ALALAY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,2,2
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,2,2
ARQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,4,0,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,6,1,7
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,3,2,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,8,7,15
BATALLAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,4,3,7
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,1,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,3,0,3
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,10,0,10
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,3,3
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,8,4,12
CATACORA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,3,7,10
CHACARILLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,5,6
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,8,8
CHUMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,7,0,7
COBIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,132,11,143
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,2,0,2
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,10,2,12
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,1,2
CORO CORO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,1,0,1
CUEVO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 1ra dosis,2014-03-01,0,1,1
