,group,variable,month,TOTAL 19.9 SRP DOSIS ÚNICA CANTIDAD,TOTAL 19.9 SRP DOSIS ÚNICA CANTIDAD,TOTALES
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,17,1,18
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,1,2
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,2,0,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,21,0,21
TURCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
UMALA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,1,2
UYUNI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,1,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,1,1
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,0,2,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,9,0,9
VINTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,5,0,5
WARNES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,10,1,11
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-01-01,5,1,6
ALALAY,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,1,2
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,2,3
AYATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,4,16,20
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,2,2
AZURDUY,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,4,0,4
BATALLAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,8,2,10
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
CAIROMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,5,19,24
CALACOTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,1,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,5,0,5
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,3,9,12
CARAPARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,1,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,1,2
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
CHUA COCANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
CHUMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,40,32,72
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,10,0,10
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,3,0,3
COLOMI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,2,2,4
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,2,3
COROICO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,6,1,7
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,98,30,128
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,1,1
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,2,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,16,0,16
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,3,2,5
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,3,3
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,4,4,8
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,8,0,8
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,86,19,105
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,4,1,5
MAGDALENA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,14,8,22
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,13,50,63
PAILON,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,12,12
PALCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,1,2
PAMPA AULLAGAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,6,0,6
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
POCOATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,4,4
PORONGO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,12,3,15
PUCARANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,1,2
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,14,0,14
PUERTO RICO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,2,2
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,1,2
PUNA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,1,1
PUNATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,10,61,71
QUIME,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,6,11,17
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,6,0,6
ROBORE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,3,0,3
SACABA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,7,1,8
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,2,2,4
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,3,1,4
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,2,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,3,0,3
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,3,2,5
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,1,1
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,2,0,2
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,2,0,2
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,189,27,216
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,2,1,3
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,1,2
SAPAHAQUI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,4,4
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,9,2,11
SORATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,4,2,6
TARACO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,2,0,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,10,3,13
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,2,1,3
TOLATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,2,0,2
TOLEDO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,3,4
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,14,0,14
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,0,3,3
UYUNI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,6,0,6
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,2,2,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,7,0,7
VINTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,5,0,5
WARNES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,9,3,12
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,3,1,4
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-02-01,1,1,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,2,2
ANTEQUERA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
ANZALDO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
ARANI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,4,1,5
AZURDUY,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
BAURES,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,7,0,7
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,1,2
CAIROMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,2,0,2
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,2,0,2
CARANAVI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,26,27
CARAPARI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,1,2
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,1,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,5,1,6
CHUMA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,5,0,5
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,5,21,26
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,56,17,73
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,3,0,3
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,2,1,3
COLLANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,3,2,5
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
COPACABANA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
CORIPATA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,2,0,2
CORO CORO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
COROICO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,3,0,3
CULPINA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
CURVA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,94,57,151
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,2,0,2
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,8,2,10
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,7,0,7
ESCARA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,5,0,5
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,0,4,4
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,3,3,6
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,      srp dosis unica,2014-03-01,2,0,2
