,group,variable,month,TOTAL 19.1 DPT 1RA DOSIS CANTIDAD,TOTAL 19.1 DPT 1RA DOSIS CANTIDAD,TOTALES
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,25,0,25
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
URUBICHA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,6,6
VACAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,2,0,2
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,3,3
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,1,1
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,18,0,18
VITICHI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,4,1,5
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,0,1,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,3,0,3
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-01-01,2,0,2
ACACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,3,3
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,4,3,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,5,4,9
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,1,2
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,2,2
CAIROMA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,5,0,5
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,2,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,1,1
CHACARILLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,7,7
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,0,1
COBIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,6,24,30
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,136,3,139
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,3,0,3
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,4,3,7
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,2,2
COROICO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,2,3,5
CORQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,0,1
CUEVO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,2,0,2
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,60,20,80
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,2,1,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,2,2
ESMERALDA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,13,1,14
GUANAY,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,7,0,7
GUAQUI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,2,3
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,2,9,11
HUACARETA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,3,0,3
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,5,0,5
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,5,0,5
ICLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,4,5
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,2,0,2
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,2,3,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,36,4,40
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,0,1
MAPIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,0,1
MINEROS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,4,2,6
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,5,0,5
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,18,8,26
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,3,3
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,8,14,22
PADILLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,0,1
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,7,22,29
PASORAPA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,3,3
PATACAMAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,7,0,7
PAZÑA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,1,1
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,31,8,39
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,16,1,17
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,1,1
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,17,29,46
RAVELO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,3,4
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,40,17,57
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,1,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,18,6,24
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,4,6,10
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,4,9,13
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,10,2,12
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,2,0,2
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,2,0,2
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,2,4,6
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,0,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,3,0,3
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,171,1,172
SANTIAGO DE MACHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,5,0,5
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,6,2,8
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,4,6,10
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,12,0,12
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,6,2,8
TACOPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,3,4
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,2,12,14
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,2,0,2
TIAWANACU,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,7,4,11
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,5,8,13
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,1,2
TOLEDO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,6,0,6
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,0,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,1,0,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,10,0,10
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,3,0,3
URUBICHA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,1,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,2,0,2
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,2,0,2
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,5,5
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,0,12,12
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,12,0,12
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-02-01,8,11,19
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,2,0,2
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,5,0,5
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,5,5
ALALAY,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,2,2
ALTO BENI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
ARQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,5,0,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,6,1,7
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,3,2,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,8,4,12
BATALLAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,2,0,2
BOLIVAR,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,1,1
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,3,0,3
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,8,0,8
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,3,3,6
CATACORA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,3,7,10
CHACARILLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,5,6
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,8,8
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,23,23
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,3,4
COBIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,129,11,140
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,2,0,2
COLQUECHACA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,2,0,2
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,10,2,12
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,1,2
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
CUEVO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,1,1
CULPINA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,95,12,107
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,3,0,3
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,9,10
GUANAY,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,2,11,13
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,5,1,6
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,2,0,2
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,2,2
IXIAMAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,4,5
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,2,3
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,71,6,77
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,1,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,1,1
MALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,3,3
MIZQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,0,4,4
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,2,3,5
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,2,0,2
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 1ra dosis,2014-03-01,18,3,21
