,group,variable,month,TOTAL 19.2 DPT 2DA DOSIS CANTIDAD,TOTAL 19.2 DPT 2DA DOSIS CANTIDAD,TOTALES
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,7,0,7
GUAQUI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,1,1
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,9,9
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,3,0,3
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,3,0,3
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,3,3
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,18,5,23
LAJA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,6,0,6
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,3,13,16
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,20,20
PALCA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,1,2
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,2,2,4
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,3,4
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,7,1,8
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,19,2,21
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,8,6,14
RAVELO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
REYES,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,12,0,12
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,6,8,14
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,1,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,4,5
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,4,9,13
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,3,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,2,1,3
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,2,3
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,3,0,3
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,36,1,37
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,1,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,1,1
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,1,1
TARABUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,7,7
TARACO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,2,2,4
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,7,0,7
TOLEDO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
TOMINA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,5,5
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,2,3
UYUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,0,1
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,3,3
VILLA SERRANO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,0,1,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,1,10,11
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,6,1,7
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-02-01,9,0,9
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,3,3
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,3,3
ALALAY,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,1,1
APOLO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,11,0,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,2,5,7
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,4,4
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,2,0,2
BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,20,0,20
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,1,1
CALACOTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,2,2
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,0,1
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,3,0,3
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,1,1
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,2,2,4
CHARAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,1,1
CHAYANTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,1,1
CHIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,2,0,2
CHUA COCANI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,5,6
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,35,10,45
COLPA BELGICA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,3,1,4
CORO CORO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,5,2,7
CORQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,4,0,4
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,0,1
CUEVO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,3,0,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,61,23,84
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,2,0,2
GUANAY,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,0,1
GUTIERREZ,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,1,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,0,1
ICHOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,8,8
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,1,2
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,21,9,30
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,2,0,2
LAJA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,0,1
MALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,2,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,0,1
MOCOMOCO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,10,1,11
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,25,25
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,4,0,4
PADCAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,2,0,2
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,4,0,4
PALCA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,2,3
PASORAPA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,3,3
PELECHUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,1,1
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,7,3,10
PUERTO CARABUCO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,2,2
PUERTO SILES,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,9,5,14
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,2,9,11
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,6,0,6
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,7,8,15
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,0,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,6,7,13
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,10,11
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,4,2,6
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,1,1
SAN MATIAS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,7,7,14
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,86,1,87
SANTIAGO DE HUARI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,0,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,4,3,7
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,6,30,36
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,5,0,5
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,5,3,8
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,5,0,5
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,3,0,3
TARACO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,2,0,2
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,1,1
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,1,1
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,0,1
TOMINA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,4,4
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,3,0,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,2,2
VIACHA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,0,1,1
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,3,0,3
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,2,0,2
VINTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,6,0,6
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-03-01,2,0,2
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,2,0,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
ARQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,6,9,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,6,11,17
CALACOTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,3,3
CAMARGO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,2,0,2
CAQUIAVIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,2,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,1,1
CHIPAYA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,2,0,2
CHUA COCANI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,2,0,2
COBIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,60,7,67
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
COLQUIRI,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,16,16
COMARAPA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
CORO CORO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,3,0,3
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,0,1,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
CUEVO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,3,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,16,23,39
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      dpt 2da dosis,2014-04-01,1,0,1
