,group,variable,month,TOTAL 19.8 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTAL 19.8 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTALES
PAILON,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,0,7,7
PALOS BLANCOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1
PAMPA GRANDE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,4,1,5
POCOATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,0,4,4
POCONA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,3,4
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,2,3,5
POROMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1
PORONGO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,3,4
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,16,0,16
PORVENIR,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,4,4,8
POSTRER VALLE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,2,0,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,98,5,103
PUCARA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1
PUCARANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,1,2
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,8,1,9
PUERTO SUAREZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,11,2,13
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,27,1,28
PUNA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,2,3
PUNATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,10,0,10
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,39,113,152
RAVELO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,0,1,1
REYES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,3,2,5
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,0,1,1
ROBORE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,2,21,23
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,9,3,12
SACABA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,59,24,83
SACACA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,7,25,32
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,7,5,12
SAMAIPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,23,1,24
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,4,3,7
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,29,13,42
SAN CARLOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,4,0,4
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,8,0,8
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,6,0,6
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1
SAN JOAQUIN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,14,0,14
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,17,4,21
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,19,4,23
SAN LUCAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,2,2,4
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,7,0,7
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,3,0,3
SAN RAMON BENI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,4,3,7
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,4,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,967,70,1037
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,6,0,6
SANTIAGO DE HUATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1
SENA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,6,3,9
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,0,2,2
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,26,7,33
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,0,2,2
SORACACHI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,0,2,2
SORATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,0,6,6
SUCRE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,108,6,114
TACOBAMBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,0,4,4
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,2,3
TARABUCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,1,2
TARATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,7,8,15
TARIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,119,21,140
TARVITA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,4,9,13
TIQUIPAYA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,36,9,45
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,3,9,12
TOCO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,3,13,16
TOLATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1
TOMINA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,0,1,1
TORO TORO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,0,3,3
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,4,8,12
TOTORA(ORR),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,2,0,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,31,0,31
TUPIZA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,15,0,15
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,1,2
VACAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,0,2,2
VALLEGRANDE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,4,0,4
VIACHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,4,0,4
VILA VILA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,0,2,2
VILLA CHARCAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,2,1,3
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,13,9,22
VILLA RIVERO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,4,0,4
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,11,7,18
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,5,6
VILLAZON,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,32,3,35
VINTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,19,1,20
WARNES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,58,15,73
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,22,3,25
YOTALA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1
YUNCHARA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,0,1,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-01-01,2,0,2
ACHACACHI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,0,1,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,8,15,23
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,7,13,20
ALCALA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,1,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,5,4,9
ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,4,3,7
ANZALDO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,3,26,29
ARANI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,5,0,5
ARBIETO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,12,22,34
ARQUE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,3,2,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,12,0,12
ATOCHA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,5,7,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,2,20,22
AZURDUY,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,2,2,4
BATALLAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,2,1,3
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,0,2,2
BERMEJO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,9,11,20
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,4,2,6
BOYUIBE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,2,0,2
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,2,0,2
CAIROMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,2,0,2
CAMARGO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,4,3,7
CAMIRI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,1,0,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,6,13,19
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,3,0,3
CARAPARI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,3,1,4
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,20,15,35
CHARAÑA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,9,11,20
CHUMA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,1,0,1
CKOCHAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,1,4,5
CLIZA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,7,5,12
COBIJA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,13,4,17
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,2,8,10
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,269,68,337
COLCAPIRHUA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,27,3,30
"COLCHA ""K""",vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,1,1,2
COLOMI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,11,8,19
COMARAPA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,2,0,2
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,3,3,6
COROICO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,6,0,6
COTAGAITA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,2,24,26
COTOCA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,3,0,3
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,31,15,46
CUEVO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,0,4,4
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,345,78,423
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,14,5,19
EL PUENTE(TJA),vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,0,1,1
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,19,2,21
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,13,12,25
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,8,2,10
FILADELFIA,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,1,2,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,25,4,29
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,13,4,17
HUARACAJE,vacunaciones en ninos de 2 a 4 anos,      antipoliomielitica 4ta dosis,2014-02-01,1,0,1
