,group,variable,month,TOTAL 19.3 DPT 3RA DOSIS CANTIDAD,TOTAL 19.3 DPT 3RA DOSIS CANTIDAD,TOTALES
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,1,2
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,2,2,4
UYUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,1,2
WALDO BALLIVIAN,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,0,1
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,3,0,3
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-02-01,1,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,4,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,3,0,3
BELEN DE ANDAMARCA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,0,1,1
CAIROMA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,0,1,1
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,7,0,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,0,1
COCAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,0,1,1
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,14,4,18
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,3,4
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,0,2,2
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,2,1,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,31,13,44
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,0,1
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,0,1
ESCARA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,0,1
GUANAY,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,2,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,5,0,5
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,16,6,22
LAGUNILLAS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,3,0,3
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,2,0,2
MOROCHATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,0,19,19
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,3,0,3
PADILLA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,0,1,1
POJO (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,0,2,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,10,4,14
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,2,3,5
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,11,12
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,1,2
RURRENABAQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,0,1
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,0,2,2
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,4,5
SAN JAVIER(BNI),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,0,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,41,5,46
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,0,1
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,4,1,5
URIONDO (A. CONCEPCION),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,0,1,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,0,1
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,2,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,3,0,3
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,0,1
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-03-01,1,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,1,0,1
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,1,2,3
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,2,0,2
CHIMORE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,3,3,6
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,52,9,61
COLOMI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,1,0,1
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,3,0,3
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,21,16,37
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,2,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,1,0,1
HUANUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,1,0,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,3,0,3
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,9,31,40
MALLA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,0,3,3
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,0,1,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,2,1,3
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,0,2,2
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,12,0,12
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,1,1,2
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,5,0,5
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,2,25,27
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,3,17,20
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,1,0,1
SAN ANDRES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,7,4,11
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,5,1,6
SAN JAVIER(STC),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,6,0,6
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,1,0,1
SAN JULIAN,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,0,8,8
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,1,0,1
SAN PEDRO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,3,0,3
SAN RAMON SCZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,33,6,39
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,0,1,1
SHINAOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,1,0,1
SOPACHUY,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,5,0,5
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,1,0,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,3,0,3
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,10,2,12
VIACHA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,2,0,2
WARNES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,2,2,4
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-04-01,1,1,2
AIQUILE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,2,6,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,0,1,1
BELLA FLOR,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,0,1,1
BETANZOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,6,0,6
CAPINOTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,0,2,2
CHALLAPATA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,2,2,4
COBIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,2,0,2
COCHABAMBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,40,11,51
CONCEPCION,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,0,1
COROICO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,2,4,6
CORQUE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,3,0,3
COTOCA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,2,6,8
EL ALTO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,21,48,69
EL PUENTE(STC),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,1,2
EL TORNO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,2,1,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,4,0,4
GUAYARAMERIN,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,0,1
INQUISIVI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,3,0,3
LA ASUNTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,0,1,1
LA GUARDIA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,6,7
LA PAZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,11,14,25
LLALLAGUA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,0,2,2
MINEROS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,2,3
MOJOCOYA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,3,2,5
MONTEAGUDO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,0,1
MONTERO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,2,3
OKINAWA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,0,1,1
ORURO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,5,6,11
PAILON,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,0,4,4
PORTACHUELO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,2,1,3
POTOSI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,6,2,8
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,1,2
QUILLACOLLO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,8,9
RIBERALTA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,2,0,2
SACABA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,2,0,2
SAN BENITO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,3,3,6
SAN BUENA VENTURA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,0,2,2
SAN IGNACIO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,2,3
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,21,8,29
SANTA ROSA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,2,3
SUCRE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,4,5
TAPACARI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,0,1,1
TARIJA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,2,0,2
TOMAVE,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,0,1
TRINIDAD,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,2,3
UYUNI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,0,1
VIACHA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,3,4,7
VILLA MONTES,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,0,1
VILLA TUNARI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,0,1
YACUIBA,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,0,2,2
YAMPARAEZ,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,0,4,4
YAPACANI,vacunaciones en ninos de 2 a 4 anos,      dpt 3ra dosis,2014-05-01,1,0,1
