municipality,group,variable,month,Partos atendidos por otros,TOTAL
ARBIETO,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
BELEN DE ANDAMARCA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
CAMARGO,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,2,2
CAMIRI,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,2,2
CARACOLLO,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,3,3
CARANAVI,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
CHIMORE,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,2,2
COLOMI,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,2,2
COLPA BELGICA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
COLQUENCHA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
COMARAPA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
COTOCA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,39,39
EL PUENTE(TJA),atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,3,3
GUTIERREZ,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,3,3
HUANUNI,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
LA PAZ,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,3,3
MAIRANA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
MOCOMOCO,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,5,5
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
POROMA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,6,6
PUCARANI,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,2,2
PUERTO ACOSTA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,7,7
RAVELO,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,2,2
RIBERALTA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
SAN LUCAS,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,3,3
SANTIVAÑES,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
SIPE SIPE,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,11,11
SUCRE,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,2,2
TACOPAYA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,3,3
TAPACARI,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
TARATA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,2,2
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
VILLAZON,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,2,2
VINTO,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,4,4
YACUIBA,atencion de partos en domicilio,partos atendidos por otros,2020-02-01,1,1
ACACIO,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
AIQUILE,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por otros,2020-03-01,2,2
CAIROMA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
CAMARGO,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,2,2
CARACOLLO,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,2,2
CARIPUYO,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
CHIMORE,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,2,2
CKOCHAS,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,2,2
COLOMI,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
COTAGAITA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,2,2
EL ALTO,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,34,34
ENTRE RIOS TRJ,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,3,3
GUTIERREZ,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
LA GUARDIA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
MINEROS,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
MIZQUE,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
MOCOMOCO,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
POROMA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,2,2
PUCARANI,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,2,2
PUNATA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,3,3
RAVELO,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,2,2
SAIPINA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,3,3
SAPAHAQUI,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
SENA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
SIPE SIPE,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,3,3
SUCRE,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
TACOPAYA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,4,4
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,4,4
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por otros,2020-03-01,2,2
TRINIDAD,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
UNCIA,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
URIONDO (A. CONCEPCION),atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
UYUNI,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
VILLAZON,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,1,1
VINTO,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,3,3
YAPACANI,atencion de partos en domicilio,partos atendidos por otros,2020-03-01,2,2
AIQUILE,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,2,2
ARBIETO,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por otros,2020-04-01,2,2
BETANZOS,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,3,3
CARACOLLO,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
CARANAVI,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,3,3
CHIMORE,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
COLOMI,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
COLQUENCHA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
CORQUE,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
COTOCA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,2,2
EL ALTO,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,20,20
EL PUENTE(STC),atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,2,2
GUTIERREZ,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
HUANUNI,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,2,2
LA ASUNTA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
LA GUARDIA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,2,2
LA PAZ,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,4,4
LAJA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,2,2
MECAPACA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
MIZQUE,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,5,5
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
PORVENIR,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,7,7
PUCARANI,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
PUERTO QUIJARRO,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,2,2
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,3,3
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,2,2
RAVELO,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,2,2
SACABA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,3,3
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
SANTIVAÑES,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,2,2
SENA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
SIPE SIPE,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,7,7
TACOPAYA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,5,5
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,4,4
TORO TORO,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
TUPIZA,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
UYUNI,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
VILLAZON,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,4,4
VINTO,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,partos atendidos por otros,2020-04-01,1,1
AIQUILE,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,2,2
ARBIETO,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,2,2
CAMIRI,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,3,3
CHARAGUA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
CHIMORE,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
COCAPATA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
COLOMI,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,3,3
COTAGAITA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,2,2
EL ALTO,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,15,15
EL PUENTE(STC),atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
GUTIERREZ,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,2,2
LA GUARDIA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
LA PAZ,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
LAJA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,2,2
MAGDALENA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
MAIRANA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,3,3
MONTERO,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,3,3
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,2,2
POROMA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,5,5
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,5,5
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,3,3
REYES,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
SACABA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
SACABAMBA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,2,2
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,3,3
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,9,9
SANTIVAÑES,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
SAPAHAQUI,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,2,2
SENA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,2,2
SHINAOTA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
SIPE SIPE,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,5,5
SUCRE,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,2,2
TACOPAYA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
TIAHUANACU,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,5,5
TORO TORO,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,2,2
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por otros,2020-05-01,2,2
TUPIZA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
URUBICHA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
UYUNI,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,3,3
VIACHA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,4,4
VILA VILA,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,1,1
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,5,5
VILLAZON,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,5,5
VINTO,atencion de partos en domicilio,partos atendidos por otros,2020-05-01,5,5
AIQUILE,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,2,2
ARBIETO,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por otros,2020-06-01,3,3
CABEZAS,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,3,3
CARACOLLO,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,2,2
CARANAVI,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,2,2
COCHABAMBA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,2,2
COTAGAITA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,23,23
ENTRE RIOS CBBA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,5,5
FILADELFIA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
GUTIERREZ,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,2,2
LA GUARDIA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,2,2
LA PAZ,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,2,2
LAJA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
MAIRANA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
MONTERO,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,4,4
POCOATA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,2,2
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,2,2
PUNATA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,10,10
SAMAIPATA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,2,2
SAN BORJA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,7,7
SENA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,4,4
SORATA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,3,3
TAPACARI,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
TIAHUANACU,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,2,2
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,5,5
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
TRINIDAD,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,2,2
VALLEGRANDE,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
VIACHA,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,2,2
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,1,1
VILLAZON,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,2,2
VINTO,atencion de partos en domicilio,partos atendidos por otros,2020-06-01,3,3
AIQUILE,atencion de partos en domicilio,partos atendidos por otros,2020-07-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por otros,2020-07-01,3,3
BUENA VISTA,atencion de partos en domicilio,partos atendidos por otros,2020-07-01,2,2
CAMARGO,atencion de partos en domicilio,partos atendidos por otros,2020-07-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por otros,2020-07-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en domicilio,partos atendidos por otros,2020-07-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por otros,2020-07-01,3,3
CHIMORE,atencion de partos en domicilio,partos atendidos por otros,2020-07-01,1,1
CHUA COCANI,atencion de partos en domicilio,partos atendidos por otros,2020-07-01,1,1
COCAPATA,atencion de partos en domicilio,partos atendidos por otros,2020-07-01,2,2
