municipality,group,variable,month,Partos atendidos por personal de salud,TOTAL
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,7,7
CAJUATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
CALACOTO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
CALAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
CAMARGO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,7,7
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
CARACOLLO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,10,10
CARANAVI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,10,10
CARAPARI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
CARIPUYO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
CATACORA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,10,10
CHAQUI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
CHARAGUA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,8,8
CHARAÑA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
CHAYANTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,9,9
CHOQUE COTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,5,5
CHUMA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
COCHABAMBA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
COIPASA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
COLLANA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
COLOMI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,15,15
COLQUENCHA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
COLQUIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,12,12
COMANCHE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
COMBAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
CORIPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,5,5
CORO CORO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
COROICO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
CORQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,7,7
COTAGAITA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,20,20
CUATRO CAÑADAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
CULPINA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,8,8
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
CURVA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
EL ALTO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,5,5
EL CHORO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
EL PUENTE(STC),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
EL PUENTE(TJA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,6,6
EL TORNO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
ENTRE RIOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,7,7
EUCALIPTUS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,7,7
EXALTACION,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
FILADELFIA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,5,5
GUANAY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
GUAQUI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
GUTIERREZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,7,7
HUACARETA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
HUANUNI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
HUARACAJE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
ICHOCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,5,5
ICLA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
INCAHUASI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,19,19
INGAVI (HUMAITA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
INQUISIVI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,8,8
IXIAMAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
JESUS DE MACHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,8,8
LA ASUNTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
LA GUARDIA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
LA PAZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,5,5
LAGUNILLAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
LAJA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,5,5
LAS CARRERAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
LLICA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
LORETO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
LURIBAY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,7,7
MACHARETI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
MAGDALENA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
MALLA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
MAPIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
MECAPACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,6,6
MIZQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,9,9
MOCOMOCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,6,6
MOJOCOYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
MONTEAGUDO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,21,21
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
OCURI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,8,8
OMEREQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,6,6
PAMPA AULLAGAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
PAMPA GRANDE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
PAPEL PAMPA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
PATACAMAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
PAZÑA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
PELECHUCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
POCOATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,15,15
POCONA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
POJO (CBBA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,7,7
POROMA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,9,9
PORONGO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
POSTRER VALLE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
PRESTO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,7,7
PUCARANI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,14,14
PUERTO ACOSTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,7,7
PUERTO CARABUCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,5,5
PUERTO GONZALO MORENO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
PUERTO PEREZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
PUERTO RICO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,5,5
PUNA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,20,20
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
QUIME,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
RAVELO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,5,5
REYES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
RIBERALTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,10,10
RURRENABAQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
SACABA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,6,6
SACABAMBA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
SACACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,6,6
SAIPINA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,8,8
SAN AGUSTIN,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
SAN ANDRES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
SAN ANDRES DE MACHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
SAN BENITO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,7,7
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
SAN CARLOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,5,5
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,6,6
SAN JAVIER(BNI),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
SAN JULIAN,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,12,12
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,8,8
SAN LORENZO(TJA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
SAN LUCAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,39,39
SAN MATIAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
SAN PABLO DE LIPEZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
SAN PEDRO(PND),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
SANTA ROSA DEL SARA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
SANTIAGO DE CALLAPA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
SANTIAGO DE HUARI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
SAPAHAQUI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
SENA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,7,7
SICAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
SIPE SIPE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
SORACACHI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,5,5
SORATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,13,13
SUCRE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,7,7
TACACHI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
TACACOMA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
TACOBAMBA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
TACOPAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
TAHUA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,28,28
TARABUCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,12,12
TARACO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
TARATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
TARIJA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
TARVITA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,12,12
TEOPONTE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
TIAWANACU,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,12,12
TOCO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
TOLEDO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
TORO TORO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,12,12
TOTORA(CBBA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
TOTORA(ORR),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
TUPIZA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,17,17
UMALA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
UNCIA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,9,9
URIONDO (A. CONCEPCION),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
UYUNI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,5,5
VALLEGRANDE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
VIACHA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
VILA VILA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
VILLA MONTES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
VILLA SERRANO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,8,8
VILLA TUNARI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,4,4
VILLAZON,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
VITICHI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,7,7
WALDO BALLIVIAN,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
WARNES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
YACO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
YAMPARAEZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,2,2
YAPACANI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
YOCALLA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
YOTALA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,1,1
YUNCHARA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
ZUDAÑEZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-01-01,3,3
ACACIO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
ACHACACHI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,27,27
ACHOCALLA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
ALALAY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
ANCORAIMES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,8,8
ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
ANZALDO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,4,4
APOLO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,7,7
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,3,3
ARQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,4,4
ATOCHA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,3,3
AUCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,4,4
AYATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,7,7
AZURDUY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,7,7
BATALLAS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,7,7
BAURES,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
BELEN DE ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,2,2
BELEN DE URMIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
BELLA FLOR,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,2,2
BETANZOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,7,7
BOLIVAR,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,6,6
CAIROMA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,6,6
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,2,2
CAJUATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,6,6
CALACOTO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,3,3
CALAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,3,3
CAMARGO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,3,3
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
CAMIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,6,6
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,4,4
CARACOLLO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,7,7
CARANAVI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,17,17
CARIPUYO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,5,5
CATACORA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,10,10
CHAQUI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,5,5
CHARAGUA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,10,10
CHARAÑA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,2,2
CHAYANTA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,9,9
CHIMORE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
CHUMA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,3,3
COBIJA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,4,4
"COLCHA ""K""",atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,4,4
COLLANA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,18,18
COLQUENCHA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,4,4
COLQUIRI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,14,14
COMARAPA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,2,2
COPACABANA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
CORIPATA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,2,2
CORO CORO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,3,3
CORQUE,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,4,4
COTAGAITA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,5,5
CUEVO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,2,2
CULPINA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,13,13
CURVA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,4,4
EL ALTO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,3,3
EL CHORO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,4,4
EL PUENTE(TJA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,3,3
EL TORNO,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,4,4
EL VILLAR,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
ENTRE RIOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,2,2
ENTRE RIOS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,6,6
EUCALIPTUS,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,4,4
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
EXALTACION,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,8,8
GUANAY,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
GUAQUI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,1,1
GUTIERREZ,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,5,5
HUACARETA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,3,3
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,2,2
HUANUNI,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,5,5
HUAYLLAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud,2005-02-01,3,3
