municipality,group,variable,month,Nacidos vivos atendidos por partera capacitad,TOTAL
MAGDALENA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
MAPIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,6,6
MORO MORO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,7,7
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
OCURI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,14,14
OMEREQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
PADILLA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
PALCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
PAMPA AULLAGAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
PAPEL PAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
PASORAPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
POCOATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,10,10
PORCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
POROMA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
PRESTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,4,4
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,4,4
PUERTO CARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
PUERTO QUIJARRO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
PUERTO RICO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
PUNA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,13,13
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,4,4
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,10,10
ROBORE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
SACABA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,27,27
SAN AGUSTIN,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
SAN ANDRES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,5,5
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,4,4
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
SAN JOSE DE CHIQUITOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,5,5
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
SAN PEDRO(PND),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
SANTIVAÑES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
SENA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,4,4
SOPACHUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
SORACACHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,3,3
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,3,3
TACOBAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,3,3
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,14,14
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
TARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
TARVITA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,5,5
TIAWANACU,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,12,12
TOCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
TOMINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,5,5
TRINIDAD,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
TUPIZA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,3,3
TURCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
UNCIA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,8,8
URUBICHA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,3,3
VIACHA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,3,3
VILLA MONTES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,10,10
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
VITICHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
YACUIBA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
YAMPARAEZ,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,2,2
YOTALA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-01-01,1,1
ACACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,9,9
ACHACACHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
ALCALA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,4,4
APOLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,3,3
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
ARQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,4,4
AZURDUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,9,9
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
BERMEJO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
BOLPEBRA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
BOYUIBE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
CAJUATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
CALACOTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,3,3
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,10,10
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,9,9
CHUMA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
COBIJA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,33,33
COLQUENCHA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
COMARAPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
CONCEPCION,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,12,12
CORIPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,3,3
COTAGAITA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,7,7
CULPINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
DESAGUADERO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
EL CHORO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
FERNANDEZ ALONSO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
GENERAL SAAVEDRA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
GUANAY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,5,5
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
HUACARETA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
ICHOCA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
ICLA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,6,6
INCAHUASI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,5,5
INQUISIVI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
IXIAMAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,3,3
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
MACHARETI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
MAPIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
MINEROS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,6,6
MOROCHATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
OCURI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,7,7
OMEREQUE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,4,4
PADCAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
PADILLA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
PAILON,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
PAMPA AULLAGAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,4,4
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
PASORAPA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
PAZÑA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
POCOATA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,11,11
POCONA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
POJO (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
POROMA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
PRESTO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,4,4
PUERTO CARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,12,12
PUERTO QUIJARRO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
PUNA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,6,6
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,5,5
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,6,6
RIBERALTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
ROBORE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
SACABA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,23,23
SAN ANDRES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,3,3
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,15,15
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,4,4
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,4,4
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,4,4
SAN JAVIER(BNI),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,5,5
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,12,12
SAN PEDRO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,3,3
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
SAN PEDRO(PND),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
SAN RAFAEL,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
SAN RAMON,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
SANTIAGO DE HUARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
SANTIVAÑES,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
SOPACHUY,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,3,3
SORACACHI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
TACOBAMBA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,8,8
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,10,10
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,5,5
TARABUCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
TARVITA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,9,9
TINGUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,10,10
TOMAVE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,4,4
TORO TORO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
TRINIDAD,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,3,3
TUPIZA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
TURCO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
UMALA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
UNCIA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,6,6
URIONDO (A. CONCEPCION),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
URUBICHA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
UYUNI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
VALLEGRANDE,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
VIACHA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,2,2
VILA VILA,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
VILLA SERRANO,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,nacidos vivos atendidos por partera capacitad,2005-02-01,3,3
