municipality,group,variable,month,Nacidos muertos atendidos por personal de sal,TOTAL
SAN MATIAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,1,1
SANTIVAÑES,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,2,2
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-03-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-04-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-04-01,1,1
EL VILLAR,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-04-01,1,1
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-04-01,1,1
IXIAMAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-04-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-04-01,2,2
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-04-01,2,2
PALOS BLANCOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-04-01,1,1
PELECHUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-04-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-04-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-04-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-04-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,1,1
CAMATAQUI (C. VILLA ABECIA),atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,1,1
EL PUENTE(STC),atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,1,1
HUACARETA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,1,1
MOJOCOYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,1,1
PELECHUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,2,2
SAN BENITO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,1,1
SAN JULIAN,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,1,1
SAN MATIAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,1,1
TACOBAMBA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,1,1
TARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-05-01,2,2
ACHOCALLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
ARQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
AYATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
COMARAPA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
HUANUNI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
INQUISIVI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
MAGDALENA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
MECAPACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
PUCARANI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
SAN JULIAN,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
SAN PEDRO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
SANTA ANA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
SOPACHUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
YACO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-06-01,1,1
AYATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
CHARAGUA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
CHUMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
CULPINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
JESUS DE MACHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
PADILLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
PELECHUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,2,2
SAN LORENZO(PND),atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,2,2
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
VILLA SERRANO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
VILLAZON,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,2,2
VITICHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-07-01,1,1
ARAMPAMPA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-08-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-08-01,1,1
CHOQUE COTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-08-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-08-01,1,1
HUANUNI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-08-01,1,1
ICLA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-08-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-08-01,2,2
MACHARETI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-08-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-08-01,2,2
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-08-01,1,1
POJO (CBBA),atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-08-01,2,2
RURRENABAQUE,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-08-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-08-01,1,1
TARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-08-01,1,1
TARVITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-08-01,1,1
TOMINA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-08-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-08-01,1,1
ALALAY,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-09-01,1,1
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-09-01,1,1
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-09-01,1,1
EXALTACION,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-09-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-09-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-09-01,1,1
PUERTO PEREZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-09-01,1,1
PUERTO SILES,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-09-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-09-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-09-01,1,1
SORACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-09-01,2,2
TACOBAMBA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-09-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-09-01,1,1
YAPACANI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-09-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-10-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-10-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-10-01,1,1
CHAQUI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-10-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-10-01,1,1
EUCALIPTUS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-10-01,1,1
HUANUNI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-10-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-10-01,1,1
MAPIRI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-10-01,1,1
PORTACHUELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-10-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-10-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-10-01,1,1
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-10-01,1,1
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-10-01,2,2
TOMAVE,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-10-01,1,1
VILLAZON,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-10-01,1,1
APOLO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-11-01,1,1
AYATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-11-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-11-01,1,1
CAIROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-11-01,1,1
CAMARGO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-11-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-11-01,1,1
COLLANA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-11-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-11-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-11-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-11-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-11-01,1,1
SAN PEDRO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-11-01,1,1
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-11-01,1,1
TUPIZA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-11-01,1,1
YAMPARAEZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-11-01,1,1
ATOCHA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-12-01,1,1
BATALLAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-12-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-12-01,1,1
DESAGUADERO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-12-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-12-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-12-01,1,1
REYES,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-12-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-12-01,1,1
SORACACHI,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-12-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-12-01,1,1
VILLA SERRANO,atencion de partos en domicilio,nacidos muertos atendidos por personal de sal,2005-12-01,2,2
