,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES
VINTO,leishmaniasis,tratamientos de leishmania mucosa,2020-02-01,1,0,0,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2020-03-01,1,1,2,0,3,1
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa,2020-03-01,0,0,1,0,1,0
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2020-03-01,0,1,0,0,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2020-03-01,5,0,0,0,5,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2020-03-01,1,0,0,0,1,0
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa,2020-03-01,0,0,1,0,1,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2020-03-01,0,1,0,0,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2020-03-01,0,2,0,0,0,2
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2020-03-01,8,0,5,0,13,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2020-03-01,1,0,0,0,1,0
VINTO,leishmaniasis,tratamientos de leishmania mucosa,2020-03-01,0,0,1,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2020-04-01,1,0,0,1,1,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2020-04-01,0,0,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania mucosa,2020-04-01,0,0,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2020-04-01,0,2,4,0,4,2
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2020-04-01,0,1,0,0,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2020-04-01,1,0,0,0,1,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2020-04-01,0,1,0,1,0,2
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2020-04-01,1,2,0,1,1,3
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2020-04-01,2,0,2,0,4,0
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2020-04-01,0,0,2,0,2,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa,2020-04-01,1,0,0,0,1,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2020-04-01,25,9,25,9,50,18
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2020-05-01,1,0,0,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2020-05-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2020-05-01,1,2,1,1,2,3
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2020-05-01,0,0,1,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2020-05-01,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2020-05-01,0,0,1,0,1,0
MONTERO,leishmaniasis,tratamientos de leishmania mucosa,2020-05-01,0,0,0,0,0,0
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2020-05-01,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2020-05-01,0,0,1,0,1,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa,2020-05-01,0,0,1,0,1,0
TIPUANI,leishmaniasis,tratamientos de leishmania mucosa,2020-05-01,1,0,0,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2020-06-01,0,0,1,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2020-06-01,1,0,0,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2020-06-01,0,1,0,0,0,1
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa,2020-06-01,1,0,0,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2020-06-01,0,0,1,0,1,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2020-06-01,1,0,0,0,1,0
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2020-06-01,0,0,1,0,1,0
TIPUANI,leishmaniasis,tratamientos de leishmania mucosa,2020-06-01,0,0,1,0,1,0
BOLPEBRA,leishmaniasis,tratamientos de leishmania mucosa,2020-07-01,0,0,1,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2020-07-01,1,0,0,0,1,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2020-07-01,0,0,1,0,1,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2020-07-01,1,0,0,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2020-08-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2020-08-01,0,0,0,0,0,0
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2020-08-01,1,0,0,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2020-08-01,2,0,0,0,2,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2020-08-01,0,0,0,1,0,1
ANZALDO,leishmaniasis,tratamientos de leishmania mucosa,2020-09-01,1,0,0,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2020-09-01,0,0,1,0,1,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa,2020-09-01,1,1,0,0,1,1
ANZALDO,leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,0,0,1,0,1,0
APOLO,leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,1,0,0,0,1,0
AYATA,leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,0,0,1,0,1,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,1,1,0,1,1,2
CHIMORE,leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,0,1,0,0,0,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,3,2,0,0,3,2
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,1,0,0,0,1,0
COROICO,leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,0,1,0,0,0,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,1,0,0,0,1,0
IXIAMAS,leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,1,0,1,0,2,0
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,0,1,0,0,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,0,1,0,0,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,2,0,0,0,2,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,1,0,0,0,1,0
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,1,0,0,0,1,0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,0,0,1,1,1,1
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,1,0,1,0,2,0
TEOPONTE,leishmaniasis,tratamientos de leishmania mucosa,2020-10-01,1,1,0,0,1,1
ANZALDO,leishmaniasis,tratamientos de leishmania mucosa,2020-11-01,0,1,0,0,0,1
APOLO,leishmaniasis,tratamientos de leishmania mucosa,2020-11-01,0,0,1,0,1,0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2020-11-01,1,1,0,0,1,1
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2020-11-01,3,1,2,2,5,3
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2020-11-01,1,0,0,0,1,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2020-11-01,1,0,1,0,2,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2020-11-01,1,3,0,0,1,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2020-11-01,0,1,0,1,0,2
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania mucosa,2020-11-01,0,0,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2020-11-01,3,0,2,0,5,0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa,2020-11-01,1,0,1,0,2,0
RURRENABAQUE,leishmaniasis,tratamientos de leishmania mucosa,2020-11-01,0,0,0,1,0,1
SACABA,leishmaniasis,tratamientos de leishmania mucosa,2020-11-01,0,0,1,0,1,0
SENA,leishmaniasis,tratamientos de leishmania mucosa,2020-11-01,0,1,0,0,0,1
SIPE SIPE,leishmaniasis,tratamientos de leishmania mucosa,2020-11-01,1,0,0,0,1,0
ANZALDO,leishmaniasis,tratamientos de leishmania mucosa,2020-12-01,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa,2020-12-01,0,0,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa,2020-12-01,0,0,1,0,1,0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa,2020-12-01,3,1,3,0,6,1
COCHABAMBA,leishmaniasis,tratamientos de leishmania mucosa,2020-12-01,1,0,0,0,1,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa,2020-12-01,0,0,1,0,1,0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa,2020-12-01,0,0,1,0,1,0
FILADELFIA,leishmaniasis,tratamientos de leishmania mucosa,2020-12-01,0,0,1,1,1,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa,2020-12-01,0,0,0,1,0,1
PORVENIR,leishmaniasis,tratamientos de leishmania mucosa,2020-12-01,1,1,2,0,3,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania mucosa,2020-12-01,0,1,0,0,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania mucosa,2020-12-01,2,0,0,0,2,0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa,2020-12-01,2,0,0,0,2,0
SENA,leishmaniasis,tratamientos de leishmania mucosa,2020-12-01,0,0,0,1,0,1
SIPE SIPE,leishmaniasis,tratamientos de leishmania mucosa,2020-12-01,0,0,1,0,1,0
