,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA CONCLUIDO,TOTALES,TOTALES
CLIZA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-07-01,1.0,0.0,1.0,0.0,2.0,0.0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-07-01,1.0,0.0,0.0,0.0,1.0,0.0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-07-01,1.0,0.0,0.0,0.0,1.0,0.0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0
CORIPATA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-08-01,1.0,0.0,0.0,0.0,1.0,0.0
COROICO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-08-01,0.0,1.0,0.0,1.0,0.0,2.0
RIBERALTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-08-01,0.0,0.0,1.0,0.0,1.0,0.0
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-08-01,0.0,0.0,1.0,0.0,1.0,0.0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-09-01,0.0,0.0,1.0,0.0,1.0,0.0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-10-01,0.0,0.0,1.0,0.0,1.0,0.0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-10-01,0.0,1.0,0.0,0.0,0.0,1.0
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-10-01,1.0,0.0,0.0,0.0,1.0,0.0
SHINAOTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-10-01,0.0,0.0,1.0,0.0,1.0,0.0
TEOPONTE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-10-01,0.0,1.0,0.0,0.0,0.0,1.0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-10-01,1.0,0.0,0.0,0.0,1.0,0.0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-11-01,0.0,0.0,1.0,0.0,1.0,0.0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-11-01,0.0,0.0,0.0,1.0,0.0,1.0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-11-01,1.0,0.0,0.0,0.0,1.0,0.0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-11-01,0.0,1.0,0.0,0.0,0.0,1.0
TEOPONTE,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-11-01,0.0,0.0,0.0,1.0,0.0,1.0
VILLA TUNARI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-11-01,0.0,0.0,1.0,0.0,1.0,0.0
BELLA FLOR,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-12-01,1.0,0.0,0.0,0.0,1.0,0.0
COBIJA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-12-01,1.0,0.0,0.0,0.0,1.0,0.0
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-12-01,0.0,0.0,1.0,0.0,1.0,0.0
SAN IGNACIO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-12-01,0.0,0.0,0.0,1.0,0.0,1.0
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2020-12-01,0.0,1.0,0.0,0.0,0.0,1.0
