municipality,group,variable,month,Vacunaciones SRP fuera de servicio,TOTAL
IRUPANA (VILLA DE LANZA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,11,11
IXIAMAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,8,8
JESUS DE MACHACA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,14,14
LA ASUNTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,25,25
LA GUARDIA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,9,9
LA PAZ,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,26,26
LAJA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,25,25
LLALLAGUA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,53,53
MACHARETI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,12,12
MALLA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,4,4
MAPIRI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,12,12
MECAPACA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,18,18
MINEROS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,5,5
MIZQUE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,23,23
MOCOMOCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,5,5
MOJINETE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,4,4
MOJOCOYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,5,5
MONTEAGUDO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
MONTERO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,66,66
MOROCHATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,64,64
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
OCURI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,8,8
OKINAWA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,4,4
ORURO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,63,63
PADCAYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
PADILLA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,9,9
PAILON,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
PALCA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,16,16
PALOS BLANCOS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,12,12
PAMPA AULLAGAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
PAMPA GRANDE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,17,17
PAPEL PAMPA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,3,3
PASORAPA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
PATACAMAYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,8,8
PAZÑA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,7,7
POCOATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,7,7
POCONA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,9,9
POJO (CBBA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,27,27
POOPO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
PORCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,9,9
POROMA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,23,23
PORONGO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,7,7
PORTACHUELO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,10,10
PORVENIR,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
POTOSI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,17,17
PRESTO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,11,11
PUCARANI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,23,23
PUERTO ACOSTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,20,20
PUERTO CARABUCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,17,17
PUERTO GONZALO MORENO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,3,3
PUERTO QUIJARRO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,31,31
PUERTO RICO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,4,4
PUERTO SUAREZ,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,13,13
PUERTO VILLARROEL,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,14,14
PUNA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,6,6
PUNATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,15,15
QUIABAYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
QUILLACOLLO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,41,41
QUIME,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,25,25
QUIRUSILLAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,4,4
RAVELO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,39,39
RIBERALTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,13,13
RURRENABAQUE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,3,3
SACABA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,61,61
SACABAMBA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
SACACA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,14,14
SAIPINA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,9,9
SALINAS DE GARCI MENDOZA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,10,10
SAMAIPATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,8,8
SAN ANDRES,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,3,3
SAN ANTONIO DE ESMORUCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
SAN ANTONIO DE LOMERIO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,3,3
SAN BENITO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,16,16
SAN BORJA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,24,24
SAN BUENA VENTURA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,19,19
SAN CARLOS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,22,22
SAN IGNACIO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,4,4
SAN IGNACIO DE VELASCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,9,9
SAN JOAQUIN,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,6,6
SAN JOSE DE CHIQUITOS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,3,3
SAN JUAN DE YAPACANI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,15,15
SAN JULIAN,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,29,29
SAN LORENZO(PND),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,8,8
SAN LORENZO(TJA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,3,3
SAN LUCAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,35,35
SAN MATIAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,15,15
SAN PABLO DE LIPEZ,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
SAN PEDRO DE BUENA VISTA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
SAN PEDRO DE CURAHUARA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,6,6
SAN PEDRO DE QUEMES,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
SAN PEDRO(PND),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
SAN RAFAEL,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
SAN RAMON,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,8,8
SANTA ANA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,5,5
SANTA CRUZ DE LA SIERRA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,204,204
SANTA ROSA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,4,4
SANTA ROSA DEL SARA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,31,31
SANTIAGO DE CALLAPA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,8,8
SANTIAGO DE HUARI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,14,14
SANTIAGO DE MACHACA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
SANTIVAÑES,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,4,4
SANTUARIO DE QUILLACAS,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,3,3
SAPAHAQUI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
SENA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
SICA SICA (VILLA AROMA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,7,7
SICAYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,1,1
SIPE SIPE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,50,50
SOPACHUY,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,5,5
SORACACHI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,8,8
SORATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,35,35
SUCRE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,50,50
TACACHI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
TACACOMA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,12,12
TACOBAMBA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,10,10
TACOPAYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,3,3
TAPACARI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,36,36
TARABUCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,18,18
TARACO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,8,8
TARATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,6,6
TARIJA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,14,14
TARVITA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,9,9
TEOPONTE,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,6,6
TIAWANACU,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,15,15
TINGUIPAYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,32,32
TIPUANI,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,11,11
TIQUIPAYA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,24,24
TIRAQUE (CBBA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,66,66
TOCO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,6,6
TOLATA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,3,3
TOLEDO,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,3,3
TOMINA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,2,2
TOTORA(CBBA),vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,5,5
TRINIDAD,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,4,4
TUPIZA,vacunaciones de srp (ninos de 12 a 23 meses),vacunaciones srp fuera de servicio,2005-01-01,56,56
