municipality,group,variable,month,Total 13.9 Días camas disponibles maternidad,TOTAL
COLQUECHACA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
COLQUENCHA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
COLQUIRI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,273,273
COMARAPA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,248,248
COMBAYA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,32,32
CONCEPCION,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,186,186
COPACABANA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
CORIPATA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
CORO CORO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,112,112
COROICO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,279,279
COTAGAITA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
COTOCA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,713,713
CUATRO CAÑADAS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,279,279
CUEVO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
CULPINA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,397,397
CURAHUARA DE CARANGAS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
EL ALTO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,6294,6294
EL CHORO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
EL PUENTE(STC),internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,186,186
EL PUENTE(TJA),internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,90,90
EL TORNO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,713,713
EL VILLAR,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,310,310
ENTRE RIOS TRJ,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,132,132
ENTRE RIOS CBBA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,434,434
ESCOMA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
EUCALIPTUS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
EXALTACION,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,28,28
FERNANDEZ ALONSO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,341,341
FILADELFIA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,28,28
GENERAL SAAVEDRA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
GUANAY,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,186,186
GUAQUI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
GUAYARAMERIN,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,777,777
GUTIERREZ,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,152,152
HUACARETA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,361,361
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,105,105
HUACHACALLA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
HUANUNI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,372,372
HUARACAJE,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
HUATAJATA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
HUAYLLAMARCA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
HUMANATA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
ICLA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,310,310
INCAHUASI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,185,185
INQUISIVI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
IRUPANA (VILLA DE LANZA),internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
IXIAMAS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,92,92
JESUS DE MACHACA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
LA ASUNTA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,434,434
LA GUARDIA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,744,744
LA PAZ,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,13609,13609
LAJA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
LAS CARRERAS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,216,216
LICOMA PAMPA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,30,30
LLALLAGUA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,372,372
LLICA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
LORETO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,55,55
LURIBAY,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
MACHACAMARCA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
MACHARETI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,215,215
MAGDALENA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,155,155
MAIRANA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,155,155
MAPIRI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
MECAPACA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
MINEROS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,248,248
MIZQUE,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,713,713
MOCOMOCO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
MOJOCOYA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,255,255
MONTEAGUDO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,682,682
MONTERO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,1484,1484
MORO MORO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
MOROCHATA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,342,342
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,28,28
OCURI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,248,248
OKINAWA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,133,133
OMEREQUE,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,310,310
ORURO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,4367,4367
PADILLA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,279,279
PAILON,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,368,368
PALCA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
PALOS BLANCOS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,371,371
PAMPA AULLAGAS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
PAMPA GRANDE,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
PASORAPA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,186,186
PATACAMAYA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,217,217
PAZÑA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
POCOATA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
POCONA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,434,434
POJO (CBBA),internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,248,248
POROMA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,434,434
PORONGO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,341,341
PORTACHUELO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,868,868
PORVENIR,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,180,180
POSTRER VALLE,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
POTOSI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,2046,2046
PRESTO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,24,24
PUCARA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
PUCARANI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,145,145
PUERTO ACOSTA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
PUERTO CARABUCO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,56,56
PUERTO GONZALO MORENO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,116,116
PUERTO QUIJARRO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,90,90
PUERTO RICO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,98,98
PUERTO VILLARROEL,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,1209,1209
PUNA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,155,155
PUNATA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,651,651
QUIABAYA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,29,29
QUILLACOLLO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,1063,1063
QUIME,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
QUIRUSILLAS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
RAVELO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
REYES,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
RIBERALTA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,1178,1178
ROBORE,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,306,306
RURRENABAQUE,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,248,248
SABAYA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
SACABA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,1364,1364
SACABAMBA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
SACACA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
SAIPINA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,150,150
SALINAS DE GARCI MENDOZA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,310,310
SAMAIPATA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,155,155
SAN ANTONIO DE LOMERIO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
SAN BENITO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
SAN BORJA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,462,462
SAN BUENA VENTURA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
SAN CARLOS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,434,434
SAN IGNACIO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,527,527
SAN IGNACIO DE VELASCO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,961,961
SAN JAVIER(BNI),internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,28,28
SAN JOAQUIN,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,992,992
SAN JUAN DE YAPACANI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,158,158
SAN JULIAN,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,589,589
SAN LORENZO(PND),internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,78,78
SAN LUCAS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,646,646
SAN MATIAS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,218,218
SAN MIGUEL DE VELASCO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,155,155
SAN PEDRO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,422,422
SAN PEDRO DE BUENA VISTA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
SAN PEDRO DE CURAHUARA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
SAN RAFAEL,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
SAN RAMON BENI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
SAN RAMON SCZ,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,155,155
SANTA ANA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,248,248
SANTA CRUZ DE LA SIERRA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,24928,24928
SANTA ROSA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
SANTA ROSA DEL SARA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,310,310
SANTIAGO DE CALLAPA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
SANTIAGO DE HUARI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
SANTIAGO DE HUATA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
SANTIAGO DE MACHACA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
SANTIVAÑES,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,186,186
SANTUARIO DE QUILLACAS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
SAPAHAQUI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
SENA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
SHINAOTA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,402,402
SICA SICA (VILLA AROMA),internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,186,186
SICAYA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
SIPE SIPE,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,958,958
SOPACHUY,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,303,303
SORACACHI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
SORATA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
SUCRE,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,4508,4508
TACACHI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
TACACOMA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,154,154
TACOPAYA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,186,186
TAPACARI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,492,492
TARABUCO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,374,374
TARACO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
TARATA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,279,279
TARIJA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,1641,1641
TARVITA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,713,713
TEOPONTE,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
TIAWANACU,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
TIPUANI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,186,186
TIQUIPAYA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,614,614
TIRAQUE (CBBA),internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,589,589
TOCO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,155,155
TOLATA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
TOMINA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,496,496
TORO TORO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
TOTORA(CBBA),internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,310,310
TOTORA(ORR),internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
TRIGAL,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
TRINIDAD,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,1798,1798
TUPIZA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,558,558
UMALA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
UNCIA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,155,155
URUBICHA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
UYUNI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,557,557
VACAS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,217,217
VALLEGRANDE,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,186,186
VIACHA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,858,858
VILA VILA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
VILLA CHARCAS,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,190,190
VILLA MONTES,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,372,372
VILLA RIVERO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,155,155
VILLA SERRANO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,462,462
VILLA TUNARI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,1115,1115
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,272,272
VILLAZON,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,434,434
VINTO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,237,237
VITICHI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
WARNES,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,1154,1154
YACO,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,62,62
YACUIBA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,674,674
YAMPARAEZ,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
YANACACHI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,31,31
YAPACANI,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,547,547
YOTALA,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,93,93
ZUDAÑEZ,internaciones dias camas,      dias camas disponibles maternidad,2014-01-01,124,124
ACACIO,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,28,28
ACHACACHI,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,308,308
ACHOCALLA,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,56,56
AIQUILE,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,476,476
ALALAY,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,112,112
ALCALA,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,112,112
ALTO BENI,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,140,140
ANCORAIMES,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,56,56
ANDAMARCA,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,28,28
ANTEQUERA,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,28,28
ANZALDO,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,84,84
APOLO,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,112,112
ARAMPAMPA,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,28,28
ARANI,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,140,140
ARBIETO,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,168,168
ARQUE,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,194,194
ASCENCION DE GUARAYOS,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,308,308
ATOCHA,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,494,494
AYATA,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,28,28
AYO AYO,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,84,84
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,1064,1064
AZURDUY,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,274,274
BAURES,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,56,56
BELEN DE ANDAMARCA,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,28,28
BERMEJO,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,289,289
BETANZOS,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,224,224
BOLIVAR,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,112,112
BOYUIBE,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,112,112
BUENA VISTA,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,215,215
CABEZAS,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,112,112
CAIROMA,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,168,168
"CAIZA ""D""",internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,118,118
CAJUATA,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,76,76
CALACOTO,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,28,28
CALAMARCA,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,84,84
CAMARGO,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,280,280
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,93,93
CAMIRI,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,541,541
CAPINOTA,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,223,223
CAQUIAVIRI,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,28,28
CARACOLLO,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,196,196
CARANAVI,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,308,308
CARAPARI,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,54,54
CARIPUYO,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,28,28
CARMEN RIVERO TORREZ,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,155,155
CHALLAPATA,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,256,256
CHAQUI,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,26,26
CHARAGUA,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,258,258
CHAYANTA,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,54,54
CHIMORE,internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,308,308
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,      dias camas disponibles maternidad,2014-02-01,224,224
