municipality,group,variable,month,Total 13.7 Días camas ocupadas maternidad,TOTAL
COCAPATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,11,11
COCHABAMBA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,6323,6323
COIPASA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,4,4
COLCAPIRHUA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,96,96
COLOMI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,30,30
COLPA BELGICA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,41,41
COLQUECHACA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,20,20
COLQUENCHA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,6,6
COLQUIRI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,17,17
COMARAPA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,60,60
COMBAYA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,1,1
CONCEPCION,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,48,48
COPACABANA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,22,22
CORIPATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,5,5
CORO CORO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,6,6
COROICO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,65,65
COTAGAITA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,31,31
COTOCA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,207,207
CUATRO CAÑADAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,171,171
CUEVO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,5,5
CULPINA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,57,57
CURAHUARA DE CARANGAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,11,11
EL ALTO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,3920,3920
EL PUENTE(STC),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,11,11
EL PUENTE(TJA),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,20,20
EL TORNO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,214,214
EL VILLAR,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,11,11
ENTRE RIOS TRJ,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,33,33
ENTRE RIOS CBBA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,31,31
ESCOMA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,23,23
EUCALIPTUS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
EXALTACION,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,4,4
FERNANDEZ ALONSO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,23,23
FILADELFIA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,3,3
GENERAL SAAVEDRA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,18,18
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
GUANAY,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,24,24
GUAQUI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,6,6
GUAYARAMERIN,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,390,390
GUTIERREZ,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,78,78
HUACARETA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,21,21
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,18,18
HUANUNI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,117,117
HUARACAJE,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,16,16
ICLA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,14,14
INCAHUASI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,27,27
INGAVI (HUMAITA),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
INQUISIVI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,6,6
IRUPANA (VILLA DE LANZA),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,12,12
IXIAMAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,18,18
JESUS DE MACHACA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,8,8
LA ASUNTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,64,64
LA GUARDIA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,149,149
LA PAZ,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,6187,6187
LAJA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,5,5
LAS CARRERAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,4,4
LICOMA PAMPA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,3,3
LLALLAGUA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,196,196
LLICA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,6,6
LORETO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,7,7
LURIBAY,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
MACHACAMARCA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,4,4
MACHARETI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,10,10
MAGDALENA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,101,101
MAIRANA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,129,129
MAPIRI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,15,15
MECAPACA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,4,4
MINEROS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,44,44
MIZQUE,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,110,110
MOCOMOCO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
MOJOCOYA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,24,24
MONTEAGUDO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,194,194
MONTERO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,850,850
MORO MORO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,4,4
MOROCHATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,16,16
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
OCURI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,30,30
OKINAWA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,30,30
OMEREQUE,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,13,13
ORURO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2230,2230
PADILLA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,106,106
PAILON,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,64,64
PALCA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,8,8
PALOS BLANCOS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,42,42
PAMPA AULLAGAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,3,3
PAMPA GRANDE,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,32,32
PASORAPA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,4,4
PATACAMAYA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,64,64
PAZÑA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,10,10
POCOATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,10,10
POCONA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,26,26
POJO (CBBA),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,16,16
POROMA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,6,6
PORONGO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,11,11
PORTACHUELO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,178,178
PORVENIR,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,6,6
POTOSI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,1195,1195
PRESTO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,7,7
PUCARA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,4,4
PUCARANI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,17,17
PUERTO ACOSTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,1,1
PUERTO CARABUCO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,4,4
PUERTO GONZALO MORENO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,8,8
PUERTO QUIJARRO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,56,56
PUERTO RICO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,23,23
PUERTO VILLARROEL,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,250,250
PUNA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,10,10
PUNATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,274,274
QUIABAYA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
QUILLACOLLO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,403,403
QUIME,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,3,3
QUIRUSILLAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,3,3
REYES,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,44,44
RIBERALTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,775,775
ROBORE,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,62,62
RURRENABAQUE,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,170,170
SACABA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,363,363
SACABAMBA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,6,6
SACACA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,30,30
SAIPINA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,5,5
SALINAS DE GARCI MENDOZA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,25,25
SAMAIPATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,32,32
SAN ANDRES,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
SAN ANTONIO DE LOMERIO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,6,6
SAN BENITO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,40,40
SAN BORJA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,154,154
SAN BUENA VENTURA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,38,38
SAN CARLOS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,133,133
SAN IGNACIO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,88,88
SAN IGNACIO DE VELASCO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,379,379
SAN JAVIER(BNI),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
SAN JOAQUIN,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,6,6
SAN JOSE DE CHIQUITOS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,121,121
SAN JUAN DE YAPACANI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,28,28
SAN JULIAN,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,114,114
SAN LORENZO(PND),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,12,12
SAN LUCAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,58,58
SAN MATIAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,59,59
SAN MIGUEL DE VELASCO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,41,41
SAN PEDRO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,297,297
SAN PEDRO DE BUENA VISTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,12,12
SAN PEDRO DE CURAHUARA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,1,1
SAN RAFAEL,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,14,14
SAN RAMON BENI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,28,28
SAN RAMON SCZ,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,28,28
SANTA ANA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,133,133
SANTA CRUZ DE LA SIERRA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,11944,11944
SANTA ROSA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,64,64
SANTA ROSA DEL SARA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,18,18
SANTIAGO DE CALLAPA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
SANTIAGO DE HUARI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
SANTIAGO DE HUATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
SANTIAGO DE MACHACA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
SANTIVAÑES,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
SAPAHAQUI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,5,5
SENA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,31,31
SHINAOTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,113,113
SICA SICA (VILLA AROMA),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,24,24
SIPE SIPE,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,40,40
SOPACHUY,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,26,26
SORATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,7,7
SUCRE,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,1924,1924
TACACOMA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,12,12
TACOPAYA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,5,5
TAPACARI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,8,8
TARABUCO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,108,108
TARACO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,1,1
TARATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,12,12
TARIJA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,1614,1614
TARVITA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,88,88
TEOPONTE,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,20,20
TIAWANACU,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,9,9
TIPUANI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,26,26
TIQUIPAYA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,306,306
TIRAQUE (CBBA),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,35,35
TOCO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,5,5
TOLATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,6,6
TOMINA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,16,16
TORO TORO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,9,9
TOTORA(CBBA),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,108,108
TOTORA(ORR),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,4,4
TRIGAL,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,4,4
TRINIDAD,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,1273,1273
TUPIZA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,288,288
TURCO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
UMALA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,6,6
UNCIA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,41,41
URUBICHA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,8,8
UYUNI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,233,233
VACAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,13,13
VALLEGRANDE,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,163,163
VIACHA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,105,105
VILA VILA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,6,6
VILLA CHARCAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,26,26
VILLA MONTES,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,286,286
VILLA RIVERO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,4,4
VILLA SERRANO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,34,34
VILLA TUNARI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,456,456
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,13,13
VILLAZON,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,222,222
VINTO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,454,454
VITICHI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,8,8
WARNES,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,302,302
YACO,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,2,2
YACUIBA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,412,412
YAMPARAEZ,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,6,6
YANACACHI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,4,4
YAPACANI,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,187,187
YOTALA,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,43,43
ZUDAÑEZ,internaciones dias camas,      dias camas ocupadas maternidad,2014-01-01,20,20
ACACIO,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,6,6
ACHACACHI,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,36,36
ACHOCALLA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,11,11
AIQUILE,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,55,55
ALALAY,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,2,2
ALCALA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,6,6
ALTO BENI,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,12,12
ANCORAIMES,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,6,6
ANTEQUERA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,4,4
ANZALDO,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,5,5
APOLO,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,14,14
ARAMPAMPA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,1,1
ARANI,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,22,22
ARBIETO,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,11,11
ARQUE,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,8,8
ASCENCION DE GUARAYOS,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,206,206
ATOCHA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,112,112
AYATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,1,1
AYO AYO,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,33,33
AZURDUY,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,18,18
BAURES,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,8,8
BERMEJO,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,131,131
BETANZOS,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,58,58
BOLIVAR,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,30,30
BUENA VISTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,18,18
CABEZAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,36,36
CAIROMA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,28,28
"CAIZA ""D""",internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,14,14
CAJUATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,10,10
CALACOTO,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,2,2
CALAMARCA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,5,5
CAMARGO,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,73,73
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,15,15
CAMIRI,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,377,377
CAPINOTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,22,22
CAQUIAVIRI,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,1,1
CARACOLLO,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,24,24
CARANAVI,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,140,140
CARAPARI,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,2,2
CARIPUYO,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,2,2
CARMEN RIVERO TORREZ,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,15,15
CHALLAPATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,133,133
CHAQUI,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,2,2
CHARAGUA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,70,70
CHAYANTA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,20,20
CHIMORE,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,26,26
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,122,122
CHUMA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,14,14
CKOCHAS,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,4,4
CLIZA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,81,81
COBIJA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,639,639
COCAPATA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,5,5
COCHABAMBA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,5837,5837
COIPASA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,2,2
COLCAPIRHUA,internaciones dias camas,      dias camas ocupadas maternidad,2014-02-01,72,72
