municipality,group,variable,month,Nº de actividades educativas en Salud,TOTAL
CALAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,6,6
CAMARGO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,62,62
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,7,7
CAMIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,8,8
CAPINOTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,58,58
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,10,10
CARACOLLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,26,26
CARANAVI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,111,111
CARAPARI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,2,2
CARIPUYO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,45,45
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
CATACORA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,8,8
CHACARILLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,111,111
CHAQUI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,4,4
CHARAGUA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
CHAYANTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
CHIMORE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,22,22
CHIPAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,9,9
CHOQUE COTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,4,4
CHUMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,2,2
CKOCHAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,35,35
CLIZA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
COBIJA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,16,16
COCHABAMBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,46,46
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,14,14
COLPA BELGICA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,14,14
COLQUECHACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
COLQUENCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
COMANCHE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
COMARAPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,24,24
CONCEPCION,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,18,18
COROICO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,5,5
CORQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,10,10
COTAGAITA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,14,14
COTOCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,4,4
CULPINA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,24,24
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
CURVA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
DESAGUADERO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,352,352
EL CHORO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,4,4
EL PUENTE(STC),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,12,12
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,40,40
EL TORNO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,99,99
EL VILLAR,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,16,16
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,28,28
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,4,4
ESMERALDA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
EUCALIPTUS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,7,7
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,15,15
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,8,8
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
GUAQUI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,16,16
HUACARETA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,6,6
HUANUNI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,61,61
HUARINA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,2,2
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,13,13
ICLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,47,47
INQUISIVI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,2,2
IXIAMAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,7,7
LA ASUNTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
LA GUARDIA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,126,126
LA PAZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,64,64
LAGUNILLAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,10,10
LAJA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,39,39
LLALLAGUA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,15,15
LLICA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,2,2
MECAPACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,41,41
MINEROS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,6,6
MOCOMOCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
MOJINETE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,37,37
MOJOCOYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,31,31
MONTEAGUDO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,9,9
MONTERO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,69,69
MORO MORO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,21,21
MOROCHATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,2,2
OMEREQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,6,6
ORURO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,321,321
PADCAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,5,5
PADILLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,30,30
PAILON,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,15,15
PALCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,31,31
PAPEL PAMPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,10,10
PASORAPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,2,2
PATACAMAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,7,7
PAZÑA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,7,7
PELECHUCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
POCOATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,11,11
POCONA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,4,4
POOPO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,6,6
PORCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
POROMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,5,5
PORONGO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,11,11
PORTACHUELO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,4,4
POTOSI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,63,63
PRESTO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,43,43
PUCARANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,100,100
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,2,2
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,8,8
PUERTO PEREZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,37,37
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,27,27
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,25,25
PUNA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,28,28
PUNATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,39,39
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,70,70
QUIME,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
QUIRUSILLAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
RAVELO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,13,13
REYES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
ROBORE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
SABAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,8,8
SACABA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,5,5
SACABAMBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,2,2
SACACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,34,34
SAIPINA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,29,29
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,10,10
SAMAIPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,4,4
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,4,4
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,18,18
SAN BENITO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,23,23
SAN BORJA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,31,31
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,15,15
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,136,136
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,6,6
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,14,14
SAN JULIAN,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,59,59
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,12,12
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,33,33
SAN MATIAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,21,21
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,11,11
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
SAN PEDRO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,38,38
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,56,56
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,2,2
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,27,27
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,437,437
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,7,7
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,13,13
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
SANTIVAÑES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,12,12
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,8,8
SHINAOTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,5,5
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,10,10
SIPE SIPE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,10,10
SORACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,23,23
SORATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,2,2
SUCRE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,50,50
TACACOMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
TACOBAMBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
TACOPAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,26,26
TAPACARI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,5,5
TARABUCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,70,70
TARACO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,56,56
TARVITA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,61,61
TEOPONTE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
TIAWANACU,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,7,7
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
TIPUANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
TIQUIPAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,18,18
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,26,26
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
TOCO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
TOLEDO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,4,4
TOMAVE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
TOMINA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,26,26
TOTORA(CBBA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,2,2
TOTORA(ORR),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,22,22
TRINIDAD,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,90,90
TUPIZA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
UMALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,30,30
URUBICHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,5,5
UYUNI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,2,2
VACAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,4,4
VALLEGRANDE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,11,11
VIACHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,38,38
VILA VILA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
VILLA CHARCAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,28,28
VILLA MONTES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,11,11
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,48,48
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
VILLAZON,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,20,20
VINTO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,26,26
VITICHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,5,5
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,1,1
WARNES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,3,3
YACO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,7,7
YACUIBA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,93,93
YAMPARAEZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,40,40
YANACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,6,6
YAPACANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,125,125
YOTALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,5,5
YUNCHARA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,7,7
ZUDAÑEZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-01-01,34,34
ACHACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,8,8
AIQUILE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,13,13
ALCALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,24,24
ALTO BENI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,5,5
ANCORAIMES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,3,3
ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,82,82
ANTEQUERA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,3,3
APOLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,7,7
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,15,15
ARANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,5,5
ARBIETO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,1,1
ARQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,8,8
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,39,39
ATOCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,6,6
AUCAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,2,2
AYATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,2,2
AYO AYO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,5,5
AZURDUY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,14,14
BATALLAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,1,1
BAURES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,2,2
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,28,28
BERMEJO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,18,18
BETANZOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,60,60
BOLIVAR,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,9,9
BOYUIBE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,1,1
BUENA VISTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,7,7
CABEZAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,4,4
CAIROMA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,2,2
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,21,21
CALAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,13,13
CAMARGO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,59,59
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,7,7
CAMIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,13,13
CAPINOTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,43,43
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,21,21
CARACOLLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,27,27
CARANAVI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,39,39
CARAPARI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,3,3
CARIPUYO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,54,54
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,5,5
CATACORA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,103,103
CHAQUI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,8,8
CHAYANTA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,9,9
CHIMORE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,28,28
CHIPAYA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2018-02-01,9,9
