municipality,group,variable,month,Nº de visitas familiares realizadas,TOTAL
CAMIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,675,675
CAPINOTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,191,191
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,86,86
CARACOLLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,314,314
CARANAVI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,94,94
CARANGAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,8,8
CARAPARI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,228,228
CARIPUYO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,81,81
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,20,20
CHACARILLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,124,124
CHALLAPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,881,881
CHAQUI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,106,106
CHARAGUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,120,120
CHAYANTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,89,89
CHIMORE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,387,387
CHIPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,17,17
CHOQUE COTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,28,28
CHUA COCANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,11,11
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,3,3
CHUMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,179,179
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,16,16
CKOCHAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,135,135
CLIZA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,343,343
COBIJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,255,255
COCAPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,18,18
COCHABAMBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,265,265
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,377,377
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,216,216
COLLANA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,17,17
COLOMI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,117,117
COLPA BELGICA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,102,102
COLQUECHACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,306,306
COLQUENCHA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,43,43
COMANCHE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,28,28
COMARAPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,381,381
COMBAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,9,9
CONCEPCION,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,328,328
COROICO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,28,28
CORQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,145,145
COTAGAITA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,426,426
COTOCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,238,238
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,257,257
CUEVO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,54,54
CULPINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,198,198
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,155,155
CURVA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,16,16
DESAGUADERO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,3,3
EL ALTO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,3366,3366
EL CHORO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,121,121
EL PUENTE(STC),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,307,307
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,287,287
EL TORNO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,696,696
EL VILLAR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,37,37
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,279,279
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,74,74
ESCOMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,61,61
EUCALIPTUS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,122,122
EUREKA (SANTOS MERCADO),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,5,5
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,110,110
FILADELFIA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,21,21
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,78,78
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,95,95
GUAQUI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,52,52
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,119,119
GUTIERREZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,111,111
HUACARETA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,89,89
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,175,175
HUACHACALLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,15,15
HUANUNI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,294,294
HUARINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,83,83
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,116,116
HUMANATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,20,20
ICLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,157,157
INCAHUASI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,76,76
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,65,65
IXIAMAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,105,105
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,156,156
LA GUARDIA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,300,300
LA PAZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,129,129
LA RIVERA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,4,4
LAGUNILLAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,263,263
LAJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,104,104
LAS CARRERAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,50,50
LLALLAGUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,146,146
LLICA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,51,51
LORETO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,115,115
LURIBAY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,19,19
MACHACAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,47,47
MACHARETI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,190,190
MAGDALENA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,184,184
MALLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,66,66
MINEROS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,84,84
MIZQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,213,213
MOCOMOCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,98,98
MOJINETE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,81,81
MOJOCOYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,160,160
MONTEAGUDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,260,260
MONTERO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,1396,1396
MORO MORO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,75,75
MOROCHATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,2,2
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,9,9
OCURI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,1,1
OMEREQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,99,99
ORURO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,1778,1778
PADCAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,467,467
PADILLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,79,79
PAILON,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,369,369
PALCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,128,128
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,325,325
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,35,35
PAMPA GRANDE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,71,71
PAPEL PAMPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,172,172
PASORAPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,28,28
PATACAMAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,73,73
PAZÑA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,111,111
PELECHUCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,42,42
POCOATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,230,230
POCONA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,178,178
POJO (CBBA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,34,34
POOPO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,201,201
PORCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,23,23
POROMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,223,223
PORONGO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,340,340
PORTACHUELO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,85,85
PORVENIR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,45,45
POTOSI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,1993,1993
PRESTO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,119,119
PUCARANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,240,240
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,4,4
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,107,107
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,78,78
PUERTO PEREZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,295,295
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,109,109
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,330,330
PUNA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,231,231
PUNATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,681,681
QUIABAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,3,3
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,1946,1946
QUIME,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,48,48
QUIRUSILLAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,25,25
RAQAYPAMPA(ETA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,38,38
RAVELO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,127,127
REYES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,105,105
RIBERALTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,1033,1033
ROBORE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,123,123
RURRENABAQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,104,104
SABAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,118,118
SACABA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,409,409
SACABAMBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,141,141
SACACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,177,177
SAIPINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,382,382
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,202,202
SAMAIPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,81,81
SAN AGUSTIN,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,15,15
SAN ANDRES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,38,38
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,100,100
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,7,7
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,150,150
SAN BENITO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,211,211
SAN BORJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,233,233
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,6,6
SAN CARLOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,667,667
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,131,131
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,165,165
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,4,4
SAN JOAQUIN,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,1,1
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,111,111
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,721,721
SAN JULIAN,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,892,892
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,82,82
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,108,108
SAN LUCAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,261,261
SAN MATIAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,21,21
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,10,10
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,34,34
SAN PEDRO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,523,523
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,149,149
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,1,1
SAN PEDRO DE QUEMES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,41,41
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,294,294
SAN RAFAEL,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,22,22
SAN RAMON BENI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,53,53
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,65,65
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,2392,2392
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,50,50
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,35,35
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,300,300
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,35,35
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,31,31
SANTIVAÑES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,198,198
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,148,148
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,141,141
SHINAOTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,177,177
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,209,209
SICAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,58,58
SIPE SIPE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,188,188
SOPACHUY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,83,83
SORACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,111,111
SORATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,383,383
SUCRE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,1114,1114
TACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,5,5
TACACOMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,2,2
TACOBAMBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,7,7
TACOPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,116,116
TAHUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,67,67
TAPACARI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,25,25
TARABUCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,319,319
TARACO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,80,80
TARATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,95,95
TARIJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,1354,1354
TARVITA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,149,149
TEOPONTE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,10,10
TIAWANACU,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,66,66
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,354,354
TIPUANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,8,8
TIQUIPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,201,201
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,656,656
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,70,70
TOCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,120,120
TOLATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,167,167
TOLEDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,124,124
TOMAVE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,4,4
TOMINA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,372,372
TORO TORO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,105,105
TOTORA(CBBA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,35,35
TOTORA(ORR),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,48,48
TRIGAL,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,68,68
TRINIDAD,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,114,114
TUPIZA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,645,645
TURCO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,63,63
UMALA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,37,37
UNCIA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,189,189
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,320,320
URUBICHA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,72,72
UYUNI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,52,52
VACAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2018-01-01,98,98
