municipality,group,variable,month,Nuevas en personas de 60 años o más -Hombre,Nuevas en personas de 60 años o más -Mujer,TOTAL-H,TOTAL-M,TOTAL
COLLANA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,16,7,16,7,23
COLOMI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,19,12,19,12,31
COLPA BELGICA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,66,44,66,44,110
COLQUECHACA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,79,109,79,109,188
COLQUENCHA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,29,54,29,54,83
COLQUIRI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,22,33,22,33,55
COMANCHE,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,31,12,31,12,43
COMARAPA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,108,110,108,110,218
COMBAYA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,8,5,8,5,13
CONCEPCION,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,20,21,20,21,41
COPACABANA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,24,28,24,28,52
CORIPATA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,21,24,21,24,45
CORO CORO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,24,19,24,19,43
COROICO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,127,99,127,99,226
CORQUE,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,44,56,44,56,100
COTAGAITA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,208,378,208,378,586
COTOCA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,114,104,114,104,218
CUATRO CAÑADAS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,70,38,70,38,108
CUCHUMUELA (V. G. VILLARROEL),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,8,7,8,7,15
CUEVO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,24,37,24,37,61
CULPINA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,72,90,72,90,162
CURAHUARA DE CARANGAS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,33,33,33,33,66
CURVA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,6,9,6,9,15
DESAGUADERO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,35,35,35,35,70
EL ALTO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,1489,1846,1489,1846,3335
EL CHORO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,82,90,82,90,172
EL PUENTE(STC),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,5,15,5,15,20
EL PUENTE(TJA),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,32,67,32,67,99
EL TORNO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,186,180,186,180,366
EL VILLAR,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,23,46,23,46,69
ENTRE RIOS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,99,133,99,133,232
ENTRE RIOS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,23,22,23,22,45
ESCARA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,1,4,1,4,5
ESMERALDA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,17,9,17,9,26
EUCALIPTUS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,64,63,64,63,127
EUREKA (SANTOS MERCADO),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,3,1,3,1,4
EXALTACION,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,1,2,1,2,3
FERNANDEZ ALONSO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,19,17,19,17,36
FILADELFIA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,10,6,10,6,16
GENERAL SAAVEDRA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,33,28,33,28,61
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,27,31,27,31,58
GUANAY,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,78,75,78,75,153
GUAQUI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,27,29,27,29,56
GUAYARAMERIN,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,248,241,248,241,489
GUTIERREZ,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,29,64,29,64,93
HUACARETA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,60,88,60,88,148
HUACAYA (VILLA DE HUACAYA),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,10,29,10,29,39
HUACHACALLA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,79,75,79,75,154
HUANUNI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,211,213,211,213,424
HUARACAJE,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,15,10,15,10,25
HUAYLLAMARCA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,43,37,43,37,80
ICHOCA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,20,17,20,17,37
ICLA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,28,79,28,79,107
INCAHUASI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,31,55,31,55,86
INGAVI (HUMAITA),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,1,2,1,2,3
INQUISIVI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,53,38,53,38,91
IRUPANA (VILLA DE LANZA),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,52,53,52,53,105
IXIAMAS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,41,18,41,18,59
JESUS DE MACHACA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,109,156,109,156,265
LA ASUNTA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,20,14,20,14,34
LA GUARDIA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,53,71,53,71,124
LA PAZ,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,8910,10187,8910,10187,19097
LA RIVERA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,1,5,1,5,6
LAGUNILLAS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,30,41,30,41,71
LAJA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,48,38,48,38,86
LAS CARRERAS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,17,25,17,25,42
LICOMA PAMPA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,21,13,21,13,34
LLALLAGUA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,228,376,228,376,604
LLICA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,44,60,44,60,104
LORETO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,9,8,9,8,17
LURIBAY,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,55,55,55,55,110
MACHACAMARCA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,83,101,83,101,184
MACHARETI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,87,102,87,102,189
MAGDALENA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,45,55,45,55,100
MAIRANA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,50,63,50,63,113
MALLA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,12,13,12,13,25
MAPIRI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,42,32,42,32,74
MECAPACA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,30,23,30,23,53
MINEROS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,16,18,16,18,34
MIZQUE,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,17,33,17,33,50
MOCOMOCO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,68,47,68,47,115
MOJINETE,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,8,24,8,24,32
MOJOCOYA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,33,55,33,55,88
MONTEAGUDO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,439,535,439,535,974
MONTERO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,453,564,453,564,1017
MORO MORO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,27,48,27,48,75
MOROCHATA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,27,27,27,27,54
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,0,3,0,3,3
NAZACARA DE PACAJES,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,7,11,7,11,18
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,10,4,10,4,14
OCURI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,33,74,33,74,107
OKINAWA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,140,105,140,105,245
OMEREQUE,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,11,42,11,42,53
ORURO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,3272,3822,3272,3822,7094
PADCAYA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,99,147,99,147,246
PADILLA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,161,235,161,235,396
PAILON,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,21,22,21,22,43
PALCA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,35,44,35,44,79
PALOS BLANCOS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,57,41,57,41,98
PAMPA AULLAGAS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,21,25,21,25,46
PAMPA GRANDE,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,27,28,27,28,55
PAPEL PAMPA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,24,29,24,29,53
PASORAPA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,5,4,5,4,9
PATACAMAYA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,16,28,16,28,44
PAZÑA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,51,47,51,47,98
PELECHUCO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,16,15,16,15,31
POCOATA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,53,78,53,78,131
POCONA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,25,59,25,59,84
POJO (CBBA),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,6,12,6,12,18
POOPO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,39,57,39,57,96
PORCO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,11,19,11,19,30
POROMA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,34,51,34,51,85
PORONGO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,18,10,18,10,28
PORTACHUELO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,156,167,156,167,323
PORVENIR,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,17,16,17,16,33
POSTRER VALLE,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,41,34,41,34,75
POTOSI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,1389,1780,1389,1780,3169
PRESTO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,33,37,33,37,70
PUCARA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,13,18,13,18,31
PUCARANI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,43,45,43,45,88
PUERTO ACOSTA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,157,142,157,142,299
PUERTO CARABUCO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,59,73,59,73,132
PUERTO GONZALO MORENO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,12,10,12,10,22
PUERTO PEREZ,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,29,21,29,21,50
PUERTO QUIJARRO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,148,124,148,124,272
PUERTO RICO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,20,19,20,19,39
PUERTO SUAREZ,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,146,130,146,130,276
PUERTO VILLARROEL,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,39,32,39,32,71
PUNA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,123,222,123,222,345
PUNATA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,209,229,209,229,438
QUIABAYA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,9,15,9,15,24
QUILLACOLLO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,469,593,469,593,1062
QUIME,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,19,14,19,14,33
QUIRUSILLAS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,3,8,3,8,11
RAVELO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,61,73,61,73,134
REYES,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,98,97,98,97,195
RIBERALTA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,102,143,102,143,245
ROBORE,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,139,190,139,190,329
RURRENABAQUE,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,129,138,129,138,267
SABAYA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,44,45,44,45,89
SACABA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,160,231,160,231,391
SACABAMBA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,21,19,21,19,40
SACACA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,25,58,25,58,83
SAIPINA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,18,23,18,23,41
SALINAS DE GARCI MENDOZA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,52,49,52,49,101
SAMAIPATA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,48,49,48,49,97
SAN AGUSTIN,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,17,19,17,19,36
SAN ANDRES,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,13,17,13,17,30
SAN ANDRES DE MACHACA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,41,47,41,47,88
SAN ANTONIO DE ESMORUCO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,10,10,10,10,20
SAN ANTONIO DE LOMERIO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,15,20,15,20,35
SAN BENITO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,34,52,34,52,86
SAN BORJA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,147,121,147,121,268
SAN BUENA VENTURA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,291,449,291,449,740
SAN CARLOS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,130,127,130,127,257
SAN IGNACIO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,57,65,57,65,122
SAN IGNACIO DE VELASCO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,303,372,303,372,675
SAN JAVIER(BNI),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,1,6,1,6,7
SAN JAVIER(STC),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,74,74,74,74,148
SAN JOAQUIN,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,134,195,134,195,329
SAN JOSE DE CHIQUITOS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,71,79,71,79,150
SAN JUAN DE YAPACANI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,100,108,100,108,208
SAN JULIAN,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,141,135,141,135,276
SAN LORENZO(PND),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,8,3,8,3,11
SAN LORENZO(TJA),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,67,105,67,105,172
SAN LUCAS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,110,170,110,170,280
SAN MATIAS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,7,9,7,9,16
SAN MIGUEL DE VELASCO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,128,140,128,140,268
SAN PABLO DE LIPEZ,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,17,19,17,19,36
SAN PEDRO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,39,47,39,47,86
SAN PEDRO DE BUENA VISTA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,15,45,15,45,60
SAN PEDRO DE CURAHUARA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,30,27,30,27,57
SAN PEDRO DE QUEMES,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,3,1,3,1,4
SAN PEDRO DE TIQUINA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,26,26,26,26,52
SAN PEDRO(PND),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,1,0,1,0,1
SAN RAFAEL,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,8,22,8,22,30
SAN RAMON,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,3,8,3,8,11
SAN RAMON,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,37,33,37,33,70
SANTA ANA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,99,116,99,116,215
SANTA CRUZ DE LA SIERRA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,7890,11526,7890,11526,19416
SANTA ROSA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,28,21,28,21,49
SANTA ROSA DEL SARA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,78,70,78,70,148
SANTIAGO DE CALLAPA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,14,16,14,16,30
SANTIAGO DE HUARI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,76,46,76,46,122
SANTIAGO DE MACHACA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,14,14,14,14,28
SANTIVAÑES,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,21,44,21,44,65
SANTUARIO DE QUILLACAS,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,13,20,13,20,33
SAPAHAQUI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,20,25,20,25,45
SENA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,7,5,7,5,12
SICA SICA (VILLA AROMA),consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,34,51,34,51,85
SICAYA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,10,13,10,13,23
SIPE SIPE,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,18,44,18,44,62
SOPACHUY,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,38,67,38,67,105
SORACACHI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,10,24,10,24,34
SORATA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,53,48,53,48,101
SUCRE,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,2407,3260,2407,3260,5667
TACACHI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,4,9,4,9,13
TACACOMA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,20,15,20,15,35
TACOBAMBA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,17,32,17,32,49
TACOPAYA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,20,43,20,43,63
TAHUA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,5,7,5,7,12
TAPACARI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,51,76,51,76,127
TARABUCO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,68,104,68,104,172
TARACO,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,29,41,29,41,70
TARATA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,14,38,14,38,52
TARIJA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,2100,2419,2100,2419,4519
TARVITA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,63,121,63,121,184
TEOPONTE,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,48,46,48,46,94
TIAWANACU,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,27,19,27,19,46
TINGUIPAYA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,41,55,41,55,96
TIPUANI,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,17,18,17,18,35
TIQUIPAYA,consulta externa,nuevas en personas de 60 anos o mas,2007-01-01,26,34,26,34,60
