municipality,group,variable,month,Repetidas en personas de 5 a 14 años -Hombre,Repetidas en personas de 5 a 14 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
LA PAZ,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2689,2936,2689,2936,5625
LAGUNILLAS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
LAJA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,2,0,2,2
LAS CARRERAS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
LICOMA PAMPA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,0,1,0,1
LLALLAGUA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,11,3,11,14
LLICA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,3,0,3,3
LORETO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,4,0,4,0,4
LURIBAY,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,4,4,4,4,8
MACHACAMARCA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,2,3,2,5
MACHARETI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,4,1,4,5
MAGDALENA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,21,12,21,12,33
MAIRANA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
MALLA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,4,1,4,5
MAPIRI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,3,1,3,4
MECAPACA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,4,3,4,3,7
MINEROS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,2,2,2,4
MIZQUE,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,5,1,5,1,6
MOJINETE,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
MOJOCOYA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,2,1,2,3
MONTEAGUDO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,40,80,40,80,120
MONTERO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,171,188,171,188,359
MORO MORO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,0,1,0,1
MOROCHATA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,12,13,12,13,25
OCURI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
OKINAWA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,12,0,12,12
OMEREQUE,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
ORURO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,609,658,609,658,1267
PADCAYA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,9,2,9,11
PADILLA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,1,3,1,4
PALCA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,9,2,9,11
PALOS BLANCOS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,5,4,5,4,9
PAMPA GRANDE,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,3,1,3,4
PASORAPA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
POCOATA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
POCONA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,4,0,4,0,4
POJO (CBBA),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
POOPO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,3,3,3,6
POROMA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,0,1,0,1
PORONGO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,11,2,11,13
PORTACHUELO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,17,20,17,20,37
PORVENIR,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,2,2,2,4
POSTRER VALLE,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,5,0,5,0,5
POTOSI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,359,388,359,388,747
PUCARANI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,2,1,2,3
PUERTO ACOSTA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,5,1,5,1,6
PUERTO CARABUCO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,0,2,0,2
PUERTO GONZALO MORENO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,0,1,0,1
PUERTO QUIJARRO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,11,3,11,3,14
PUERTO RICO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,4,0,4,4
PUERTO SILES,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,6,2,6,8
PUERTO SUAREZ,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,16,24,16,24,40
PUERTO VILLARROEL,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,15,13,15,13,28
PUNA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
PUNATA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,28,51,28,51,79
QUILLACOLLO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,149,169,149,169,318
QUIME,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,4,4,4,4,8
REYES,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,6,2,6,2,8
RIBERALTA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,22,44,22,44,66
ROBORE,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,6,5,6,5,11
RURRENABAQUE,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,13,15,13,15,28
SACABA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,46,49,46,49,95
SAIPINA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,2,1,2,3
SAMAIPATA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,0,3,0,3
SAN ANDRES,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,3,1,3,4
SAN BENITO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,6,4,6,4,10
SAN BORJA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,12,9,12,9,21
SAN BUENA VENTURA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,15,11,15,11,26
SAN CARLOS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,8,7,8,7,15
SAN IGNACIO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,6,10,6,10,16
SAN IGNACIO DE VELASCO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,59,80,59,80,139
SAN JAVIER(BNI),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
SAN JAVIER(STC),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,6,9,6,9,15
SAN JOAQUIN,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,6,12,6,12,18
SAN JOSE DE CHIQUITOS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,8,2,8,2,10
SAN JUAN DE YAPACANI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,114,131,114,131,245
SAN JULIAN,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,11,20,11,20,31
SAN LORENZO(PND),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
SAN LORENZO(TJA),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,33,45,33,45,78
SAN LUCAS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,6,2,6,8
SAN MATIAS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,3,1,3,4
SAN MIGUEL DE VELASCO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,27,29,27,29,56
SAN PABLO DE LIPEZ,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,2,2,2,4
SAN PEDRO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,15,16,15,16,31
SAN PEDRO DE CURAHUARA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,0,2,0,2
SAN PEDRO DE TIQUINA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,2,2,2,4
SAN RAFAEL,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,1,2,1,3
SAN RAMON,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,10,16,10,16,26
SANTA ANA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,56,45,56,45,101
SANTA CRUZ DE LA SIERRA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2243,2704,2243,2704,4947
SANTA ROSA DEL SARA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,4,1,4,1,5
SANTIAGO DE CALLAPA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,14,3,14,17
SANTIAGO DE HUARI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,2,1,2,3
SANTIAGO DE MACHACA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
SANTIVAÑES,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,0,2,0,2
SICA SICA (VILLA AROMA),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,0,1,0,1
SIPE SIPE,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,32,24,32,24,56
SOPACHUY,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
SORATA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,0,2,0,2
SUCRE,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,660,925,660,925,1585
TACACOMA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,4,0,4,4
TAPACARI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,1,3,1,4
TARABUCO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,5,4,5,4,9
TARATA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,4,1,4,1,5
TARIJA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,624,681,624,681,1305
TARVITA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,1,2,1,3
TIAWANACU,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,2,3,2,5
TIPUANI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,1,3,1,4
TIQUIPAYA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,25,30,25,30,55
TIRAQUE (CBBA),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,40,30,40,30,70
TITO YUPANQUI (PARQUIPUJIO),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,3,0,3,3
TOLATA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
TOLEDO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,7,3,7,3,10
TOMAVE,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
TOMINA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,4,2,4,2,6
TORO TORO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,0,2,0,2
TOTORA(CBBA),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,0,1,0,1
TRINIDAD,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,133,142,133,142,275
TUPIZA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,62,66,62,66,128
UNCIA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,17,11,17,11,28
URIONDO (A. CONCEPCION),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,7,3,7,3,10
UYUNI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,6,13,6,13,19
VACAS,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,3,3,3,6
VALLEGRANDE,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,36,37,36,37,73
VIACHA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,44,58,44,58,102
VILA VILA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,2,1,2,1,3
VILLA MONTES,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,70,62,70,62,132
VILLA RIVERO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,0,1,0,1
VILLA SERRANO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,0,1,0,1,1
VILLA TUNARI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,25,20,25,20,45
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,5,5,5,5,10
VILLAZON,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,20,28,20,28,48
VINTO,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,4,10,4,10,14
WALDO BALLIVIAN,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,0,3,0,3
WARNES,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,12,25,12,25,37
YACUIBA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,127,129,127,129,256
YAMPARAEZ,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,3,0,3,0,3
YAPACANI,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,1,1,1,1,2
YOTALA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,4,4,4,4,8
YUNCHARA,consulta externa,repetidas en personas de 5 a 14 anos,2007-01-01,19,8,19,8,27
ACACIO,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,0,1,0,1,1
ACHACACHI,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,4,8,4,8,12
ACHOCALLA,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,0,8,0,8,8
AIQUILE,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,16,12,16,12,28
ANCORAIMES,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,2,0,2,0,2
ANTEQUERA,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,0,2,0,2,2
ANZALDO,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,1,1,1,1,2
APOLO,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,3,1,3,1,4
ARANI,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,3,3,3,3,6
ARBIETO,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,6,3,6,3,9
ARQUE,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,0,2,0,2,2
ASCENCION DE GUARAYOS,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,16,13,16,13,29
ATOCHA,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,17,27,17,27,44
AUCAPATA,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,7,3,7,3,10
AYATA,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,3,1,3,1,4
BATALLAS,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,1,0,1,0,1
BAURES,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,2,11,2,11,13
BELLA FLOR,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,0,1,0,1,1
BERMEJO,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,30,25,30,25,55
BETANZOS,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,1,0,1,0,1
BOLIVAR,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,2,1,2,1,3
BOLPEBRA,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,1,0,1,0,1
BOYUIBE,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,4,10,4,10,14
BUENA VISTA,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,20,24,20,24,44
CABEZAS,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,34,45,34,45,79
CAIROMA,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,3,3,3,3,6
"CAIZA ""D""",consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,1,0,1,0,1
CAJUATA,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,1,2,1,2,3
CALACOTO,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,0,2,0,2,2
CALAMARCA,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,1,0,1,0,1
CAMARGO,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,1,2,1,2,3
CAMATAQUI (C. VILLA ABECIA),consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,7,6,7,6,13
CAMIRI,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,43,23,43,23,66
CAPINOTA,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,4,8,4,8,12
CAQUIAVIRI,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,2,1,2,1,3
CARACOLLO,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,4,0,4,0,4
CARANAVI,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,18,27,18,27,45
CARAPARI,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,7,0,7,0,7
CARIPUYO,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,2,0,2,0,2
CARMEN RIVERO TORREZ,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,3,1,3,1,4
CHALLAPATA,consulta externa,repetidas en personas de 5 a 14 anos,2007-02-01,6,5,6,5,11
