municipality,group,variable,month,Repetidas en personas de 60 años o más -Hombre,Repetidas en personas de 60 años o más -Mujer,TOTAL-H,TOTAL-M,TOTAL
CLIZA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,10,10,10,10,20
COBIJA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,26,47,26,47,73
COCHABAMBA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,5620,6908,5620,6908,12528
COLCAPIRHUA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,8,2,8,10
"COLCHA ""K""",consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,8,5,8,5,13
COLLANA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,3,4,3,7
COLOMI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,1,2,1,3
COLPA BELGICA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,12,12,12,12,24
COLQUECHACA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,5,4,5,9
COLQUENCHA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,7,3,7,10
COLQUIRI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,25,30,25,30,55
COMANCHE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,5,4,5,4,9
COMARAPA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,6,13,6,13,19
COMBAYA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,0,1,0,1
CONCEPCION,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,0,1,0,1
COPACABANA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,0,2,0,2
CORIPATA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,6,9,6,9,15
CORO CORO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,4,0,4,4
COROICO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,44,37,44,37,81
CORQUE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,13,2,13,2,15
COTAGAITA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,18,37,18,37,55
COTOCA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,24,31,24,31,55
CUATRO CAÑADAS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,3,4,3,7
CUCHUMUELA (V. G. VILLARROEL),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,2,4,2,6
CUEVO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,2,3,2,5
CULPINA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,1,1,1,2
CURAHUARA DE CARANGAS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,1,0,1,1
DESAGUADERO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,3,3,3,6
EL ALTO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,665,759,665,759,1424
EL CHORO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,0,2,0,2
EL PUENTE(TJA),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,33,9,33,9,42
EL TORNO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,386,356,386,356,742
EL VILLAR,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,0,1,0,1
ENTRE RIOS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,1,0,1,1
ENTRE RIOS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,8,1,8,9
ESMERALDA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,2,0,2,2
EUCALIPTUS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,6,9,6,9,15
FERNANDEZ ALONSO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,2,1,2,3
FILADELFIA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,3,1,3,4
GENERAL SAAVEDRA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,1,0,1,1
GUANAY,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,3,3,3,6
GUAQUI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,7,4,7,4,11
GUAYARAMERIN,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,134,192,134,192,326
GUTIERREZ,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,8,2,8,10
HUACARETA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,8,6,8,6,14
HUACAYA (VILLA DE HUACAYA),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,1,2,1,3
HUACHACALLA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,6,3,6,3,9
HUANUNI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,124,92,124,92,216
HUARACAJE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,0,2,0,2
HUAYLLAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,0,1,0,1
ICLA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,5,0,5,5
INCAHUASI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,2,1,2,3
INGAVI (HUMAITA),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,2,0,2,2
INQUISIVI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,5,3,5,3,8
IRUPANA (VILLA DE LANZA),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,7,5,7,5,12
IXIAMAS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,10,5,10,5,15
JESUS DE MACHACA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,17,12,17,12,29
LA GUARDIA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,12,3,12,15
LA PAZ,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,10049,11663,10049,11663,21712
LAGUNILLAS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,0,1,0,1
LAJA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,5,3,5,8
LAS CARRERAS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,5,2,5,2,7
LICOMA PAMPA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,1,4,1,5
LLALLAGUA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,40,38,40,38,78
LLICA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,7,2,7,9
LORETO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,7,7,7,7,14
LURIBAY,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,21,10,21,10,31
MACHACAMARCA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,26,33,26,33,59
MACHARETI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,5,11,5,11,16
MAGDALENA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,49,86,49,86,135
MAPIRI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,2,2,2,4
MECAPACA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,6,3,6,9
MINEROS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,3,0,3,3
MIZQUE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,2,0,2,2
MOCOMOCO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,8,3,8,3,11
MOJINETE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,3,3,3,6
MOJOCOYA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,3,2,3,5
MONTEAGUDO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,83,122,83,122,205
MONTERO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,561,632,561,632,1193
MORO MORO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,5,2,5,2,7
MOROCHATA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,13,22,13,22,35
NAZACARA DE PACAJES,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,1,0,1,1
OCURI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,3,0,3,3
OKINAWA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,15,17,15,17,32
OMEREQUE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,1,1,1,2
ORURO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1441,1690,1441,1690,3131
PADCAYA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,59,3,59,62
PADILLA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,24,32,24,32,56
PAILON,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,0,1,0,1
PALCA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,8,3,8,3,11
PALOS BLANCOS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,3,3,3,6
PAMPA AULLAGAS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,0,2,0,2
PAMPA GRANDE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,2,1,2,3
PAPEL PAMPA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,3,2,3,5
PATACAMAYA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,1,0,1,1
PAZÑA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,18,15,18,15,33
POCOATA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,1,0,1,1
POCONA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,15,0,15,15
POOPO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,7,9,7,9,16
POROMA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,2,1,2,3
PORTACHUELO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,18,22,18,22,40
PORVENIR,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,1,3,1,4
POSTRER VALLE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,0,4,0,4
POTOSI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,987,1160,987,1160,2147
PUCARANI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,6,5,6,5,11
PUERTO ACOSTA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,20,7,20,7,27
PUERTO CARABUCO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,4,3,4,7
PUERTO GONZALO MORENO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,0,1,0,1
PUERTO PEREZ,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,2,4,2,6
PUERTO QUIJARRO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,6,2,6,2,8
PUERTO RICO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,0,1,0,1
PUERTO SUAREZ,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,7,18,7,18,25
PUERTO VILLARROEL,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,4,2,4,6
PUNA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,8,6,8,6,14
PUNATA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,133,138,133,138,271
QUIABAYA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,1,1,1,2
QUILLACOLLO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,307,481,307,481,788
RAVELO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,2,0,2,2
REYES,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,32,35,32,35,67
RIBERALTA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,23,33,23,33,56
ROBORE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,20,26,20,26,46
RURRENABAQUE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,104,82,104,82,186
SABAYA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,8,3,8,3,11
SACABA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,66,95,66,95,161
SACABAMBA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,2,1,2,3
SACACA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,1,1,1,2
SAIPINA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,2,0,2,2
SALINAS DE GARCI MENDOZA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,7,4,7,11
SAMAIPATA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,2,0,2,2
SAN AGUSTIN,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,2,1,2,3
SAN ANDRES,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,4,2,4,6
SAN ANDRES DE MACHACA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,7,3,7,10
SAN ANTONIO DE ESMORUCO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,4,2,4,6
SAN ANTONIO DE LOMERIO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,1,2,1,3
SAN BENITO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,6,7,6,7,13
SAN BORJA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,60,37,60,37,97
SAN BUENA VENTURA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,29,79,29,79,108
SAN CARLOS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,10,10,10,10,20
SAN IGNACIO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,16,10,16,10,26
SAN IGNACIO DE VELASCO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,75,93,75,93,168
SAN JAVIER(STC),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,18,12,18,12,30
SAN JOAQUIN,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,60,82,60,82,142
SAN JOSE DE CHIQUITOS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,9,11,9,11,20
SAN JUAN DE YAPACANI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,42,28,42,28,70
SAN JULIAN,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,8,3,8,11
SAN LORENZO(TJA),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,8,1,8,9
SAN LUCAS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,7,1,7,8
SAN MATIAS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,3,4,3,7
SAN MIGUEL DE VELASCO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,85,111,85,111,196
SAN PABLO DE LIPEZ,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,5,1,5,6
SAN PEDRO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,4,4,4,8
SAN PEDRO DE BUENA VISTA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,1,0,1,1
SAN PEDRO DE CURAHUARA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,13,6,13,6,19
SAN PEDRO DE TIQUINA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,10,15,10,15,25
SAN RAFAEL,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,3,1,3,4
SAN RAMON,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,3,1,3,4
SANTA ANA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,68,134,68,134,202
SANTA CRUZ DE LA SIERRA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2673,3783,2673,3783,6456
SANTA ROSA DEL SARA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,19,12,19,12,31
SANTIAGO DE CALLAPA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,6,3,6,3,9
SANTIAGO DE HUARI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,10,32,10,32,42
SANTIAGO DE MACHACA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,3,0,3,3
SANTIVAÑES,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,2,3,2,5
SANTUARIO DE QUILLACAS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,11,0,11,11
SAPAHAQUI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,2,0,2,2
SICA SICA (VILLA AROMA),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,2,2,2,4
SIPE SIPE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,8,6,8,6,14
SOPACHUY,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,1,0,1,1
SORACACHI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,1,2,1,3
SORATA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,1,4,1,5
SUCRE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1185,1641,1185,1641,2826
TACACOMA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,1,1,1,2
TACOPAYA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,1,0,1,1
TAHUA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,1,0,1,1
TAPACARI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,2,0,2,2
TARABUCO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,12,37,12,37,49
TARACO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,6,4,6,10
TARATA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,2,2,2,4
TARIJA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1376,2241,1376,2241,3617
TARVITA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,6,3,6,9
TEOPONTE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,8,4,8,4,12
TIAWANACU,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,5,1,5,1,6
TINGUIPAYA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,1,0,1,1
TIPUANI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,0,1,0,1
TIQUIPAYA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,8,10,8,10,18
TIRAQUE (CBBA),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,22,23,22,23,45
TITO YUPANQUI (PARQUIPUJIO),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,4,3,4,7
TOLATA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,0,1,0,1
TOLEDO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,1,1,1,2
TOMAVE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,1,2,1,3
TOMINA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,8,7,8,7,15
TOTORA(CBBA),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,2,1,2,3
TOTORA(ORR),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,0,1,0,1
TRIGAL,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,2,1,2,3
TRINIDAD,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,215,242,215,242,457
TUPIZA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,42,39,42,39,81
TURCO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,1,2,1,3
UMALA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,1,0,1,1
UNCIA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,45,59,45,59,104
URIONDO (A. CONCEPCION),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,2,2,2,4
URUBICHA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,1,0,1,1
UYUNI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,47,52,47,52,99
VACAS,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,15,4,15,19
VALLEGRANDE,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,171,225,171,225,396
VIACHA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,147,182,147,182,329
VILA VILA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,2,0,2,2
VILLA MONTES,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,87,56,87,56,143
VILLA NUEVA (LOMA ALTA),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,1,1,1,2
VILLA RIVERO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,1,0,1,1
VILLA SERRANO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,5,2,5,7
VILLA TUNARI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,43,25,43,25,68
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,4,2,4,6
VILLAZON,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,58,83,58,83,141
VINTO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,8,4,8,4,12
VITICHI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,10,7,10,7,17
WALDO BALLIVIAN,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,0,4,0,4,4
WARNES,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,3,4,3,7
YACO,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,1,1,1,1,2
YACUIBA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,257,311,257,311,568
YAMPARAEZ,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,4,2,4,6
YANACACHI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,0,2,0,2
YAPACANI,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,1,2,1,3
YOCALLA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,4,4,4,4,8
YOTALA,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,2,13,2,13,15
ZUDAÑEZ,consulta externa,repetidas en personas de 60 anos o mas,2007-01-01,3,6,3,6,9
ACACIO,consulta externa,repetidas en personas de 60 anos o mas,2007-02-01,11,0,11,0,11
ACHACACHI,consulta externa,repetidas en personas de 60 anos o mas,2007-02-01,18,21,18,21,39
ACHOCALLA,consulta externa,repetidas en personas de 60 anos o mas,2007-02-01,2,0,2,0,2
AIQUILE,consulta externa,repetidas en personas de 60 anos o mas,2007-02-01,28,65,28,65,93
ALCALA,consulta externa,repetidas en personas de 60 anos o mas,2007-02-01,0,2,0,2,2
