municipality,group,variable,month,Repetidas en menores de 5 años -Hombre,Repetidas en menores de 5 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
CHAYANTA,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,3,1,3,4
CHIMORE,consulta externa,repetidas en menores de 5 anos,2007-01-01,26,39,26,39,65
CHIPAYA,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),consulta externa,repetidas en menores de 5 anos,2007-01-01,42,39,42,39,81
CHUMA,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,1,4,1,5
CLIZA,consulta externa,repetidas en menores de 5 anos,2007-01-01,76,30,76,30,106
COBIJA,consulta externa,repetidas en menores de 5 anos,2007-01-01,150,146,150,146,296
COCHABAMBA,consulta externa,repetidas en menores de 5 anos,2007-01-01,3601,2616,3601,2616,6217
COLCAPIRHUA,consulta externa,repetidas en menores de 5 anos,2007-01-01,124,125,124,125,249
"COLCHA ""K""",consulta externa,repetidas en menores de 5 anos,2007-01-01,3,0,3,0,3
COLLANA,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,1,1,1,2
COLOMI,consulta externa,repetidas en menores de 5 anos,2007-01-01,69,73,69,73,142
COLPA BELGICA,consulta externa,repetidas en menores de 5 anos,2007-01-01,41,46,41,46,87
COLQUECHACA,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,0,1,0,1
COLQUENCHA,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,6,2,6,8
COLQUIRI,consulta externa,repetidas en menores de 5 anos,2007-01-01,34,30,34,30,64
COMANCHE,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,0,1,0,1
COMARAPA,consulta externa,repetidas en menores de 5 anos,2007-01-01,18,33,18,33,51
CONCEPCION,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,0,4,0,4
CORIPATA,consulta externa,repetidas en menores de 5 anos,2007-01-01,43,46,43,46,89
CORO CORO,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,1,2,1,3
COROICO,consulta externa,repetidas en menores de 5 anos,2007-01-01,20,17,20,17,37
CORQUE,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,7,4,7,11
COTAGAITA,consulta externa,repetidas en menores de 5 anos,2007-01-01,20,27,20,27,47
COTOCA,consulta externa,repetidas en menores de 5 anos,2007-01-01,54,55,54,55,109
CUATRO CAÑADAS,consulta externa,repetidas en menores de 5 anos,2007-01-01,15,19,15,19,34
CUCHUMUELA (V. G. VILLARROEL),consulta externa,repetidas en menores de 5 anos,2007-01-01,4,4,4,4,8
CUEVO,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,8,3,8,11
CULPINA,consulta externa,repetidas en menores de 5 anos,2007-01-01,7,4,7,4,11
CURAHUARA DE CARANGAS,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,1,3,1,4
CURVA,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,2,3,2,5
DESAGUADERO,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,1,2,1,3
EL ALTO,consulta externa,repetidas en menores de 5 anos,2007-01-01,1690,1849,1690,1849,3539
EL CHORO,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,0,2,0,2
EL PUENTE(STC),consulta externa,repetidas en menores de 5 anos,2007-01-01,5,5,5,5,10
EL PUENTE(TJA),consulta externa,repetidas en menores de 5 anos,2007-01-01,56,50,56,50,106
EL TORNO,consulta externa,repetidas en menores de 5 anos,2007-01-01,199,166,199,166,365
EL VILLAR,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,1,1,1,2
ENTRE RIOS,consulta externa,repetidas en menores de 5 anos,2007-01-01,11,10,11,10,21
ENTRE RIOS,consulta externa,repetidas en menores de 5 anos,2007-01-01,8,11,8,11,19
EUCALIPTUS,consulta externa,repetidas en menores de 5 anos,2007-01-01,6,11,6,11,17
EXALTACION,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,16,0,16,16
FERNANDEZ ALONSO,consulta externa,repetidas en menores de 5 anos,2007-01-01,47,32,47,32,79
FILADELFIA,consulta externa,repetidas en menores de 5 anos,2007-01-01,5,6,5,6,11
GENERAL SAAVEDRA,consulta externa,repetidas en menores de 5 anos,2007-01-01,46,29,46,29,75
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,repetidas en menores de 5 anos,2007-01-01,0,1,0,1,1
GUANAY,consulta externa,repetidas en menores de 5 anos,2007-01-01,6,3,6,3,9
GUAQUI,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,7,4,7,11
GUAYARAMERIN,consulta externa,repetidas en menores de 5 anos,2007-01-01,88,84,88,84,172
GUTIERREZ,consulta externa,repetidas en menores de 5 anos,2007-01-01,20,11,20,11,31
HUACARETA,consulta externa,repetidas en menores de 5 anos,2007-01-01,12,17,12,17,29
HUACAYA (VILLA DE HUACAYA),consulta externa,repetidas en menores de 5 anos,2007-01-01,0,2,0,2,2
HUACHACALLA,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,4,4,4,8
HUANUNI,consulta externa,repetidas en menores de 5 anos,2007-01-01,116,81,116,81,197
HUARACAJE,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,5,4,5,9
HUAYLLAMARCA,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,1,0,1,1
ICHOCA,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,0,1,0,1
ICLA,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,3,2,3,5
INCAHUASI,consulta externa,repetidas en menores de 5 anos,2007-01-01,5,4,5,4,9
INGAVI (HUMAITA),consulta externa,repetidas en menores de 5 anos,2007-01-01,1,2,1,2,3
INQUISIVI,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,1,2,1,3
IRUPANA (VILLA DE LANZA),consulta externa,repetidas en menores de 5 anos,2007-01-01,10,0,10,0,10
IXIAMAS,consulta externa,repetidas en menores de 5 anos,2007-01-01,13,14,13,14,27
JESUS DE MACHACA,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,0,2,0,2
LA ASUNTA,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,1,3,1,4
LA GUARDIA,consulta externa,repetidas en menores de 5 anos,2007-01-01,93,87,93,87,180
LA PAZ,consulta externa,repetidas en menores de 5 anos,2007-01-01,3325,4585,3325,4585,7910
LAGUNILLAS,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,7,3,7,10
LAJA,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,5,4,5,9
LAS CARRERAS,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,6,3,6,9
LICOMA PAMPA,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,2,2,2,4
LLALLAGUA,consulta externa,repetidas en menores de 5 anos,2007-01-01,11,19,11,19,30
LLICA,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,1,1,1,2
LORETO,consulta externa,repetidas en menores de 5 anos,2007-01-01,19,17,19,17,36
LURIBAY,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,1,3,1,4
MACHACAMARCA,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,0,1,0,1
MACHARETI,consulta externa,repetidas en menores de 5 anos,2007-01-01,6,6,6,6,12
MAGDALENA,consulta externa,repetidas en menores de 5 anos,2007-01-01,15,18,15,18,33
MAIRANA,consulta externa,repetidas en menores de 5 anos,2007-01-01,7,7,7,7,14
MAPIRI,consulta externa,repetidas en menores de 5 anos,2007-01-01,11,12,11,12,23
MECAPACA,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,5,4,5,9
MINEROS,consulta externa,repetidas en menores de 5 anos,2007-01-01,14,8,14,8,22
MIZQUE,consulta externa,repetidas en menores de 5 anos,2007-01-01,9,8,9,8,17
MOCOMOCO,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,2,2,2,4
MOJINETE,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,2,2,2,4
MOJOCOYA,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,3,0,3,3
MONTEAGUDO,consulta externa,repetidas en menores de 5 anos,2007-01-01,65,62,65,62,127
MONTERO,consulta externa,repetidas en menores de 5 anos,2007-01-01,431,359,431,359,790
MORO MORO,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,3,1,3,4
MOROCHATA,consulta externa,repetidas en menores de 5 anos,2007-01-01,58,41,58,41,99
OCURI,consulta externa,repetidas en menores de 5 anos,2007-01-01,6,1,6,1,7
OKINAWA,consulta externa,repetidas en menores de 5 anos,2007-01-01,10,7,10,7,17
OMEREQUE,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,1,0,1,1
ORURO,consulta externa,repetidas en menores de 5 anos,2007-01-01,627,630,627,630,1257
PADCAYA,consulta externa,repetidas en menores de 5 anos,2007-01-01,7,14,7,14,21
PADILLA,consulta externa,repetidas en menores de 5 anos,2007-01-01,6,1,6,1,7
PAILON,consulta externa,repetidas en menores de 5 anos,2007-01-01,18,6,18,6,24
PALCA,consulta externa,repetidas en menores de 5 anos,2007-01-01,10,8,10,8,18
PALOS BLANCOS,consulta externa,repetidas en menores de 5 anos,2007-01-01,44,30,44,30,74
PAMPA AULLAGAS,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,0,2,0,2
PAMPA GRANDE,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,1,3,1,4
PAPEL PAMPA,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,5,0,5,5
PASORAPA,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,0,1,0,1
PATACAMAYA,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,4,4,4,8
PAZÑA,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,5,2,5,7
PELECHUCO,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,3,3,3,6
POCOATA,consulta externa,repetidas en menores de 5 anos,2007-01-01,10,7,10,7,17
POCONA,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,1,4,1,5
POJO (CBBA),consulta externa,repetidas en menores de 5 anos,2007-01-01,1,0,1,0,1
POOPO,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,3,4,3,7
PORCO,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,5,3,5,8
POROMA,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,3,0,3,3
PORONGO,consulta externa,repetidas en menores de 5 anos,2007-01-01,14,31,14,31,45
PORTACHUELO,consulta externa,repetidas en menores de 5 anos,2007-01-01,40,35,40,35,75
PORVENIR,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,12,4,12,16
POSTRER VALLE,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,1,0,1,1
POTOSI,consulta externa,repetidas en menores de 5 anos,2007-01-01,325,339,325,339,664
PUCARA,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,0,2,0,2
PUCARANI,consulta externa,repetidas en menores de 5 anos,2007-01-01,11,10,11,10,21
PUERTO ACOSTA,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,0,1,0,1
PUERTO CARABUCO,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,5,2,5,7
PUERTO GONZALO MORENO,consulta externa,repetidas en menores de 5 anos,2007-01-01,8,10,8,10,18
PUERTO PEREZ,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,0,3,0,3
PUERTO QUIJARRO,consulta externa,repetidas en menores de 5 anos,2007-01-01,25,15,25,15,40
PUERTO RICO,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,7,3,7,10
PUERTO SILES,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,1,1,1,2
PUERTO SUAREZ,consulta externa,repetidas en menores de 5 anos,2007-01-01,18,24,18,24,42
PUERTO VILLARROEL,consulta externa,repetidas en menores de 5 anos,2007-01-01,129,101,129,101,230
PUNA,consulta externa,repetidas en menores de 5 anos,2007-01-01,5,7,5,7,12
PUNATA,consulta externa,repetidas en menores de 5 anos,2007-01-01,76,86,76,86,162
QUIABAYA,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,3,2,3,5
QUILLACOLLO,consulta externa,repetidas en menores de 5 anos,2007-01-01,269,294,269,294,563
QUIME,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,4,4,4,8
QUIRUSILLAS,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,3,0,3,3
RAVELO,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,0,1,0,1
REYES,consulta externa,repetidas en menores de 5 anos,2007-01-01,16,14,16,14,30
RIBERALTA,consulta externa,repetidas en menores de 5 anos,2007-01-01,216,212,216,212,428
ROBORE,consulta externa,repetidas en menores de 5 anos,2007-01-01,14,10,14,10,24
RURRENABAQUE,consulta externa,repetidas en menores de 5 anos,2007-01-01,27,16,27,16,43
SABAYA,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,0,1,0,1
SACABA,consulta externa,repetidas en menores de 5 anos,2007-01-01,207,163,207,163,370
SACABAMBA,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,1,4,1,5
SACACA,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,1,0,1,1
SAIPINA,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,5,3,5,8
SALINAS DE GARCI MENDOZA,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,0,1,0,1
SAMAIPATA,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,4,1,4,5
SAN AGUSTIN,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,1,1,1,2
SAN ANDRES,consulta externa,repetidas en menores de 5 anos,2007-01-01,12,14,12,14,26
SAN ANDRES DE MACHACA,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,1,0,1,1
SAN ANTONIO DE ESMORUCO,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,1,3,1,4
SAN ANTONIO DE LOMERIO,consulta externa,repetidas en menores de 5 anos,2007-01-01,13,8,13,8,21
SAN BENITO,consulta externa,repetidas en menores de 5 anos,2007-01-01,10,4,10,4,14
SAN BORJA,consulta externa,repetidas en menores de 5 anos,2007-01-01,35,25,35,25,60
SAN BUENA VENTURA,consulta externa,repetidas en menores de 5 anos,2007-01-01,15,10,15,10,25
SAN CARLOS,consulta externa,repetidas en menores de 5 anos,2007-01-01,57,68,57,68,125
SAN IGNACIO,consulta externa,repetidas en menores de 5 anos,2007-01-01,53,35,53,35,88
SAN IGNACIO DE VELASCO,consulta externa,repetidas en menores de 5 anos,2007-01-01,116,140,116,140,256
SAN JAVIER(BNI),consulta externa,repetidas en menores de 5 anos,2007-01-01,3,4,3,4,7
SAN JAVIER(STC),consulta externa,repetidas en menores de 5 anos,2007-01-01,59,68,59,68,127
SAN JOAQUIN,consulta externa,repetidas en menores de 5 anos,2007-01-01,8,10,8,10,18
SAN JOSE DE CHIQUITOS,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,2,4,2,6
SAN JUAN DE YAPACANI,consulta externa,repetidas en menores de 5 anos,2007-01-01,46,34,46,34,80
SAN JULIAN,consulta externa,repetidas en menores de 5 anos,2007-01-01,42,34,42,34,76
SAN LORENZO(PND),consulta externa,repetidas en menores de 5 anos,2007-01-01,4,2,4,2,6
SAN LORENZO(TJA),consulta externa,repetidas en menores de 5 anos,2007-01-01,33,52,33,52,85
SAN LUCAS,consulta externa,repetidas en menores de 5 anos,2007-01-01,7,5,7,5,12
SAN MATIAS,consulta externa,repetidas en menores de 5 anos,2007-01-01,37,30,37,30,67
SAN MIGUEL DE VELASCO,consulta externa,repetidas en menores de 5 anos,2007-01-01,84,69,84,69,153
SAN PABLO DE LIPEZ,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,1,3,1,4
SAN PEDRO,consulta externa,repetidas en menores de 5 anos,2007-01-01,54,34,54,34,88
SAN PEDRO DE CURAHUARA,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,8,4,8,12
SAN PEDRO DE TIQUINA,consulta externa,repetidas en menores de 5 anos,2007-01-01,5,1,5,1,6
SAN RAFAEL,consulta externa,repetidas en menores de 5 anos,2007-01-01,18,12,18,12,30
SAN RAMON,consulta externa,repetidas en menores de 5 anos,2007-01-01,13,12,13,12,25
SAN RAMON,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,2,2,2,4
SANTA ANA,consulta externa,repetidas en menores de 5 anos,2007-01-01,30,27,30,27,57
SANTA CRUZ DE LA SIERRA,consulta externa,repetidas en menores de 5 anos,2007-01-01,3574,3570,3574,3570,7144
SANTA ROSA DEL SARA,consulta externa,repetidas en menores de 5 anos,2007-01-01,14,10,14,10,24
SANTIAGO DE CALLAPA,consulta externa,repetidas en menores de 5 anos,2007-01-01,8,8,8,8,16
SANTIAGO DE HUARI,consulta externa,repetidas en menores de 5 anos,2007-01-01,7,5,7,5,12
SANTIVAÑES,consulta externa,repetidas en menores de 5 anos,2007-01-01,11,5,11,5,16
SANTUARIO DE QUILLACAS,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,2,1,2,3
SAPAHAQUI,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,1,0,1,1
SENA,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,1,0,1,1
SICA SICA (VILLA AROMA),consulta externa,repetidas en menores de 5 anos,2007-01-01,2,4,2,4,6
SIPE SIPE,consulta externa,repetidas en menores de 5 anos,2007-01-01,312,244,312,244,556
SOPACHUY,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,1,4,1,5
SORACACHI,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,2,1,2,3
SORATA,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,4,2,4,6
SUCRE,consulta externa,repetidas en menores de 5 anos,2007-01-01,728,1094,728,1094,1822
TACACHI,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,0,1,0,1
TACACOMA,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,0,2,0,2
TAHUA,consulta externa,repetidas en menores de 5 anos,2007-01-01,6,2,6,2,8
TAPACARI,consulta externa,repetidas en menores de 5 anos,2007-01-01,8,2,8,2,10
TARABUCO,consulta externa,repetidas en menores de 5 anos,2007-01-01,51,68,51,68,119
TARACO,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,1,2,1,3
TARATA,consulta externa,repetidas en menores de 5 anos,2007-01-01,7,10,7,10,17
TARIJA,consulta externa,repetidas en menores de 5 anos,2007-01-01,404,370,404,370,774
TARVITA,consulta externa,repetidas en menores de 5 anos,2007-01-01,6,12,6,12,18
TEOPONTE,consulta externa,repetidas en menores de 5 anos,2007-01-01,7,1,7,1,8
TIAWANACU,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,3,2,3,5
TINGUIPAYA,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,2,1,2,3
TIPUANI,consulta externa,repetidas en menores de 5 anos,2007-01-01,4,5,4,5,9
TIQUIPAYA,consulta externa,repetidas en menores de 5 anos,2007-01-01,198,139,198,139,337
TIRAQUE (CBBA),consulta externa,repetidas en menores de 5 anos,2007-01-01,197,182,197,182,379
TITO YUPANQUI (PARQUIPUJIO),consulta externa,repetidas en menores de 5 anos,2007-01-01,1,1,1,1,2
TOCO,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,0,2,0,2
TOLATA,consulta externa,repetidas en menores de 5 anos,2007-01-01,13,3,13,3,16
TOLEDO,consulta externa,repetidas en menores de 5 anos,2007-01-01,11,20,11,20,31
TOMAVE,consulta externa,repetidas en menores de 5 anos,2007-01-01,5,4,5,4,9
TOMINA,consulta externa,repetidas en menores de 5 anos,2007-01-01,8,11,8,11,19
TORO TORO,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,1,0,1,1
TOTORA(CBBA),consulta externa,repetidas en menores de 5 anos,2007-01-01,86,72,86,72,158
TOTORA(ORR),consulta externa,repetidas en menores de 5 anos,2007-01-01,3,6,3,6,9
TRIGAL,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,2,1,2,3
TRINIDAD,consulta externa,repetidas en menores de 5 anos,2007-01-01,371,355,371,355,726
TUPIZA,consulta externa,repetidas en menores de 5 anos,2007-01-01,50,82,50,82,132
TURCO,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,1,2,1,3
UMALA,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,1,0,1,1
UNCIA,consulta externa,repetidas en menores de 5 anos,2007-01-01,12,6,12,6,18
URIONDO (A. CONCEPCION),consulta externa,repetidas en menores de 5 anos,2007-01-01,9,4,9,4,13
URUBICHA,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,1,2,1,3
UYUNI,consulta externa,repetidas en menores de 5 anos,2007-01-01,17,13,17,13,30
VACAS,consulta externa,repetidas en menores de 5 anos,2007-01-01,19,8,19,8,27
VALLEGRANDE,consulta externa,repetidas en menores de 5 anos,2007-01-01,19,11,19,11,30
VIACHA,consulta externa,repetidas en menores de 5 anos,2007-01-01,68,53,68,53,121
VILA VILA,consulta externa,repetidas en menores de 5 anos,2007-01-01,2,3,2,3,5
VILLA MONTES,consulta externa,repetidas en menores de 5 anos,2007-01-01,49,40,49,40,89
VILLA NUEVA (LOMA ALTA),consulta externa,repetidas en menores de 5 anos,2007-01-01,6,5,6,5,11
VILLA RIVERO,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,1,1,1,2
VILLA SERRANO,consulta externa,repetidas en menores de 5 anos,2007-01-01,3,1,3,1,4
VILLA TUNARI,consulta externa,repetidas en menores de 5 anos,2007-01-01,80,63,80,63,143
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,repetidas en menores de 5 anos,2007-01-01,7,4,7,4,11
VILLAZON,consulta externa,repetidas en menores de 5 anos,2007-01-01,47,35,47,35,82
VINTO,consulta externa,repetidas en menores de 5 anos,2007-01-01,5,2,5,2,7
VITICHI,consulta externa,repetidas en menores de 5 anos,2007-01-01,1,4,1,4,5
WALDO BALLIVIAN,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,6,0,6,6
WARNES,consulta externa,repetidas en menores de 5 anos,2007-01-01,75,72,75,72,147
YACO,consulta externa,repetidas en menores de 5 anos,2007-01-01,5,3,5,3,8
YACUIBA,consulta externa,repetidas en menores de 5 anos,2007-01-01,182,145,182,145,327
YAMPARAEZ,consulta externa,repetidas en menores de 5 anos,2007-01-01,23,19,23,19,42
YAPACANI,consulta externa,repetidas en menores de 5 anos,2007-01-01,35,28,35,28,63
YOCALLA,consulta externa,repetidas en menores de 5 anos,2007-01-01,0,4,0,4,4
YOTALA,consulta externa,repetidas en menores de 5 anos,2007-01-01,17,22,17,22,39
YUNCHARA,consulta externa,repetidas en menores de 5 anos,2007-01-01,7,5,7,5,12
ZUDAÑEZ,consulta externa,repetidas en menores de 5 anos,2007-01-01,8,6,8,6,14
ACACIO,consulta externa,repetidas en menores de 5 anos,2007-02-01,2,0,2,0,2
ACHACACHI,consulta externa,repetidas en menores de 5 anos,2007-02-01,7,5,7,5,12
ACHOCALLA,consulta externa,repetidas en menores de 5 anos,2007-02-01,5,4,5,4,9
AIQUILE,consulta externa,repetidas en menores de 5 anos,2007-02-01,68,56,68,56,124
ALALAY,consulta externa,repetidas en menores de 5 anos,2007-02-01,3,5,3,5,8
ANCORAIMES,consulta externa,repetidas en menores de 5 anos,2007-02-01,10,3,10,3,13
