municipality,group,variable,month,Nuevas en personas de 15 a 59 años -Hombre,Nuevas en personas de 15 a 59 años -Mujer,TOTAL-H,TOTAL-M,TOTAL
COMARAPA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,162,435,162,435,597
COMBAYA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,9,19,9,19,28
CONCEPCION,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,40,107,40,107,147
COPACABANA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,138,211,138,211,349
CORIPATA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,139,190,139,190,329
CORO CORO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,39,91,39,91,130
COROICO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,328,494,328,494,822
CORQUE,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,91,153,91,153,244
COTAGAITA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,745,1262,745,1262,2007
COTOCA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,283,694,283,694,977
CUATRO CAÑADAS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,368,643,368,643,1011
CUCHUMUELA (V. G. VILLARROEL),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,25,28,25,28,53
CUEVO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,106,130,106,130,236
CULPINA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,268,570,268,570,838
CURAHUARA DE CARANGAS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,53,132,53,132,185
CURVA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,21,35,21,35,56
DESAGUADERO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,35,58,35,58,93
EL ALTO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,7531,15564,7531,15564,23095
EL CHORO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,124,199,124,199,323
EL PUENTE(STC),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,94,216,94,216,310
EL PUENTE(TJA),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,181,413,181,413,594
EL TORNO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,968,1125,968,1125,2093
EL VILLAR,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,90,194,90,194,284
ENTRE RIOS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,543,731,543,731,1274
ENTRE RIOS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,287,346,287,346,633
ESCARA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,5,4,5,4,9
ESMERALDA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,20,35,20,35,55
EUCALIPTUS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,60,154,60,154,214
EUREKA (SANTOS MERCADO),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,19,18,19,18,37
EXALTACION,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,14,23,14,23,37
FERNANDEZ ALONSO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,118,345,118,345,463
FILADELFIA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,119,102,119,102,221
GENERAL SAAVEDRA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,140,307,140,307,447
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,63,121,63,121,184
GUANAY,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,212,352,212,352,564
GUAQUI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,41,57,41,57,98
GUAYARAMERIN,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,663,1663,663,1663,2326
GUTIERREZ,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,235,347,235,347,582
HUACARETA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,241,422,241,422,663
HUACAYA (VILLA DE HUACAYA),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,54,103,54,103,157
HUACHACALLA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,145,162,145,162,307
HUANUNI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,375,768,375,768,1143
HUARACAJE,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,26,89,26,89,115
HUAYLLAMARCA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,40,64,40,64,104
ICHOCA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,41,107,41,107,148
ICLA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,118,323,118,323,441
INCAHUASI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,101,497,101,497,598
INGAVI (HUMAITA),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,13,21,13,21,34
INQUISIVI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,139,196,139,196,335
IRUPANA (VILLA DE LANZA),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,239,368,239,368,607
IXIAMAS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,186,283,186,283,469
JESUS DE MACHACA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,99,307,99,307,406
LA ASUNTA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,296,472,296,472,768
LA GUARDIA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,322,814,322,814,1136
LA PAZ,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,23505,41867,23505,41867,65372
LA RIVERA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,2,8,2,8,10
LAGUNILLAS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,133,201,133,201,334
LAJA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,65,178,65,178,243
LAS CARRERAS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,54,149,54,149,203
LICOMA PAMPA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,47,70,47,70,117
LLALLAGUA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,551,1148,551,1148,1699
LLICA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,108,188,108,188,296
LORETO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,24,47,24,47,71
LURIBAY,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,193,212,193,212,405
MACHACAMARCA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,53,99,53,99,152
MACHARETI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,282,602,282,602,884
MAGDALENA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,221,477,221,477,698
MAIRANA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,97,243,97,243,340
MALLA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,66,82,66,82,148
MAPIRI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,198,291,198,291,489
MECAPACA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,157,261,157,261,418
MINEROS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,69,352,69,352,421
MIZQUE,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,86,186,86,186,272
MOCOMOCO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,145,170,145,170,315
MOJINETE,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,14,45,14,45,59
MOJOCOYA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,123,338,123,338,461
MONTEAGUDO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,1296,2233,1296,2233,3529
MONTERO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,1473,3498,1473,3498,4971
MORO MORO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,26,87,26,87,113
MOROCHATA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,77,144,77,144,221
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,37,40,37,40,77
NAZACARA DE PACAJES,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,7,18,7,18,25
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,43,35,43,35,78
OCURI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,148,406,148,406,554
OKINAWA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,420,897,420,897,1317
OMEREQUE,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,59,142,59,142,201
ORURO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,8073,14030,8073,14030,22103
PADCAYA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,326,658,326,658,984
PADILLA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,474,832,474,832,1306
PAILON,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,190,187,190,187,377
PALCA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,125,186,125,186,311
PALOS BLANCOS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,390,530,390,530,920
PAMPA AULLAGAS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,50,65,50,65,115
PAMPA GRANDE,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,73,189,73,189,262
PAPEL PAMPA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,52,88,52,88,140
PASORAPA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,11,20,11,20,31
PATACAMAYA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,103,185,103,185,288
PAZÑA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,114,154,114,154,268
PELECHUCO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,123,140,123,140,263
POCOATA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,163,322,163,322,485
POCONA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,130,184,130,184,314
POJO (CBBA),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,39,77,39,77,116
POOPO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,48,78,48,78,126
PORCO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,89,192,89,192,281
POROMA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,121,330,121,330,451
PORONGO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,93,147,93,147,240
PORTACHUELO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,323,874,323,874,1197
PORVENIR,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,121,131,121,131,252
POSTRER VALLE,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,55,93,55,93,148
POTOSI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,4020,8452,4020,8452,12472
PRESTO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,108,240,108,240,348
PUCARA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,20,41,20,41,61
PUCARANI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,134,371,134,371,505
PUERTO ACOSTA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,255,361,255,361,616
PUERTO CARABUCO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,114,209,114,209,323
PUERTO GONZALO MORENO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,40,114,40,114,154
PUERTO PEREZ,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,74,84,74,84,158
PUERTO QUIJARRO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,469,393,469,393,862
PUERTO RICO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,145,176,145,176,321
PUERTO SUAREZ,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,371,507,371,507,878
PUERTO VILLARROEL,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,411,573,411,573,984
PUNA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,325,741,325,741,1066
PUNATA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,378,588,378,588,966
QUIABAYA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,21,40,21,40,61
QUILLACOLLO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,1059,2067,1059,2067,3126
QUIME,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,191,121,191,121,312
QUIRUSILLAS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,9,24,9,24,33
RAVELO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,114,242,114,242,356
REYES,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,135,332,135,332,467
RIBERALTA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,570,1565,570,1565,2135
ROBORE,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,189,592,189,592,781
RURRENABAQUE,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,199,411,199,411,610
SABAYA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,47,65,47,65,112
SACABA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,692,1628,692,1628,2320
SACABAMBA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,39,49,39,49,88
SACACA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,160,360,160,360,520
SAIPINA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,104,155,104,155,259
SALINAS DE GARCI MENDOZA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,151,260,151,260,411
SAMAIPATA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,83,156,83,156,239
SAN AGUSTIN,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,44,75,44,75,119
SAN ANDRES,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,115,200,115,200,315
SAN ANDRES DE MACHACA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,52,106,52,106,158
SAN ANTONIO DE ESMORUCO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,41,67,41,67,108
SAN ANTONIO DE LOMERIO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,64,65,64,65,129
SAN BENITO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,119,212,119,212,331
SAN BORJA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,206,821,206,821,1027
SAN BUENA VENTURA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,146,161,146,161,307
SAN CARLOS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,239,791,239,791,1030
SAN IGNACIO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,282,600,282,600,882
SAN IGNACIO DE VELASCO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,1374,2224,1374,2224,3598
SAN JAVIER(BNI),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,20,26,20,26,46
SAN JAVIER(STC),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,265,610,265,610,875
SAN JOAQUIN,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,288,541,288,541,829
SAN JOSE DE CHIQUITOS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,270,502,270,502,772
SAN JUAN DE YAPACANI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,211,403,211,403,614
SAN JULIAN,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,1451,1842,1451,1842,3293
SAN LORENZO(PND),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,36,42,36,42,78
SAN LORENZO(TJA),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,276,632,276,632,908
SAN LUCAS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,272,815,272,815,1087
SAN MATIAS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,52,159,52,159,211
SAN MIGUEL DE VELASCO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,177,368,177,368,545
SAN PABLO DE LIPEZ,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,90,178,90,178,268
SAN PEDRO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,365,653,365,653,1018
SAN PEDRO DE BUENA VISTA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,102,283,102,283,385
SAN PEDRO DE CURAHUARA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,52,62,52,62,114
SAN PEDRO DE QUEMES,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,2,10,2,10,12
SAN PEDRO DE TIQUINA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,26,54,26,54,80
SAN PEDRO(PND),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,1,1,1,1,2
SAN RAFAEL,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,97,144,97,144,241
SAN RAMON,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,13,55,13,55,68
SAN RAMON,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,218,347,218,347,565
SANTA ANA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,121,241,121,241,362
SANTA CRUZ DE LA SIERRA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,28350,49788,28350,49788,78138
SANTA ROSA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,36,84,36,84,120
SANTA ROSA DEL SARA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,320,897,320,897,1217
SANTIAGO DE CALLAPA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,30,57,30,57,87
SANTIAGO DE HUARI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,104,175,104,175,279
SANTIAGO DE MACHACA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,21,50,21,50,71
SANTIVAÑES,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,57,82,57,82,139
SANTUARIO DE QUILLACAS,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,30,59,30,59,89
SAPAHAQUI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,79,106,79,106,185
SENA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,62,116,62,116,178
SICA SICA (VILLA AROMA),consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,123,239,123,239,362
SICAYA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,17,26,17,26,43
SIPE SIPE,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,154,271,154,271,425
SOPACHUY,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,115,290,115,290,405
SORACACHI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,60,101,60,101,161
SORATA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,153,238,153,238,391
SUCRE,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,8997,17176,8997,17176,26173
TACACHI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,11,29,11,29,40
TACACOMA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,71,93,71,93,164
TACOBAMBA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,45,122,45,122,167
TACOPAYA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,66,169,66,169,235
TAHUA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,23,36,23,36,59
TAPACARI,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,161,334,161,334,495
TARABUCO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,244,467,244,467,711
TARACO,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,38,85,38,85,123
TARATA,consulta externa,nuevas en personas de 15 a 59 anos,2007-01-01,48,106,48,106,154
