,group,variable,month,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS INICIADO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TRATAMIENTOS DE 15 AÑOS Y MÁS CONCLUIDO,TOTALES,TOTALES,TOTALES
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2016-01-01,1,1,1,3,2,4,6
SOPACHUY,chagas,tratamientos de 15 anos y mas,2016-01-01,7,2,0,1,7,3,10
SUCRE,chagas,tratamientos de 15 anos y mas,2016-01-01,37,49,0,0,37,49,86
TARATA,chagas,tratamientos de 15 anos y mas,2016-01-01,1,0,0,0,1,0,1
TARIJA,chagas,tratamientos de 15 anos y mas,2016-01-01,3,7,1,3,4,10,14
TORO TORO,chagas,tratamientos de 15 anos y mas,2016-01-01,0,0,3,1,3,1,4
TOTORA(CBBA),chagas,tratamientos de 15 anos y mas,2016-01-01,1,0,0,0,1,0,1
TUPIZA,chagas,tratamientos de 15 anos y mas,2016-01-01,41,61,24,33,65,94,159
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2016-01-01,1,1,0,1,1,2,3
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2016-01-01,7,10,0,0,7,10,17
VINTO,chagas,tratamientos de 15 anos y mas,2016-01-01,0,1,0,0,0,1,1
WARNES,chagas,tratamientos de 15 anos y mas,2016-01-01,0,3,0,0,0,3,3
AIQUILE,chagas,tratamientos de 15 anos y mas,2016-02-01,3,0,1,1,4,1,5
BERMEJO,chagas,tratamientos de 15 anos y mas,2016-02-01,0,0,0,1,0,1,1
CAMATAQUI (C. VILLA ABECIA),chagas,tratamientos de 15 anos y mas,2016-02-01,1,0,0,0,1,0,1
CAPINOTA,chagas,tratamientos de 15 anos y mas,2016-02-01,2,2,0,2,2,4,6
CARAPARI,chagas,tratamientos de 15 anos y mas,2016-02-01,4,2,0,0,4,2,6
CHAQUI,chagas,tratamientos de 15 anos y mas,2016-02-01,1,0,0,0,1,0,1
CLIZA,chagas,tratamientos de 15 anos y mas,2016-02-01,0,0,0,2,0,2,2
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2016-02-01,30,60,0,1,30,61,91
CORIPATA,chagas,tratamientos de 15 anos y mas,2016-02-01,0,0,0,1,0,1,1
EL PUENTE(TJA),chagas,tratamientos de 15 anos y mas,2016-02-01,2,1,1,1,3,2,5
EL TORNO,chagas,tratamientos de 15 anos y mas,2016-02-01,3,1,2,0,5,1,6
ICLA,chagas,tratamientos de 15 anos y mas,2016-02-01,0,1,0,0,0,1,1
LA ASUNTA,chagas,tratamientos de 15 anos y mas,2016-02-01,2,2,0,0,2,2,4
MAIRANA,chagas,tratamientos de 15 anos y mas,2016-02-01,1,0,0,0,1,0,1
MIZQUE,chagas,tratamientos de 15 anos y mas,2016-02-01,3,2,0,0,3,2,5
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2016-02-01,5,9,1,4,6,13,19
MOROCHATA,chagas,tratamientos de 15 anos y mas,2016-02-01,0,3,0,0,0,3,3
OMEREQUE,chagas,tratamientos de 15 anos y mas,2016-02-01,0,1,0,0,0,1,1
PRESTO,chagas,tratamientos de 15 anos y mas,2016-02-01,1,0,0,0,1,0,1
PUNATA,chagas,tratamientos de 15 anos y mas,2016-02-01,3,11,0,0,3,11,14
SAN JULIAN,chagas,tratamientos de 15 anos y mas,2016-02-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2016-02-01,7,16,2,3,9,19,28
SICAYA,chagas,tratamientos de 15 anos y mas,2016-02-01,1,3,0,1,1,4,5
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2016-02-01,1,0,4,7,5,7,12
SOPACHUY,chagas,tratamientos de 15 anos y mas,2016-02-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos de 15 anos y mas,2016-02-01,28,11,0,0,28,11,39
TAPACARI,chagas,tratamientos de 15 anos y mas,2016-02-01,0,2,0,0,0,2,2
TARATA,chagas,tratamientos de 15 anos y mas,2016-02-01,2,0,0,0,2,0,2
TARIJA,chagas,tratamientos de 15 anos y mas,2016-02-01,16,28,0,0,16,28,44
TIQUIPAYA,chagas,tratamientos de 15 anos y mas,2016-02-01,1,3,0,0,1,3,4
TOTORA(CBBA),chagas,tratamientos de 15 anos y mas,2016-02-01,1,0,0,0,1,0,1
TUPIZA,chagas,tratamientos de 15 anos y mas,2016-02-01,24,34,13,26,37,60,97
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2016-02-01,3,5,1,0,4,5,9
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2016-02-01,10,5,0,0,10,5,15
WARNES,chagas,tratamientos de 15 anos y mas,2016-02-01,0,1,0,0,0,1,1
AIQUILE,chagas,tratamientos de 15 anos y mas,2016-03-01,6,1,1,1,7,2,9
ALCALA,chagas,tratamientos de 15 anos y mas,2016-03-01,4,1,0,0,4,1,5
CAMATAQUI (C. VILLA ABECIA),chagas,tratamientos de 15 anos y mas,2016-03-01,1,0,0,0,1,0,1
CAPINOTA,chagas,tratamientos de 15 anos y mas,2016-03-01,1,4,3,0,4,4,8
CARAPARI,chagas,tratamientos de 15 anos y mas,2016-03-01,1,1,2,1,3,2,5
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos de 15 anos y mas,2016-03-01,0,0,1,0,1,0,1
CKOCHAS,chagas,tratamientos de 15 anos y mas,2016-03-01,8,3,0,0,8,3,11
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2016-03-01,43,72,3,7,46,79,125
COROICO,chagas,tratamientos de 15 anos y mas,2016-03-01,0,0,0,1,0,1,1
COTAGAITA,chagas,tratamientos de 15 anos y mas,2016-03-01,2,8,0,0,2,8,10
EL PUENTE(TJA),chagas,tratamientos de 15 anos y mas,2016-03-01,0,3,0,0,0,3,3
EL TORNO,chagas,tratamientos de 15 anos y mas,2016-03-01,1,5,4,4,5,9,14
ENTRE RIOS TRJ,chagas,tratamientos de 15 anos y mas,2016-03-01,0,2,0,0,0,2,2
ICLA,chagas,tratamientos de 15 anos y mas,2016-03-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),chagas,tratamientos de 15 anos y mas,2016-03-01,0,1,0,0,0,1,1
LA ASUNTA,chagas,tratamientos de 15 anos y mas,2016-03-01,0,3,2,3,2,6,8
MIZQUE,chagas,tratamientos de 15 anos y mas,2016-03-01,4,6,1,0,5,6,11
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2016-03-01,18,26,5,6,23,32,55
MOROCHATA,chagas,tratamientos de 15 anos y mas,2016-03-01,0,4,0,0,0,4,4
OMEREQUE,chagas,tratamientos de 15 anos y mas,2016-03-01,0,0,4,4,4,4,8
PASORAPA,chagas,tratamientos de 15 anos y mas,2016-03-01,1,0,1,2,2,2,4
POJO (CBBA),chagas,tratamientos de 15 anos y mas,2016-03-01,0,0,1,1,1,1,2
PUNA,chagas,tratamientos de 15 anos y mas,2016-03-01,35,50,0,0,35,50,85
PUNATA,chagas,tratamientos de 15 anos y mas,2016-03-01,7,8,2,14,9,22,31
SAN JULIAN,chagas,tratamientos de 15 anos y mas,2016-03-01,0,0,0,1,0,1,1
SAN LORENZO(TJA),chagas,tratamientos de 15 anos y mas,2016-03-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2016-03-01,13,15,6,2,19,17,36
SICAYA,chagas,tratamientos de 15 anos y mas,2016-03-01,1,1,1,0,2,1,3
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2016-03-01,3,1,0,0,3,1,4
SOPACHUY,chagas,tratamientos de 15 anos y mas,2016-03-01,0,0,2,1,2,1,3
SUCRE,chagas,tratamientos de 15 anos y mas,2016-03-01,44,68,6,22,50,90,140
TAPACARI,chagas,tratamientos de 15 anos y mas,2016-03-01,0,0,2,0,2,0,2
TARIJA,chagas,tratamientos de 15 anos y mas,2016-03-01,20,27,2,5,22,32,54
TOLATA,chagas,tratamientos de 15 anos y mas,2016-03-01,1,1,1,0,2,1,3
TRIGAL,chagas,tratamientos de 15 anos y mas,2016-03-01,0,1,0,0,0,1,1
TUPIZA,chagas,tratamientos de 15 anos y mas,2016-03-01,32,31,37,58,69,89,158
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2016-03-01,0,0,1,0,1,0,1
VILLA RIVERO,chagas,tratamientos de 15 anos y mas,2016-03-01,1,1,0,0,1,1,2
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2016-03-01,20,30,0,2,20,32,52
WARNES,chagas,tratamientos de 15 anos y mas,2016-03-01,0,0,0,1,0,1,1
YOTALA,chagas,tratamientos de 15 anos y mas,2016-03-01,1,1,0,0,1,1,2
AIQUILE,chagas,tratamientos de 15 anos y mas,2016-04-01,4,4,0,1,4,5,9
ANZALDO,chagas,tratamientos de 15 anos y mas,2016-04-01,1,0,0,0,1,0,1
CAPINOTA,chagas,tratamientos de 15 anos y mas,2016-04-01,0,1,1,2,1,3,4
CHAQUI,chagas,tratamientos de 15 anos y mas,2016-04-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos de 15 anos y mas,2016-04-01,1,1,0,0,1,1,2
CKOCHAS,chagas,tratamientos de 15 anos y mas,2016-04-01,4,3,0,0,4,3,7
CLIZA,chagas,tratamientos de 15 anos y mas,2016-04-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2016-04-01,51,63,13,25,64,88,152
COTAGAITA,chagas,tratamientos de 15 anos y mas,2016-04-01,5,13,0,0,5,13,18
EL ALTO,chagas,tratamientos de 15 anos y mas,2016-04-01,1,0,0,0,1,0,1
EL PUENTE(TJA),chagas,tratamientos de 15 anos y mas,2016-04-01,1,1,1,1,2,2,4
EL TORNO,chagas,tratamientos de 15 anos y mas,2016-04-01,0,7,3,1,3,8,11
GUTIERREZ,chagas,tratamientos de 15 anos y mas,2016-04-01,1,0,0,0,1,0,1
ICLA,chagas,tratamientos de 15 anos y mas,2016-04-01,3,13,0,0,3,13,16
LA ASUNTA,chagas,tratamientos de 15 anos y mas,2016-04-01,0,0,5,1,5,1,6
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2016-04-01,0,0,0,1,0,1,1
LA PAZ,chagas,tratamientos de 15 anos y mas,2016-04-01,1,1,0,0,1,1,2
MAIRANA,chagas,tratamientos de 15 anos y mas,2016-04-01,2,2,0,1,2,3,5
MIZQUE,chagas,tratamientos de 15 anos y mas,2016-04-01,0,0,2,0,2,0,2
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2016-04-01,11,35,3,6,14,41,55
MOROCHATA,chagas,tratamientos de 15 anos y mas,2016-04-01,1,3,0,0,1,3,4
PUNA,chagas,tratamientos de 15 anos y mas,2016-04-01,6,3,0,0,6,3,9
PUNATA,chagas,tratamientos de 15 anos y mas,2016-04-01,6,16,3,9,9,25,34
SAMAIPATA,chagas,tratamientos de 15 anos y mas,2016-04-01,1,2,0,0,1,2,3
SAN JULIAN,chagas,tratamientos de 15 anos y mas,2016-04-01,1,0,1,0,2,0,2
SAN LUCAS,chagas,tratamientos de 15 anos y mas,2016-04-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2016-04-01,14,27,7,4,21,31,52
SICAYA,chagas,tratamientos de 15 anos y mas,2016-04-01,1,0,1,1,2,1,3
SOPACHUY,chagas,tratamientos de 15 anos y mas,2016-04-01,1,3,0,0,1,3,4
SUCRE,chagas,tratamientos de 15 anos y mas,2016-04-01,43,52,13,26,56,78,134
TAPACARI,chagas,tratamientos de 15 anos y mas,2016-04-01,0,1,1,2,1,3,4
TARATA,chagas,tratamientos de 15 anos y mas,2016-04-01,3,4,4,1,7,5,12
TARIJA,chagas,tratamientos de 15 anos y mas,2016-04-01,13,26,8,16,21,42,63
TIQUIPAYA,chagas,tratamientos de 15 anos y mas,2016-04-01,2,2,0,0,2,2,4
TOLATA,chagas,tratamientos de 15 anos y mas,2016-04-01,1,0,0,0,1,0,1
TOMINA,chagas,tratamientos de 15 anos y mas,2016-04-01,1,2,0,0,1,2,3
TORO TORO,chagas,tratamientos de 15 anos y mas,2016-04-01,7,9,0,0,7,9,16
TOTORA(CBBA),chagas,tratamientos de 15 anos y mas,2016-04-01,1,0,0,0,1,0,1
TUPIZA,chagas,tratamientos de 15 anos y mas,2016-04-01,17,19,4,5,21,24,45
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2016-04-01,1,1,1,7,2,8,10
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2016-04-01,14,19,5,2,19,21,40
WARNES,chagas,tratamientos de 15 anos y mas,2016-04-01,1,0,1,1,2,1,3
YACUIBA,chagas,tratamientos de 15 anos y mas,2016-04-01,0,0,0,1,0,1,1
AIQUILE,chagas,tratamientos de 15 anos y mas,2016-05-01,3,4,1,6,4,10,14
ALCALA,chagas,tratamientos de 15 anos y mas,2016-05-01,0,0,2,0,2,0,2
ARBIETO,chagas,tratamientos de 15 anos y mas,2016-05-01,0,2,0,0,0,2,2
"CAIZA ""D""",chagas,tratamientos de 15 anos y mas,2016-05-01,0,1,0,0,0,1,1
CAPINOTA,chagas,tratamientos de 15 anos y mas,2016-05-01,1,1,0,1,1,2,3
CLIZA,chagas,tratamientos de 15 anos y mas,2016-05-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2016-05-01,21,33,22,37,43,70,113
COTAGAITA,chagas,tratamientos de 15 anos y mas,2016-05-01,4,6,0,0,4,6,10
EL ALTO,chagas,tratamientos de 15 anos y mas,2016-05-01,1,0,0,0,1,0,1
EL PUENTE(TJA),chagas,tratamientos de 15 anos y mas,2016-05-01,0,0,1,3,1,3,4
EL TORNO,chagas,tratamientos de 15 anos y mas,2016-05-01,1,4,1,4,2,8,10
ICLA,chagas,tratamientos de 15 anos y mas,2016-05-01,3,8,1,0,4,8,12
IRUPANA (VILLA DE LANZA),chagas,tratamientos de 15 anos y mas,2016-05-01,0,0,0,1,0,1,1
LA ASUNTA,chagas,tratamientos de 15 anos y mas,2016-05-01,0,0,0,2,0,2,2
LA PAZ,chagas,tratamientos de 15 anos y mas,2016-05-01,2,0,0,1,2,1,3
MAIRANA,chagas,tratamientos de 15 anos y mas,2016-05-01,2,5,1,0,3,5,8
MIZQUE,chagas,tratamientos de 15 anos y mas,2016-05-01,5,6,4,0,9,6,15
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2016-05-01,28,31,12,15,40,46,86
MONTERO,chagas,tratamientos de 15 anos y mas,2016-05-01,1,7,0,0,1,7,8
OMEREQUE,chagas,tratamientos de 15 anos y mas,2016-05-01,1,0,0,0,1,0,1
POCONA,chagas,tratamientos de 15 anos y mas,2016-05-01,0,0,0,1,0,1,1
PUERTO VILLARROEL,chagas,tratamientos de 15 anos y mas,2016-05-01,1,1,0,0,1,1,2
PUNATA,chagas,tratamientos de 15 anos y mas,2016-05-01,7,18,2,12,9,30,39
SACABA,chagas,tratamientos de 15 anos y mas,2016-05-01,9,10,2,8,11,18,29
SACABAMBA,chagas,tratamientos de 15 anos y mas,2016-05-01,1,0,0,0,1,0,1
SAMAIPATA,chagas,tratamientos de 15 anos y mas,2016-05-01,1,0,0,0,1,0,1
SAN BENITO,chagas,tratamientos de 15 anos y mas,2016-05-01,0,2,2,0,2,2,4
SAN PEDRO,chagas,tratamientos de 15 anos y mas,2016-05-01,0,3,0,0,0,3,3
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2016-05-01,6,6,8,14,14,20,34
SICAYA,chagas,tratamientos de 15 anos y mas,2016-05-01,0,2,1,2,1,4,5
SOPACHUY,chagas,tratamientos de 15 anos y mas,2016-05-01,3,3,0,0,3,3,6
SUCRE,chagas,tratamientos de 15 anos y mas,2016-05-01,44,67,19,41,63,108,171
TAPACARI,chagas,tratamientos de 15 anos y mas,2016-05-01,2,3,0,0,2,3,5
TARATA,chagas,tratamientos de 15 anos y mas,2016-05-01,0,2,1,0,1,2,3
TARIJA,chagas,tratamientos de 15 anos y mas,2016-05-01,9,13,14,15,23,28,51
TIQUIPAYA,chagas,tratamientos de 15 anos y mas,2016-05-01,5,15,0,2,5,17,22
TORO TORO,chagas,tratamientos de 15 anos y mas,2016-05-01,2,2,0,0,2,2,4
TOTORA(CBBA),chagas,tratamientos de 15 anos y mas,2016-05-01,1,0,0,0,1,0,1
TUPIZA,chagas,tratamientos de 15 anos y mas,2016-05-01,30,25,17,14,47,39,86
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2016-05-01,5,1,1,0,6,1,7
VILLA RIVERO,chagas,tratamientos de 15 anos y mas,2016-05-01,1,1,0,0,1,1,2
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2016-05-01,7,8,7,11,14,19,33
YACUIBA,chagas,tratamientos de 15 anos y mas,2016-05-01,3,1,0,0,3,1,4
YOTALA,chagas,tratamientos de 15 anos y mas,2016-05-01,6,9,1,1,7,10,17
AIQUILE,chagas,tratamientos de 15 anos y mas,2016-06-01,2,3,3,5,5,8,13
ANZALDO,chagas,tratamientos de 15 anos y mas,2016-06-01,0,3,0,0,0,3,3
ARANI,chagas,tratamientos de 15 anos y mas,2016-06-01,1,0,1,0,2,0,2
ARBIETO,chagas,tratamientos de 15 anos y mas,2016-06-01,2,2,0,2,2,4,6
BETANZOS,chagas,tratamientos de 15 anos y mas,2016-06-01,0,0,3,10,3,10,13
"CAIZA ""D""",chagas,tratamientos de 15 anos y mas,2016-06-01,1,1,0,0,1,1,2
CAMATAQUI (C. VILLA ABECIA),chagas,tratamientos de 15 anos y mas,2016-06-01,2,5,0,0,2,5,7
CAPINOTA,chagas,tratamientos de 15 anos y mas,2016-06-01,0,2,0,0,0,2,2
CARAPARI,chagas,tratamientos de 15 anos y mas,2016-06-01,1,0,1,3,2,3,5
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos de 15 anos y mas,2016-06-01,1,0,1,1,2,1,3
CKOCHAS,chagas,tratamientos de 15 anos y mas,2016-06-01,0,0,4,3,4,3,7
CLIZA,chagas,tratamientos de 15 anos y mas,2016-06-01,1,1,0,1,1,2,3
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2016-06-01,21,62,22,34,43,96,139
EL PUENTE(TJA),chagas,tratamientos de 15 anos y mas,2016-06-01,0,1,1,2,1,3,4
EL TORNO,chagas,tratamientos de 15 anos y mas,2016-06-01,6,2,0,7,6,9,15
GUAYARAMERIN,chagas,tratamientos de 15 anos y mas,2016-06-01,0,1,0,0,0,1,1
ICLA,chagas,tratamientos de 15 anos y mas,2016-06-01,6,11,2,12,8,23,31
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2016-06-01,2,1,0,0,2,1,3
LA PAZ,chagas,tratamientos de 15 anos y mas,2016-06-01,0,0,0,2,0,2,2
MAIRANA,chagas,tratamientos de 15 anos y mas,2016-06-01,2,3,0,1,2,4,6
MIZQUE,chagas,tratamientos de 15 anos y mas,2016-06-01,2,2,3,0,5,2,7
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2016-06-01,36,43,20,25,56,68,124
MONTERO,chagas,tratamientos de 15 anos y mas,2016-06-01,0,10,0,0,0,10,10
MOROCHATA,chagas,tratamientos de 15 anos y mas,2016-06-01,0,0,0,4,0,4,4
OMEREQUE,chagas,tratamientos de 15 anos y mas,2016-06-01,0,2,0,0,0,2,2
PAMPA GRANDE,chagas,tratamientos de 15 anos y mas,2016-06-01,0,0,0,1,0,1,1
PASORAPA,chagas,tratamientos de 15 anos y mas,2016-06-01,0,2,1,0,1,2,3
POCONA,chagas,tratamientos de 15 anos y mas,2016-06-01,1,0,0,0,1,0,1
PUNA,chagas,tratamientos de 15 anos y mas,2016-06-01,3,9,24,30,27,39,66
PUNATA,chagas,tratamientos de 15 anos y mas,2016-06-01,8,20,5,9,13,29,42
SACABA,chagas,tratamientos de 15 anos y mas,2016-06-01,8,21,3,2,11,23,34
SAMAIPATA,chagas,tratamientos de 15 anos y mas,2016-06-01,2,3,0,0,2,3,5
SAN BENITO,chagas,tratamientos de 15 anos y mas,2016-06-01,1,3,0,0,1,3,4
SAN JULIAN,chagas,tratamientos de 15 anos y mas,2016-06-01,1,0,1,0,2,0,2
SAN LUCAS,chagas,tratamientos de 15 anos y mas,2016-06-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2016-06-01,9,7,6,9,15,16,31
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2016-06-01,1,2,0,1,1,3,4
SUCRE,chagas,tratamientos de 15 anos y mas,2016-06-01,43,47,26,38,69,85,154
TARATA,chagas,tratamientos de 15 anos y mas,2016-06-01,1,1,1,2,2,3,5
TARIJA,chagas,tratamientos de 15 anos y mas,2016-06-01,27,38,13,17,40,55,95
TIQUIPAYA,chagas,tratamientos de 15 anos y mas,2016-06-01,3,7,1,1,4,8,12
TOMINA,chagas,tratamientos de 15 anos y mas,2016-06-01,0,0,0,2,0,2,2
TORO TORO,chagas,tratamientos de 15 anos y mas,2016-06-01,5,3,7,10,12,13,25
TOTORA(CBBA),chagas,tratamientos de 15 anos y mas,2016-06-01,1,1,0,0,1,1,2
TUPIZA,chagas,tratamientos de 15 anos y mas,2016-06-01,41,51,16,16,57,67,124
VALLEGRANDE,chagas,tratamientos de 15 anos y mas,2016-06-01,0,0,4,3,4,3,7
VILLA RIVERO,chagas,tratamientos de 15 anos y mas,2016-06-01,0,2,2,2,2,4,6
VILLA TUNARI,chagas,tratamientos de 15 anos y mas,2016-06-01,12,21,12,11,24,32,56
WARNES,chagas,tratamientos de 15 anos y mas,2016-06-01,1,0,1,0,2,0,2
YOTALA,chagas,tratamientos de 15 anos y mas,2016-06-01,2,12,0,0,2,12,14
AIQUILE,chagas,tratamientos de 15 anos y mas,2016-07-01,3,1,3,2,6,3,9
ARANI,chagas,tratamientos de 15 anos y mas,2016-07-01,1,1,1,1,2,2,4
ARBIETO,chagas,tratamientos de 15 anos y mas,2016-07-01,4,5,0,0,4,5,9
AZURDUY,chagas,tratamientos de 15 anos y mas,2016-07-01,0,1,0,0,0,1,1
"CAIZA ""D""",chagas,tratamientos de 15 anos y mas,2016-07-01,1,0,0,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),chagas,tratamientos de 15 anos y mas,2016-07-01,0,3,0,0,0,3,3
CAPINOTA,chagas,tratamientos de 15 anos y mas,2016-07-01,0,1,0,2,0,3,3
CARAPARI,chagas,tratamientos de 15 anos y mas,2016-07-01,0,0,3,0,3,0,3
CLIZA,chagas,tratamientos de 15 anos y mas,2016-07-01,1,0,2,0,3,0,3
COCHABAMBA,chagas,tratamientos de 15 anos y mas,2016-07-01,31,50,23,24,54,74,128
COTAGAITA,chagas,tratamientos de 15 anos y mas,2016-07-01,0,3,5,5,5,8,13
EL TORNO,chagas,tratamientos de 15 anos y mas,2016-07-01,3,7,1,2,4,9,13
ICLA,chagas,tratamientos de 15 anos y mas,2016-07-01,0,0,1,0,1,0,1
LA GUARDIA,chagas,tratamientos de 15 anos y mas,2016-07-01,0,1,0,2,0,3,3
MAIRANA,chagas,tratamientos de 15 anos y mas,2016-07-01,1,1,0,0,1,1,2
MIZQUE,chagas,tratamientos de 15 anos y mas,2016-07-01,2,1,4,4,6,5,11
MONTEAGUDO,chagas,tratamientos de 15 anos y mas,2016-07-01,25,21,25,32,50,53,103
MONTERO,chagas,tratamientos de 15 anos y mas,2016-07-01,0,0,0,5,0,5,5
MORO MORO,chagas,tratamientos de 15 anos y mas,2016-07-01,0,0,0,1,0,1,1
PAMPA GRANDE,chagas,tratamientos de 15 anos y mas,2016-07-01,1,0,0,0,1,0,1
PUCARA,chagas,tratamientos de 15 anos y mas,2016-07-01,0,0,0,1,0,1,1
PUNATA,chagas,tratamientos de 15 anos y mas,2016-07-01,4,8,9,3,13,11,24
SACABA,chagas,tratamientos de 15 anos y mas,2016-07-01,7,10,6,5,13,15,28
SAMAIPATA,chagas,tratamientos de 15 anos y mas,2016-07-01,0,1,0,0,0,1,1
SAN BENITO,chagas,tratamientos de 15 anos y mas,2016-07-01,0,1,0,3,0,4,4
SAN JULIAN,chagas,tratamientos de 15 anos y mas,2016-07-01,2,0,0,0,2,0,2
SAN LORENZO(TJA),chagas,tratamientos de 15 anos y mas,2016-07-01,1,2,0,0,1,2,3
SANTA CRUZ DE LA SIERRA,chagas,tratamientos de 15 anos y mas,2016-07-01,7,11,7,6,14,17,31
SICAYA,chagas,tratamientos de 15 anos y mas,2016-07-01,0,2,0,1,0,3,3
SIPE SIPE,chagas,tratamientos de 15 anos y mas,2016-07-01,1,1,0,1,1,2,3
SOPACHUY,chagas,tratamientos de 15 anos y mas,2016-07-01,0,1,3,4,3,5,8
SUCRE,chagas,tratamientos de 15 anos y mas,2016-07-01,42,46,17,36,59,82,141
TAPACARI,chagas,tratamientos de 15 anos y mas,2016-07-01,1,3,2,3,3,6,9
TARATA,chagas,tratamientos de 15 anos y mas,2016-07-01,1,0,0,3,1,3,4
TARIJA,chagas,tratamientos de 15 anos y mas,2016-07-01,27,18,10,11,37,29,66
TIQUIPAYA,chagas,tratamientos de 15 anos y mas,2016-07-01,8,8,3,4,11,12,23
