,group,variable,month,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD INICIADO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TRATAMIENTOS 1 AÑO A MENORES DE 5 AÑOS DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
TOLATA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-03-01,0,1,0,0,0,1,1
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-03-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-04-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-04-01,1,1,0,0,1,1,2
LA GUARDIA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-04-01,0,0,0,1,0,1,1
SAN JULIAN,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-04-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-04-01,0,1,0,0,0,1,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-04-01,0,1,0,0,0,1,1
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-04-01,1,0,0,0,1,0,1
LA ASUNTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-05-01,0,0,1,0,1,0,1
MONTEAGUDO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-05-01,0,1,0,0,0,1,1
RIBERALTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-05-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-05-01,0,1,0,0,0,1,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-05-01,1,1,0,0,1,1,2
YACUIBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-05-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-06-01,0,0,1,0,1,0,1
GUAYARAMERIN,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-06-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-06-01,0,1,0,0,0,1,1
SAN JULIAN,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-06-01,1,0,1,0,2,0,2
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-06-01,3,8,0,0,3,8,11
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-06-01,0,0,2,0,2,0,2
ARAMPAMPA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-07-01,0,2,0,0,0,2,2
CAPINOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-07-01,1,0,0,0,1,0,1
COROICO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-07-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-07-01,1,1,0,1,1,2,3
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-07-01,0,0,0,1,0,1,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-07-01,0,1,0,1,0,2,2
CAPINOTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-08-01,0,0,1,0,1,0,1
CARAPARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-08-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-08-01,0,0,0,1,0,1,1
PUNATA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-08-01,1,1,0,0,1,1,2
SAN JULIAN,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-08-01,0,1,0,0,0,1,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-08-01,0,1,0,0,0,1,1
CARAPARI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-09-01,0,0,1,0,1,0,1
LA ASUNTA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-09-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-09-01,0,2,3,2,3,4,7
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-09-01,0,1,0,0,0,1,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-09-01,0,1,0,0,0,1,1
TOMINA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-09-01,1,0,0,0,1,0,1
VILLA MONTES,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-09-01,1,0,0,0,1,0,1
COCHABAMBA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-10-01,1,0,0,0,1,0,1
PUNATA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-10-01,0,0,1,2,1,2,3
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-10-01,0,1,0,0,0,1,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-10-01,0,0,0,1,0,1,1
TOMINA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-10-01,0,1,0,0,0,1,1
COBIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-11-01,0,1,0,0,0,1,1
LA GUARDIA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-11-01,2,2,0,0,2,2,4
MINEROS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-11-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-11-01,0,0,0,1,0,1,1
SENA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-11-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-11-01,0,1,0,0,0,1,1
TARVITA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-11-01,0,0,1,0,1,0,1
WARNES,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-11-01,0,1,0,0,0,1,1
YAPACANI,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-11-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-12-01,0,1,0,0,0,1,1
COBIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-12-01,0,0,0,1,0,1,1
MINEROS,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-12-01,0,0,0,1,0,1,1
SUCRE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-12-01,0,0,0,1,0,1,1
TARIJA,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-12-01,1,0,0,1,1,1,2
VALLEGRANDE,chagas,tratamientos 1 ano a menores de 5 anos de edad,2016-12-01,0,1,0,0,0,1,1
