,group,variable,month,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD INICIADO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TRATAMIENTOS RN A MENORES DE 1 AÑO DE EDAD CONCLUIDO,TOTALES,TOTALES,TOTALES
AZURDUY,chagas,tratamientos rn a menores de 1 ano de edad,2016-03-01,0,0,1,0,1,0,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2016-03-01,2,0,0,0,2,0,2
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2016-03-01,1,0,0,0,1,0,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2016-03-01,0,1,0,0,0,1,1
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2016-03-01,0,0,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2016-03-01,1,0,0,0,1,0,1
SOPACHUY,chagas,tratamientos rn a menores de 1 ano de edad,2016-03-01,0,1,0,0,0,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2016-03-01,0,1,0,2,0,3,3
CAMARGO,chagas,tratamientos rn a menores de 1 ano de edad,2016-04-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos rn a menores de 1 ano de edad,2016-04-01,0,1,0,0,0,1,1
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2016-04-01,1,0,0,0,1,0,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2016-04-01,0,0,2,0,2,0,2
LA GUARDIA,chagas,tratamientos rn a menores de 1 ano de edad,2016-04-01,0,1,0,0,0,1,1
MIZQUE,chagas,tratamientos rn a menores de 1 ano de edad,2016-04-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2016-04-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2016-04-01,0,0,1,0,1,0,1
SOPACHUY,chagas,tratamientos rn a menores de 1 ano de edad,2016-04-01,0,0,0,1,0,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2016-04-01,1,2,0,1,1,3,4
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2016-04-01,1,0,0,0,1,0,1
ZUDAÑEZ,chagas,tratamientos rn a menores de 1 ano de edad,2016-04-01,0,1,0,0,0,1,1
AZURDUY,chagas,tratamientos rn a menores de 1 ano de edad,2016-05-01,0,1,0,0,0,1,1
CAMARGO,chagas,tratamientos rn a menores de 1 ano de edad,2016-05-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos rn a menores de 1 ano de edad,2016-05-01,0,0,0,1,0,1,1
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2016-05-01,0,0,1,0,1,0,1
LA GUARDIA,chagas,tratamientos rn a menores de 1 ano de edad,2016-05-01,0,0,0,1,0,1,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2016-05-01,2,0,0,0,2,0,2
MIZQUE,chagas,tratamientos rn a menores de 1 ano de edad,2016-05-01,0,0,0,1,0,1,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2016-05-01,1,1,0,0,1,1,2
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2016-05-01,1,0,0,1,1,1,2
SAN JULIAN,chagas,tratamientos rn a menores de 1 ano de edad,2016-05-01,0,1,0,0,0,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2016-05-01,0,1,2,1,2,2,4
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2016-05-01,0,0,1,0,1,0,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2016-05-01,0,1,0,0,0,1,1
ZUDAÑEZ,chagas,tratamientos rn a menores de 1 ano de edad,2016-05-01,0,0,0,1,0,1,1
AZURDUY,chagas,tratamientos rn a menores de 1 ano de edad,2016-06-01,0,0,0,1,0,1,1
HUACARETA,chagas,tratamientos rn a menores de 1 ano de edad,2016-06-01,0,1,0,0,0,1,1
MIZQUE,chagas,tratamientos rn a menores de 1 ano de edad,2016-06-01,1,1,0,0,1,1,2
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2016-06-01,1,0,1,1,2,1,3
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2016-06-01,0,0,1,0,1,0,1
SAN JULIAN,chagas,tratamientos rn a menores de 1 ano de edad,2016-06-01,0,1,0,1,0,2,2
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2016-06-01,1,1,1,1,2,2,4
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2016-06-01,1,0,0,0,1,0,1
VILLA SERRANO,chagas,tratamientos rn a menores de 1 ano de edad,2016-06-01,0,1,0,0,0,1,1
YAMPARAEZ,chagas,tratamientos rn a menores de 1 ano de edad,2016-06-01,1,0,0,0,1,0,1
ZUDAÑEZ,chagas,tratamientos rn a menores de 1 ano de edad,2016-06-01,0,1,0,0,0,1,1
COROICO,chagas,tratamientos rn a menores de 1 ano de edad,2016-07-01,0,1,0,0,0,1,1
HUACARETA,chagas,tratamientos rn a menores de 1 ano de edad,2016-07-01,0,0,0,1,0,1,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2016-07-01,0,2,0,0,0,2,2
MIZQUE,chagas,tratamientos rn a menores de 1 ano de edad,2016-07-01,0,0,1,0,1,0,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2016-07-01,0,0,1,0,1,0,1
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2016-07-01,1,0,0,0,1,0,1
SAN JULIAN,chagas,tratamientos rn a menores de 1 ano de edad,2016-07-01,0,0,0,1,0,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2016-07-01,0,1,1,1,1,2,3
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2016-07-01,0,2,1,0,1,2,3
TARIJA,chagas,tratamientos rn a menores de 1 ano de edad,2016-07-01,0,0,2,1,2,1,3
VALLEGRANDE,chagas,tratamientos rn a menores de 1 ano de edad,2016-07-01,1,0,0,0,1,0,1
VILLA SERRANO,chagas,tratamientos rn a menores de 1 ano de edad,2016-07-01,0,0,0,1,0,1,1
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2016-07-01,0,0,1,0,1,0,1
YAMPARAEZ,chagas,tratamientos rn a menores de 1 ano de edad,2016-07-01,0,0,1,0,1,0,1
ZUDAÑEZ,chagas,tratamientos rn a menores de 1 ano de edad,2016-07-01,0,0,0,1,0,1,1
AIQUILE,chagas,tratamientos rn a menores de 1 ano de edad,2016-08-01,0,1,0,0,0,1,1
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2016-08-01,1,0,0,0,1,0,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2016-08-01,0,1,0,0,0,1,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2016-08-01,1,0,0,2,1,2,3
MIZQUE,chagas,tratamientos rn a menores de 1 ano de edad,2016-08-01,0,0,1,0,1,0,1
MOJOCOYA,chagas,tratamientos rn a menores de 1 ano de edad,2016-08-01,0,2,0,0,0,2,2
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2016-08-01,0,2,0,0,0,2,2
PASORAPA,chagas,tratamientos rn a menores de 1 ano de edad,2016-08-01,1,0,0,0,1,0,1
PRESTO,chagas,tratamientos rn a menores de 1 ano de edad,2016-08-01,0,0,1,0,1,0,1
PUNATA,chagas,tratamientos rn a menores de 1 ano de edad,2016-08-01,0,1,0,0,0,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2016-08-01,1,1,0,0,1,1,2
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2016-08-01,0,0,0,1,0,1,1
VALLEGRANDE,chagas,tratamientos rn a menores de 1 ano de edad,2016-08-01,0,0,1,0,1,0,1
AIQUILE,chagas,tratamientos rn a menores de 1 ano de edad,2016-09-01,0,0,0,1,0,1,1
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2016-09-01,0,0,1,0,1,0,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2016-09-01,1,1,0,1,1,2,3
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2016-09-01,0,0,1,0,1,0,1
MOJOCOYA,chagas,tratamientos rn a menores de 1 ano de edad,2016-09-01,0,0,0,2,0,2,2
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2016-09-01,1,0,0,2,1,2,3
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2016-09-01,1,0,0,0,1,0,1
PADILLA,chagas,tratamientos rn a menores de 1 ano de edad,2016-09-01,1,1,0,0,1,1,2
PASORAPA,chagas,tratamientos rn a menores de 1 ano de edad,2016-09-01,0,0,1,0,1,0,1
SAN PEDRO,chagas,tratamientos rn a menores de 1 ano de edad,2016-09-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2016-09-01,4,3,4,3,8,6,14
TOMINA,chagas,tratamientos rn a menores de 1 ano de edad,2016-09-01,1,0,0,0,1,0,1
VILLA CHARCAS,chagas,tratamientos rn a menores de 1 ano de edad,2016-09-01,0,1,0,0,0,1,1
AZURDUY,chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,0,1,0,0,0,1,1
COCHABAMBA,chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,1,0,0,0,1,0,1
CULPINA,chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,2,0,0,0,2,0,2
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,1,0,0,0,1,0,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,2,0,0,0,2,0,2
LAS CARRERAS,chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,1,0,0,0,1,0,1
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,0,0,1,0,1,0,1
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,0,0,1,0,1,0,1
SAN PEDRO,chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,0,1,1,1,1,2,3
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,1,0,0,1,1,1,2
TOMINA,chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,0,0,1,0,1,0,1
VILLA CHARCAS,chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,0,0,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,0,2,0,0,0,2,2
YANACACHI,chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,1,0,0,0,1,0,1
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2016-10-01,0,1,0,0,0,1,1
AZURDUY,chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,1,0,0,0,1,0,1
COTOCA,chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,1,0,0,0,1,0,1
CULPINA,chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,0,0,2,0,2,0,2
HUACAYA (VILLA DE HUACAYA),chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,0,0,1,0,1,0,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,1,2,3,1,4,3,7
LA GUARDIA,chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,0,1,0,0,0,1,1
LAS CARRERAS,chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,1,1,0,0,1,1,2
MACHARETI,chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,0,0,0,1,0,1,1
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,1,1,0,0,1,1,2
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,2,0,0,0,2,0,2
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,1,0,1,0,2,0,2
PADILLA,chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,0,0,0,2,0,2,2
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,0,1,0,0,0,1,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,2,0,0,0,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,0,0,0,2,0,2,2
YACUIBA,chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,0,1,0,0,0,1,1
YAMPARAEZ,chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,1,0,0,0,1,0,1
YOTALA,chagas,tratamientos rn a menores de 1 ano de edad,2016-11-01,0,0,0,1,0,1,1
ARBIETO,chagas,tratamientos rn a menores de 1 ano de edad,2016-12-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,tratamientos rn a menores de 1 ano de edad,2016-12-01,0,0,1,0,1,0,1
LA ASUNTA,chagas,tratamientos rn a menores de 1 ano de edad,2016-12-01,0,0,2,1,2,1,3
LAS CARRERAS,chagas,tratamientos rn a menores de 1 ano de edad,2016-12-01,0,0,1,1,1,1,2
MINEROS,chagas,tratamientos rn a menores de 1 ano de edad,2016-12-01,1,3,1,1,2,4,6
MOJOCOYA,chagas,tratamientos rn a menores de 1 ano de edad,2016-12-01,0,1,0,0,0,1,1
MONTEAGUDO,chagas,tratamientos rn a menores de 1 ano de edad,2016-12-01,0,0,2,0,2,0,2
MONTERO,chagas,tratamientos rn a menores de 1 ano de edad,2016-12-01,0,1,0,1,0,2,2
SAN LUCAS,chagas,tratamientos rn a menores de 1 ano de edad,2016-12-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,chagas,tratamientos rn a menores de 1 ano de edad,2016-12-01,1,0,0,0,1,0,1
SUCRE,chagas,tratamientos rn a menores de 1 ano de edad,2016-12-01,0,0,2,1,2,1,3
TARABUCO,chagas,tratamientos rn a menores de 1 ano de edad,2016-12-01,0,0,1,0,1,0,1
YAMPARAEZ,chagas,tratamientos rn a menores de 1 ano de edad,2016-12-01,0,0,1,0,1,0,1
YANACACHI,chagas,tratamientos rn a menores de 1 ano de edad,2016-12-01,0,0,1,0,1,0,1
