municipality,group,variable,month,"Tratamientos iniciados en el mes, en niños(as) de",TOTAL
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-06-01,1,1
POJO (CBBA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-06-01,4,4
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-06-01,1,1
SIPE SIPE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-06-01,1,1
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-06-01,17,17
TIQUIPAYA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-06-01,5,5
URIONDO (A. CONCEPCION),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-06-01,10,10
AIQUILE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,3,3
ARANI,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,2,2
CHARAGUA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,5,5
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,7,7
EL PUENTE(TJA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,1,1
LA GUARDIA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,15,15
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,1,1
MONTEAGUDO,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,1,1
OMEREQUE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,7,7
PADCAYA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,26,26
POROMA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,7,7
PUNATA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,1,1
SAN LUCAS,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,2,2
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,0,0
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,19,19
TIQUIPAYA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,25,25
URIONDO (A. CONCEPCION),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,2,2
VALLEGRANDE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-07-01,11,11
AIQUILE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,15,15
CHARAGUA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,21,21
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,11,11
EL PUENTE(TJA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,1,1
LA GUARDIA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,6,6
MAIRANA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,16,16
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,7,7
MONTEAGUDO,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,2,2
POROMA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,22,22
SACABA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,6,6
SAN LUCAS,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,3,3
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,0,0
SIPE SIPE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,1,1
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,12,12
TARATA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,1,1
TARIJA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,43,43
TIRAQUE (CBBA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,1,1
URIONDO (A. CONCEPCION),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-08-01,1,1
AIQUILE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,4,4
ANZALDO,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,6,6
AYATA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,2,2
CHARAGUA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,10,10
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,37,37
LA GUARDIA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,6,6
MAIRANA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,8,8
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,9,9
MOJOCOYA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,61,61
MONTEAGUDO,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,2,2
OMEREQUE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,8,8
PADCAYA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,3,3
PAMPA GRANDE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,1,1
POROMA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,3,3
PUNATA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,0,0
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,6,6
URIONDO (A. CONCEPCION),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,1,1
YANACACHI,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-09-01,3,3
AIQUILE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,12,12
ANZALDO,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,4,4
CAPINOTA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,26,26
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,4,4
ENTRE RIOS,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,3,3
GUTIERREZ,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,8,8
LA GUARDIA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,7,7
MAIRANA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,16,16
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,32,32
MONTEAGUDO,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,1,1
PADCAYA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,11,11
SAMAIPATA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,5,5
SAN LUCAS,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,1,1
SIPE SIPE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,30,30
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,2,2
TIQUIPAYA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,2,2
TOCO,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,1,1
TOTORA(CBBA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,5,5
URIONDO (A. CONCEPCION),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-10-01,10,10
AIQUILE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-11-01,5,5
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-11-01,2,2
GUTIERREZ,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-11-01,1,1
LA GUARDIA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-11-01,2,2
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-11-01,4,4
MONTERO,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-11-01,1,1
OMEREQUE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-11-01,2,2
PADCAYA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-11-01,1,1
POROMA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-11-01,2,2
SACABA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-11-01,12,12
SAMAIPATA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-11-01,6,6
SAN LORENZO(TJA),chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-11-01,11,11
SAN LUCAS,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-11-01,1,1
SIPE SIPE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-11-01,29,29
VALLEGRANDE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-11-01,3,3
AIQUILE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,3,3
CHAQUI,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,1,1
CHIMORE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,1,1
COCHABAMBA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,2,2
COLCAPIRHUA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,1,1
GUTIERREZ,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,1,1
LA GUARDIA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,1,1
MAIRANA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,3,3
MIZQUE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,1,1
MOJOCOYA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,11,11
PADCAYA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,1,1
POROMA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,20,20
PUNATA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,1,1
SACABA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,1,1
SAMAIPATA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,2,2
SAN LUCAS,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,2,2
SIPE SIPE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,5,5
SUCRE,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,1,1
TIQUIPAYA,chagas,"tratamientos iniciados en el mes, en ninos(as) de",2008-12-01,1,1
