municipality,group,variable,month,"Tratamientos iniciados en el mes, de recien nacid",TOTAL
MONTEAGUDO,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-07-01,2,2
PUERTO VILLARROEL,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-07-01,1,1
SACABA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-07-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-07-01,1,1
SUCRE,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-07-01,1,1
TIQUIPAYA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-07-01,1,1
TIRAQUE (CBBA),chagas,"tratamientos iniciados en el mes, de recien nacid",2008-07-01,2,2
WARNES,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-07-01,5,5
YACUIBA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-07-01,1,1
CAMARGO,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-08-01,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas,"tratamientos iniciados en el mes, de recien nacid",2008-08-01,1,1
MONTEAGUDO,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-08-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-08-01,0,0
SANTA ROSA DEL SARA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-08-01,1,1
SUCRE,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-08-01,2,2
VILLA TUNARI,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-08-01,1,1
WARNES,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-08-01,10,10
YACUIBA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-08-01,1,1
CAMARGO,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-09-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-09-01,0,0
SUCRE,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-09-01,2,2
TIRAQUE (CBBA),chagas,"tratamientos iniciados en el mes, de recien nacid",2008-09-01,1,1
WARNES,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-09-01,8,8
BERMEJO,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-10-01,1,1
MIZQUE,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-10-01,2,2
MONTEAGUDO,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-10-01,3,3
PUERTO VILLARROEL,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-10-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-10-01,8,8
SUCRE,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-10-01,1,1
WARNES,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-10-01,3,3
YACUIBA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-10-01,3,3
CAMARGO,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-11-01,1,1
CHIMORE,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-11-01,2,2
COCHABAMBA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-11-01,2,2
MONTERO,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-11-01,2,2
WARNES,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-11-01,1,1
YACUIBA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-11-01,1,1
COCHABAMBA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-12-01,3,3
PUERTO VILLARROEL,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-12-01,1,1
PUNATA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-12-01,1,1
SAN LUCAS,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-12-01,1,1
SANTA CRUZ DE LA SIERRA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-12-01,1,1
WARNES,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-12-01,1,1
YACUIBA,chagas,"tratamientos iniciados en el mes, de recien nacid",2008-12-01,2,2
