municipality,group,variable,month,PCD referidos a Servicios/Centros de Rehabilitación,TOTAL
SUCRE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,3,3
TARIJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,2,2
TARVITA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,1,1
TRINIDAD,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,28,28
VIACHA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,1,1
VILLA SERRANO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,3,3
WARNES,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-01-01,7,7
ASCENCION DE GUARAYOS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,2,2
BERMEJO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,3,3
BUENA VISTA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,1,1
CALAMARCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,3,3
CAMIRI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,2,2
CAPINOTA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,3,3
CARACOLLO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,1,1
CARANAVI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,8,8
CHIMORE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,1,1
COCHABAMBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,6,6
EL ALTO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,44,44
EL TORNO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,49,49
ENTRE RIOS CBBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,1,1
HUANUNI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,14,14
LA PAZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,391,391
MONTERO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,4,4
ORURO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,12,12
PAILON,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,1,1
PUNATA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,22,22
QUIME,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,1,1
RIBERALTA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,3,3
SACABA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,2,2
SAIPINA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,4,4
SAN BORJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,83,83
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,44,44
SUCRE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,1,1
TARIJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,7,7
TRINIDAD,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,2,2
VALLEGRANDE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,3,3
VILLAZON,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,1,1
WARNES,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,7,7
YAPACANI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-02-01,1,1
BERMEJO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,1,1
CALAMARCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,3,3
CARACOLLO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,5,5
CARANAVI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,13,13
COBIJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,43,43
COCHABAMBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,7,7
COTOCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,3,3
EL ALTO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,12,12
ENTRE RIOS CBBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,1,1
HUANUNI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,7,7
LA PAZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,1863,1863
ORURO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,15,15
PALCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,1,1
SACABA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,3,3
SAN BORJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,26,26
SUCRE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,9,9
TARIJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,21,21
TRINIDAD,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,3,3
TUPIZA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,17,17
WARNES,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-03-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,1,1
BERMEJO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,1,1
CAMARGO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,1,1
CARANAVI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,17,17
CHIMORE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,1,1
COCHABAMBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,19,19
COLCAPIRHUA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,1,1
COTOCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,19,19
EL ALTO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,27,27
EL TORNO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,3,3
ENTRE RIOS TRJ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,1,1
ENTRE RIOS CBBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,2,2
HUANUNI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,5,5
LA PAZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,713,713
LAS CARRERAS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,4,4
LLALLAGUA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,1,1
ORURO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,23,23
PAILON,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,1,1
POTOSI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,1,1
SACABA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,3,3
SAIPINA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,5,5
SAN BORJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,114,114
SAN LUCAS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,2,2
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,34,34
TARIJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,14,14
UYUNI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,1,1
VILLA TUNARI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,1,1
WARNES,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,9,9
YAMPARAEZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-04-01,2,2
ANZALDO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,1,1
BERMEJO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,1,1
CALAMARCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,4,4
CARACOLLO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,2,2
CARANAVI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,23,23
CHIMORE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,1,1
COLCAPIRHUA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,3,3
COTOCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,1,1
EL ALTO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,97,97
EL TORNO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,1,1
GUAYARAMERIN,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,2,2
HUANUNI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,2,2
LA PAZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,177,177
LLALLAGUA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,2,2
MONTERO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,1,1
ORURO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,12,12
SACABA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,5,5
SAIPINA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,7,7
SAMAIPATA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,1,1
SAN BORJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,90,90
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,8,8
SUCRE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,3,3
TARIJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,9,9
TRINIDAD,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,2,2
WARNES,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,10,10
YAPACANI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-05-01,2,2
BERMEJO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,5,5
CARACOLLO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,3,3
CARANAVI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,24,24
CHUQUIHUTA AYLLU JUCUMANI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,2,2
COCHABAMBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,10,10
COTOCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,11,11
EL ALTO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,80,80
FERNANDEZ ALONSO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,6,6
HUANUNI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,8,8
LA PAZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,290,290
ORURO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,25,25
QUIME,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,1,1
SACABA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,1,1
SAN BORJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,125,125
SAN CARLOS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,1,1
SAN IGNACIO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,10,10
TARIJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,2,2
TARVITA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,1,1
TRINIDAD,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,3,3
WARNES,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,8,8
YACUIBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-06-01,1,1
AIQUILE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,2,2
BERMEJO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,4,4
BUENA VISTA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,3,3
CALAMARCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,2,2
CARANAVI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,2,2
COCHABAMBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,3,3
COTOCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,22,22
EL ALTO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,66,66
GUANAY,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,15,15
GUAYARAMERIN,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,1,1
HUANUNI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,4,4
INCAHUASI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,2,2
LA PAZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,91,91
MONTERO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,3,3
OKINAWA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,4,4
ORURO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,14,14
POTOSI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,6,6
SACABA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,3,3
SAIPINA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,16,16
SAN BORJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,129,129
SAN LORENZO(TJA),referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,1,1
SAN LUCAS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,10,10
TARIJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,17,17
WARNES,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,4,4
YACUIBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-07-01,1,1
ASCENCION DE GUARAYOS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,1,1
AZURDUY,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,1,1
BERMEJO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,4,4
CAJUATA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,2,2
CALAMARCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,2,2
CAMIRI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,2,2
CAPINOTA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,8,8
CARACOLLO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,10,10
CARANAVI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,3,3
COLOMI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,1,1
COTOCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,49,49
EL ALTO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,51,51
GENERAL SAAVEDRA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,14,14
GUAYARAMERIN,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,6,6
HUANUNI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,7,7
LA PAZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,282,282
MINEROS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,3,3
MONTERO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,1,1
MOROCHATA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,1,1
ORURO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,18,18
PAILON,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,1,1
PORTACHUELO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,4,4
PUNATA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,1,1
RAVELO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,3,3
RIBERALTA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,10,10
SACABA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,2,2
SAMAIPATA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,1,1
SAN BENITO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,1,1
SAN BORJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,89,89
SAN LORENZO(TJA),referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,1,1
SAN LUCAS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,8,8
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,50,50
SUCRE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,2,2
TARIJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,14,14
TOLATA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,2,2
TRINIDAD,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,1,1
TUPIZA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,16,16
URIONDO (A. CONCEPCION),referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,2,2
VILLA MONTES,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,4,4
WARNES,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,15,15
YACUIBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-08-01,4,4
ASCENCION DE GUARAYOS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,1,1
BERMEJO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,9,9
CALAMARCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,2,2
CAMIRI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,1,1
CARACOLLO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,3,3
CARANAVI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,6,6
COCHABAMBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,3,3
COTOCA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,8,8
CULPINA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,10,10
EL ALTO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,9,9
ENTRE RIOS TRJ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,1,1
FERNANDEZ ALONSO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,1,1
GENERAL SAAVEDRA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,8,8
GUAYARAMERIN,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,7,7
HUANUNI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,8,8
HUATAJATA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,2,2
INCAHUASI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,1,1
LA PAZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,219,219
MONTERO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,7,7
ORURO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,34,34
POTOSI,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,88,88
RIBERALTA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,8,8
SACABA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,1,1
SAN BORJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,98,98
SAN LORENZO(TJA),referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,4,4
SAN LUCAS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,5,5
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,1,1
SANTUARIO DE QUILLACAS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,1,1
SICA SICA (VILLA AROMA),referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,2,2
SUCRE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,3,3
TARACO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,1,1
TARIJA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,16,16
VIACHA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,1,1
VILLA RIVERO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,1,1
WARNES,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,8,8
YACUIBA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,1,1
ZUDAÑEZ,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-09-01,6,6
AIQUILE,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,1,1
ANTEQUERA,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,4,4
ARBIETO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,1,1
ASCENCION DE GUARAYOS,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,1,1
BERMEJO,referencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2024-10-01,5,5
