municipality,group,variable,month,PCD referidos a Unidades de Calificación de Discapacidad,TOTAL
EL ALTO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-06-01,9,9
LA PAZ,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-06-01,8,8
POTOSI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-06-01,13,13
RIBERALTA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-06-01,1,1
SAN BORJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-06-01,5,5
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-06-01,5,5
TARIJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-06-01,9,9
TRINIDAD,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-06-01,11,11
VIACHA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-06-01,1,1
VILLA SERRANO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-06-01,1,1
VINTO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-06-01,1,1
YACUIBA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-06-01,5,5
CABEZAS,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,3,3
CALAMARCA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,1,1
CARANAVI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,9,9
COBIJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,148,148
COCHABAMBA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,77,77
COTOCA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,23,23
EL ALTO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,15,15
EL TORNO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,1,1
GUANAY,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,12,12
INCAHUASI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,5,5
JESUS DE MACHACA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,1,1
LA PAZ,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,7,7
MONTERO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,1,1
OKINAWA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,1,1
PAILON,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,1,1
POTOSI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,3,3
PRESTO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,1,1
RIBERALTA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,2,2
SAN BORJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,7,7
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,1,1
SANTIAGO DE HUATA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,1,1
TARABUCO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,1,1
TARIJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,12,12
TRINIDAD,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-07-01,17,17
CARANAVI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,9,9
COCHABAMBA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,40,40
COTOCA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,34,34
EL ALTO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,5,5
EL TORNO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,2,2
LA PAZ,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,3,3
MOCOMOCO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,4,4
PAILON,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,1,1
PRESTO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,4,4
RIBERALTA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,36,36
SAN ANDRES,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,1,1
SAN BORJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,6,6
SAN RAMON SCZ,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,23,23
SUCRE,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,1,1
TARIJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,2,2
TARVITA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,1,1
TIRAQUE (CBBA),referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,3,3
TRINIDAD,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,107,107
YACUIBA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-08-01,1,1
ANZALDO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,1,1
ASCENCION DE GUARAYOS,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,2,2
CARACOLLO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,8,8
CARANAVI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,8,8
CHIMORE,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,4,4
COCHABAMBA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,49,49
COLCAPIRHUA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,1,1
COTOCA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,24,24
EL ALTO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,260,260
EL TORNO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,3,3
GUAYARAMERIN,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,5,5
JESUS DE MACHACA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,1,1
LA PAZ,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,9,9
ORURO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,7,7
PELECHUCO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,1,1
PORONGO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,2,2
POTOSI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,15,15
QUILLACOLLO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,1,1
SAN BORJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,5,5
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,3,3
SUCRE,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,1,1
TARIJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,5,5
TRINIDAD,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,35,35
VIACHA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-09-01,61,61
CALAMARCA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,1,1
CARACOLLO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,8,8
CARANAVI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,33,33
CHALLAPATA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,3,3
COCHABAMBA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,93,93
COTOCA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,9,9
EL ALTO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,24,24
EL TORNO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,1,1
FERNANDEZ ALONSO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,1,1
GUANAY,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,1,1
INCAHUASI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,1,1
LA PAZ,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,2,2
ORURO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,13,13
POTOSI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,16,16
QUILLACOLLO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,5,5
SAN BORJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,5,5
TARIJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,5,5
TRINIDAD,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,22,22
TUPIZA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,1,1
VILLA SERRANO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,2,2
YACUIBA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,2,2
YAMPARAEZ,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,2,2
YAPACANI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,1,1
YOTALA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-10-01,1,1
AZURDUY,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,1,1
BERMEJO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,1,1
CALAMARCA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,1,1
CARACOLLO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,4,4
CARANAVI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,15,15
COCHABAMBA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,10,10
COTOCA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,15,15
EL ALTO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,11,11
EL TORNO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,2,2
GUAYARAMERIN,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,31,31
LA PAZ,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,7,7
MONTERO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,2,2
POTOSI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,15,15
QUILLACOLLO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,2,2
SAN BORJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,4,4
SUCRE,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,3,3
TIAHUANACU,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,5,5
TIQUIPAYA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,1,1
TRINIDAD,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,26,26
URIONDO (A. CONCEPCION),referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,2,2
VIACHA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,1,1
YAMPARAEZ,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-11-01,1,1
CARANAVI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-12-01,6,6
CHALLAPATA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-12-01,2,2
COCHABAMBA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-12-01,23,23
COTAGAITA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-12-01,1,1
COTOCA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-12-01,20,20
EL ALTO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-12-01,1,1
LA PAZ,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-12-01,3,3
ORURO,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-12-01,1,1
PADILLA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-12-01,1,1
POTOSI,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-12-01,21,21
ROBORE,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-12-01,5,5
SAN BORJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-12-01,6,6
SIPE SIPE,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-12-01,14,14
SUCRE,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-12-01,1,1
TARIJA,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-12-01,13,13
TIRAQUE (CBBA),referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-12-01,1,1
TRINIDAD,referencias y contrareferencias,pcd referidos a unidades de calificacion de discapacidad,2024-12-01,31,31
