municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
EL CHORO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,5,5
EL PUENTE(STC),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,26,26
EL PUENTE(TJA),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,30,30
EL TORNO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,315,315
EL VILLAR,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,43,43
ENTRE RIOS TRJ,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,87,87
ENTRE RIOS CBBA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,192,192
ESCOMA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
EUCALIPTUS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,4,4
EXALTACION,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
FERNANDEZ ALONSO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,66,66
FILADELFIA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,20,20
GAIOC JATUN AYLLU YURA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
GENERAL SAAVEDRA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,66,66
GRAL. J.J. PEREZ (CHARAZANI),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
GUANAY,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,65,65
GUAQUI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,22,22
GUAYARAMERIN,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,307,307
GUTIERREZ,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,26,26
HUACARAJE,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
HUACARETA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,60,60
HUACAYA (VILLA DE HUACAYA),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,8,8
HUACHACALLA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,4,4
HUANUNI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,119,119
HUARINA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,25,25
HUATAJATA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,6,6
HUAYLLAMARCA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
ICHOCA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
ICLA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,22,22
INCAHUASI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,32,32
INGAVI (HUMAITA),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
INQUISIVI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,20,20
IRUPANA (VILLA DE LANZA),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,50,50
IXIAMAS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
JESUS DE MACHACA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,24,24
LA ASUNTA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,78,78
LA GUARDIA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1361,1361
LA PAZ,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,15061,15061
LAGUNILLAS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,54,54
LAJA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,70,70
LAS CARRERAS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,33,33
LICOMA PAMPA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,11,11
LLALLAGUA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,15,15
LLICA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
LORETO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,6,6
LURIBAY,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,4,4
MACHACAMARCA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,23,23
MACHARETI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,46,46
MAGDALENA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,22,22
MAIRANA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,60,60
MALLA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
MAPIRI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,29,29
MECAPACA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,83,83
MINEROS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,142,142
MIZQUE,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,162,162
MOCOMOCO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,10,10
MOJOCOYA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,35,35
MONTEAGUDO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,202,202
MONTERO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2456,2456
MORO MORO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,6,6
MOROCHATA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,6,6
NACEBE (SANTA ROSA DEL ABUNA),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
NAZACARA DE PACAJES,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
OCURI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,27,27
OKINAWA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,52,52
OMEREQUE,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,7,7
ORURO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1723,1723
PADCAYA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,74,74
PADILLA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,114,114
PAILON,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,60,60
PALCA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,85,85
PALOS BLANCOS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,65,65
PAMPA AULLAGAS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
PAMPA GRANDE,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,32,32
PAPEL PAMPA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
PATACAMAYA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,57,57
PAZÑA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,17,17
PELECHUCO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
POCOATA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,4,4
POCONA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,6,6
POJO (CBBA),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,11,11
POOPO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,106,106
PORCO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,22,22
POROMA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,26,26
PORONGO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,34,34
PORTACHUELO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,65,65
PORVENIR,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,25,25
POSTRER VALLE,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,4,4
POTOSI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1199,1199
PRESTO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,36,36
PUCARA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,4,4
PUCARANI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,79,79
PUERTO ACOSTA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,5,5
PUERTO CARABUCO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,37,37
PUERTO GONZALO MORENO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,9,9
PUERTO PEREZ,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,21,21
PUERTO QUIJARRO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,22,22
PUERTO RICO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,12,12
PUERTO SUAREZ,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,42,42
PUERTO VILLARROEL,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,563,563
PUNA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,11,11
PUNATA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,767,767
QUIABAYA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,12,12
QUILLACOLLO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1182,1182
QUIME,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,27,27
QUIRUSILLAS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,17,17
RAQAYPAMPA(ETA),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
RAVELO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,8,8
REYES,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,6,6
RIBERALTA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,973,973
ROBORE,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,63,63
RURRENABAQUE,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,69,69
SABAYA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,7,7
SACABA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1234,1234
SACABAMBA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,4,4
SACACA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,9,9
SAIPINA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,15,15
SALINAS DE GARCI MENDOZA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,3,3
SAMAIPATA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,23,23
SAN ANDRES,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,18,18
SAN ANDRES DE MACHACA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,18,18
SAN ANTONIO DE ESMORUCO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,3,3
SAN ANTONIO DE LOMERIO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,6,6
SAN BENITO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,20,20
SAN BORJA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,51,51
SAN BUENA VENTURA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,8,8
SAN CARLOS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,152,152
SAN IGNACIO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,11,11
SAN IGNACIO DE VELASCO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,91,91
SAN JAVIER(BNI),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,15,15
SAN JAVIER(STC),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,23,23
SAN JOAQUIN,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,10,10
SAN JOSE DE CHIQUITOS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,38,38
SAN JUAN DE YAPACANI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,3,3
SAN JULIAN,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,111,111
SAN LORENZO(PND),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,11,11
SAN LORENZO(TJA),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,191,191
SAN LUCAS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,169,169
SAN MATIAS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,47,47
SAN MIGUEL DE VELASCO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,47,47
SAN PABLO DE LIPEZ,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
SAN PEDRO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,79,79
SAN PEDRO DE BUENA VISTA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,7,7
SAN PEDRO DE MACHA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,8,8
SAN PEDRO DE QUEMES,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
SAN PEDRO DE TIQUINA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,19,19
SAN PEDRO(PND),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
SAN RAFAEL,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,11,11
SAN RAMON BENI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,11,11
SAN RAMON SCZ,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,8,8
SANTA ANA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,11,11
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,20925,20925
SANTA ROSA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,12,12
SANTA ROSA DEL SARA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,73,73
SANTIAGO DE CALLAPA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,3,3
SANTIAGO DE HUARI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,13,13
SANTIAGO DE HUATA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,6,6
SANTIAGO DE MACHACA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
SANTIVAÑES,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,4,4
SANTUARIO DE QUILLACAS,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
SENA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,25,25
SHINAOTA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,242,242
SICA SICA (VILLA AROMA),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,5,5
SICAYA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,2,2
SIPE SIPE,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,118,118
SOPACHUY,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,29,29
SORACACHI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,8,8
SORATA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,65,65
SUCRE,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,5418,5418
TACACHI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
TACACOMA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,26,26
TACOBAMBA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
TACOPAYA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,5,5
TAHUA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
TAPACARI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,6,6
TARABUCO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,44,44
TARACO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,15,15
TARATA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,23,23
TARIJA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1929,1929
TARVITA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,68,68
TEOPONTE,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,14,14
TIAHUANACU,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,47,47
TINGUIPAYA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,4,4
TIPUANI,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,22,22
TIQUIPAYA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,479,479
TIRAQUE (CBBA),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,8,8
TITO YUPANQUI (PARQUIPUJIO),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
TOCO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,5,5
TOLATA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,34,34
TOLEDO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,10,10
TOMAVE,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,3,3
TOMINA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,57,57
TORO TORO,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,5,5
TOTORA(CBBA),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,56,56
TOTORA(ORR),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,4,4
TRIGAL,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
TRINIDAD,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1561,1561
TUPIZA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,269,269
UMALA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,1,1
UNCIA,referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,87,87
URIONDO (A. CONCEPCION),referencias y contrareferencias,pacientes referidos a otros establecimientos,2024-01-01,59,59
