municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
COMARAPA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-04-01,1,1
EL PUENTE(TJA),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-04-01,2,2
MAPIRI,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-04-01,1,1
RURRENABAQUE,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-04-01,1,1
SAN BORJA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-04-01,2,2
TARVITA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-04-01,2,2
TOTORA(ORR),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-04-01,6,6
TRINIDAD,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-04-01,1,1
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-04-01,2,2
VILLA MONTES,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-04-01,1,1
ATOCHA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-05-01,9,9
COMARAPA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-05-01,1,1
MAGDALENA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-05-01,1,1
RIBERALTA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-05-01,3,3
RURRENABAQUE,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-05-01,1,1
SAN BORJA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-05-01,7,7
SAN LORENZO(PND),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-05-01,5,5
SAN LORENZO(TJA),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-05-01,1,1
TARIJA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-05-01,1,1
TOTORA(ORR),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-05-01,3,3
TRINIDAD,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-05-01,1,1
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-05-01,3,3
VILLA MONTES,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-05-01,2,2
VILLA TUNARI,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-05-01,1,1
ATOCHA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-06-01,5,5
COMARAPA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-06-01,1,1
EL ALTO,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-06-01,1,1
MAPIRI,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-06-01,2,2
RIBERALTA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-06-01,1,1
SAN BORJA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-06-01,7,7
SAN LORENZO(PND),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-06-01,2,2
TOTORA(ORR),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-06-01,4,4
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-06-01,3,3
VILLA MONTES,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-06-01,1,1
YOTALA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-06-01,1,1
ATOCHA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-07-01,1,1
"CAIZA ""D""",referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-07-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-07-01,1,1
MAPIRI,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-07-01,3,3
RIBERALTA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-07-01,2,2
SAN BORJA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-07-01,4,4
TOTORA(ORR),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-07-01,4,4
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-07-01,2,2
COCHABAMBA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-08-01,1,1
COMARAPA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-08-01,1,1
EL ALTO,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-08-01,4,4
PADCAYA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-08-01,1,1
RIBERALTA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-08-01,3,3
SAN IGNACIO DE VELASCO,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-08-01,1,1
SAN LORENZO(PND),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-08-01,1,1
TARIJA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-08-01,3,3
TOTORA(ORR),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-08-01,2,2
TRINIDAD,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-08-01,348,348
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-08-01,1,1
VILLA MONTES,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-08-01,1,1
ATOCHA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-09-01,3,3
EL ALTO,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-09-01,4,4
MAGDALENA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-09-01,1,1
MOJOCOYA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-09-01,2,2
PADCAYA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-09-01,2,2
RIBERALTA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-09-01,1,1
RURRENABAQUE,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-09-01,1,1
SAN BORJA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-09-01,2,2
SAN LORENZO(PND),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-09-01,6,6
TARIJA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-09-01,3,3
TOTORA(ORR),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-09-01,3,3
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-09-01,7,7
VILLA MONTES,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-09-01,1,1
VILLA TUNARI,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-09-01,1,1
ZUDAÑEZ,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-09-01,1,1
ATOCHA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,5,5
BUENA VISTA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,1,1
CAMATAQUI (C. VILLA ABECIA),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,1,1
CARAPARI,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,1,1
COLCAPIRHUA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,2,2
EL ALTO,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,7,7
EL TORNO,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,1,1
ENTRE RIOS TRJ,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,2,2
HUACARETA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,2,2
MAPIRI,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,1,1
POROMA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,5,5
SAN BORJA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,5,5
SAN LORENZO(PND),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,7,7
SUCRE,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,1,1
TOTORA(ORR),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,3,3
TRINIDAD,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,1,1
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,6,6
VILLA MONTES,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,1,1
YAMPARAEZ,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,6,6
YOTALA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,1,1
YUNCHARA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-10-01,2,2
ASCENCION DE GUARAYOS,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-11-01,5,5
COTOCA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-11-01,1,1
EL ALTO,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-11-01,9,9
ENTRE RIOS TRJ,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-11-01,1,1
HUACARETA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-11-01,8,8
ICLA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-11-01,2,2
PORCO,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-11-01,3,3
SAN LORENZO(PND),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-11-01,9,9
TARIJA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-11-01,1,1
TOMINA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-11-01,1,1
TOTORA(ORR),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-11-01,2,2
TRINIDAD,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-11-01,1,1
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-11-01,2,2
YACUIBA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-11-01,1,1
ASCENCION DE GUARAYOS,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-12-01,5,5
EL ALTO,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-12-01,4,4
ENTRE RIOS TRJ,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-12-01,1,1
IXIAMAS,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-12-01,3,3
SAN IGNACIO,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-12-01,1,1
SAN LORENZO(TJA),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-12-01,3,3
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-12-01,1,1
TOTORA(ORR),referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-12-01,1,1
TRINIDAD,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-12-01,2,2
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-12-01,4,4
VILLA MONTES,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-12-01,1,1
YOTALA,referencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2024-12-01,1,1
