municipality,group,variable,month,Pacientes contrarreferidos al establecimiento,TOTAL
SAN CARLOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,5,5
SAN LORENZO(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,9,9
SAN LUCAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,38,38
SAN MIGUEL DE VELASCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,10,10
SAN PEDRO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
SAN PEDRO DE MACHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
SAN PEDRO DE TIQUINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,893,893
SANTA ROSA DEL SARA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,5,5
SENA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,2,2
SHINAOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,23,23
SUCRE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,86,86
TACACOMA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
TARABUCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,12,12
TARIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,47,47
TARVITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,2,2
TIAHUANACU,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,2,2
TOLEDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
TOMINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,9,9
TRINIDAD,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,463,463
TUPIZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,53,53
UNCIA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
URUBICHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
VALLEGRANDE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,3,3
VIACHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,6,6
VILLA MONTES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,12,12
VILLA SERRANO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,6,6
VILLAZON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,42,42
VINTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
WARNES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,195,195
YACUIBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,22,22
YAMPARAEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,1,1
ZUDAÑEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-01-01,5,5
AIQUILE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,3,3
ALCALA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,8,8
ASCENCION DE GUARAYOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,18,18
ATOCHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
BERMEJO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,45,45
BETANZOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,7,7
BOYUIBE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
BUENA VISTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,4,4
CABEZAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
"CAIZA ""D""",referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,5,5
CAJUATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
CAMARGO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
CAMATAQUI (C. VILLA ABECIA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,6,6
CAMIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,9,9
CAPINOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,5,5
CARANAVI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
CARAPARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
CARMEN RIVERO TORREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,2,2
CHALLAPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,5,5
CHARAGUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,4,4
CKOCHAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,2,2
COBIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,78,78
COCHABAMBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,712,712
"COLCHA ""K""",referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
COLQUECHACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,2,2
COMARAPA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,3,3
CONCEPCION,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,2,2
CORIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,4,4
COROICO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,9,9
COTAGAITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,4,4
COTOCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,248,248
CUEVO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
EL ALTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,698,698
EL PUENTE(STC),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,3,3
EL PUENTE(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,2,2
EL TORNO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
EL VILLAR,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,2,2
ENTRE RIOS CBBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,35,35
FERNANDEZ ALONSO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,10,10
GENERAL SAAVEDRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,8,8
GUANAY,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
GUAYARAMERIN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,183,183
GUTIERREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
HUACARETA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
HUACAYA (VILLA DE HUACAYA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
HUANUNI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,6,6
HUARINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
ICLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,3,3
INCAHUASI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,5,5
LA ASUNTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,5,5
LA GUARDIA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,51,51
LA PAZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1747,1747
LAGUNILLAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,6,6
LAS CARRERAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,4,4
LLALLAGUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
MACHACAMARCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,4,4
MACHARETI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
MAIRANA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,13,13
MINEROS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,3,3
MOJOCOYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,2,2
MONTEAGUDO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,3,3
MONTERO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,115,115
OCURI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,5,5
ORURO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,150,150
PADCAYA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,2,2
PADILLA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,2,2
PALCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
PALOS BLANCOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
POOPO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,6,6
PORTACHUELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
POSTRER VALLE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
POTOSI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,90,90
PRESTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
PUCARANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,2,2
PUERTO GONZALO MORENO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,4,4
PUERTO RICO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,3,3
PUERTO VILLARROEL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,13,13
PUNA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,3,3
PUNATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,7,7
QUILLACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,39,39
RAQAYPAMPA(ETA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
RAVELO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,6,6
RIBERALTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,48,48
ROBORE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,2,2
RURRENABAQUE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,2,2
SACABA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,14,14
SALINAS DE GARCI MENDOZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
SAN ANDRES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
SAN CARLOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,10,10
SAN JOAQUIN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
SAN LORENZO(PND),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
SAN LORENZO(TJA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,6,6
SAN LUCAS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,19,19
SAN MIGUEL DE VELASCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,2,2
SAN PEDRO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,3,3
SAN RAFAEL,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1071,1071
SANTA ROSA DEL SARA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,5,5
SANTIAGO DE HUARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,2,2
SENA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,4,4
SHINAOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,21,21
SOPACHUY,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,4,4
SORACACHI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
SORATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
SUCRE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,79,79
TARABUCO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,9,9
TARIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,53,53
TARVITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,2,2
TOLATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
TOMINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,10,10
TRINIDAD,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,562,562
TUPIZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,60,60
URUBICHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,4,4
VIACHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,8,8
VILLA MONTES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,22,22
VILLA NUEVA (LOMA ALTA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
VILLA SERRANO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,2,2
VILLA TUNARI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,4,4
VILLAZON,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,5,5
VINTO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,5,5
WALDO BALLIVIAN,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
WARNES,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,1,1
YACUIBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,32,32
YAMPARAEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,6,6
YAPACANI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,4,4
ZUDAÑEZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-02-01,4,4
ALCALA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,7,7
ALTO BENI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
ANTEQUERA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
ASCENCION DE GUARAYOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,28,28
ATOCHA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,7,7
AYO AYO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
AZURDUY,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
BERMEJO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,65,65
BETANZOS,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,4,4
BOYUIBE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,4,4
BUENA VISTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,6,6
"CAIZA ""D""",referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,4,4
CAMATAQUI (C. VILLA ABECIA),referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,3,3
CAMIRI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,8,8
CAPINOTA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,4,4
CARACOLLO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
CARANAVI,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,3,3
CARMEN RIVERO TORREZ,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,4,4
CHALLAPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,11,11
CHARAGUA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,4,4
CHIMORE,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
CLIZA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
COBIJA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,16,16
COCHABAMBA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,399,399
COLQUECHACA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
COMARAPA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,5,5
CONCEPCION,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,2,2
CORIPATA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,5,5
COROICO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,4,4
COTAGAITA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,3,3
COTOCA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,308,308
CUEVO,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,1,1
CULPINA,referencias y contrareferencias,pacientes contrarreferidos al establecimiento,2024-03-01,3,3
