municipality,group,variable,month,Pacientes referidos de la comunidad o medicina tradicional,TOTAL
TARIJA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,2,2
TARVITA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,15,15
TOMINA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,3,3
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,3,3
VILLA MONTES,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,2,2
YACUIBA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,1,1
YAMPARAEZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,5,5
YUNCHARA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,3,3
ZUDAÑEZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-03-01,3,3
ALCALA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,2,2
ATOCHA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,1,1
AZURDUY,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,4,4
CAMATAQUI (C. VILLA ABECIA),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,6,6
CARAPARI,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,1,1
CHARAGUA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,7,7
COCHABAMBA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,1,1
EL PUENTE(TJA),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,1,1
EL VILLAR,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,4,4
HUACARETA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,5,5
ICLA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,2,2
MAGDALENA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,1,1
MOJOCOYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,5,5
MONTEAGUDO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,9,9
PADCAYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,1,1
PRESTO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,5,5
SAN CARLOS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,1,1
SAN LORENZO(TJA),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,2,2
SAN LUCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,3,3
SAN PEDRO DE TIQUINA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,1,1
SOPACHUY,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,3,3
SUCRE,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,2,2
TARIJA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,3,3
TARVITA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,13,13
TOMINA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,4,4
TRINIDAD,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,1,1
URIONDO (A. CONCEPCION),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,2,2
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,7,7
VILLA MONTES,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,1,1
YACUIBA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,3,3
YAMPARAEZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-04-01,7,7
ALCALA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,2,2
AZURDUY,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,4,4
CHARAGUA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,3,3
EL ALTO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,2,2
EL VILLAR,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,7,7
FERNANDEZ ALONSO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,1,1
HUACARETA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,10,10
ICLA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,1,1
MAGDALENA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,2,2
MOJOCOYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,5,5
MONTEAGUDO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,3,3
PADCAYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,4,4
PRESTO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,3,3
SAN LUCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,2,2
SUCRE,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,2,2
TARIJA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,3,3
TARVITA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,15,15
TOMINA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,2,2
URIONDO (A. CONCEPCION),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,1,1
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,4,4
VILLA MONTES,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,1,1
YACUIBA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,3,3
YAMPARAEZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,6,6
ZUDAÑEZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-05-01,3,3
ALCALA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,3,3
BERMEJO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,4,4
CHARAGUA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,1,1
EL PUENTE(TJA),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,1,1
EL VILLAR,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,10,10
HUACARETA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,9,9
ICLA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,2,2
MOJOCOYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,8,8
MONTEAGUDO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,4,4
PADCAYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,1,1
POROMA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,1,1
PRESTO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,6,6
QUILLACOLLO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,1,1
SAN LORENZO(PND),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,3,3
SAN LUCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,8,8
TARIJA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,3,3
TARVITA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,14,14
TOMINA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,1,1
TRINIDAD,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,3,3
URIONDO (A. CONCEPCION),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,2,2
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,7,7
VILLA MONTES,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,4,4
YACUIBA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,7,7
YAMPARAEZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,6,6
YAPACANI,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-06-01,8,8
ALCALA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,3,3
AZURDUY,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,3,3
BERMEJO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,1,1
CHARAGUA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,3,3
COBIJA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,2,2
EL VILLAR,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,8,8
GUAYARAMERIN,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,1,1
MOJOCOYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,7,7
MONTEAGUDO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,6,6
PRESTO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,5,5
RIBERALTA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,1,1
SAN LUCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,2,2
TARIJA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,4,4
TARVITA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,15,15
TOMINA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,4,4
URIONDO (A. CONCEPCION),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,1,1
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,5,5
VILLA MONTES,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,1,1
YAMPARAEZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,7,7
YOTALA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,1,1
YUNCHARA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,1,1
ZUDAÑEZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-07-01,1,1
ALCALA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,3,3
AZURDUY,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,4,4
CHARAGUA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,2,2
EL PUENTE(TJA),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,1,1
EL VILLAR,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,6,6
GUAYARAMERIN,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,1,1
HUACARETA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,8,8
MONTEAGUDO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,6,6
PADCAYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,1,1
PRESTO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,3,3
SAN LUCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,4,4
TARIJA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,5,5
TARVITA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,12,12
TOMINA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,3,3
URIONDO (A. CONCEPCION),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,1,1
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,5,5
YAMPARAEZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,7,7
ZUDAÑEZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-08-01,10,10
ALCALA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,4,4
AZURDUY,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,8,8
CHARAGUA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,1,1
COCHABAMBA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,1,1
EL ALTO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,1,1
EL PUENTE(TJA),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,2,2
EL VILLAR,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,9,9
ENTRE RIOS TRJ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,1,1
HUACARETA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,6,6
MAGDALENA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,1,1
MOJOCOYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,11,11
MONTEAGUDO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,5,5
PADCAYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,5,5
PRESTO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,11,11
SAN LORENZO(TJA),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,3,3
SAN LUCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,5,5
TARABUCO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,1,1
TARIJA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,4,4
TARVITA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,15,15
TOMINA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,4,4
URIONDO (A. CONCEPCION),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,5,5
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,6,6
VILLA TUNARI,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,2,2
WARNES,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,1,1
YAMPARAEZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,6,6
YUNCHARA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,2,2
ZUDAÑEZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-09-01,1,1
ALCALA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,1,1
AZURDUY,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,9,9
BERMEJO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,1,1
CARAPARI,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,1,1
CHARAGUA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,3,3
COLCAPIRHUA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,1,1
EL ALTO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,8,8
EL VILLAR,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,7,7
ENTRE RIOS TRJ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,4,4
HUACARETA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,11,11
MOJOCOYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,6,6
MONTEAGUDO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,2,2
PADCAYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,4,4
POROMA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,3,3
PRESTO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,3,3
SACABA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,1,1
SAN LUCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,3,3
SUCRE,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,1,1
TARIJA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,5,5
TARVITA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,18,18
TOMINA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,3,3
TRINIDAD,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,1,1
URIONDO (A. CONCEPCION),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,1,1
VILLA CHARCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,3,3
YAMPARAEZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,3,3
ZUDAÑEZ,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-10-01,12,12
ALCALA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,2,2
AZURDUY,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,3,3
CARAPARI,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,2,2
COCHABAMBA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,1,1
EL ALTO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,1,1
EL PUENTE(TJA),referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,2,2
EL VILLAR,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,3,3
HUACARETA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,1,1
ICLA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,12,12
MOJOCOYA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,6,6
MONTEAGUDO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,8,8
POROMA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,15,15
PRESTO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,3,3
SAN LUCAS,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,1,1
SUCRE,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,1,1
TARIJA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,3,3
TARVITA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,13,13
TOMINA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,5,5
TRINIDAD,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,1,1
VILLA MONTES,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,1,1
VILLA SERRANO,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,1,1
YOTALA,referencias y contrareferencias,pacientes referidos de la comunidad o medicina tradicional,2024-11-01,1,1
