municipality,group,variable,month,N°de visitas familiares planificadas,TOTAL
CAMARGO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,198,198
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,56,56
CAMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,343,343
CARACOLLO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,153,153
CARANAVI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,61,61
CARANGAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,1,1
CARAPARI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,9,9
CARIPUYO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,21,21
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,20,20
CATACORA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,15,15
CHACARILLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,70,70
CHALLAPATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,476,476
CHAQUI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,131,131
CHARAGUA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,91,91
CHAYANTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,27,27
CHIMORE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,246,246
CHIPAYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,3,3
CHUMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,25,25
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,29,29
CLIZA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,214,214
COBIJA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,409,409
COCAPATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,44,44
COCHABAMBA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,37,37
COIPASA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,15,15
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,190,190
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,30,30
COLLANA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,28,28
COLOMI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,12,12
COLQUECHACA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,244,244
COLQUENCHA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,28,28
COLQUIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,8,8
COMARAPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,48,48
CONCEPCION,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,423,423
COROICO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,80,80
CORQUE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,26,26
COTAGAITA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,266,266
COTOCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,359,359
CRUZ DE MACHACAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,6,6
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,25,25
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,20,20
CUEVO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,50,50
CULPINA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,263,263
DESAGUADERO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,28,28
EL ALTO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,5117,5117
EL CHORO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,28,28
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,66,66
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,259,259
EL TORNO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,1048,1048
EL VILLAR,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,98,98
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,234,234
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,61,61
ESCOMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,25,25
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,135,135
FILADELFIA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,121,121
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,148,148
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,25,25
GUANAY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,20,20
GUAQUI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,70,70
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,91,91
GUTIERREZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,40,40
HUACARETA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,295,295
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,97,97
HUANUNI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,232,232
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,93,93
ICLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,239,239
INCAHUASI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,242,242
INGAVI (HUMAITA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,12,12
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,154,154
LA GUARDIA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,66,66
LA PAZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,27,27
LAGUNILLAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,86,86
LAJA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,52,52
LAS CARRERAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,156,156
LLALLAGUA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,159,159
LORETO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,20,20
LURIBAY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,10,10
MACHACAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,51,51
MACHARETI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,138,138
MAGDALENA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,30,30
MECAPACA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,1,1
MINEROS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,44,44
MIZQUE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,125,125
MOCOMOCO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,93,93
MOJINETE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,16,16
MOJOCOYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,369,369
MONTEAGUDO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,377,377
MONTERO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,637,637
MORO MORO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,9,9
MOROCHATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,30,30
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,55,55
NAZACARA DE PACAJES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,2,2
OCURI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,10,10
OMEREQUE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,98,98
ORURO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,2052,2052
PADCAYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,250,250
PADILLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,92,92
PAILON,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,147,147
PALCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,52,52
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,3,3
PAPEL PAMPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,71,71
PASORAPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,115,115
PAZÑA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,113,113
POCOATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,275,275
POCONA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,43,43
POJO (CBBA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,55,55
POOPO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,98,98
POROMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,203,203
PORONGO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,145,145
PORTACHUELO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,130,130
PORVENIR,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,191,191
POTOSI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,2723,2723
PRESTO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,210,210
PUCARANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,29,29
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,59,59
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,60,60
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,32,32
PUERTO PEREZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,219,219
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,125,125
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,355,355
PUNA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,201,201
PUNATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,566,566
QUILLACOLLO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,2134,2134
QUIME,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,92,92
RAVELO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,48,48
REYES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,130,130
RIBERALTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,52,52
ROBORE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,25,25
RURRENABAQUE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,16,16
SABAYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,12,12
SACABA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,152,152
SACABAMBA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,23,23
SACACA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,93,93
SAIPINA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,195,195
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,109,109
SAMAIPATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,80,80
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,18,18
SAN ANDRES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,43,43
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,120,120
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,124,124
SAN BENITO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,117,117
SAN BORJA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,254,254
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,3,3
SAN CARLOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,185,185
SAN IGNACIO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,52,52
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,37,37
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,31,31
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,51,51
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,157,157
SAN JULIAN,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,1714,1714
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,70,70
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,37,37
SAN LUCAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,272,272
SAN MATIAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,19,19
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,8,8
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,36,36
SAN PEDRO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,56,56
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,144,144
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,220,220
SAN PEDRO(PND),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,20,20
SAN RAFAEL,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,20,20
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,93,93
SANTA ANA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,6,6
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,2710,2710
SANTA ROSA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,6,6
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,16,16
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,30,30
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,43,43
SANTIVAÑES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,75,75
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,108,108
SAPAHAQUI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,126,126
SHINAOTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,80,80
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,30,30
SIPE SIPE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,445,445
SOPACHUY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,252,252
SORACACHI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,100,100
SORATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,127,127
SUCRE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,39397,39397
TACOPAYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,33,33
TAPACARI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,52,52
TARABUCO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,417,417
TARACO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,20,20
TARATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,50,50
TARIJA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,1919,1919
TARVITA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,578,578
TEOPONTE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,2,2
TIAWANACU,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,75,75
TINGUIPAYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,177,177
TIQUIPAYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,486,486
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,71,71
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,30,30
TOCO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,103,103
TOLATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,190,190
TOLEDO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,60,60
TOMINA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,235,235
TORO TORO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,41,41
TOTORA(CBBA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,57,57
TOTORA(ORR),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,39,39
TRINIDAD,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,134,134
TUPIZA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,543,543
UMALA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,15,15
UNCIA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,105,105
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,26,26
URUBICHA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,4,4
UYUNI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,7,7
VACAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,12,12
VALLEGRANDE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,246,246
VIACHA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,86,86
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,64,64
VILLA MONTES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,258,258
VILLA RIVERO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,208,208
VILLA SERRANO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,130,130
VILLA TUNARI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,403,403
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,83,83
VILLAZON,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,94,94
VINTO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,524,524
VITICHI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,71,71
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,5,5
WARNES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,561,561
YACUIBA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,1079,1079
YAMPARAEZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,347,347
YANACACHI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,151,151
YAPACANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,1095,1095
YOTALA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,226,226
YUNCHARA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,5,5
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-01-01,180,180
ACHACACHI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,89,89
ACHOCALLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,15,15
AIQUILE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,497,497
ALTO BENI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,1,1
ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,50,50
ANTEQUERA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,104,104
ANZALDO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,210,210
APOLO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,3,3
ARAMPAMPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,81,81
ARANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,46,46
ARBIETO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,385,385
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,16,16
ATOCHA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,23,23
AYO AYO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,110,110
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,25,25
AZURDUY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,157,157
BATALLAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,30,30
BAURES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,65,65
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,64,64
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2017-02-01,8,8
