,group,variable,month,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,TOTALES
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,2,2
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2011-01-01,12,63,75
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2011-01-01,1,9,10
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,2,2
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2011-01-01,2,20,22
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2011-01-01,22,30,52
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2011-01-01,2,2,4
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,3,3
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2011-01-01,4,9,13
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,2,13,15
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,1796,2123,3919
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,3,3
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,27,27
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2011-01-01,1,2,3
SUCRE,cirugias y anestesias,anestesias generales y regionales,2011-01-01,369,1068,1437
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2011-01-01,2,6,8
TARIJA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,270,443,713
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,18,18
TOTORA(CBBA),cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,4,4
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2011-01-01,90,171,261
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,31,32,63
UYUNI,cirugias y anestesias,anestesias generales y regionales,2011-01-01,3,10,13
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2011-01-01,9,45,54
VIACHA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,6,8,14
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2011-01-01,27,45,72
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2011-01-01,15,23,38
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2011-01-01,30,81,111
VINTO,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,6,6
WARNES,cirugias y anestesias,anestesias generales y regionales,2011-01-01,3,17,20
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2011-01-01,29,96,125
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2011-01-01,3,26,29
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2011-01-01,0,3,3
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,11,11
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2011-02-01,12,24,36
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,1,1
BAURES,cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,9,9
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2011-02-01,20,53,73
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2011-02-01,16,8,24
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2011-02-01,19,64,83
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2011-02-01,7,24,31
CARMEN RIVERO TORREZ,cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,1,1
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,10,10
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,17,17
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2011-02-01,5,5,10
COBIJA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,21,116,137
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,986,1998,2984
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,29,33,62
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,1,32,33
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2011-02-01,2,19,21
COROICO,cirugias y anestesias,anestesias generales y regionales,2011-02-01,1,9,10
COTOCA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,1,9,10
CULPINA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,1,18,19
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2011-02-01,324,562,886
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2011-02-01,16,29,45
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2011-02-01,26,73,99
HUACARETA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,2,0,2
HUARACAJE,cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,1,1
LA ASUNTA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,22,1,23
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2011-02-01,952,1379,2331
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,4,19,23
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,9,9
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2011-02-01,13,41,54
MONTERO,cirugias y anestesias,anestesias generales y regionales,2011-02-01,44,124,168
ORURO,cirugias y anestesias,anestesias generales y regionales,2011-02-01,252,418,670
PADILLA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,3,22,25
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,1,1,2
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2011-02-01,10,36,46
POTOSI,cirugias y anestesias,anestesias generales y regionales,2011-02-01,251,454,705
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2011-02-01,22,45,67
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2011-02-01,45,21,66
PUNATA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,16,45,61
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2011-02-01,6,2,8
REYES,cirugias y anestesias,anestesias generales y regionales,2011-02-01,2,5,7
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,66,151,217
ROBORE,cirugias y anestesias,anestesias generales y regionales,2011-02-01,1,14,15
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2011-02-01,1,7,8
SACABA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,19,89,108
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,10,10
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,16,42,58
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,1,13,14
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2011-02-01,2,18,20
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,8,8
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2011-02-01,12,55,67
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2011-02-01,2,8,10
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2011-02-01,1,5,6
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2011-02-01,1,20,21
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2011-02-01,28,0,28
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2011-02-01,4,16,20
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2011-02-01,7,3,10
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2011-02-01,3,2,5
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,1,1
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2011-02-01,2,4,6
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,1,17,18
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,1640,2244,3884
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,3,3
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,15,15
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2011-02-01,1,5,6
SUCRE,cirugias y anestesias,anestesias generales y regionales,2011-02-01,545,578,1123
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2011-02-01,2,3,5
TARIJA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,209,358,567
TARVITA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,1,2,3
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,35,35
TOTORA(CBBA),cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,1,1
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2011-02-01,95,43,138
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,41,30,71
UYUNI,cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,14,14
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2011-02-01,9,18,27
VIACHA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,3,11,14
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2011-02-01,42,46,88
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2011-02-01,13,38,51
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,1,1
VINTO,cirugias y anestesias,anestesias generales y regionales,2011-02-01,21,9,30
WARNES,cirugias y anestesias,anestesias generales y regionales,2011-02-01,1,10,11
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2011-02-01,38,116,154
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2011-02-01,6,22,28
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2011-02-01,0,4,4
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2011-03-01,2,17,19
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2011-03-01,3,32,35
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,1,3,4
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,anestesias generales y regionales,2011-03-01,0,1,1
BAURES,cirugias y anestesias,anestesias generales y regionales,2011-03-01,1,4,5
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2011-03-01,13,48,61
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2011-03-01,7,7,14
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2011-03-01,28,61,89
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2011-03-01,16,44,60
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2011-03-01,9,30,39
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,2,8,10
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,0,13,13
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2011-03-01,1,6,7
COBIJA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,17,98,115
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,1171,2194,3365
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,34,49,83
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,0,22,22
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2011-03-01,1,12,13
COROICO,cirugias y anestesias,anestesias generales y regionales,2011-03-01,1,13,14
COTOCA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,0,24,24
CULPINA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,3,12,15
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2011-03-01,250,492,742
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2011-03-01,11,23,34
ENTRE RIOS TRJ,cirugias y anestesias,anestesias generales y regionales,2011-03-01,0,1,1
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2011-03-01,7,54,61
HUACARETA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,1,0,1
HUARACAJE,cirugias y anestesias,anestesias generales y regionales,2011-03-01,0,2,2
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2011-03-01,1089,1998,3087
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,3,33,36
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,0,3,3
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,1,20,21
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2011-03-01,20,41,61
MONTERO,cirugias y anestesias,anestesias generales y regionales,2011-03-01,24,133,157
ORURO,cirugias y anestesias,anestesias generales y regionales,2011-03-01,138,493,631
PADILLA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,15,20,35
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2011-03-01,11,53,64
POTOSI,cirugias y anestesias,anestesias generales y regionales,2011-03-01,215,449,664
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2011-03-01,38,69,107
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2011-03-01,54,55,109
PUNATA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,18,64,82
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2011-03-01,9,71,80
REYES,cirugias y anestesias,anestesias generales y regionales,2011-03-01,0,1,1
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,67,73,140
ROBORE,cirugias y anestesias,anestesias generales y regionales,2011-03-01,1,7,8
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2011-03-01,3,16,19
SACABA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,14,101,115
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,0,7,7
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,8,32,40
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,0,10,10
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2011-03-01,3,18,21
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2011-03-01,0,4,4
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2011-03-01,16,60,76
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2011-03-01,4,7,11
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2011-03-01,1,3,4
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2011-03-01,1,31,32
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2011-03-01,43,0,43
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2011-03-01,6,8,14
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2011-03-01,7,8,15
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2011-03-01,0,5,5
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2011-03-01,0,4,4
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2011-03-01,4,8,12
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,1,7,8
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,1954,2182,4136
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,1,2,3
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,0,12,12
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2011-03-01,0,4,4
SUCRE,cirugias y anestesias,anestesias generales y regionales,2011-03-01,406,768,1174
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2011-03-01,3,3,6
TARIJA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,233,394,627
TOTORA(CBBA),cirugias y anestesias,anestesias generales y regionales,2011-03-01,0,4,4
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2011-03-01,136,186,322
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,32,36,68
UYUNI,cirugias y anestesias,anestesias generales y regionales,2011-03-01,5,13,18
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2011-03-01,16,48,64
VIACHA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,1,10,11
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2011-03-01,40,57,97
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2011-03-01,9,40,49
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2011-03-01,100,33,133
VINTO,cirugias y anestesias,anestesias generales y regionales,2011-03-01,15,15,30
WARNES,cirugias y anestesias,anestesias generales y regionales,2011-03-01,1,18,19
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,22,86,108
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2011-03-01,11,20,31
YOTALA,cirugias y anestesias,anestesias generales y regionales,2011-03-01,5,2,7
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2011-04-01,3,23,26
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2011-04-01,10,36,46
BAURES,cirugias y anestesias,anestesias generales y regionales,2011-04-01,1,4,5
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2011-04-01,8,49,57
BETANZOS,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,5,5
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2011-04-01,7,14,21
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2011-04-01,13,61,74
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2011-04-01,3,7,10
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2011-04-01,2,24,26
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,3,3
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,10,10
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2011-04-01,1,9,10
COBIJA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,23,93,116
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,1061,2069,3130
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,30,60,90
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,17,17
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2011-04-01,4,9,13
COROICO,cirugias y anestesias,anestesias generales y regionales,2011-04-01,12,13,25
COTOCA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,12,12
CULPINA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,2,4,6
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2011-04-01,301,561,862
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2011-04-01,14,27,41
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2011-04-01,11,50,61
HUANUNI,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,2,2
JESUS DE MACHACA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,2,6,8
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2011-04-01,875,1679,2554
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,18,30,48
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,1,10,11
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,11,11
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2011-04-01,12,29,41
MONTERO,cirugias y anestesias,anestesias generales y regionales,2011-04-01,36,160,196
ORURO,cirugias y anestesias,anestesias generales y regionales,2011-04-01,186,321,507
PADILLA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,12,13,25
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,7,0,7
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2011-04-01,11,49,60
POTOSI,cirugias y anestesias,anestesias generales y regionales,2011-04-01,243,369,612
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2011-04-01,37,66,103
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2011-04-01,49,33,82
PUNATA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,8,47,55
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2011-04-01,11,58,69
REYES,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,7,7
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,62,194,256
ROBORE,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,15,15
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,11,11
SACABA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,24,106,130
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,2,2
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,6,37,43
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,2,21,23
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2011-04-01,33,69,102
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,5,5
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2011-04-01,17,76,93
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2011-04-01,5,4,9
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,8,8
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,44,44
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2011-04-01,20,20,40
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2011-04-01,11,23,34
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,4,4
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,5,5
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2011-04-01,1,1,2
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,2,11,13
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,1772,2043,3815
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,20,20
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,3,3
SUCRE,cirugias y anestesias,anestesias generales y regionales,2011-04-01,420,625,1045
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2011-04-01,1,1,2
TARIJA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,185,393,578
TARVITA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,1,0,1
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,1,35,36
TOTORA(CBBA),cirugias y anestesias,anestesias generales y regionales,2011-04-01,2,3,5
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2011-04-01,94,193,287
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,28,29,57
UYUNI,cirugias y anestesias,anestesias generales y regionales,2011-04-01,0,19,19
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2011-04-01,9,33,42
VIACHA,cirugias y anestesias,anestesias generales y regionales,2011-04-01,3,7,10
