,group,variable,month,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,TOTALES
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,2,20,22
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,2,2
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,12,63,75
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2011-01-01,1,9,10
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,2,2
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,2,11,13
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,22,30,52
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,2,2,4
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,3,3
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,4,9,13
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,2,13,15
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,1559,1957,3516
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,3,3
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,27,27
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,1,2,3
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,251,767,1018
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,2,6,8
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,259,422,681
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,18,18
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,4,4
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,90,171,261
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,31,32,63
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,3,10,13
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,9,45,54
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,6,8,14
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,27,45,72
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,15,23,38
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,6,27,33
VINTO,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,6,6
WARNES,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,3,17,20
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,28,95,123
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,3,26,29
ZUDAÑEZ,cirugias y anestesias,cirugias medianas y mayores,2011-01-01,0,1,1
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,11,11
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,4,10,14
AZURDUY,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,1,1
BAURES,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,7,7
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,16,25,41
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,16,8,24
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,17,42,59
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,7,24,31
CARMEN RIVERO TORREZ,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,1,1
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,10,10
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,17,17
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2011-02-01,5,5,10
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,21,116,137
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,869,1854,2723
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,29,33,62
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,1,30,31
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,2,19,21
COROICO,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,1,8,9
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,1,9,10
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,1,8,9
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,323,542,865
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,16,29,45
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,6,62,68
HUARACAJE,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,1,1
LA ASUNTA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,22,1,23
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,906,1330,2236
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,4,19,23
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,9,9
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,9,24,33
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,44,124,168
ORURO,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,252,418,670
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,3,22,25
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,1,1,2
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,10,36,46
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,75,203,278
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,22,42,64
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,7,7,14
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,16,45,61
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,6,2,8
REYES,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,2,5,7
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,66,151,217
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,1,14,15
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,1,7,8
SACABA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,19,81,100
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,10,10
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,16,42,58
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,1,10,11
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,2,18,20
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,8,8
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,12,55,67
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2011-02-01,2,8,10
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,1,5,6
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,1,14,15
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,28,0,28
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,4,16,20
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,3,2,5
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,1,1
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,2,4,6
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,1,17,18
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,1460,2120,3580
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,3,3
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,15,15
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,1,5,6
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,447,438,885
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,2,3,5
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,209,356,565
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,2,2
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,35,35
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,1,1
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,95,43,138
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,41,30,71
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,14,14
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,9,18,27
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,3,11,14
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,42,46,88
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,13,38,51
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,1,1
VINTO,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,21,9,30
WARNES,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,1,10,11
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,37,112,149
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,6,22,28
ZUDAÑEZ,cirugias y anestesias,cirugias medianas y mayores,2011-02-01,0,4,4
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,2,17,19
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,3,11,14
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,1,3,4
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,cirugias medianas y mayores,2011-03-01,0,1,1
BAURES,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,1,3,4
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,7,21,28
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,7,7,14
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,20,44,64
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,16,44,60
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,9,30,39
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,2,8,10
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,0,13,13
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2011-03-01,1,6,7
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,15,98,113
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,1067,2045,3112
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,34,49,83
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,0,22,22
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,1,12,13
COROICO,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,0,11,11
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,0,24,24
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,0,5,5
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,250,492,742
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,11,23,34
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,7,54,61
HUARACAJE,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,0,2,2
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,1047,1915,2962
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,3,33,36
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,0,3,3
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,1,20,21
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,13,27,40
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,24,133,157
ORURO,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,138,493,631
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,15,20,35
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,11,53,64
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,103,216,319
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,38,64,102
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,53,32,85
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,18,64,82
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,9,71,80
REYES,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,0,1,1
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,67,73,140
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,1,7,8
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,3,16,19
SACABA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,12,80,92
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,0,7,7
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,8,32,40
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,0,6,6
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,3,18,21
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,0,4,4
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,16,60,76
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2011-03-01,4,7,11
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,1,3,4
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,1,16,17
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,43,0,43
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,6,8,14
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,0,3,3
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,0,4,4
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,4,8,12
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,1,7,8
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,1767,2027,3794
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,1,2,3
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,0,12,12
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,0,4,4
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,311,592,903
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,3,3,6
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,233,381,614
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2011-03-01,0,4,4
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,136,186,322
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,25,30,55
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,5,13,18
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,16,48,64
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,1,10,11
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,40,57,97
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,9,40,49
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,8,17,25
VINTO,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,15,15,30
WARNES,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,1,18,19
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,19,86,105
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2011-03-01,11,20,31
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,3,23,26
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,4,9,13
BAURES,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,1,4,5
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,3,24,27
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,7,14,21
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,10,48,58
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,3,7,10
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,2,23,25
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,3,3
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,10,10
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2011-04-01,1,9,10
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,23,93,116
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,973,1946,2919
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,30,60,90
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,17,17
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,4,9,13
COROICO,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,6,10,16
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,12,12
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,2,2
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,301,561,862
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,14,27,41
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,11,50,61
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,2,2
JESUS DE MACHACA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,2,6,8
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,853,1569,2422
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,18,30,48
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,1,10,11
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,11,11
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,4,19,23
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,36,160,196
ORURO,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,186,321,507
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,12,13,25
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,7,0,7
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,11,49,60
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,101,167,268
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,36,63,99
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,49,29,78
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,8,47,55
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,11,58,69
REYES,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,7,7
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,62,194,256
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,15,15
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,11,11
SACABA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,20,64,84
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,2,2
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,6,37,43
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,2,7,9
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,33,69,102
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,5,5
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,17,76,93
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2011-04-01,5,4,9
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,8,8
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,41,41
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,20,20,40
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,11,23,34
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,4,4
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,5,5
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,1,1,2
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,2,11,13
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,1555,1871,3426
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,20,20
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,3,3
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,324,498,822
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,1,1,2
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,178,367,545
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,1,35,36
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2011-04-01,2,3,5
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,94,193,287
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,24,29,53
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,0,19,19
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,9,33,42
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2011-04-01,3,7,10
