municipality,group,variable,month,Pacientes retornados al establecimiento de origen,TOTAL
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
VILLAZON,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,33,33
VINTO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,5,5
WARNES,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,2,2
YACUIBA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,9,9
YAPACANI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,7,7
ZUDAÑEZ,referencias y retornos,pacientes retornados al establecimiento de origen,2012-02-01,3,3
ACHACACHI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
ANCORAIMES,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,7,7
ARBIETO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
ARQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
ATOCHA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,4,4
AYO AYO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
BAURES,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,2,2
BERMEJO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,3,3
BETANZOS,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,6,6
BOLIVAR,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
BUENA VISTA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,3,3
CABEZAS,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,11,11
CAIROMA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
"CAIZA ""D""",referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,2,2
CAJUATA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
CHARAGUA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
CHIMORE,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
CHUMA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
COBIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,64,64
COCHABAMBA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,11,11
COLCAPIRHUA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
"COLCHA ""K""",referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
COLPA BELGICA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,33,33
COLQUIRI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,4,4
COMARAPA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,3,3
CONCEPCION,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,2,2
COROICO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
COTAGAITA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,11,11
COTOCA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,8,8
CUATRO CAÑADAS,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,3,3
EL ALTO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,2,2
EL CHORO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,4,4
EL PUENTE(STC),referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
EL TORNO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,9,9
EL VILLAR,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
ENTRE RIOS CBBA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
FERNANDEZ ALONSO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,5,5
GENERAL SAAVEDRA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,2,2
GUAYARAMERIN,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,3,3
HUACAYA (VILLA DE HUACAYA),referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
ICLA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
INCAHUASI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
LA GUARDIA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,2,2
LA PAZ,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,215,215
LORETO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
LURIBAY,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,7,7
MACHARETI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,5,5
MONTEAGUDO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,5,5
MONTERO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,109,109
OCURI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
ORURO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,105,105
PADCAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,2,2
PORCO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
POROMA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,4,4
POTOSI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,44,44
PRESTO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,4,4
PUERTO GONZALO MORENO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,3,3
PUERTO SILES,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
PUERTO SUAREZ,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,10,10
PUNA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,2,2
QUIME,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,2,2
RIBERALTA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,29,29
ROBORE,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,7,7
SACABA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,3,3
SAIPINA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,4,4
SAN ANDRES,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,4,4
SAN BORJA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
SAN CARLOS,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
SAN IGNACIO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
SAN IGNACIO DE VELASCO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,11,11
SAN JAVIER(BNI),referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
SAN JULIAN,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,6,6
SAN LUCAS,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,2,2
SAN PEDRO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,2,2
SAN RAFAEL,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,14,14
SANTA ROSA DEL SARA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
SAPAHAQUI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
SENA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
SHINAOTA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,2,2
SOPACHUY,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,2,2
SUCRE,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,456,456
TAPACARI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,4,4
TARABUCO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,3,3
TARIJA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,28,28
TARVITA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,12,12
TINGUIPAYA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
TIRAQUE (CBBA),referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
TOMAVE,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,4,4
TOMINA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,4,4
TRINIDAD,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,42,42
TUPIZA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,53,53
VIACHA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
VILA VILA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
VILLA CHARCAS,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
VILLA MONTES,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,2,2
VILLA TUNARI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,6,6
VILLAZON,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,33,33
VINTO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
WARNES,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,2,2
YACUIBA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,40,40
YAPACANI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,2,2
YOCALLA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
YOTALA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
YUNCHARA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-03-01,1,1
ALCALA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-04-01,5,5
ARQUE,referencias y retornos,pacientes retornados al establecimiento de origen,2012-04-01,12,12
ATOCHA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-04-01,3,3
BELLA FLOR,referencias y retornos,pacientes retornados al establecimiento de origen,2012-04-01,1,1
BERMEJO,referencias y retornos,pacientes retornados al establecimiento de origen,2012-04-01,5,5
"CAIZA ""D""",referencias y retornos,pacientes retornados al establecimiento de origen,2012-04-01,2,2
CAJUATA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-04-01,2,2
CAMIRI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-04-01,1,1
CAPINOTA,referencias y retornos,pacientes retornados al establecimiento de origen,2012-04-01,3,3
CARANAVI,referencias y retornos,pacientes retornados al establecimiento de origen,2012-04-01,3,3
