,group,variable,month,L 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,L 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,L 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,L 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
PORVENIR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,1,0,0,0,1,0,1
PUERTO RICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,0,1,0,1,0,2,2
RURRENABAQUE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,3,0,0,0,3,0,3
SACABA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,0,1,1,1,1,2,3
SAN IGNACIO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,0,0,0,0,0,0,0
TEOPONTE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,0,1,0,0,0,1,1
TRINIDAD,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,3,1,0,0,3,1,4
VILLA TUNARI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-01-01,4,2,5,0,9,2,11
AYATA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,0,1,0,1,0,2,2
BERMEJO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,1,0,1,0,2,0,2
CAJUATA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,0,1,0,1,0,2,2
CARANAVI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,2,3,0,0,2,3,5
CHIMORE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,7,4,8,5,15,9,24
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,1,2,0,0,1,2,3
COBIJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,2,0,1,0,3,0,3
COLOMI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,0,1,0,0,0,1,1
CORIPATA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,0,2,0,1,0,3,3
COROICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,0,0,2,2,2,2,4
EL TORNO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,1,1,4,1,5,2,7
ENTRE RIOS CBBA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,4,0,2,0,6,0,6
EUREKA (SANTOS MERCADO),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,3,0,2,0,5,0,5
IXIAMAS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,8,0,3,0,11,0,11
LA ASUNTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,3,0,1,2,4,2,6
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,1,0,0,0,1,0,1
PALOS BLANCOS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,2,0,1,0,3,0,3
PORVENIR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,1,0,1,0,2,0,2
PUERTO RICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,2,1,0,0,2,1,3
REYES,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,1,1,0,0,1,1,2
RIBERALTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,1,0,0,0,1,0,1
RURRENABAQUE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,2,0,1,0,3,0,3
SACABA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,1,0,1,0,2,0,2
SAN IGNACIO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,0,0,1,0,1,0,1
VILLA TUNARI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,5,3,6,1,11,4,15
VINTO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-02-01,0,1,0,1,0,2,2
BERMEJO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,0,0,1,0,1,0,1
BOLPEBRA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,1,0,0,0,1,0,1
CARANAVI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,0,1,3,2,3,3,6
CHIMORE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,6,3,5,1,11,4,15
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,1,2,0,2,1,4,5
COBIJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,7,1,2,1,9,2,11
COCHABAMBA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,2,1,0,1,2,2,4
COLOMI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,0,0,0,1,0,1,1
COROICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,1,2,0,0,1,2,3
EL TORNO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,3,0,0,1,3,1,4
ENTRE RIOS CBBA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,0,0,3,0,3,0,3
EUREKA (SANTOS MERCADO),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,0,2,1,0,1,2,3
FILADELFIA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,1,0,1,0,2,0,2
GUAYARAMERIN,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,0,2,1,1,1,3,4
IXIAMAS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,1,0,1,1,2,1,3
LA ASUNTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,11,7,6,2,17,9,26
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,0,0,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,1,0,0,0,1,0,1
PORVENIR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,5,1,0,0,5,1,6
PUERTO RICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,2,0,1,1,3,1,4
REYES,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,0,0,1,1,1,1,2
RURRENABAQUE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,1,1,1,0,2,1,3
SAN BUENA VENTURA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,2,1,0,0,2,1,3
SHINAOTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,1,0,0,0,1,0,1
TACACOMA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,0,0,0,1,0,1,1
TEOPONTE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,1,0,0,0,1,0,1
VILLA MONTES,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,2,0,0,0,2,0,2
VILLA NUEVA (LOMA ALTA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-03-01,1,3,1,2,2,5,7
BELLA FLOR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,1,0,1,0,2,0,2
BERMEJO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,0,0,1,0,1,0,1
BOLPEBRA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,0,1,1,0,1,1,2
CARANAVI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,2,1,3,2,5,3,8
CHIMORE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,0,0,4,4,4,4,8
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,4,1,5,2,9,3,12
COCHABAMBA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,1,0,1,0,2,0,2
CORIPATA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,0,2,0,0,0,2,2
COROICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,0,0,1,2,1,2,3
EL TORNO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,4,0,3,0,7,0,7
FILADELFIA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,1,0,1,0,2,0,2
IRUPANA (VILLA DE LANZA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,0,0,0,1,0,1,1
IXIAMAS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,1,1,0,0,1,1,2
LA ASUNTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,6,4,9,5,15,9,24
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,1,0,1,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,1,0,2,0,3,0,3
PALOS BLANCOS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,2,5,0,0,2,5,7
PORVENIR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,2,0,6,1,8,1,9
PUERTO RICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,3,1,2,0,5,1,6
RIBERALTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,3,1,2,0,5,1,6
RURRENABAQUE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,0,0,1,0,1,0,1
SAN BUENA VENTURA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,0,1,0,1,0,2,2
URIONDO (A. CONCEPCION),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,0,0,1,0,1,0,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,1,0,1,0,2,0,2
VILLA TUNARI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-04-01,0,4,0,2,0,6,6
APOLO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,4,1,1,0,5,1,6
BERMEJO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,2,0,0,0,2,0,2
BOLPEBRA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,0,1,0,0,0,1,1
CARANAVI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,3,1,2,1,5,2,7
CHIMORE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,0,3,0,1,0,4,4
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,4,1,0,0,4,1,5
COBIJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,2,1,3,1,5,2,7
COCHABAMBA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,6,1,5,1,11,2,13
EUREKA (SANTOS MERCADO),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,1,0,1,0,2,0,2
FILADELFIA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,0,1,0,0,0,1,1
GUAYARAMERIN,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,1,0,0,0,1,0,1
IXIAMAS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,2,0,0,0,2,0,2
LA ASUNTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,2,2,5,5,7,7,14
MAPIRI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,5,1,1,1,6,2,8
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,0,0,1,0,1,0,1
PALOS BLANCOS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,5,2,4,4,9,6,15
PORVENIR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,8,2,3,0,11,2,13
PUERTO GONZALO MORENO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,1,0,1,0,2,0,2
PUERTO RICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,5,3,5,1,10,4,14
PUERTO VILLARROEL,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,1,1,0,0,1,1,2
RIBERALTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,11,4,2,2,13,6,19
RURRENABAQUE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,2,0,0,0,2,0,2
SAN BORJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,0,0,5,1,5,1,6
SAN BUENA VENTURA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,3,1,3,1,6,2,8
SAN IGNACIO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,2,0,1,0,3,0,3
SAN LORENZO(PND),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,0,0,1,0,1,0,1
SENA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,2,1,0,0,2,1,3
SUCRE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,1,0,0,0,1,0,1
TEOPONTE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,1,0,1,0,2,0,2
VILLA TUNARI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,3,2,4,0,7,2,9
YANACACHI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-05-01,1,0,1,0,2,0,2
BELLA FLOR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,5,0,6,1,11,1,12
BOLPEBRA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,0,1,0,1,0,2,2
BOYUIBE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,1,0,0,0,1,0,1
CARANAVI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,2,5,1,5,3,10,13
CHIMORE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,4,1,2,3,6,4,10
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,1,3,1,2,2,5,7
COBIJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,41,23,1,2,42,25,67
COCHABAMBA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,2,0,0,0,2,0,2
EL TORNO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,6,0,4,0,10,0,10
ENTRE RIOS CBBA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,1,1,0,0,1,1,2
FILADELFIA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,9,2,0,1,9,3,12
GUANAY,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,0,1,1,0,1,1,2
GUAYARAMERIN,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,0,0,1,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,0,4,0,3,0,7,7
IXIAMAS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,1,0,1,0,2,0,2
LA ASUNTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,1,1,2,2,3,3,6
MAPIRI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,0,0,1,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,5,0,3,0,8,0,8
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,0,0,1,0,1,0,1
PALOS BLANCOS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,1,0,2,0,3,0,3
PORVENIR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,7,1,5,0,12,1,13
PUERTO GONZALO MORENO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,8,3,0,0,8,3,11
PUERTO RICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,11,1,1,1,12,2,14
PUERTO VILLARROEL,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,1,0,1,1,2,1,3
QUILLACOLLO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,1,0,2,0,3,0,3
REYES,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,5,0,5,0,10,0,10
RIBERALTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,6,2,10,4,16,6,22
RURRENABAQUE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,2,1,4,1,6,2,8
SACABA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,3,1,1,0,4,1,5
SAN IGNACIO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,1,0,0,0,1,0,1
SENA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,6,1,3,0,9,1,10
TEOPONTE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,1,0,0,0,1,0,1
TRINIDAD,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,2,0,0,0,2,0,2
VILLA NUEVA (LOMA ALTA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,6,1,6,1,12,2,14
VILLA TUNARI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-06-01,3,0,1,1,4,1,5
APOLO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,2,1,0,0,2,1,3
AYATA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,0,1,0,1,0,2,2
BELLA FLOR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,3,0,1,0,4,0,4
BOLPEBRA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,10,2,2,0,12,2,14
CAJUATA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,6,3,4,3,10,6,16
CARANAVI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,6,2,6,2,12,4,16
CHIMORE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,3,1,3,1,6,2,8
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,3,2,0,0,3,2,5
COBIJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,10,4,41,23,51,27,78
COCAPATA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,0,1,0,0,0,1,1
CORIPATA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,0,0,0,1,0,1,1
EL TORNO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,11,4,10,1,21,5,26
ENTRE RIOS CBBA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,1,0,0,1,1,1,2
EUREKA (SANTOS MERCADO),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,2,0,1,0,3,0,3
FILADELFIA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,1,2,2,1,3,3,6
GUAYARAMERIN,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,27,4,10,2,37,6,43
INGAVI (HUMAITA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,3,0,0,0,3,0,3
IXIAMAS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,1,0,1,0,2,0,2
LA ASUNTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,7,8,1,1,8,9,17
MAGDALENA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,8,2,7,2,15,4,19
PALOS BLANCOS,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,3,2,1,2,4,4,8
PORVENIR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,6,0,7,0,13,0,13
PUERTO GONZALO MORENO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,7,2,9,1,16,3,19
PUERTO RICO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,8,0,9,0,17,0,17
PUERTO VILLARROEL,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,0,0,1,0,1,0,1
QUILLACOLLO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,0,1,0,1,0,2,2
REYES,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,6,4,1,1,7,5,12
RIBERALTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,45,14,24,10,69,24,93
RURRENABAQUE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,6,2,2,1,8,3,11
SACABA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,1,0,1,0,2,0,2
SAN BORJA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,5,1,4,1,9,2,11
SAN BUENA VENTURA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,0,0,1,4,1,4,5
SAN IGNACIO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,1,0,1,0,2,0,2
SAN JOAQUIN,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,1,0,0,0,1,0,1
SAN LORENZO(PND),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,0,1,3,0,3,1,4
SAN PEDRO(PND),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,1,1,0,0,1,1,2
SENA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,1,0,3,0,4,0,4
SHINAOTA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,1,0,0,0,1,0,1
TEOPONTE,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,2,1,1,0,3,1,4
VILLA NUEVA (LOMA ALTA),leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,5,4,5,2,10,6,16
VILLA TUNARI,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-07-01,4,1,0,2,4,3,7
APOLO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,0,0,2,1,2,1,3
BELLA FLOR,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,0,0,1,0,1,0,1
BERMEJO,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,1,1,2,1,3,2,5
BOLPEBRA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,2,1,8,3,10,4,14
CAJUATA,leishmaniasis,l 23.1       tratamientos de leishmania cutanea,2012-08-01,1,0,3,0,4,0,4
