,group,variable,month,L 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,L 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,L 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,L 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTALES,TOTALES,TOTALES
SENA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-09-01,0,1,0,0,0,1,1
COCHABAMBA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-10-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-10-01,0,0,1,0,1,0,1
GUAYARAMERIN,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-10-01,0,0,0,1,0,1,1
IRUPANA (VILLA DE LANZA),leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-10-01,0,0,0,2,0,2,2
LA PAZ,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-10-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-10-01,1,0,0,0,1,0,1
PUERTO RICO,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-10-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-10-01,1,0,0,0,1,0,1
APOLO,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-11-01,0,1,0,1,0,2,2
AZURDUY,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-11-01,1,0,0,0,1,0,1
BERMEJO,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-11-01,0,0,2,0,2,0,2
COBIJA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-11-01,1,0,1,0,2,0,2
EL TORNO,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-11-01,1,1,2,1,3,2,5
PUERTO VILLARROEL,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-11-01,1,0,0,0,1,0,1
CARAPARI,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-12-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-12-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-12-01,0,0,1,0,1,0,1
SAN BORJA,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-12-01,1,0,1,0,2,0,2
VILLA TUNARI,leishmaniasis,l 23.3       tratamientos de leishmania mucosa y cutanea,2012-12-01,0,1,0,0,0,1,1
