,group,variable,month,L 23.2 TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,L 23.2 TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,L 23.2 TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,L 23.2 TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES,TOTALES
LA ASUNTA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-03-01,0,1,0,0,0,1,1
PUERTO RICO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-03-01,0,0,1,0,1,0,1
SAN BORJA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-03-01,1,0,0,0,1,0,1
SAN IGNACIO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-03-01,1,0,0,0,1,0,1
BERMEJO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-04-01,0,0,1,0,1,0,1
CARANAVI,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-04-01,2,0,0,0,2,0,2
CORIPATA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-04-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-04-01,0,0,0,1,0,1,1
PALOS BLANCOS,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-04-01,0,0,1,0,1,0,1
PUERTO RICO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-04-01,2,0,0,0,2,0,2
RIBERALTA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-04-01,2,0,1,0,3,0,3
SAN IGNACIO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-04-01,0,0,1,0,1,0,1
BERMEJO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-05-01,1,0,0,0,1,0,1
CARANAVI,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-05-01,0,0,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-05-01,1,0,0,0,1,0,1
CORIPATA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-05-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-05-01,0,0,1,0,1,0,1
PALOS BLANCOS,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-05-01,0,1,0,0,0,1,1
PORVENIR,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-05-01,0,0,1,0,1,0,1
PUERTO RICO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-05-01,0,0,1,0,1,0,1
RIBERALTA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-05-01,2,0,0,0,2,0,2
ANZALDO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-06-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-06-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-06-01,1,1,0,0,1,1,2
COROICO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-06-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-06-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-06-01,0,1,0,0,0,1,1
GUANAY,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-06-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-06-01,0,1,0,0,0,1,1
RIBERALTA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-06-01,0,0,3,0,3,0,3
VILLA TUNARI,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-06-01,1,0,0,0,1,0,1
ANZALDO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-07-01,0,0,1,0,1,0,1
BELLA FLOR,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-07-01,0,1,0,0,0,1,1
BERMEJO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-07-01,3,0,1,0,4,0,4
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-07-01,1,0,0,0,1,0,1
COBIJA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-07-01,1,0,1,1,2,1,3
EL TORNO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-07-01,2,0,1,0,3,0,3
GUAYARAMERIN,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-07-01,3,0,0,0,3,0,3
RIBERALTA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-07-01,2,1,0,0,2,1,3
RURRENABAQUE,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-07-01,1,0,0,0,1,0,1
SAN IGNACIO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-07-01,1,0,0,0,1,0,1
TACOPAYA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-07-01,1,0,1,0,2,0,2
VILLA TUNARI,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-07-01,0,0,1,0,1,0,1
BERMEJO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-08-01,1,0,1,0,2,0,2
CHUMA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-08-01,1,0,1,0,2,0,2
COBIJA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-08-01,0,1,1,0,1,1,2
EL TORNO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-08-01,5,0,1,0,6,0,6
GUAYARAMERIN,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-08-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-08-01,0,1,0,2,0,3,3
PUERTO GONZALO MORENO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-08-01,0,0,3,1,3,1,4
RIBERALTA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-08-01,0,1,0,0,0,1,1
SAN BUENA VENTURA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-08-01,0,1,0,0,0,1,1
SAN IGNACIO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-08-01,1,1,2,1,3,2,5
SENA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-08-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-09-01,1,1,0,0,1,1,2
BERMEJO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-09-01,2,0,1,0,3,0,3
BOLPEBRA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-09-01,1,0,0,0,1,0,1
CARANAVI,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-09-01,0,0,2,0,2,0,2
COBIJA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-09-01,1,0,1,1,2,1,3
COLCAPIRHUA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-09-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-09-01,1,0,6,0,7,0,7
GUAYARAMERIN,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-09-01,2,0,0,0,2,0,2
IRUPANA (VILLA DE LANZA),leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-09-01,1,1,0,0,1,1,2
PUERTO RICO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-09-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-09-01,2,0,0,0,2,0,2
BELLA FLOR,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,0,0,1,1,1,1,2
BERMEJO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,0,0,2,0,2,0,2
BOLPEBRA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,0,0,1,0,1,0,1
CAJUATA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,2,1,0,0,2,1,3
COCHABAMBA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,0,0,1,0,1,0,1
COROICO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,0,1,0,0,0,1,1
EL TORNO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,4,2,0,0,4,2,6
FILADELFIA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,0,0,1,1,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,1,0,0,0,1,0,1
PALOS BLANCOS,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,2,0,0,0,2,0,2
PUERTO GONZALO MORENO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,3,1,0,0,3,1,4
SAN BORJA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,0,0,1,0,1,0,1
SAN LORENZO(PND),leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,0,0,0,1,0,1,1
SAN PEDRO(PND),leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,0,0,0,2,0,2,2
VILLA TUNARI,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-10-01,2,0,2,0,4,0,4
CAJUATA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-11-01,0,0,1,0,1,0,1
CHIMORE,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-11-01,3,0,0,0,3,0,3
COBIJA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-11-01,0,1,2,1,2,2,4
RIBERALTA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-11-01,1,1,0,0,1,1,2
SACABA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-11-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-11-01,1,0,1,0,2,0,2
SAN LORENZO(PND),leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-11-01,0,0,1,1,1,1,2
CHIMORE,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-12-01,0,0,3,0,3,0,3
COBIJA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-12-01,0,1,0,1,0,2,2
CORIPATA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-12-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-12-01,2,0,2,1,4,1,5
LA ASUNTA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-12-01,0,0,1,0,1,0,1
QUILLACOLLO,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-12-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-12-01,2,0,0,1,2,1,3
SACABA,leishmaniasis,l 23.2       tratamientos de leishmania mucosa,2012-12-01,0,0,1,0,1,0,1
