,group,variable,month,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS VIVAX,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,DE 1 A MENORES DE 5 AÑOS FALCIPARUM,TOTALES,TOTALES,TOTALES
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2021-03-01,1,1,0,0,1,1,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2021-03-01,8,10,0,0,8,10,18
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2021-03-01,2,3,0,0,2,3,5
SENA,malaria,de 1 a menores de 5 anos,2021-03-01,5,1,0,0,5,1,6
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2021-04-01,3,1,0,0,3,1,4
IXIAMAS,malaria,de 1 a menores de 5 anos,2021-04-01,4,1,0,0,4,1,5
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2021-04-01,0,2,0,0,0,2,2
PUERTO RICO,malaria,de 1 a menores de 5 anos,2021-04-01,2,2,0,0,2,2,4
REYES,malaria,de 1 a menores de 5 anos,2021-04-01,1,4,0,0,1,4,5
RIBERALTA,malaria,de 1 a menores de 5 anos,2021-04-01,20,14,0,0,20,14,34
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2021-04-01,0,2,0,0,0,2,2
SANTA ROSA,malaria,de 1 a menores de 5 anos,2021-04-01,1,0,0,0,1,0,1
SENA,malaria,de 1 a menores de 5 anos,2021-04-01,3,1,0,0,3,1,4
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2021-05-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2021-05-01,4,4,0,0,4,4,8
IXIAMAS,malaria,de 1 a menores de 5 anos,2021-05-01,2,3,0,0,2,3,5
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2021-05-01,1,1,0,0,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2021-05-01,2,0,0,0,2,0,2
PUERTO RICO,malaria,de 1 a menores de 5 anos,2021-05-01,0,1,0,0,0,1,1
REYES,malaria,de 1 a menores de 5 anos,2021-05-01,1,1,0,0,1,1,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2021-05-01,7,5,0,0,7,5,12
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2021-05-01,1,0,0,0,1,0,1
SANTA ROSA,malaria,de 1 a menores de 5 anos,2021-05-01,1,0,0,0,1,0,1
SENA,malaria,de 1 a menores de 5 anos,2021-05-01,0,1,0,0,0,1,1
CHIMORE,malaria,de 1 a menores de 5 anos,2021-06-01,0,0,6,0,6,0,6
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2021-06-01,4,1,0,0,4,1,5
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2021-06-01,0,1,0,0,0,1,1
IXIAMAS,malaria,de 1 a menores de 5 anos,2021-06-01,1,3,0,0,1,3,4
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2021-06-01,2,0,0,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2021-06-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2021-06-01,0,1,0,0,0,1,1
REYES,malaria,de 1 a menores de 5 anos,2021-06-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2021-06-01,4,5,0,0,4,5,9
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2021-06-01,3,3,0,0,3,3,6
SENA,malaria,de 1 a menores de 5 anos,2021-06-01,5,3,0,0,5,3,8
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2021-07-01,2,1,0,0,2,1,3
IXIAMAS,malaria,de 1 a menores de 5 anos,2021-07-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2021-07-01,1,1,0,0,1,1,2
PUERTO RICO,malaria,de 1 a menores de 5 anos,2021-07-01,1,0,0,0,1,0,1
REYES,malaria,de 1 a menores de 5 anos,2021-07-01,0,2,0,0,0,2,2
RIBERALTA,malaria,de 1 a menores de 5 anos,2021-07-01,9,5,0,0,9,5,14
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2021-07-01,2,0,0,0,2,0,2
SANTA ROSA,malaria,de 1 a menores de 5 anos,2021-07-01,0,1,0,0,0,1,1
SENA,malaria,de 1 a menores de 5 anos,2021-07-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2021-08-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2021-08-01,48,1,0,0,48,1,49
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2021-08-01,1,1,0,0,1,1,2
IXIAMAS,malaria,de 1 a menores de 5 anos,2021-08-01,2,1,0,0,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2021-08-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2021-08-01,1,2,0,0,1,2,3
RIBERALTA,malaria,de 1 a menores de 5 anos,2021-08-01,3,3,0,0,3,3,6
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2021-08-01,5,7,0,0,5,7,12
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2021-09-01,0,1,0,0,0,1,1
FILADELFIA,malaria,de 1 a menores de 5 anos,2021-09-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2021-09-01,3,2,0,0,3,2,5
PUERTO RICO,malaria,de 1 a menores de 5 anos,2021-09-01,0,1,0,0,0,1,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2021-09-01,7,28,0,3,7,31,38
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2021-09-01,2,0,0,0,2,0,2
SAN PEDRO(PND),malaria,de 1 a menores de 5 anos,2021-09-01,1,0,0,0,1,0,1
SENA,malaria,de 1 a menores de 5 anos,2021-09-01,2,0,0,0,2,0,2
BELLA FLOR,malaria,de 1 a menores de 5 anos,2021-10-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2021-10-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2021-10-01,2,1,0,0,2,1,3
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2021-10-01,1,3,0,0,1,3,4
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2021-10-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2021-10-01,1,1,0,0,1,1,2
PUERTO GONZALO MORENO,malaria,de 1 a menores de 5 anos,2021-10-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2021-10-01,0,3,0,0,0,3,3
RIBERALTA,malaria,de 1 a menores de 5 anos,2021-10-01,15,13,0,0,15,13,28
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2021-10-01,2,0,0,0,2,0,2
SAN PEDRO(PND),malaria,de 1 a menores de 5 anos,2021-10-01,1,0,0,0,1,0,1
SENA,malaria,de 1 a menores de 5 anos,2021-10-01,2,0,0,0,2,0,2
BELLA FLOR,malaria,de 1 a menores de 5 anos,2021-11-01,1,0,0,0,1,0,1
FILADELFIA,malaria,de 1 a menores de 5 anos,2021-11-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2021-11-01,2,2,0,0,2,2,4
IXIAMAS,malaria,de 1 a menores de 5 anos,2021-11-01,4,0,0,0,4,0,4
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2021-11-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,de 1 a menores de 5 anos,2021-11-01,1,1,0,0,1,1,2
REYES,malaria,de 1 a menores de 5 anos,2021-11-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2021-11-01,21,15,0,0,21,15,36
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2021-11-01,1,1,0,0,1,1,2
SAN PEDRO(PND),malaria,de 1 a menores de 5 anos,2021-11-01,1,0,0,0,1,0,1
SENA,malaria,de 1 a menores de 5 anos,2021-11-01,2,1,0,0,2,1,3
BELLA FLOR,malaria,de 1 a menores de 5 anos,2021-12-01,2,0,0,0,2,0,2
EUREKA (SANTOS MERCADO),malaria,de 1 a menores de 5 anos,2021-12-01,0,0,0,1,0,1,1
GUAYARAMERIN,malaria,de 1 a menores de 5 anos,2021-12-01,2,3,0,0,2,3,5
INGAVI (HUMAITA),malaria,de 1 a menores de 5 anos,2021-12-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,de 1 a menores de 5 anos,2021-12-01,0,2,0,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,de 1 a menores de 5 anos,2021-12-01,1,0,0,0,1,0,1
REYES,malaria,de 1 a menores de 5 anos,2021-12-01,1,0,0,0,1,0,1
RIBERALTA,malaria,de 1 a menores de 5 anos,2021-12-01,14,11,0,0,14,11,25
SAN ANDRES,malaria,de 1 a menores de 5 anos,2021-12-01,0,0,0,1,0,1,1
SAN LORENZO(PND),malaria,de 1 a menores de 5 anos,2021-12-01,2,1,0,0,2,1,3
SANTA ROSA,malaria,de 1 a menores de 5 anos,2021-12-01,0,1,0,0,0,1,1
SENA,malaria,de 1 a menores de 5 anos,2021-12-01,1,3,0,0,1,3,4
