,group,variable,month,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA VIVAX,MUJER EMBARAZADA FALCIPARUM,MUJER EMBARAZADA FALCIPARUM,TOTALES,TOTALES,TOTALES
SUCRE,malaria,mujer embarazada,2021-05-01,0,0,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,mujer embarazada,2021-05-01,0,3,0,0,0,3,3
BELLA FLOR,malaria,mujer embarazada,2021-06-01,0,1,0,0,0,1,1
CHIMORE,malaria,mujer embarazada,2021-06-01,0,0,1,1,1,1,2
EL VILLAR,malaria,mujer embarazada,2021-06-01,0,0,0,1,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2021-06-01,0,2,0,0,0,2,2
INGAVI (HUMAITA),malaria,mujer embarazada,2021-06-01,0,1,0,0,0,1,1
MACHARETI,malaria,mujer embarazada,2021-06-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,mujer embarazada,2021-06-01,0,3,0,0,0,3,3
PUERTO GONZALO MORENO,malaria,mujer embarazada,2021-06-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,mujer embarazada,2021-06-01,0,1,0,0,0,1,1
REYES,malaria,mujer embarazada,2021-06-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2021-06-01,0,5,2,0,2,5,7
SENA,malaria,mujer embarazada,2021-06-01,0,4,0,0,0,4,4
SOPACHUY,malaria,mujer embarazada,2021-06-01,0,2,0,0,0,2,2
SUCRE,malaria,mujer embarazada,2021-06-01,0,1,0,1,0,2,2
GUAYARAMERIN,malaria,mujer embarazada,2021-07-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,mujer embarazada,2021-07-01,0,2,0,0,0,2,2
RIBERALTA,malaria,mujer embarazada,2021-07-01,0,3,0,0,0,3,3
PUERTO GONZALO MORENO,malaria,mujer embarazada,2021-08-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,mujer embarazada,2021-08-01,0,2,0,0,0,2,2
RIBERALTA,malaria,mujer embarazada,2021-08-01,0,3,0,2,0,5,5
SUCRE,malaria,mujer embarazada,2021-08-01,0,1,0,0,0,1,1
TOMINA,malaria,mujer embarazada,2021-08-01,0,0,0,1,0,1,1
GUAYARAMERIN,malaria,mujer embarazada,2021-09-01,0,1,0,0,0,1,1
MACHARETI,malaria,mujer embarazada,2021-09-01,0,4,0,0,0,4,4
RIBERALTA,malaria,mujer embarazada,2021-09-01,0,6,0,0,0,6,6
SUCRE,malaria,mujer embarazada,2021-09-01,0,1,0,0,0,1,1
TARABUCO,malaria,mujer embarazada,2021-09-01,0,1,0,1,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,mujer embarazada,2021-09-01,0,1,0,2,0,3,3
GUAYARAMERIN,malaria,mujer embarazada,2021-10-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,mujer embarazada,2021-10-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,mujer embarazada,2021-10-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,mujer embarazada,2021-10-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2021-10-01,0,10,0,2,0,12,12
SUCRE,malaria,mujer embarazada,2021-10-01,0,0,0,2,0,2,2
ALCALA,malaria,mujer embarazada,2021-11-01,0,2,0,0,0,2,2
GUAYARAMERIN,malaria,mujer embarazada,2021-11-01,0,2,0,0,0,2,2
PUERTO RICO,malaria,mujer embarazada,2021-11-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2021-11-01,0,7,0,0,0,7,7
SENA,malaria,mujer embarazada,2021-11-01,0,1,0,0,0,1,1
SUCRE,malaria,mujer embarazada,2021-11-01,0,1,0,0,0,1,1
RIBERALTA,malaria,mujer embarazada,2021-12-01,0,3,0,0,0,3,3
SENA,malaria,mujer embarazada,2021-12-01,0,1,0,0,0,1,1
