,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES
ARANI,atencion odontologica,medidas preventivas,2018-01-01,17,16,38,31,11,46,17,34,8,4,0,0,0,0,222
ARBIETO,atencion odontologica,medidas preventivas,2018-01-01,59,76,10,9,0,3,3,11,8,10,0,0,0,0,189
ARQUE,atencion odontologica,medidas preventivas,2018-01-01,18,34,1,5,0,9,4,21,4,4,0,0,0,0,100
ASCENCION DE GUARAYOS,atencion odontologica,medidas preventivas,2018-01-01,20,28,12,0,0,0,3,14,3,0,0,0,0,0,80
ATOCHA,atencion odontologica,medidas preventivas,2018-01-01,17,17,37,40,15,20,52,63,3,1,0,0,0,0,265
AUCAPATA,atencion odontologica,medidas preventivas,2018-01-01,4,4,0,0,0,1,0,3,5,1,0,0,0,0,18
AYATA,atencion odontologica,medidas preventivas,2018-01-01,6,6,0,0,0,0,0,0,0,0,0,0,0,0,12
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,medidas preventivas,2018-01-01,30,32,36,66,13,50,36,61,2,4,0,0,0,0,330
AZURDUY,atencion odontologica,medidas preventivas,2018-01-01,16,26,0,0,0,1,0,3,0,0,0,0,0,0,46
BATALLAS,atencion odontologica,medidas preventivas,2018-01-01,10,11,0,1,0,2,0,0,0,0,0,0,0,0,24
BAURES,atencion odontologica,medidas preventivas,2018-01-01,0,2,7,8,4,0,8,4,0,5,0,0,0,0,38
BELEN DE ANDAMARCA,atencion odontologica,medidas preventivas,2018-01-01,9,23,0,0,0,1,0,3,1,0,0,0,0,0,37
BELEN DE URMIRI,atencion odontologica,medidas preventivas,2018-01-01,23,0,0,0,0,0,0,0,0,0,0,0,0,0,23
BELLA FLOR,atencion odontologica,medidas preventivas,2018-01-01,3,12,10,12,1,8,2,10,0,0,0,0,0,0,58
BERMEJO,atencion odontologica,medidas preventivas,2018-01-01,4,5,32,27,8,25,13,37,4,1,0,0,0,0,156
BETANZOS,atencion odontologica,medidas preventivas,2018-01-01,22,17,3,2,2,3,2,10,1,0,0,0,0,0,62
BOLIVAR,atencion odontologica,medidas preventivas,2018-01-01,0,4,0,2,0,0,0,0,0,0,0,0,0,0,6
BUENA VISTA,atencion odontologica,medidas preventivas,2018-01-01,19,13,0,1,0,0,1,3,0,0,0,0,0,0,37
CABEZAS,atencion odontologica,medidas preventivas,2018-01-01,87,120,2,3,0,8,0,43,2,0,0,0,0,0,265
CAIROMA,atencion odontologica,medidas preventivas,2018-01-01,2,7,0,0,0,0,0,0,0,0,0,0,0,0,9
"CAIZA ""D""",atencion odontologica,medidas preventivas,2018-01-01,3,12,0,0,0,0,0,3,0,1,0,0,0,0,19
CAJUATA,atencion odontologica,medidas preventivas,2018-01-01,10,12,1,3,0,0,0,4,0,0,0,0,0,0,30
CALACOTO,atencion odontologica,medidas preventivas,2018-01-01,4,6,0,0,0,0,0,0,0,0,0,0,0,0,10
CALAMARCA,atencion odontologica,medidas preventivas,2018-01-01,4,9,4,3,5,1,0,0,1,0,0,0,0,0,27
CAMARGO,atencion odontologica,medidas preventivas,2018-01-01,41,17,13,29,5,0,0,2,0,0,0,0,0,0,107
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,medidas preventivas,2018-01-01,0,0,2,4,0,10,0,1,0,0,0,0,0,0,17
CAMIRI,atencion odontologica,medidas preventivas,2018-01-01,159,145,33,31,7,17,8,15,7,4,0,0,0,0,426
CAPINOTA,atencion odontologica,medidas preventivas,2018-01-01,49,62,87,74,39,40,23,85,26,18,0,0,0,0,503
CAQUIAVIRI,atencion odontologica,medidas preventivas,2018-01-01,13,9,0,0,0,4,0,0,0,0,0,0,0,0,26
CARACOLLO,atencion odontologica,medidas preventivas,2018-01-01,7,18,20,52,10,27,13,26,10,1,0,0,0,0,184
CARANAVI,atencion odontologica,medidas preventivas,2018-01-01,106,110,12,22,2,16,6,26,17,6,0,0,0,0,323
CARAPARI,atencion odontologica,medidas preventivas,2018-01-01,1,0,20,12,6,5,7,8,0,0,0,0,0,0,59
CARIPUYO,atencion odontologica,medidas preventivas,2018-01-01,37,17,0,0,0,0,1,0,0,5,0,0,0,0,60
CARMEN RIVERO TORREZ,atencion odontologica,medidas preventivas,2018-01-01,76,82,0,2,0,0,0,0,0,0,0,0,0,0,160
CATACORA,atencion odontologica,medidas preventivas,2018-01-01,3,4,1,0,0,0,0,0,0,0,0,0,0,0,8
CHALLAPATA,atencion odontologica,medidas preventivas,2018-01-01,91,69,89,169,24,39,18,84,10,4,0,0,0,0,597
CHAQUI,atencion odontologica,medidas preventivas,2018-01-01,14,24,2,0,0,4,0,2,6,12,0,0,0,0,64
CHARAGUA,atencion odontologica,medidas preventivas,2018-01-01,19,25,1,11,2,1,2,0,0,0,0,0,0,0,61
CHARAÑA,atencion odontologica,medidas preventivas,2018-01-01,6,3,4,1,0,0,0,0,0,0,0,0,0,0,14
CHAYANTA,atencion odontologica,medidas preventivas,2018-01-01,13,20,0,0,0,2,0,7,0,0,0,0,0,0,42
CHIMORE,atencion odontologica,medidas preventivas,2018-01-01,48,80,5,21,0,2,0,7,4,4,0,0,0,0,171
CHIPAYA,atencion odontologica,medidas preventivas,2018-01-01,1,0,1,1,0,1,0,1,0,0,0,0,0,0,5
CHOQUE COTA,atencion odontologica,medidas preventivas,2018-01-01,2,2,0,1,0,1,0,1,1,1,0,0,0,0,9
CHUA COCANI,atencion odontologica,medidas preventivas,2018-01-01,8,1,0,0,1,0,1,2,3,6,0,0,0,0,22
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,medidas preventivas,2018-01-01,78,60,17,26,0,2,1,11,0,0,0,0,0,0,195
CHUMA,atencion odontologica,medidas preventivas,2018-01-01,31,12,3,4,2,7,2,10,0,2,0,0,0,0,73
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,medidas preventivas,2018-01-01,2,2,12,21,10,12,7,26,3,0,0,0,0,0,95
CKOCHAS,atencion odontologica,medidas preventivas,2018-01-01,23,27,0,0,0,0,0,7,0,5,0,0,0,0,62
CLIZA,atencion odontologica,medidas preventivas,2018-01-01,36,53,29,27,0,3,7,4,0,0,0,0,0,0,159
COBIJA,atencion odontologica,medidas preventivas,2018-01-01,203,239,65,40,31,78,60,138,4,0,0,0,0,0,858
COCAPATA,atencion odontologica,medidas preventivas,2018-01-01,60,84,1,0,3,14,0,29,39,50,0,0,0,0,280
COCHABAMBA,atencion odontologica,medidas preventivas,2018-01-01,1245,1381,1536,1738,650,870,1369,2350,540,333,0,0,0,0,12012
COIPASA,atencion odontologica,medidas preventivas,2018-01-01,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
COLCAPIRHUA,atencion odontologica,medidas preventivas,2018-01-01,83,82,15,32,12,10,17,32,12,11,0,0,0,0,306
"COLCHA ""K""",atencion odontologica,medidas preventivas,2018-01-01,4,6,0,0,0,3,0,3,0,0,0,0,0,0,16
COLLANA,atencion odontologica,medidas preventivas,2018-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
COLOMI,atencion odontologica,medidas preventivas,2018-01-01,46,52,4,3,0,11,0,10,8,9,0,0,0,0,143
COLPA BELGICA,atencion odontologica,medidas preventivas,2018-01-01,19,24,10,16,10,12,16,26,0,2,0,0,0,0,135
COLQUECHACA,atencion odontologica,medidas preventivas,2018-01-01,64,89,9,3,1,9,0,34,77,74,0,0,0,0,360
COLQUENCHA,atencion odontologica,medidas preventivas,2018-01-01,14,19,17,29,17,22,6,33,2,1,0,0,0,0,160
COLQUIRI,atencion odontologica,medidas preventivas,2018-01-01,38,19,4,5,1,3,2,8,2,1,0,0,0,0,83
COMANCHE,atencion odontologica,medidas preventivas,2018-01-01,5,8,0,0,0,0,0,0,0,0,0,0,0,0,13
COMARAPA,atencion odontologica,medidas preventivas,2018-01-01,4,27,3,2,0,0,0,0,0,0,0,0,0,0,36
CONCEPCION,atencion odontologica,medidas preventivas,2018-01-01,10,6,4,7,0,0,0,0,0,0,0,0,0,0,27
COPACABANA,atencion odontologica,medidas preventivas,2018-01-01,14,7,1,0,0,4,0,0,0,0,0,0,0,0,26
CORIPATA,atencion odontologica,medidas preventivas,2018-01-01,23,4,4,2,0,1,0,6,0,0,0,0,0,0,40
CORO CORO,atencion odontologica,medidas preventivas,2018-01-01,4,2,1,1,0,2,1,0,0,0,0,0,0,0,11
CORQUE,atencion odontologica,medidas preventivas,2018-01-01,4,3,0,0,0,1,0,1,1,3,0,0,0,0,13
COTAGAITA,atencion odontologica,medidas preventivas,2018-01-01,38,15,24,26,3,7,20,27,4,12,0,0,0,0,176
COTOCA,atencion odontologica,medidas preventivas,2018-01-01,146,121,1,1,0,7,1,39,7,10,0,0,0,0,333
CRUZ DE MACHACAMARCA,atencion odontologica,medidas preventivas,2018-01-01,1,5,0,0,0,0,0,3,1,1,0,0,0,0,11
CUATRO CAÑADAS,atencion odontologica,medidas preventivas,2018-01-01,113,165,2,1,2,2,2,17,19,7,0,0,0,0,330
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,medidas preventivas,2018-01-01,12,8,2,19,6,10,6,12,0,2,0,0,0,0,77
CUEVO,atencion odontologica,medidas preventivas,2018-01-01,0,0,0,0,0,3,0,6,0,0,0,0,0,0,9
CULPINA,atencion odontologica,medidas preventivas,2018-01-01,12,33,0,0,0,1,0,0,0,1,0,0,0,0,47
CURAHUARA DE CARANGAS,atencion odontologica,medidas preventivas,2018-01-01,6,2,5,13,0,3,0,2,0,2,0,0,0,0,33
CURVA,atencion odontologica,medidas preventivas,2018-01-01,16,7,0,0,0,1,0,3,3,0,0,0,0,0,30
DESAGUADERO,atencion odontologica,medidas preventivas,2018-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,medidas preventivas,2018-01-01,612,762,1431,1647,450,682,353,855,91,57,0,0,0,0,6940
EL CHORO,atencion odontologica,medidas preventivas,2018-01-01,14,16,0,0,0,0,0,12,34,38,0,0,0,0,114
EL PUENTE(STC),atencion odontologica,medidas preventivas,2018-01-01,23,19,0,0,0,0,0,0,0,0,0,0,0,0,42
EL PUENTE(TJA),atencion odontologica,medidas preventivas,2018-01-01,1,3,5,7,0,4,3,3,0,0,0,0,0,0,26
EL TORNO,atencion odontologica,medidas preventivas,2018-01-01,149,137,23,17,7,8,4,22,4,0,0,0,0,0,371
EL VILLAR,atencion odontologica,medidas preventivas,2018-01-01,8,0,1,0,0,0,0,0,0,0,0,0,0,0,9
ENTRE RIOS TRJ,atencion odontologica,medidas preventivas,2018-01-01,17,22,18,9,7,12,2,21,9,6,0,0,0,0,123
ENTRE RIOS CBBA,atencion odontologica,medidas preventivas,2018-01-01,82,93,2,0,2,9,1,20,5,4,0,0,0,0,218
ESCARA,atencion odontologica,medidas preventivas,2018-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
ESCOMA,atencion odontologica,medidas preventivas,2018-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ESMERALDA,atencion odontologica,medidas preventivas,2018-01-01,3,0,0,4,0,0,0,0,0,0,0,0,0,0,7
EUCALIPTUS,atencion odontologica,medidas preventivas,2018-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FERNANDEZ ALONSO,atencion odontologica,medidas preventivas,2018-01-01,18,15,1,1,1,3,3,3,1,1,0,0,0,0,47
FILADELFIA,atencion odontologica,medidas preventivas,2018-01-01,9,9,11,6,0,5,0,4,0,0,0,0,0,0,44
GENERAL SAAVEDRA,atencion odontologica,medidas preventivas,2018-01-01,4,5,0,1,0,0,0,3,0,1,0,0,0,0,14
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,medidas preventivas,2018-01-01,20,18,0,5,0,0,0,4,0,0,0,0,0,0,47
GUANAY,atencion odontologica,medidas preventivas,2018-01-01,15,22,0,0,0,1,1,4,9,2,0,0,0,0,54
GUAQUI,atencion odontologica,medidas preventivas,2018-01-01,1,0,1,0,1,1,1,2,2,1,0,0,0,0,10
GUAYARAMERIN,atencion odontologica,medidas preventivas,2018-01-01,14,11,5,3,1,7,2,11,1,0,0,0,0,0,55
GUTIERREZ,atencion odontologica,medidas preventivas,2018-01-01,12,23,12,13,10,15,12,14,2,3,0,0,0,0,116
HUACARETA,atencion odontologica,medidas preventivas,2018-01-01,2,3,0,0,0,1,0,0,0,0,0,0,0,0,6
HUACAYA (VILLA DE HUACAYA),atencion odontologica,medidas preventivas,2018-01-01,19,26,7,12,0,3,2,3,0,0,0,0,0,0,72
HUACHACALLA,atencion odontologica,medidas preventivas,2018-01-01,4,0,6,4,0,0,0,10,6,2,0,0,0,0,32
HUANUNI,atencion odontologica,medidas preventivas,2018-01-01,53,72,81,90,23,48,37,66,5,8,0,0,0,0,483
HUARACAJE,atencion odontologica,medidas preventivas,2018-01-01,6,19,5,6,4,5,2,8,0,0,0,0,0,0,55
HUARINA,atencion odontologica,medidas preventivas,2018-01-01,8,6,3,11,0,0,0,0,1,0,0,0,0,0,29
HUATAJATA,atencion odontologica,medidas preventivas,2018-01-01,2,8,6,2,0,2,0,0,2,1,0,0,0,0,23
HUAYLLAMARCA,atencion odontologica,medidas preventivas,2018-01-01,8,0,0,0,0,0,0,0,3,0,0,0,0,0,11
HUMANATA,atencion odontologica,medidas preventivas,2018-01-01,11,5,5,1,3,0,7,16,48,48,0,0,0,0,144
ICHOCA,atencion odontologica,medidas preventivas,2018-01-01,17,11,3,0,0,0,0,1,0,0,0,0,0,0,32
ICLA,atencion odontologica,medidas preventivas,2018-01-01,98,91,12,28,5,19,0,20,0,0,0,0,0,0,273
INCAHUASI,atencion odontologica,medidas preventivas,2018-01-01,6,4,8,2,1,1,1,2,0,0,0,0,0,0,25
INGAVI (HUMAITA),atencion odontologica,medidas preventivas,2018-01-01,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6
INQUISIVI,atencion odontologica,medidas preventivas,2018-01-01,14,16,4,2,3,1,1,0,0,0,0,0,0,0,41
IRUPANA (VILLA DE LANZA),atencion odontologica,medidas preventivas,2018-01-01,38,51,0,1,1,3,0,5,5,1,0,0,0,0,105
IXIAMAS,atencion odontologica,medidas preventivas,2018-01-01,10,0,0,2,0,0,0,0,0,0,0,0,0,0,12
JESUS DE MACHACA,atencion odontologica,medidas preventivas,2018-01-01,16,7,0,3,0,0,2,6,0,1,0,0,0,0,35
LA ASUNTA,atencion odontologica,medidas preventivas,2018-01-01,28,26,7,7,2,7,1,21,0,0,0,0,0,0,99
LA GUARDIA,atencion odontologica,medidas preventivas,2018-01-01,215,216,5,3,2,8,1,29,11,17,0,0,0,0,507
LA PAZ,atencion odontologica,medidas preventivas,2018-01-01,1250,1236,1251,1283,368,642,813,1319,283,204,0,0,0,0,8649
LA RIVERA,atencion odontologica,medidas preventivas,2018-01-01,3,0,3,2,2,0,0,4,0,0,0,0,0,0,14
LAGUNILLAS,atencion odontologica,medidas preventivas,2018-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LAJA,atencion odontologica,medidas preventivas,2018-01-01,40,54,0,0,0,8,1,13,9,10,0,0,0,0,135
LAS CARRERAS,atencion odontologica,medidas preventivas,2018-01-01,5,4,2,0,0,0,0,1,0,0,0,0,0,0,12
LICOMA PAMPA,atencion odontologica,medidas preventivas,2018-01-01,2,4,1,0,0,0,0,0,0,0,0,0,0,0,7
LLALLAGUA,atencion odontologica,medidas preventivas,2018-01-01,127,134,35,61,17,13,25,32,18,1,0,0,0,0,463
LORETO,atencion odontologica,medidas preventivas,2018-01-01,2,4,12,11,0,1,8,9,1,0,0,0,0,0,48
LURIBAY,atencion odontologica,medidas preventivas,2018-01-01,3,0,0,1,0,0,1,2,1,0,0,0,0,0,8
MACHACAMARCA,atencion odontologica,medidas preventivas,2018-01-01,17,18,45,36,9,11,2,17,5,11,0,0,0,0,171
MACHARETI,atencion odontologica,medidas preventivas,2018-01-01,0,3,0,0,0,1,0,5,0,0,0,0,0,0,9
MAGDALENA,atencion odontologica,medidas preventivas,2018-01-01,5,4,3,2,0,1,0,2,0,0,0,0,0,0,17
MAIRANA,atencion odontologica,medidas preventivas,2018-01-01,45,26,12,11,8,15,25,29,8,12,0,0,0,0,191
MALLA,atencion odontologica,medidas preventivas,2018-01-01,1,2,0,0,0,0,0,4,3,1,0,0,0,0,11
MAPIRI,atencion odontologica,medidas preventivas,2018-01-01,2,8,0,1,0,4,1,5,0,0,0,0,0,0,21
MECAPACA,atencion odontologica,medidas preventivas,2018-01-01,13,22,0,4,3,0,2,2,2,1,0,0,0,0,49
MINEROS,atencion odontologica,medidas preventivas,2018-01-01,17,18,0,0,0,3,1,16,3,2,0,0,0,0,60
MIZQUE,atencion odontologica,medidas preventivas,2018-01-01,9,29,9,4,0,1,1,5,1,0,0,0,0,0,59
MOCOMOCO,atencion odontologica,medidas preventivas,2018-01-01,5,0,0,0,0,0,0,1,0,1,0,0,0,0,7
MOJINETE,atencion odontologica,medidas preventivas,2018-01-01,1,5,0,0,0,2,0,1,0,1,0,0,0,0,10
MOJOCOYA,atencion odontologica,medidas preventivas,2018-01-01,8,1,7,20,2,4,5,11,1,0,0,0,0,0,59
MONTEAGUDO,atencion odontologica,medidas preventivas,2018-01-01,81,69,4,10,3,9,14,24,2,0,0,0,0,0,216
MONTERO,atencion odontologica,medidas preventivas,2018-01-01,434,370,140,165,39,124,51,357,119,129,0,0,0,0,1928
MORO MORO,atencion odontologica,medidas preventivas,2018-01-01,26,16,0,0,0,0,0,0,0,0,0,0,0,0,42
MOROCHATA,atencion odontologica,medidas preventivas,2018-01-01,16,18,0,1,0,9,1,10,8,3,0,0,0,0,66
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,medidas preventivas,2018-01-01,8,2,0,0,0,0,0,0,0,0,0,0,0,0,10
NAZACARA DE PACAJES,atencion odontologica,medidas preventivas,2018-01-01,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,medidas preventivas,2018-01-01,2,0,0,0,0,3,0,2,0,0,0,0,0,0,7
OCURI,atencion odontologica,medidas preventivas,2018-01-01,33,30,0,3,0,6,2,26,8,8,0,0,0,0,116
OKINAWA,atencion odontologica,medidas preventivas,2018-01-01,0,3,0,0,1,0,0,1,0,0,0,0,0,0,5
OMEREQUE,atencion odontologica,medidas preventivas,2018-01-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
ORURO,atencion odontologica,medidas preventivas,2018-01-01,289,311,423,388,143,252,303,424,76,58,0,0,0,0,2667
PADCAYA,atencion odontologica,medidas preventivas,2018-01-01,11,6,29,16,1,5,0,9,1,1,0,0,0,0,79
PADILLA,atencion odontologica,medidas preventivas,2018-01-01,24,18,9,13,1,4,4,16,0,1,0,0,0,0,90
PAILON,atencion odontologica,medidas preventivas,2018-01-01,23,24,4,9,4,2,3,7,1,3,0,0,0,0,80
PALCA,atencion odontologica,medidas preventivas,2018-01-01,95,122,2,4,0,1,1,6,0,0,0,0,0,0,231
PALOS BLANCOS,atencion odontologica,medidas preventivas,2018-01-01,47,41,33,34,6,27,14,106,11,16,0,0,0,0,335
PAMPA AULLAGAS,atencion odontologica,medidas preventivas,2018-01-01,5,8,3,2,0,0,0,0,0,0,0,0,0,0,18
PAMPA GRANDE,atencion odontologica,medidas preventivas,2018-01-01,33,19,0,2,2,2,0,16,12,18,0,0,0,0,104
PAPEL PAMPA,atencion odontologica,medidas preventivas,2018-01-01,2,5,0,1,0,5,3,3,3,7,0,0,0,0,29
PASORAPA,atencion odontologica,medidas preventivas,2018-01-01,1,3,9,8,11,10,3,24,6,3,0,0,0,0,78
PATACAMAYA,atencion odontologica,medidas preventivas,2018-01-01,14,11,7,3,0,0,0,0,0,0,0,0,0,0,35
PAZÑA,atencion odontologica,medidas preventivas,2018-01-01,2,5,28,26,2,4,2,4,3,3,0,0,0,0,79
PELECHUCO,atencion odontologica,medidas preventivas,2018-01-01,16,24,1,1,0,2,0,4,0,1,0,0,0,0,49
POCOATA,atencion odontologica,medidas preventivas,2018-01-01,10,9,33,29,0,1,0,5,7,9,0,0,0,0,103
POCONA,atencion odontologica,medidas preventivas,2018-01-01,10,12,1,1,0,0,0,0,0,0,0,0,0,0,24
POJO (CBBA),atencion odontologica,medidas preventivas,2018-01-01,14,5,3,5,1,3,1,3,0,0,0,0,0,0,35
POOPO,atencion odontologica,medidas preventivas,2018-01-01,7,15,21,16,15,11,16,19,9,6,0,0,0,0,135
PORCO,atencion odontologica,medidas preventivas,2018-01-01,17,0,0,0,0,2,0,4,0,0,0,0,0,0,23
POROMA,atencion odontologica,medidas preventivas,2018-01-01,5,9,5,5,0,1,0,4,1,0,0,0,0,0,30
PORONGO,atencion odontologica,medidas preventivas,2018-01-01,65,58,1,0,0,2,2,16,77,46,0,0,0,0,267
PORTACHUELO,atencion odontologica,medidas preventivas,2018-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
PORVENIR,atencion odontologica,medidas preventivas,2018-01-01,4,10,2,2,0,0,0,0,0,0,0,0,0,0,18
POTOSI,atencion odontologica,medidas preventivas,2018-01-01,213,150,15,35,12,21,29,70,12,16,0,0,0,0,573
PRESTO,atencion odontologica,medidas preventivas,2018-01-01,6,19,2,10,1,6,0,26,0,0,0,0,0,0,70
PUCARA,atencion odontologica,medidas preventivas,2018-01-01,20,16,2,0,0,0,0,1,0,0,0,0,0,0,39
PUCARANI,atencion odontologica,medidas preventivas,2018-01-01,40,39,5,3,0,12,1,12,8,6,0,0,0,0,126
PUERTO ACOSTA,atencion odontologica,medidas preventivas,2018-01-01,14,6,4,5,0,0,1,0,0,0,0,0,0,0,30
PUERTO CARABUCO,atencion odontologica,medidas preventivas,2018-01-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5
PUERTO GONZALO MORENO,atencion odontologica,medidas preventivas,2018-01-01,65,45,24,33,1,6,2,12,1,1,0,0,0,0,190
PUERTO PEREZ,atencion odontologica,medidas preventivas,2018-01-01,4,5,0,0,0,1,0,2,0,0,0,0,0,0,12
PUERTO QUIJARRO,atencion odontologica,medidas preventivas,2018-01-01,3,22,0,0,0,3,1,5,0,0,0,0,0,0,34
PUERTO RICO,atencion odontologica,medidas preventivas,2018-01-01,24,30,3,0,0,0,0,0,0,0,0,0,0,0,57
PUERTO SUAREZ,atencion odontologica,medidas preventivas,2018-01-01,2,0,0,0,14,14,10,12,7,8,0,0,0,0,67
PUERTO VILLARROEL,atencion odontologica,medidas preventivas,2018-01-01,87,79,10,5,2,11,0,22,2,1,0,0,0,0,219
PUNA,atencion odontologica,medidas preventivas,2018-01-01,0,4,0,0,0,1,0,2,0,0,0,0,0,0,7
PUNATA,atencion odontologica,medidas preventivas,2018-01-01,65,90,72,78,8,27,44,79,14,8,0,0,0,0,485
QUIABAYA,atencion odontologica,medidas preventivas,2018-01-01,13,7,0,0,0,0,1,5,0,0,0,0,0,0,26
QUILLACOLLO,atencion odontologica,medidas preventivas,2018-01-01,282,345,275,251,122,299,167,363,91,95,0,0,0,0,2290
QUIME,atencion odontologica,medidas preventivas,2018-01-01,16,35,11,4,0,1,0,0,0,0,0,0,0,0,67
RAVELO,atencion odontologica,medidas preventivas,2018-01-01,16,10,0,0,0,0,0,0,0,0,0,0,0,0,26
REYES,atencion odontologica,medidas preventivas,2018-01-01,2,0,3,1,0,0,0,1,0,0,0,0,0,0,7
RIBERALTA,atencion odontologica,medidas preventivas,2018-01-01,81,78,25,34,2,66,2,118,0,2,0,0,0,0,408
ROBORE,atencion odontologica,medidas preventivas,2018-01-01,21,23,25,11,3,9,10,15,1,1,0,0,0,0,119
RURRENABAQUE,atencion odontologica,medidas preventivas,2018-01-01,18,16,19,26,14,34,12,18,16,11,0,0,0,0,184
SABAYA,atencion odontologica,medidas preventivas,2018-01-01,9,0,2,3,0,0,1,1,0,0,0,0,0,0,16
SACABA,atencion odontologica,medidas preventivas,2018-01-01,110,149,155,283,60,67,97,232,51,53,0,0,0,0,1257
SACABAMBA,atencion odontologica,medidas preventivas,2018-01-01,5,1,0,0,0,0,0,0,0,0,0,0,0,0,6
SACACA,atencion odontologica,medidas preventivas,2018-01-01,2,4,2,0,0,9,0,7,0,0,0,0,0,0,24
SAIPINA,atencion odontologica,medidas preventivas,2018-01-01,0,1,0,4,0,0,0,0,0,0,0,0,0,0,5
SALINAS DE GARCI MENDOZA,atencion odontologica,medidas preventivas,2018-01-01,26,51,37,39,4,19,22,22,15,8,0,0,0,0,243
SAMAIPATA,atencion odontologica,medidas preventivas,2018-01-01,22,33,0,2,0,1,0,8,3,2,0,0,0,0,71
