,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES
ARANI,atencion odontologica,consulta nueva,2018-01-01,34,31,59,56,20,81,54,93,27,14,0,3,0,55,527
ARBIETO,atencion odontologica,consulta nueva,2018-01-01,110,125,31,43,5,26,23,119,42,90,0,37,0,47,698
ARQUE,atencion odontologica,consulta nueva,2018-01-01,38,51,13,22,5,49,28,141,19,24,0,34,0,47,471
ASCENCION DE GUARAYOS,atencion odontologica,consulta nueva,2018-01-01,45,0,0,0,0,0,0,0,0,0,0,0,0,3,48
ATOCHA,atencion odontologica,consulta nueva,2018-01-01,31,32,61,84,34,63,100,173,20,19,0,20,0,3,640
AUCAPATA,atencion odontologica,consulta nueva,2018-01-01,12,14,5,3,2,5,3,13,12,3,0,1,0,6,79
AYATA,atencion odontologica,consulta nueva,2018-01-01,9,7,1,5,3,9,15,20,7,3,0,3,0,12,94
AYO AYO,atencion odontologica,consulta nueva,2018-01-01,8,6,2,14,5,9,6,26,9,2,0,2,0,12,101
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta nueva,2018-01-01,78,67,58,38,12,40,63,167,27,45,0,45,0,61,701
AZURDUY,atencion odontologica,consulta nueva,2018-01-01,13,57,17,17,6,27,30,111,9,0,0,53,0,21,361
BATALLAS,atencion odontologica,consulta nueva,2018-01-01,36,32,19,27,17,23,15,35,24,17,0,2,0,11,258
BAURES,atencion odontologica,consulta nueva,2018-01-01,1,3,14,12,8,7,23,29,4,13,0,1,0,2,117
BELEN DE ANDAMARCA,atencion odontologica,consulta nueva,2018-01-01,19,29,7,2,0,1,1,12,1,5,0,6,0,2,85
BELEN DE URMIRI,atencion odontologica,consulta nueva,2018-01-01,28,0,3,0,2,0,1,10,0,2,0,0,0,9,55
BELLA FLOR,atencion odontologica,consulta nueva,2018-01-01,3,13,15,12,3,12,4,13,0,0,0,0,0,0,75
BERMEJO,atencion odontologica,consulta nueva,2018-01-01,15,11,69,68,43,68,67,235,30,8,0,28,0,4,646
BETANZOS,atencion odontologica,consulta nueva,2018-01-01,107,109,34,36,21,51,46,170,75,48,0,21,0,60,778
BOLIVAR,atencion odontologica,consulta nueva,2018-01-01,4,4,3,4,8,5,6,19,5,0,0,2,0,9,69
BOYUIBE,atencion odontologica,consulta nueva,2018-01-01,1,2,4,8,2,3,10,16,0,2,0,0,0,0,48
BUENA VISTA,atencion odontologica,consulta nueva,2018-01-01,11,6,9,7,2,5,10,16,4,1,0,3,0,9,83
CABEZAS,atencion odontologica,consulta nueva,2018-01-01,117,141,28,29,7,38,38,98,10,13,0,49,0,36,604
CAIROMA,atencion odontologica,consulta nueva,2018-01-01,7,18,5,9,1,12,6,22,5,2,0,6,0,4,97
"CAIZA ""D""",atencion odontologica,consulta nueva,2018-01-01,5,22,6,27,8,11,9,45,4,4,0,21,0,50,212
CAJUATA,atencion odontologica,consulta nueva,2018-01-01,13,37,34,35,6,32,28,72,6,2,0,16,0,23,304
CALACOTO,atencion odontologica,consulta nueva,2018-01-01,4,8,4,1,0,2,3,12,5,4,0,1,0,2,46
CALAMARCA,atencion odontologica,consulta nueva,2018-01-01,29,32,46,54,54,50,30,79,7,9,0,12,0,11,413
CAMARGO,atencion odontologica,consulta nueva,2018-01-01,79,73,39,83,10,47,23,168,14,10,0,95,0,51,692
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta nueva,2018-01-01,4,9,23,17,0,22,11,75,3,0,0,16,0,25,205
CAMIRI,atencion odontologica,consulta nueva,2018-01-01,224,216,44,48,24,36,38,144,44,25,0,122,0,28,993
CAPINOTA,atencion odontologica,consulta nueva,2018-01-01,70,79,91,78,37,46,21,118,37,19,0,17,0,28,641
CAQUIAVIRI,atencion odontologica,consulta nueva,2018-01-01,54,33,7,18,19,21,16,46,18,4,0,18,0,16,270
CARACOLLO,atencion odontologica,consulta nueva,2018-01-01,45,42,35,82,31,33,35,102,14,18,0,10,0,28,475
CARANAVI,atencion odontologica,consulta nueva,2018-01-01,166,151,37,50,13,71,25,152,68,38,0,43,0,94,908
CARAPARI,atencion odontologica,consulta nueva,2018-01-01,10,13,84,68,61,77,77,156,1,6,0,2,0,1,556
CARIPUYO,atencion odontologica,consulta nueva,2018-01-01,75,43,4,6,1,10,6,30,10,30,0,9,0,4,228
CARMEN RIVERO TORREZ,atencion odontologica,consulta nueva,2018-01-01,123,142,16,18,5,6,8,76,8,10,0,40,0,30,482
CATACORA,atencion odontologica,consulta nueva,2018-01-01,3,5,6,6,0,3,6,5,0,1,0,0,0,0,35
CHACARILLA,atencion odontologica,consulta nueva,2018-01-01,7,0,2,7,0,1,2,12,4,2,0,2,0,4,43
CHALLAPATA,atencion odontologica,consulta nueva,2018-01-01,189,212,320,476,73,161,81,400,100,58,0,108,0,122,2300
CHAQUI,atencion odontologica,consulta nueva,2018-01-01,31,51,16,18,9,27,29,64,14,27,0,19,0,4,309
CHARAGUA,atencion odontologica,consulta nueva,2018-01-01,17,25,6,11,14,19,25,45,16,15,0,10,0,4,207
CHARAÑA,atencion odontologica,consulta nueva,2018-01-01,6,3,5,3,0,1,4,5,2,0,0,1,0,0,30
CHAYANTA,atencion odontologica,consulta nueva,2018-01-01,26,48,6,21,11,11,13,56,7,26,0,9,0,24,258
CHIMORE,atencion odontologica,consulta nueva,2018-01-01,92,141,58,103,22,44,25,148,35,18,0,54,0,83,823
CHIPAYA,atencion odontologica,consulta nueva,2018-01-01,2,1,3,5,1,2,15,16,0,2,0,1,0,3,51
CHOQUE COTA,atencion odontologica,consulta nueva,2018-01-01,17,5,5,9,5,4,5,14,11,14,0,2,0,2,93
CHUA COCANI,atencion odontologica,consulta nueva,2018-01-01,18,7,1,9,14,17,11,20,17,20,0,7,0,0,141
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta nueva,2018-01-01,160,110,30,59,7,26,26,102,11,2,0,49,0,36,618
CHUMA,atencion odontologica,consulta nueva,2018-01-01,63,27,35,33,16,42,74,129,63,60,0,13,0,22,577
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta nueva,2018-01-01,5,7,16,18,9,14,9,48,4,0,0,17,0,19,166
CKOCHAS,atencion odontologica,consulta nueva,2018-01-01,36,50,9,5,1,11,9,68,30,36,0,13,0,17,285
CLIZA,atencion odontologica,consulta nueva,2018-01-01,88,129,106,104,14,39,53,140,35,41,0,27,0,21,797
COBIJA,atencion odontologica,consulta nueva,2018-01-01,271,326,118,127,73,119,164,277,48,4,0,87,0,94,1708
COCAPATA,atencion odontologica,consulta nueva,2018-01-01,77,112,2,1,12,38,1,77,64,85,0,25,0,63,557
COCHABAMBA,atencion odontologica,consulta nueva,2018-01-01,1686,1870,1200,1287,450,798,1161,2661,644,470,0,611,0,825,13663
COIPASA,atencion odontologica,consulta nueva,2018-01-01,2,0,5,13,3,1,8,19,1,2,0,0,0,0,54
COLCAPIRHUA,atencion odontologica,consulta nueva,2018-01-01,242,315,62,84,27,36,57,232,87,103,0,38,0,90,1373
"COLCHA ""K""",atencion odontologica,consulta nueva,2018-01-01,37,63,17,11,8,21,26,65,28,21,0,12,0,14,323
COLLANA,atencion odontologica,consulta nueva,2018-01-01,1,10,5,4,6,14,6,15,5,4,0,1,0,0,71
COLOMI,atencion odontologica,consulta nueva,2018-01-01,90,105,30,14,18,62,10,105,52,31,0,43,0,95,655
COLPA BELGICA,atencion odontologica,consulta nueva,2018-01-01,0,10,5,8,5,6,8,10,0,0,0,0,0,0,52
COLQUECHACA,atencion odontologica,consulta nueva,2018-01-01,111,134,58,41,17,41,38,252,182,176,0,78,0,106,1234
COLQUENCHA,atencion odontologica,consulta nueva,2018-01-01,24,33,55,78,49,95,28,127,7,9,0,19,0,7,531
COLQUIRI,atencion odontologica,consulta nueva,2018-01-01,78,73,20,23,9,12,24,81,45,34,0,29,0,13,441
COMANCHE,atencion odontologica,consulta nueva,2018-01-01,13,19,3,12,7,9,1,11,5,4,0,5,0,3,92
COMARAPA,atencion odontologica,consulta nueva,2018-01-01,21,38,23,11,8,17,12,34,5,12,0,3,0,9,193
CONCEPCION,atencion odontologica,consulta nueva,2018-01-01,0,2,0,4,0,1,0,1,0,0,0,0,0,0,8
COPACABANA,atencion odontologica,consulta nueva,2018-01-01,20,9,15,8,4,10,9,17,5,5,0,2,0,3,107
CORIPATA,atencion odontologica,consulta nueva,2018-01-01,36,13,23,14,2,5,17,34,4,1,0,7,0,11,167
CORO CORO,atencion odontologica,consulta nueva,2018-01-01,12,8,40,35,12,34,29,46,2,4,0,4,0,5,231
COROICO,atencion odontologica,consulta nueva,2018-01-01,11,9,20,16,14,8,10,36,8,1,0,2,0,4,139
CORQUE,atencion odontologica,consulta nueva,2018-01-01,11,18,5,23,5,10,8,26,30,30,0,4,0,10,180
COTAGAITA,atencion odontologica,consulta nueva,2018-01-01,75,29,57,63,37,36,77,117,21,18,0,11,0,7,548
COTOCA,atencion odontologica,consulta nueva,2018-01-01,281,238,23,15,2,29,6,137,17,31,0,90,0,33,902
CRUZ DE MACHACAMARCA,atencion odontologica,consulta nueva,2018-01-01,1,6,0,0,0,0,2,3,3,2,0,0,0,0,17
CUATRO CAÑADAS,atencion odontologica,consulta nueva,2018-01-01,204,248,15,20,11,30,25,109,57,37,0,53,0,29,838
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta nueva,2018-01-01,27,8,4,33,15,22,12,33,0,4,0,0,0,22,180
CUEVO,atencion odontologica,consulta nueva,2018-01-01,1,0,5,13,7,18,14,40,3,1,0,29,0,3,134
CULPINA,atencion odontologica,consulta nueva,2018-01-01,34,55,22,24,8,20,25,95,4,22,0,29,0,23,361
CURAHUARA DE CARANGAS,atencion odontologica,consulta nueva,2018-01-01,20,9,13,23,15,26,10,26,19,37,0,9,0,3,210
CURVA,atencion odontologica,consulta nueva,2018-01-01,20,11,0,3,2,5,7,15,8,16,0,0,0,7,94
DESAGUADERO,atencion odontologica,consulta nueva,2018-01-01,14,21,11,10,4,13,10,26,1,1,0,6,0,10,127
EL ALTO,atencion odontologica,consulta nueva,2018-01-01,1823,1657,2833,3774,811,1483,626,1550,165,153,0,439,0,304,15618
EL CHORO,atencion odontologica,consulta nueva,2018-01-01,25,20,4,8,0,1,4,29,36,46,0,12,0,12,197
EL PUENTE(STC),atencion odontologica,consulta nueva,2018-01-01,16,19,1,0,1,4,2,6,0,0,0,21,0,3,73
EL PUENTE(TJA),atencion odontologica,consulta nueva,2018-01-01,5,10,50,34,11,36,35,132,6,6,0,4,0,0,329
EL TORNO,atencion odontologica,consulta nueva,2018-01-01,207,188,54,53,30,46,38,161,24,29,0,35,0,38,903
EL VILLAR,atencion odontologica,consulta nueva,2018-01-01,13,6,15,16,10,18,13,42,1,9,0,1,0,1,145
ENTRE RIOS TRJ,atencion odontologica,consulta nueva,2018-01-01,30,39,61,42,16,68,64,182,27,29,0,23,0,4,585
ENTRE RIOS CBBA,atencion odontologica,consulta nueva,2018-01-01,159,184,9,9,7,41,4,105,24,18,0,34,0,81,675
ESCARA,atencion odontologica,consulta nueva,2018-01-01,3,8,0,0,0,0,0,2,9,1,0,1,0,1,25
ESCOMA,atencion odontologica,consulta nueva,2018-01-01,10,4,9,6,12,14,12,23,15,12,0,3,0,1,121
ESMERALDA,atencion odontologica,consulta nueva,2018-01-01,6,1,0,7,1,0,4,6,2,10,0,1,0,0,38
EUCALIPTUS,atencion odontologica,consulta nueva,2018-01-01,6,7,9,11,12,7,6,33,5,3,0,4,0,1,104
EXALTACION,atencion odontologica,consulta nueva,2018-01-01,0,10,2,2,2,9,5,10,1,2,0,2,0,0,45
FERNANDEZ ALONSO,atencion odontologica,consulta nueva,2018-01-01,50,36,7,20,12,26,26,80,11,9,0,15,0,21,313
FILADELFIA,atencion odontologica,consulta nueva,2018-01-01,13,20,20,17,2,10,14,22,1,0,0,10,0,3,132
GENERAL SAAVEDRA,atencion odontologica,consulta nueva,2018-01-01,14,10,1,4,5,4,2,19,4,6,0,5,0,4,78
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consulta nueva,2018-01-01,41,49,14,26,9,25,57,84,49,45,0,19,0,26,444
GUANAY,atencion odontologica,consulta nueva,2018-01-01,15,22,0,0,0,1,1,16,34,15,0,6,0,8,118
GUAQUI,atencion odontologica,consulta nueva,2018-01-01,9,24,6,10,17,12,19,35,21,17,0,5,0,4,179
GUAYARAMERIN,atencion odontologica,consulta nueva,2018-01-01,48,50,38,47,11,60,12,83,14,16,0,72,0,7,458
GUTIERREZ,atencion odontologica,consulta nueva,2018-01-01,20,24,6,15,10,14,19,17,11,15,0,0,0,2,153
HUACARETA,atencion odontologica,consulta nueva,2018-01-01,16,16,1,1,7,24,3,9,0,5,0,13,0,2,97
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta nueva,2018-01-01,18,32,12,18,5,8,13,19,0,0,0,12,0,3,140
HUACHACALLA,atencion odontologica,consulta nueva,2018-01-01,9,3,15,13,1,6,10,56,19,18,0,12,0,7,169
HUANUNI,atencion odontologica,consulta nueva,2018-01-01,90,148,152,200,54,104,73,220,9,39,0,26,0,28,1143
HUARACAJE,atencion odontologica,consulta nueva,2018-01-01,7,14,18,11,13,13,11,24,11,8,0,6,0,0,136
HUARINA,atencion odontologica,consulta nueva,2018-01-01,14,9,11,21,12,5,11,15,20,3,0,4,0,0,125
HUATAJATA,atencion odontologica,consulta nueva,2018-01-01,6,9,8,11,5,6,4,28,15,2,0,6,0,8,108
HUAYLLAMARCA,atencion odontologica,consulta nueva,2018-01-01,14,7,10,5,5,4,2,9,9,4,0,0,0,0,69
HUMANATA,atencion odontologica,consulta nueva,2018-01-01,7,3,5,1,3,1,8,12,31,31,0,0,0,7,109
ICHOCA,atencion odontologica,consulta nueva,2018-01-01,26,22,10,5,3,5,2,14,17,20,0,9,0,0,133
ICLA,atencion odontologica,consulta nueva,2018-01-01,139,125,49,95,19,64,50,144,11,4,0,46,0,12,758
INCAHUASI,atencion odontologica,consulta nueva,2018-01-01,8,9,29,27,12,19,20,45,6,3,0,6,0,12,196
INGAVI (HUMAITA),atencion odontologica,consulta nueva,2018-01-01,1,5,2,1,0,0,6,9,0,0,0,1,0,1,26
INQUISIVI,atencion odontologica,consulta nueva,2018-01-01,46,49,16,20,19,30,51,62,40,40,0,4,0,23,400
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta nueva,2018-01-01,127,100,26,36,21,32,29,120,40,21,0,9,0,57,618
IXIAMAS,atencion odontologica,consulta nueva,2018-01-01,17,9,11,14,7,16,9,21,2,0,0,3,0,2,111
JESUS DE MACHACA,atencion odontologica,consulta nueva,2018-01-01,31,20,10,22,15,26,12,63,11,17,0,5,0,32,264
LA ASUNTA,atencion odontologica,consulta nueva,2018-01-01,91,106,60,78,37,64,59,174,14,7,0,47,0,46,783
LA GUARDIA,atencion odontologica,consulta nueva,2018-01-01,285,265,30,12,7,30,14,134,43,34,0,71,0,66,991
LA PAZ,atencion odontologica,consulta nueva,2018-01-01,2716,2630,2076,2065,840,1241,1874,3818,768,655,0,672,0,386,19741
LA RIVERA,atencion odontologica,consulta nueva,2018-01-01,13,4,14,6,6,0,0,10,4,8,0,6,0,0,71
LAGUNILLAS,atencion odontologica,consulta nueva,2018-01-01,0,0,3,5,2,22,3,0,0,0,0,1,0,0,36
LAJA,atencion odontologica,consulta nueva,2018-01-01,61,91,14,14,11,44,21,75,25,36,0,3,0,47,442
LAS CARRERAS,atencion odontologica,consulta nueva,2018-01-01,11,7,19,18,9,9,27,102,7,4,0,7,0,0,220
LICOMA PAMPA,atencion odontologica,consulta nueva,2018-01-01,30,27,3,8,0,8,0,12,4,13,0,9,0,8,122
LLALLAGUA,atencion odontologica,consulta nueva,2018-01-01,410,357,56,118,26,54,25,288,29,46,0,89,0,90,1588
LORETO,atencion odontologica,consulta nueva,2018-01-01,3,4,13,13,0,1,12,10,1,0,0,0,0,0,57
LURIBAY,atencion odontologica,consulta nueva,2018-01-01,5,3,3,5,3,12,9,18,6,5,0,3,0,1,73
MACHACAMARCA,atencion odontologica,consulta nueva,2018-01-01,32,44,101,111,30,39,23,77,28,37,0,8,0,7,537
MACHARETI,atencion odontologica,consulta nueva,2018-01-01,14,11,16,15,5,15,13,55,5,0,0,15,0,0,164
MAGDALENA,atencion odontologica,consulta nueva,2018-01-01,10,16,25,28,11,13,8,47,5,3,0,10,0,1,177
MAIRANA,atencion odontologica,consulta nueva,2018-01-01,32,49,9,11,11,17,11,36,16,10,0,0,0,0,202
MALLA,atencion odontologica,consulta nueva,2018-01-01,2,3,4,4,5,4,6,21,10,16,0,2,0,12,89
MAPIRI,atencion odontologica,consulta nueva,2018-01-01,20,34,26,24,10,50,15,70,12,6,0,29,0,24,320
MECAPACA,atencion odontologica,consulta nueva,2018-01-01,21,24,6,20,7,11,7,25,5,2,0,0,0,3,131
MINEROS,atencion odontologica,consulta nueva,2018-01-01,39,47,4,6,0,15,9,51,22,4,0,22,0,32,251
MIZQUE,atencion odontologica,consulta nueva,2018-01-01,63,59,55,61,6,67,70,155,30,50,0,40,0,75,731
MOCOMOCO,atencion odontologica,consulta nueva,2018-01-01,8,3,12,17,9,24,12,41,14,10,0,3,0,9,162
MOJINETE,atencion odontologica,consulta nueva,2018-01-01,3,9,1,3,0,9,1,24,0,2,0,2,0,10,64
MOJOCOYA,atencion odontologica,consulta nueva,2018-01-01,31,3,39,73,23,45,44,139,14,24,0,8,0,1,444
MONTEAGUDO,atencion odontologica,consulta nueva,2018-01-01,155,148,32,59,14,86,73,282,17,10,0,61,0,86,1023
MONTERO,atencion odontologica,consulta nueva,2018-01-01,464,423,316,341,95,268,161,862,243,256,0,286,0,112,3827
MORO MORO,atencion odontologica,consulta nueva,2018-01-01,29,15,7,6,1,11,4,23,0,6,0,1,0,7,110
MOROCHATA,atencion odontologica,consulta nueva,2018-01-01,20,21,5,11,4,29,9,63,21,7,0,23,0,29,242
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,consulta nueva,2018-01-01,17,3,3,3,1,1,2,2,0,0,0,1,0,0,33
NAZACARA DE PACAJES,atencion odontologica,consulta nueva,2018-01-01,6,4,3,1,2,0,1,5,0,7,0,0,0,0,29
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,consulta nueva,2018-01-01,2,1,0,0,0,5,0,5,1,0,0,8,0,0,22
OCURI,atencion odontologica,consulta nueva,2018-01-01,68,66,17,24,4,29,36,138,47,39,0,50,0,57,575
OKINAWA,atencion odontologica,consulta nueva,2018-01-01,5,8,2,3,5,4,3,13,0,2,0,3,0,1,49
OMEREQUE,atencion odontologica,consulta nueva,2018-01-01,2,0,3,0,0,0,1,5,2,0,0,0,0,1,14
ORURO,atencion odontologica,consulta nueva,2018-01-01,1022,1069,796,885,297,618,857,1804,245,245,0,437,0,265,8540
PADCAYA,atencion odontologica,consulta nueva,2018-01-01,17,21,65,51,26,56,36,107,7,9,0,5,0,1,401
PADILLA,atencion odontologica,consulta nueva,2018-01-01,89,87,83,98,31,67,61,156,17,20,0,76,0,41,826
PAILON,atencion odontologica,consulta nueva,2018-01-01,49,51,29,26,11,26,22,105,13,9,0,36,0,46,423
PALCA,atencion odontologica,consulta nueva,2018-01-01,180,208,50,49,20,43,40,83,15,8,0,13,0,20,729
PALOS BLANCOS,atencion odontologica,consulta nueva,2018-01-01,94,80,67,46,14,59,34,174,36,25,0,37,0,64,730
PAMPA AULLAGAS,atencion odontologica,consulta nueva,2018-01-01,11,28,7,11,4,5,2,20,1,8,0,6,0,9,112
PAMPA GRANDE,atencion odontologica,consulta nueva,2018-01-01,38,21,6,11,2,4,1,35,21,32,0,18,0,18,207
PAPEL PAMPA,atencion odontologica,consulta nueva,2018-01-01,10,4,4,5,4,13,23,26,15,20,0,4,0,5,133
PASORAPA,atencion odontologica,consulta nueva,2018-01-01,2,7,19,13,28,26,8,83,18,5,0,2,0,9,220
PATACAMAYA,atencion odontologica,consulta nueva,2018-01-01,85,75,43,65,16,31,15,79,15,13,0,4,0,33,474
PAZÑA,atencion odontologica,consulta nueva,2018-01-01,25,24,59,60,11,19,27,39,11,27,0,2,0,2,306
PELECHUCO,atencion odontologica,consulta nueva,2018-01-01,53,53,4,7,5,23,19,41,6,8,0,16,0,17,252
POCOATA,atencion odontologica,consulta nueva,2018-01-01,14,11,40,44,0,6,0,36,14,21,0,11,0,30,227
POCONA,atencion odontologica,consulta nueva,2018-01-01,23,33,6,14,8,18,8,68,6,11,0,40,0,22,257
POJO (CBBA),atencion odontologica,consulta nueva,2018-01-01,45,26,19,31,13,23,16,59,4,9,0,17,0,13,275
POOPO,atencion odontologica,consulta nueva,2018-01-01,16,32,82,45,53,56,32,73,27,37,0,22,0,9,484
PORCO,atencion odontologica,consulta nueva,2018-01-01,26,0,5,4,2,5,1,13,0,0,0,10,0,9,75
POROMA,atencion odontologica,consulta nueva,2018-01-01,14,15,13,16,7,4,18,35,4,8,0,4,0,1,139
PORONGO,atencion odontologica,consulta nueva,2018-01-01,61,58,1,0,1,0,2,1,77,47,0,8,0,13,269
PORTACHUELO,atencion odontologica,consulta nueva,2018-01-01,2,1,8,7,0,3,0,8,3,0,0,1,0,2,35
PORVENIR,atencion odontologica,consulta nueva,2018-01-01,13,18,12,25,20,9,29,22,10,2,0,3,0,2,165
POSTRER VALLE,atencion odontologica,consulta nueva,2018-01-01,7,0,7,5,0,2,2,15,5,1,0,1,0,7,52
POTOSI,atencion odontologica,consulta nueva,2018-01-01,638,507,401,436,210,293,395,914,71,71,0,263,0,216,4415
PRESTO,atencion odontologica,consulta nueva,2018-01-01,9,27,10,30,8,26,10,70,3,5,0,51,0,11,260
PUCARA,atencion odontologica,consulta nueva,2018-01-01,18,14,5,3,1,0,1,14,0,0,0,2,0,1,59
PUCARANI,atencion odontologica,consulta nueva,2018-01-01,120,80,81,87,26,117,60,177,50,53,0,16,0,30,897
PUERTO ACOSTA,atencion odontologica,consulta nueva,2018-01-01,14,8,16,12,13,15,17,33,16,22,0,3,0,4,173
PUERTO CARABUCO,atencion odontologica,consulta nueva,2018-01-01,6,11,19,4,14,22,29,34,18,19,0,5,0,2,183
PUERTO GONZALO MORENO,atencion odontologica,consulta nueva,2018-01-01,84,66,63,53,4,17,26,41,10,7,0,9,0,44,424
PUERTO PEREZ,atencion odontologica,consulta nueva,2018-01-01,12,6,2,8,0,2,1,17,5,8,0,10,0,2,73
PUERTO QUIJARRO,atencion odontologica,consulta nueva,2018-01-01,5,25,17,23,76,3,5,10,18,2,0,8,0,3,195
PUERTO RICO,atencion odontologica,consulta nueva,2018-01-01,26,43,14,8,20,9,40,45,8,0,0,12,0,3,228
PUERTO SUAREZ,atencion odontologica,consulta nueva,2018-01-01,11,6,4,7,9,10,11,11,14,14,0,1,0,0,98
PUERTO VILLARROEL,atencion odontologica,consulta nueva,2018-01-01,216,165,38,41,29,131,31,280,51,38,0,98,0,193,1311
PUNA,atencion odontologica,consulta nueva,2018-01-01,13,8,14,17,16,20,29,62,17,9,0,4,0,8,217
PUNATA,atencion odontologica,consulta nueva,2018-01-01,118,168,111,137,8,73,41,165,40,28,0,37,0,45,971
QUIABAYA,atencion odontologica,consulta nueva,2018-01-01,18,17,4,13,9,16,24,69,11,4,0,11,0,6,202
QUILLACOLLO,atencion odontologica,consulta nueva,2018-01-01,582,698,260,257,88,319,149,595,139,172,0,156,0,267,3682
QUIME,atencion odontologica,consulta nueva,2018-01-01,98,141,33,38,34,26,32,71,34,26,0,9,0,14,556
RAVELO,atencion odontologica,consulta nueva,2018-01-01,122,113,12,19,5,30,37,70,121,141,0,20,0,24,714
REYES,atencion odontologica,consulta nueva,2018-01-01,3,2,10,11,2,7,10,19,3,1,0,0,0,1,69
RIBERALTA,atencion odontologica,consulta nueva,2018-01-01,114,112,74,107,46,164,72,317,42,38,0,271,0,52,1409
ROBORE,atencion odontologica,consulta nueva,2018-01-01,21,22,8,11,8,20,22,25,0,0,0,0,0,0,137
RURRENABAQUE,atencion odontologica,consulta nueva,2018-01-01,25,14,35,39,19,41,30,37,20,17,0,15,0,9,301
SABAYA,atencion odontologica,consulta nueva,2018-01-01,29,10,20,28,6,14,29,38,13,6,0,5,0,6,204
SACABA,atencion odontologica,consulta nueva,2018-01-01,260,326,107,86,29,39,73,323,150,172,0,57,0,125,1747
SACABAMBA,atencion odontologica,consulta nueva,2018-01-01,11,3,9,14,1,13,13,21,8,18,0,8,0,3,122
SACACA,atencion odontologica,consulta nueva,2018-01-01,14,15,16,11,7,24,17,76,5,7,0,23,0,29,244
SAIPINA,atencion odontologica,consulta nueva,2018-01-01,4,11,10,21,4,5,10,33,6,4,0,8,0,8,124
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta nueva,2018-01-01,59,84,62,72,11,58,49,85,74,89,0,28,0,10,681
