,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES
ARAMPAMPA,atencion odontologica,cirugia bucal menor,2018-01-01,0,1,4,2,0,2,1,5,1,0,0,0,0,0,16
ARANI,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,10,4,2,4,8,6,2,3,0,0,0,0,40
ARBIETO,atencion odontologica,cirugia bucal menor,2018-01-01,5,5,9,6,1,6,1,8,5,24,0,0,0,0,70
ARQUE,atencion odontologica,cirugia bucal menor,2018-01-01,2,3,4,9,2,9,8,35,3,4,0,0,0,0,79
ASCENCION DE GUARAYOS,atencion odontologica,cirugia bucal menor,2018-01-01,1,5,7,7,0,0,5,9,7,1,0,0,0,0,42
ATOCHA,atencion odontologica,cirugia bucal menor,2018-01-01,4,1,17,24,8,9,30,47,3,5,0,0,0,0,148
AUCAPATA,atencion odontologica,cirugia bucal menor,2018-01-01,0,1,3,2,2,1,3,6,7,2,0,0,0,0,27
AYATA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,0,3,1,1,11,5,1,0,0,0,0,0,22
AYO AYO,atencion odontologica,cirugia bucal menor,2018-01-01,1,1,2,10,2,6,3,12,3,1,0,0,0,0,41
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,cirugia bucal menor,2018-01-01,4,0,14,15,3,6,9,44,3,20,0,0,0,0,118
AZURDUY,atencion odontologica,cirugia bucal menor,2018-01-01,0,6,12,13,4,4,4,19,3,0,0,0,0,0,65
BATALLAS,atencion odontologica,cirugia bucal menor,2018-01-01,2,2,17,20,13,15,14,25,17,10,0,0,0,0,135
BAURES,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,8,5,6,2,10,4,1,6,0,0,0,0,42
BELEN DE ANDAMARCA,atencion odontologica,cirugia bucal menor,2018-01-01,8,2,3,2,0,0,0,0,0,0,0,0,0,0,15
BELEN DE URMIRI,atencion odontologica,cirugia bucal menor,2018-01-01,2,0,0,0,0,0,0,3,0,0,0,0,0,0,5
BELLA FLOR,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,5,0,1,3,1,2,0,0,0,0,0,0,12
BERMEJO,atencion odontologica,cirugia bucal menor,2018-01-01,0,1,18,13,12,5,9,27,21,3,0,0,0,0,109
BETANZOS,atencion odontologica,cirugia bucal menor,2018-01-01,1,4,15,17,8,15,21,48,46,27,0,0,0,0,202
BOLIVAR,atencion odontologica,cirugia bucal menor,2018-01-01,0,1,3,3,2,1,0,6,6,1,0,0,0,0,23
BOYUIBE,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,2,5,1,0,7,6,0,1,0,0,0,0,23
BUENA VISTA,atencion odontologica,cirugia bucal menor,2018-01-01,4,1,2,5,0,1,1,3,3,0,0,0,0,0,20
CABEZAS,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,15,9,3,9,17,28,4,7,0,0,0,0,92
CAIROMA,atencion odontologica,cirugia bucal menor,2018-01-01,2,0,3,6,1,3,2,10,5,2,0,0,0,0,34
"CAIZA ""D""",atencion odontologica,cirugia bucal menor,2018-01-01,0,4,3,10,4,5,7,11,2,2,0,0,0,0,48
CAJUATA,atencion odontologica,cirugia bucal menor,2018-01-01,0,5,12,8,4,13,16,29,6,2,0,0,0,0,95
CALACOTO,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,4,1,0,2,2,6,3,1,0,0,0,0,19
CALAMARCA,atencion odontologica,cirugia bucal menor,2018-01-01,0,3,40,31,19,22,14,46,3,5,0,0,0,0,183
CAMARGO,atencion odontologica,cirugia bucal menor,2018-01-01,2,2,4,6,1,6,2,18,10,12,0,0,0,0,63
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,cirugia bucal menor,2018-01-01,0,0,3,4,0,6,3,17,3,0,0,0,0,0,36
CAMIRI,atencion odontologica,cirugia bucal menor,2018-01-01,2,2,13,8,12,10,4,46,8,3,0,0,0,0,108
CAPINOTA,atencion odontologica,cirugia bucal menor,2018-01-01,6,5,7,3,0,2,6,10,7,2,0,0,0,0,48
CAQUIAVIRI,atencion odontologica,cirugia bucal menor,2018-01-01,4,2,7,10,7,6,11,12,12,4,0,0,0,0,75
CARACOLLO,atencion odontologica,cirugia bucal menor,2018-01-01,3,1,8,11,2,2,5,15,2,8,0,0,0,0,57
CARANAVI,atencion odontologica,cirugia bucal menor,2018-01-01,8,9,11,8,4,13,9,62,35,18,0,0,0,0,177
CARAPARI,atencion odontologica,cirugia bucal menor,2018-01-01,10,2,25,21,9,17,24,47,6,1,0,0,0,0,162
CARIPUYO,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,2,4,1,3,3,6,7,10,0,0,0,0,37
CARMEN RIVERO TORREZ,atencion odontologica,cirugia bucal menor,2018-01-01,0,1,7,4,0,0,1,8,3,6,0,0,0,0,30
CATACORA,atencion odontologica,cirugia bucal menor,2018-01-01,0,1,4,6,0,0,6,4,0,1,0,0,0,0,22
CHACARILLA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,1,1,0,0,0,3,1,1,0,0,0,0,7
CHALLAPATA,atencion odontologica,cirugia bucal menor,2018-01-01,2,2,55,51,4,6,18,45,16,14,0,0,0,0,213
CHAQUI,atencion odontologica,cirugia bucal menor,2018-01-01,2,0,7,5,2,10,9,21,7,11,0,0,0,0,74
CHARAGUA,atencion odontologica,cirugia bucal menor,2018-01-01,1,3,10,16,15,18,34,49,8,2,0,0,0,0,156
CHARAÑA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,1,1,0,1,4,3,3,0,0,0,0,0,13
CHAYANTA,atencion odontologica,cirugia bucal menor,2018-01-01,3,6,4,10,3,2,3,16,9,22,0,0,0,0,78
CHIMORE,atencion odontologica,cirugia bucal menor,2018-01-01,8,5,17,20,2,7,16,13,13,3,0,0,0,0,104
CHIPAYA,atencion odontologica,cirugia bucal menor,2018-01-01,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4
CHOQUE COTA,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,3,2,3,1,0,3,2,1,0,0,0,0,16
CHUA COCANI,atencion odontologica,cirugia bucal menor,2018-01-01,0,1,1,4,1,3,3,9,9,2,0,0,0,0,33
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucal menor,2018-01-01,15,7,2,12,6,4,5,14,8,0,0,0,0,0,73
CHUMA,atencion odontologica,cirugia bucal menor,2018-01-01,2,0,17,14,8,14,34,53,34,36,0,0,0,0,212
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucal menor,2018-01-01,2,1,4,6,1,3,0,2,0,0,0,0,0,0,19
CKOCHAS,atencion odontologica,cirugia bucal menor,2018-01-01,0,2,3,1,2,3,6,23,9,16,0,0,0,0,65
CLIZA,atencion odontologica,cirugia bucal menor,2018-01-01,1,3,17,14,4,2,12,8,14,9,0,0,0,0,84
COBIJA,atencion odontologica,cirugia bucal menor,2018-01-01,5,5,25,14,12,15,37,25,11,2,0,0,0,0,151
COCAPATA,atencion odontologica,cirugia bucal menor,2018-01-01,4,1,1,1,5,10,1,14,10,19,0,0,0,0,66
COCHABAMBA,atencion odontologica,cirugia bucal menor,2018-01-01,114,71,181,241,73,87,202,348,190,125,0,0,0,0,1632
COIPASA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,0,1,0,0,3,3,1,2,0,0,0,0,10
COLCAPIRHUA,atencion odontologica,cirugia bucal menor,2018-01-01,11,18,10,0,0,1,2,33,10,9,0,0,0,0,94
"COLCHA ""K""",atencion odontologica,cirugia bucal menor,2018-01-01,2,4,4,5,3,6,10,16,7,7,0,0,0,0,64
COLLANA,atencion odontologica,cirugia bucal menor,2018-01-01,1,1,1,3,4,6,5,8,5,2,0,0,0,0,36
COLOMI,atencion odontologica,cirugia bucal menor,2018-01-01,7,7,14,3,2,7,2,5,16,4,0,0,0,0,67
COLQUECHACA,atencion odontologica,cirugia bucal menor,2018-01-01,11,13,19,30,9,13,23,46,47,62,0,0,0,0,273
COLQUENCHA,atencion odontologica,cirugia bucal menor,2018-01-01,2,3,21,20,9,30,12,51,5,7,0,0,0,0,160
COLQUIRI,atencion odontologica,cirugia bucal menor,2018-01-01,1,2,11,9,4,4,12,19,11,10,0,0,0,0,83
COMANCHE,atencion odontologica,cirugia bucal menor,2018-01-01,0,2,2,10,3,3,0,5,2,2,0,0,0,0,29
COMARAPA,atencion odontologica,cirugia bucal menor,2018-01-01,0,1,0,3,3,2,1,7,4,3,0,0,0,0,24
CONCEPCION,atencion odontologica,cirugia bucal menor,2018-01-01,1,2,2,2,5,4,5,7,2,6,0,0,0,0,36
COPACABANA,atencion odontologica,cirugia bucal menor,2018-01-01,2,4,8,5,2,4,5,9,7,8,0,0,0,0,54
CORIPATA,atencion odontologica,cirugia bucal menor,2018-01-01,6,3,4,6,1,1,5,11,2,1,0,0,0,0,40
CORO CORO,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,15,8,6,8,15,14,1,4,0,0,0,0,71
COROICO,atencion odontologica,cirugia bucal menor,2018-01-01,2,0,2,1,6,3,6,7,6,1,0,0,0,0,34
CORQUE,atencion odontologica,cirugia bucal menor,2018-01-01,0,4,1,7,1,0,1,5,10,5,0,0,0,0,34
COTAGAITA,atencion odontologica,cirugia bucal menor,2018-01-01,4,0,27,13,7,7,17,15,5,5,0,0,0,0,100
COTOCA,atencion odontologica,cirugia bucal menor,2018-01-01,4,3,11,3,0,3,0,9,1,5,0,0,0,0,39
CRUZ DE MACHACAMARCA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
CUATRO CAÑADAS,atencion odontologica,cirugia bucal menor,2018-01-01,1,3,0,3,0,0,1,3,1,1,0,0,0,0,13
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,cirugia bucal menor,2018-01-01,0,0,2,6,2,2,1,5,0,0,0,0,0,0,18
CUEVO,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,0,1,0,0,1,3,0,0,0,0,0,0,5
CULPINA,atencion odontologica,cirugia bucal menor,2018-01-01,1,4,7,11,3,3,6,11,0,12,0,0,0,0,58
CURAHUARA DE CARANGAS,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,4,0,1,0,3,2,4,3,0,0,0,0,17
CURVA,atencion odontologica,cirugia bucal menor,2018-01-01,0,2,0,3,2,2,3,7,5,2,0,0,0,0,26
DESAGUADERO,atencion odontologica,cirugia bucal menor,2018-01-01,1,1,3,2,2,2,5,8,0,1,0,0,0,0,25
EL ALTO,atencion odontologica,cirugia bucal menor,2018-01-01,113,102,630,706,129,227,170,292,87,74,0,0,0,0,2530
EL CHORO,atencion odontologica,cirugia bucal menor,2018-01-01,1,1,2,6,0,0,1,3,1,7,0,0,0,0,22
EL PUENTE(STC),atencion odontologica,cirugia bucal menor,2018-01-01,0,1,4,8,0,0,6,1,2,0,0,0,0,0,22
EL PUENTE(TJA),atencion odontologica,cirugia bucal menor,2018-01-01,1,1,24,8,5,12,13,36,4,3,0,0,0,0,107
EL TORNO,atencion odontologica,cirugia bucal menor,2018-01-01,7,7,13,17,11,16,17,34,12,17,0,0,0,0,151
EL VILLAR,atencion odontologica,cirugia bucal menor,2018-01-01,3,0,2,3,1,1,1,9,1,8,0,0,0,0,29
ENTRE RIOS TRJ,atencion odontologica,cirugia bucal menor,2018-01-01,3,1,23,23,3,19,20,64,6,9,0,0,0,0,171
ENTRE RIOS CBBA,atencion odontologica,cirugia bucal menor,2018-01-01,7,4,0,0,1,3,0,8,7,3,0,0,0,0,33
ESCARA,atencion odontologica,cirugia bucal menor,2018-01-01,1,2,0,0,0,0,0,0,4,4,0,0,0,0,11
ESCOMA,atencion odontologica,cirugia bucal menor,2018-01-01,5,3,6,4,8,3,8,12,14,12,0,0,0,0,75
ESMERALDA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3
EUCALIPTUS,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,3,5,4,4,1,5,2,2,0,0,0,0,26
EXALTACION,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,2,2,2,1,1,2,1,0,0,0,0,0,11
FERNANDEZ ALONSO,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,1,6,2,3,2,6,2,3,0,0,0,0,25
FILADELFIA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,6,4,0,1,6,9,0,0,0,0,0,0,26
GENERAL SAAVEDRA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,1,3,1,1,0,4,2,1,0,0,0,0,13
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,cirugia bucal menor,2018-01-01,1,3,3,7,3,9,19,16,17,17,0,0,0,0,95
GUANAY,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,0,0,0,0,0,8,15,12,0,0,0,0,36
GUAQUI,atencion odontologica,cirugia bucal menor,2018-01-01,0,1,1,4,10,3,10,14,10,5,0,0,0,0,58
GUAYARAMERIN,atencion odontologica,cirugia bucal menor,2018-01-01,3,7,33,29,6,7,6,12,15,4,0,0,0,0,122
GUTIERREZ,atencion odontologica,cirugia bucal menor,2018-01-01,2,3,4,9,8,13,16,18,2,1,0,0,0,0,76
HUACARETA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,3,5,0,4,8,12,7,9,0,0,0,0,48
HUACAYA (VILLA DE HUACAYA),atencion odontologica,cirugia bucal menor,2018-01-01,0,2,2,0,1,1,2,7,0,0,0,0,0,0,15
HUACHACALLA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,1,1,0,0,0,2,0,1,0,0,0,0,5
HUANUNI,atencion odontologica,cirugia bucal menor,2018-01-01,1,9,14,34,9,12,15,35,2,6,0,0,0,0,137
HUARACAJE,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,2,5,1,0,2,5,3,5,0,0,0,0,23
HUARINA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,3,2,6,1,4,8,8,1,0,0,0,0,33
HUATAJATA,atencion odontologica,cirugia bucal menor,2018-01-01,2,0,0,4,3,5,3,5,8,1,0,0,0,0,31
HUAYLLAMARCA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,1,1,0,0,0,3,0,1,0,0,0,0,6
HUMANATA,atencion odontologica,cirugia bucal menor,2018-01-01,1,2,5,1,3,0,6,16,35,33,0,0,0,0,102
ICHOCA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,4,1,3,1,1,2,8,7,0,0,0,0,27
ICLA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,10,14,0,8,13,20,4,2,0,0,0,0,71
INCAHUASI,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,7,3,0,2,1,12,3,1,0,0,0,0,29
INGAVI (HUMAITA),atencion odontologica,cirugia bucal menor,2018-01-01,0,0,2,1,0,0,4,7,0,0,0,0,0,0,14
INQUISIVI,atencion odontologica,cirugia bucal menor,2018-01-01,4,7,2,10,8,15,14,26,23,16,0,0,0,0,125
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucal menor,2018-01-01,9,5,5,7,8,7,11,32,20,9,0,0,0,0,113
IXIAMAS,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,7,6,3,6,1,4,0,0,0,0,0,0,28
JESUS DE MACHACA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,8,8,10,12,6,23,6,7,0,0,0,0,80
LA ASUNTA,atencion odontologica,cirugia bucal menor,2018-01-01,6,14,28,34,14,22,31,60,10,4,0,0,0,0,223
LA GUARDIA,atencion odontologica,cirugia bucal menor,2018-01-01,14,12,7,5,1,7,3,42,21,22,0,0,0,0,134
LA PAZ,atencion odontologica,cirugia bucal menor,2018-01-01,152,153,364,370,91,129,214,403,162,98,0,0,0,0,2136
LA RIVERA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,2,0,1,0,0,0,2,4,0,0,0,0,9
LAGUNILLAS,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
LAJA,atencion odontologica,cirugia bucal menor,2018-01-01,6,2,5,6,9,19,8,29,16,19,0,0,0,0,119
LAS CARRERAS,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,0,4,0,1,2,10,2,1,0,0,0,0,20
LICOMA PAMPA,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,0,4,0,2,0,1,0,3,0,0,0,0,11
LLALLAGUA,atencion odontologica,cirugia bucal menor,2018-01-01,31,25,9,18,11,5,8,34,10,12,0,0,0,0,163
LORETO,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,1,1,0,0,4,1,0,0,0,0,0,0,8
LURIBAY,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,2,2,1,6,6,9,3,4,0,0,0,0,33
MACHACAMARCA,atencion odontologica,cirugia bucal menor,2018-01-01,1,1,13,8,5,6,3,12,3,4,0,0,0,0,56
MACHARETI,atencion odontologica,cirugia bucal menor,2018-01-01,5,0,6,5,2,1,1,17,4,0,0,0,0,0,41
MAGDALENA,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,9,13,6,1,4,10,1,0,0,0,0,0,45
MAIRANA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,5,8,5,7,7,12,6,7,0,0,0,0,57
MALLA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,2,4,1,4,6,8,4,12,0,0,0,0,41
MAPIRI,atencion odontologica,cirugia bucal menor,2018-01-01,1,5,18,13,4,20,7,18,8,2,0,0,0,0,96
MECAPACA,atencion odontologica,cirugia bucal menor,2018-01-01,1,1,3,7,1,5,2,16,2,1,0,0,0,0,39
MINEROS,atencion odontologica,cirugia bucal menor,2018-01-01,5,1,2,0,0,2,1,7,9,2,0,0,0,0,29
MIZQUE,atencion odontologica,cirugia bucal menor,2018-01-01,9,5,11,10,8,17,24,23,17,16,0,0,0,0,140
MOCOMOCO,atencion odontologica,cirugia bucal menor,2018-01-01,1,1,10,9,5,10,9,25,15,8,0,0,0,0,93
MOJINETE,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,0,2,0,1,1,11,0,1,0,0,0,0,17
MOJOCOYA,atencion odontologica,cirugia bucal menor,2018-01-01,2,0,8,15,3,8,9,26,9,19,0,0,0,0,99
MONTEAGUDO,atencion odontologica,cirugia bucal menor,2018-01-01,9,4,4,6,3,4,21,42,2,3,0,0,0,0,98
MONTERO,atencion odontologica,cirugia bucal menor,2018-01-01,18,10,73,66,12,25,29,99,19,38,0,0,0,0,389
MORO MORO,atencion odontologica,cirugia bucal menor,2018-01-01,2,0,3,1,0,1,1,7,0,2,0,0,0,0,17
MOROCHATA,atencion odontologica,cirugia bucal menor,2018-01-01,0,1,2,5,2,1,1,5,3,2,0,0,0,0,22
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,cirugia bucal menor,2018-01-01,0,0,3,2,1,1,1,1,0,0,0,0,0,0,9
NAZACARA DE PACAJES,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,1,1,0,0,0,3,0,0,0,0,0,0,5
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,cirugia bucal menor,2018-01-01,0,1,0,0,0,2,0,2,1,0,0,0,0,0,6
OCURI,atencion odontologica,cirugia bucal menor,2018-01-01,0,3,12,8,3,11,15,42,20,11,0,0,0,0,125
OKINAWA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3
OMEREQUE,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,1,0,0,0,0,5,0,0,0,0,0,0,7
ORURO,atencion odontologica,cirugia bucal menor,2018-01-01,79,74,180,185,49,74,155,276,74,82,0,0,0,0,1228
PADCAYA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,15,11,4,10,6,29,6,6,0,0,0,0,87
PADILLA,atencion odontologica,cirugia bucal menor,2018-01-01,0,2,9,17,2,7,16,22,13,3,0,0,0,0,91
PAILON,atencion odontologica,cirugia bucal menor,2018-01-01,2,0,7,7,1,2,5,18,1,0,0,0,0,0,43
PALCA,atencion odontologica,cirugia bucal menor,2018-01-01,2,2,34,20,18,18,14,41,8,5,0,0,0,0,162
PALOS BLANCOS,atencion odontologica,cirugia bucal menor,2018-01-01,3,4,23,13,6,9,12,23,13,10,0,0,0,0,116
PAMPA AULLAGAS,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,0,4,1,0,0,5,0,0,0,0,0,0,11
PAMPA GRANDE,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,3,2,0,2,0,4,5,2,0,0,0,0,18
PAPEL PAMPA,atencion odontologica,cirugia bucal menor,2018-01-01,3,1,1,4,3,3,6,10,1,7,0,0,0,0,39
PASORAPA,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,3,2,0,0,1,10,4,0,0,0,0,0,20
PAZÑA,atencion odontologica,cirugia bucal menor,2018-01-01,1,2,12,16,1,3,10,11,0,2,0,0,0,0,58
PELECHUCO,atencion odontologica,cirugia bucal menor,2018-01-01,1,1,2,4,3,11,13,14,4,4,0,0,0,0,57
POCOATA,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,2,4,0,0,0,2,3,2,0,0,0,0,14
POCONA,atencion odontologica,cirugia bucal menor,2018-01-01,0,1,2,3,3,2,3,6,4,5,0,0,0,0,29
POJO (CBBA),atencion odontologica,cirugia bucal menor,2018-01-01,1,4,7,6,0,1,2,10,3,7,0,0,0,0,41
POOPO,atencion odontologica,cirugia bucal menor,2018-01-01,7,5,15,7,1,5,5,11,0,5,0,0,0,0,61
PORCO,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,2,0,1,0,0,5,0,0,0,0,0,0,9
POROMA,atencion odontologica,cirugia bucal menor,2018-01-01,1,4,2,3,0,0,6,4,3,4,0,0,0,0,27
PORONGO,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3
PORTACHUELO,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,3,2,0,0,0,1,1,0,0,0,0,0,7
PORVENIR,atencion odontologica,cirugia bucal menor,2018-01-01,1,1,9,5,3,3,8,6,2,0,0,0,0,0,38
POSTRER VALLE,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,1,2,0,1,0,1,0,0,0,0,0,0,5
POTOSI,atencion odontologica,cirugia bucal menor,2018-01-01,73,47,85,105,70,72,83,205,37,33,0,0,0,0,810
PRESTO,atencion odontologica,cirugia bucal menor,2018-01-01,1,1,4,3,0,1,3,19,1,4,0,0,0,0,37
PUCARA,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,1,3,1,0,0,1,0,0,0,0,0,0,7
PUCARANI,atencion odontologica,cirugia bucal menor,2018-01-01,7,8,44,47,14,49,27,71,25,26,0,0,0,0,318
PUERTO ACOSTA,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,14,6,7,6,12,27,13,19,0,0,0,0,105
PUERTO CARABUCO,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,13,4,5,10,13,8,14,12,0,0,0,0,80
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,15,4,2,3,4,9,2,0,0,0,0,0,39
PUERTO PEREZ,atencion odontologica,cirugia bucal menor,2018-01-01,0,1,2,5,0,0,1,5,4,7,0,0,0,0,25
PUERTO QUIJARRO,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,5,3,18,0,0,0,1,1,0,0,0,0,28
PUERTO RICO,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,8,3,15,3,19,26,7,0,0,0,0,0,81
PUERTO SUAREZ,atencion odontologica,cirugia bucal menor,2018-01-01,0,0,1,0,3,5,5,4,3,2,0,0,0,0,23
PUERTO VILLARROEL,atencion odontologica,cirugia bucal menor,2018-01-01,13,7,9,18,2,20,6,51,16,10,0,0,0,0,152
PUNA,atencion odontologica,cirugia bucal menor,2018-01-01,1,3,4,4,3,4,12,19,14,9,0,0,0,0,73
PUNATA,atencion odontologica,cirugia bucal menor,2018-01-01,2,1,10,20,1,4,1,11,13,5,0,0,0,0,68
QUIABAYA,atencion odontologica,cirugia bucal menor,2018-01-01,1,0,2,5,5,6,7,23,8,2,0,0,0,0,59
QUILLACOLLO,atencion odontologica,cirugia bucal menor,2018-01-01,40,35,39,50,42,43,29,54,58,56,0,0,0,0,446
QUIME,atencion odontologica,cirugia bucal menor,2018-01-01,14,10,11,19,13,14,16,30,18,18,0,0,0,0,163
RAVELO,atencion odontologica,cirugia bucal menor,2018-01-01,3,2,5,2,3,5,13,27,29,27,0,0,0,0,116
