,group,variable,month,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR POST,APLICACIÓN DE FLUOR POST,TOTALES
ARQUE,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4
ASCENCION DE GUARAYOS,atencion odontologica,aplicacion de fluor,2018-01-01,23,11,0,0,0,2,0,2,1,0,0,0,0,0,39
ATOCHA,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,4,2,0,0,0,0,0,0,0,0,0,0,6
AYATA,atencion odontologica,aplicacion de fluor,2018-01-01,6,6,0,0,0,0,0,0,0,0,0,0,0,0,12
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,aplicacion de fluor,2018-01-01,11,12,0,1,1,1,0,6,0,0,0,0,0,0,32
BATALLAS,atencion odontologica,aplicacion de fluor,2018-01-01,3,4,0,1,0,0,0,0,0,0,0,0,0,0,8
BAURES,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,7,4,4,2,8,4,0,5,0,0,0,0,34
BELEN DE ANDAMARCA,atencion odontologica,aplicacion de fluor,2018-01-01,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
BELLA FLOR,atencion odontologica,aplicacion de fluor,2018-01-01,9,37,0,0,0,0,0,0,0,0,0,0,0,0,46
BERMEJO,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4
BETANZOS,atencion odontologica,aplicacion de fluor,2018-01-01,1,2,0,1,0,1,0,1,0,0,0,0,0,0,6
BOLIVAR,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
BUENA VISTA,atencion odontologica,aplicacion de fluor,2018-01-01,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6
CABEZAS,atencion odontologica,aplicacion de fluor,2018-01-01,71,72,0,0,0,3,0,28,2,0,0,0,0,0,176
CAIROMA,atencion odontologica,aplicacion de fluor,2018-01-01,2,6,0,0,0,0,0,0,0,0,0,0,0,0,8
CAJUATA,atencion odontologica,aplicacion de fluor,2018-01-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5
CALACOTO,atencion odontologica,aplicacion de fluor,2018-01-01,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5
CALAMARCA,atencion odontologica,aplicacion de fluor,2018-01-01,2,2,1,0,1,0,0,0,0,0,0,0,0,0,6
CAMARGO,atencion odontologica,aplicacion de fluor,2018-01-01,10,5,0,1,0,0,0,0,0,0,0,0,0,0,16
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,aplicacion de fluor,2018-01-01,0,1,1,0,0,0,0,3,0,0,0,0,0,0,5
CAMIRI,atencion odontologica,aplicacion de fluor,2018-01-01,65,76,31,21,0,5,4,7,2,2,0,0,0,0,213
CAPINOTA,atencion odontologica,aplicacion de fluor,2018-01-01,1,0,2,1,0,3,1,1,1,1,0,0,0,0,11
CAQUIAVIRI,atencion odontologica,aplicacion de fluor,2018-01-01,8,8,0,0,0,0,0,0,0,0,0,0,0,0,16
CARACOLLO,atencion odontologica,aplicacion de fluor,2018-01-01,0,2,0,0,1,1,0,0,2,0,0,0,0,0,6
CARANAVI,atencion odontologica,aplicacion de fluor,2018-01-01,35,38,2,7,1,2,0,7,0,0,0,0,0,0,92
CARAPARI,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,3,1,0,1,0,0,0,0,0,0,0,0,5
CARIPUYO,atencion odontologica,aplicacion de fluor,2018-01-01,12,5,0,0,0,0,0,0,0,0,0,0,0,0,17
CARMEN RIVERO TORREZ,atencion odontologica,aplicacion de fluor,2018-01-01,28,32,0,2,0,0,0,0,0,0,0,0,0,0,62
CHALLAPATA,atencion odontologica,aplicacion de fluor,2018-01-01,11,8,13,23,2,5,4,12,1,0,0,0,0,0,79
CHAQUI,atencion odontologica,aplicacion de fluor,2018-01-01,2,7,0,0,0,0,0,0,0,0,0,0,0,0,9
CHARAGUA,atencion odontologica,aplicacion de fluor,2018-01-01,17,23,1,11,0,0,2,0,0,0,0,0,0,0,54
CHARAÑA,atencion odontologica,aplicacion de fluor,2018-01-01,6,3,4,1,0,0,0,0,0,0,0,0,0,0,14
CHAYANTA,atencion odontologica,aplicacion de fluor,2018-01-01,4,4,0,0,0,1,0,4,0,0,0,0,0,0,13
CHIMORE,atencion odontologica,aplicacion de fluor,2018-01-01,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3
CHOQUE COTA,atencion odontologica,aplicacion de fluor,2018-01-01,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
CHUA COCANI,atencion odontologica,aplicacion de fluor,2018-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,aplicacion de fluor,2018-01-01,24,19,1,0,0,0,0,2,0,0,0,0,0,0,46
CHUMA,atencion odontologica,aplicacion de fluor,2018-01-01,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3
CKOCHAS,atencion odontologica,aplicacion de fluor,2018-01-01,1,1,0,0,0,0,0,3,0,1,0,0,0,0,6
CLIZA,atencion odontologica,aplicacion de fluor,2018-01-01,4,1,2,2,0,0,0,0,0,0,0,0,0,0,9
COBIJA,atencion odontologica,aplicacion de fluor,2018-01-01,84,107,29,5,3,0,3,10,1,0,0,0,0,0,242
COCAPATA,atencion odontologica,aplicacion de fluor,2018-01-01,24,47,0,0,0,5,0,7,10,12,0,0,0,0,105
COCHABAMBA,atencion odontologica,aplicacion de fluor,2018-01-01,184,197,130,149,42,45,55,119,11,7,0,0,0,0,939
COLCAPIRHUA,atencion odontologica,aplicacion de fluor,2018-01-01,11,15,0,0,2,0,1,0,9,1,0,0,0,0,39
"COLCHA ""K""",atencion odontologica,aplicacion de fluor,2018-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
COLLANA,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
COLOMI,atencion odontologica,aplicacion de fluor,2018-01-01,8,6,0,0,0,1,0,1,1,1,0,0,0,0,18
COLPA BELGICA,atencion odontologica,aplicacion de fluor,2018-01-01,6,11,5,6,5,6,8,10,0,1,0,0,0,0,58
COLQUECHACA,atencion odontologica,aplicacion de fluor,2018-01-01,1,2,2,1,0,0,0,2,0,0,0,0,0,0,8
COLQUENCHA,atencion odontologica,aplicacion de fluor,2018-01-01,0,2,0,2,0,1,0,0,0,0,0,0,0,0,5
COLQUIRI,atencion odontologica,aplicacion de fluor,2018-01-01,10,4,0,0,0,1,0,0,1,1,0,0,0,0,17
CONCEPCION,atencion odontologica,aplicacion de fluor,2018-01-01,10,6,4,7,0,0,0,0,0,0,0,0,0,0,27
COPACABANA,atencion odontologica,aplicacion de fluor,2018-01-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6
CORIPATA,atencion odontologica,aplicacion de fluor,2018-01-01,15,4,0,0,0,1,0,0,0,0,0,0,0,0,20
CORO CORO,atencion odontologica,aplicacion de fluor,2018-01-01,4,2,1,1,0,2,1,0,0,0,0,0,0,0,11
CORQUE,atencion odontologica,aplicacion de fluor,2018-01-01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
COTAGAITA,atencion odontologica,aplicacion de fluor,2018-01-01,4,2,16,0,0,0,2,0,0,0,0,0,0,0,24
COTOCA,atencion odontologica,aplicacion de fluor,2018-01-01,70,68,0,1,0,7,1,34,7,9,0,0,0,0,197
CRUZ DE MACHACAMARCA,atencion odontologica,aplicacion de fluor,2018-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
CUATRO CAÑADAS,atencion odontologica,aplicacion de fluor,2018-01-01,48,62,0,0,0,1,0,3,0,0,0,0,0,0,114
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,aplicacion de fluor,2018-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
CUEVO,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,0,0,0,3,0,6,0,0,0,0,0,0,9
CULPINA,atencion odontologica,aplicacion de fluor,2018-01-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
CURAHUARA DE CARANGAS,atencion odontologica,aplicacion de fluor,2018-01-01,2,1,0,1,0,1,0,1,0,1,0,0,0,0,7
CURVA,atencion odontologica,aplicacion de fluor,2018-01-01,7,4,0,0,0,0,0,0,0,0,0,0,0,0,11
DESAGUADERO,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,aplicacion de fluor,2018-01-01,167,212,223,253,63,77,25,79,14,9,0,0,0,0,1122
EL CHORO,atencion odontologica,aplicacion de fluor,2018-01-01,6,7,0,0,0,0,0,6,17,18,0,0,0,0,54
EL PUENTE(STC),atencion odontologica,aplicacion de fluor,2018-01-01,14,15,0,0,0,0,0,0,0,0,0,0,0,0,29
EL PUENTE(TJA),atencion odontologica,aplicacion de fluor,2018-01-01,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3
EL TORNO,atencion odontologica,aplicacion de fluor,2018-01-01,75,66,17,13,7,6,3,12,1,0,0,0,0,0,200
EL VILLAR,atencion odontologica,aplicacion de fluor,2018-01-01,8,0,0,0,1,0,0,0,0,0,0,0,0,0,9
ENTRE RIOS TRJ,atencion odontologica,aplicacion de fluor,2018-01-01,2,1,9,3,0,0,0,0,0,0,0,0,0,0,15
ENTRE RIOS CBBA,atencion odontologica,aplicacion de fluor,2018-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FILADELFIA,atencion odontologica,aplicacion de fluor,2018-01-01,9,12,1,0,0,0,0,0,0,0,0,0,0,0,22
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,aplicacion de fluor,2018-01-01,4,7,0,0,0,0,0,0,0,0,0,0,0,0,11
GUANAY,atencion odontologica,aplicacion de fluor,2018-01-01,7,14,0,0,0,0,0,0,0,0,0,0,0,0,21
GUAQUI,atencion odontologica,aplicacion de fluor,2018-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GUAYARAMERIN,atencion odontologica,aplicacion de fluor,2018-01-01,8,3,1,2,1,2,1,2,0,0,0,0,0,0,20
GUTIERREZ,atencion odontologica,aplicacion de fluor,2018-01-01,12,13,12,13,10,15,12,13,2,3,0,0,0,0,105
HUACARETA,atencion odontologica,aplicacion de fluor,2018-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HUACAYA (VILLA DE HUACAYA),atencion odontologica,aplicacion de fluor,2018-01-01,1,3,0,4,0,2,0,1,0,0,0,0,0,0,11
HUACHACALLA,atencion odontologica,aplicacion de fluor,2018-01-01,2,0,0,1,0,0,0,5,3,1,0,0,0,0,12
HUANUNI,atencion odontologica,aplicacion de fluor,2018-01-01,2,4,3,8,2,9,2,2,0,0,0,0,0,0,32
HUARACAJE,atencion odontologica,aplicacion de fluor,2018-01-01,3,7,2,2,2,2,1,3,0,0,0,0,0,0,22
HUARINA,atencion odontologica,aplicacion de fluor,2018-01-01,4,3,0,8,0,0,0,0,0,0,0,0,0,0,15
HUATAJATA,atencion odontologica,aplicacion de fluor,2018-01-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
HUMANATA,atencion odontologica,aplicacion de fluor,2018-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
ICHOCA,atencion odontologica,aplicacion de fluor,2018-01-01,9,2,3,0,0,0,0,0,0,0,0,0,0,0,14
ICLA,atencion odontologica,aplicacion de fluor,2018-01-01,39,34,4,12,0,7,0,10,0,0,0,0,0,0,106
INGAVI (HUMAITA),atencion odontologica,aplicacion de fluor,2018-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
INQUISIVI,atencion odontologica,aplicacion de fluor,2018-01-01,2,5,2,0,1,0,0,0,0,0,0,0,0,0,10
IRUPANA (VILLA DE LANZA),atencion odontologica,aplicacion de fluor,2018-01-01,11,11,0,1,0,0,0,0,0,0,0,0,0,0,23
JESUS DE MACHACA,atencion odontologica,aplicacion de fluor,2018-01-01,10,4,0,1,0,0,2,1,0,1,0,0,0,0,19
LA ASUNTA,atencion odontologica,aplicacion de fluor,2018-01-01,12,16,0,0,0,0,0,0,0,0,0,0,0,0,28
LA GUARDIA,atencion odontologica,aplicacion de fluor,2018-01-01,77,72,2,2,0,0,0,3,0,4,0,0,0,0,160
LA PAZ,atencion odontologica,aplicacion de fluor,2018-01-01,375,364,262,380,25,58,59,147,29,37,0,0,0,0,1736
LA RIVERA,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,4,1,1,0,0,2,0,0,0,0,0,0,8
LAJA,atencion odontologica,aplicacion de fluor,2018-01-01,15,21,0,0,0,1,1,5,0,0,0,0,0,0,43
LLALLAGUA,atencion odontologica,aplicacion de fluor,2018-01-01,12,9,3,1,1,0,0,3,1,1,0,0,0,0,31
LORETO,atencion odontologica,aplicacion de fluor,2018-01-01,0,1,3,0,0,0,0,0,0,0,0,0,0,0,4
LURIBAY,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
MACHACAMARCA,atencion odontologica,aplicacion de fluor,2018-01-01,1,1,3,2,0,0,0,2,0,5,0,0,0,0,14
MAGDALENA,atencion odontologica,aplicacion de fluor,2018-01-01,0,2,0,3,0,0,0,0,0,0,0,0,0,0,5
MAIRANA,atencion odontologica,aplicacion de fluor,2018-01-01,45,26,12,11,8,15,25,29,8,12,0,0,0,0,191
MALLA,atencion odontologica,aplicacion de fluor,2018-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
MAPIRI,atencion odontologica,aplicacion de fluor,2018-01-01,1,4,0,0,0,1,0,1,0,0,0,0,0,0,7
MECAPACA,atencion odontologica,aplicacion de fluor,2018-01-01,9,15,0,0,0,0,0,0,1,0,0,0,0,0,25
MIZQUE,atencion odontologica,aplicacion de fluor,2018-01-01,3,1,0,3,0,0,5,3,2,0,0,0,0,0,17
MOJINETE,atencion odontologica,aplicacion de fluor,2018-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
MOJOCOYA,atencion odontologica,aplicacion de fluor,2018-01-01,1,0,3,4,0,2,2,2,0,0,0,0,0,0,14
MONTEAGUDO,atencion odontologica,aplicacion de fluor,2018-01-01,4,4,1,5,1,5,3,8,1,0,0,0,0,0,32
MONTERO,atencion odontologica,aplicacion de fluor,2018-01-01,314,282,21,20,5,52,9,188,87,96,0,0,0,0,1074
MORO MORO,atencion odontologica,aplicacion de fluor,2018-01-01,17,10,0,0,0,0,0,0,0,0,0,0,0,0,27
MOROCHATA,atencion odontologica,aplicacion de fluor,2018-01-01,7,8,0,1,0,0,0,0,0,0,0,0,0,0,16
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,aplicacion de fluor,2018-01-01,7,1,0,0,0,0,0,0,0,0,0,0,0,0,8
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,aplicacion de fluor,2018-01-01,1,0,0,0,0,2,0,1,0,0,0,0,0,0,4
OCURI,atencion odontologica,aplicacion de fluor,2018-01-01,9,14,0,1,0,2,0,8,1,0,0,0,0,0,35
ORURO,atencion odontologica,aplicacion de fluor,2018-01-01,30,37,21,23,11,16,20,47,15,18,0,0,0,0,238
PADCAYA,atencion odontologica,aplicacion de fluor,2018-01-01,1,1,1,2,0,0,0,0,0,0,0,0,0,0,5
PADILLA,atencion odontologica,aplicacion de fluor,2018-01-01,3,2,6,4,1,1,1,0,0,0,0,0,0,0,18
PAILON,atencion odontologica,aplicacion de fluor,2018-01-01,7,5,3,1,2,0,0,0,0,0,0,0,0,0,18
PALCA,atencion odontologica,aplicacion de fluor,2018-01-01,20,20,1,0,0,0,1,0,0,0,0,0,0,0,42
PALOS BLANCOS,atencion odontologica,aplicacion de fluor,2018-01-01,53,49,17,28,1,2,4,17,3,2,0,0,0,0,176
PAMPA GRANDE,atencion odontologica,aplicacion de fluor,2018-01-01,15,9,0,1,1,1,0,7,1,4,0,0,0,0,39
PAPEL PAMPA,atencion odontologica,aplicacion de fluor,2018-01-01,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3
PATACAMAYA,atencion odontologica,aplicacion de fluor,2018-01-01,6,4,0,0,0,0,0,0,0,0,0,0,0,0,10
PAZÑA,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3
PELECHUCO,atencion odontologica,aplicacion de fluor,2018-01-01,9,15,0,0,0,0,0,0,0,0,0,0,0,0,24
POCOATA,atencion odontologica,aplicacion de fluor,2018-01-01,1,4,0,0,0,0,0,0,0,0,0,0,0,0,5
POCONA,atencion odontologica,aplicacion de fluor,2018-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
POJO (CBBA),atencion odontologica,aplicacion de fluor,2018-01-01,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3
POOPO,atencion odontologica,aplicacion de fluor,2018-01-01,0,2,4,3,2,3,0,0,0,0,0,0,0,0,14
POROMA,atencion odontologica,aplicacion de fluor,2018-01-01,2,2,0,0,0,0,0,1,0,0,0,0,0,0,5
PORONGO,atencion odontologica,aplicacion de fluor,2018-01-01,54,53,1,0,0,1,1,1,0,0,0,0,0,0,111
PORTACHUELO,atencion odontologica,aplicacion de fluor,2018-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
PORVENIR,atencion odontologica,aplicacion de fluor,2018-01-01,3,9,0,1,0,0,0,0,0,0,0,0,0,0,13
POTOSI,atencion odontologica,aplicacion de fluor,2018-01-01,44,34,7,5,3,5,16,33,4,5,0,0,0,0,156
PRESTO,atencion odontologica,aplicacion de fluor,2018-01-01,3,13,0,4,0,3,0,13,0,0,0,0,0,0,36
PUCARA,atencion odontologica,aplicacion de fluor,2018-01-01,20,15,2,0,0,0,0,1,0,0,0,0,0,0,38
PUCARANI,atencion odontologica,aplicacion de fluor,2018-01-01,19,16,3,2,0,3,1,1,4,3,0,0,0,0,52
PUERTO ACOSTA,atencion odontologica,aplicacion de fluor,2018-01-01,10,6,2,5,0,0,0,0,0,0,0,0,0,0,23
PUERTO CARABUCO,atencion odontologica,aplicacion de fluor,2018-01-01,3,2,0,0,0,0,0,0,0,0,0,0,0,0,5
PUERTO GONZALO MORENO,atencion odontologica,aplicacion de fluor,2018-01-01,22,17,11,7,1,2,0,5,1,1,0,0,0,0,67
PUERTO PEREZ,atencion odontologica,aplicacion de fluor,2018-01-01,4,5,0,0,0,1,0,2,0,0,0,0,0,0,12
PUERTO QUIJARRO,atencion odontologica,aplicacion de fluor,2018-01-01,1,10,0,0,0,0,0,0,0,0,0,0,0,0,11
PUERTO RICO,atencion odontologica,aplicacion de fluor,2018-01-01,12,16,2,0,0,0,0,0,0,0,0,0,0,0,30
PUERTO SUAREZ,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,0,0,14,14,10,12,7,8,0,0,0,0,65
PUERTO VILLARROEL,atencion odontologica,aplicacion de fluor,2018-01-01,21,15,0,0,0,1,0,3,0,0,0,0,0,0,40
PUNA,atencion odontologica,aplicacion de fluor,2018-01-01,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
PUNATA,atencion odontologica,aplicacion de fluor,2018-01-01,4,11,3,5,0,2,0,3,0,0,0,0,0,0,28
QUIABAYA,atencion odontologica,aplicacion de fluor,2018-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
QUILLACOLLO,atencion odontologica,aplicacion de fluor,2018-01-01,24,43,29,36,23,31,29,32,33,41,0,0,0,0,321
QUIME,atencion odontologica,aplicacion de fluor,2018-01-01,9,14,2,1,0,1,0,0,0,0,0,0,0,0,27
RAVELO,atencion odontologica,aplicacion de fluor,2018-01-01,2,4,0,0,0,0,0,0,0,0,0,0,0,0,6
RIBERALTA,atencion odontologica,aplicacion de fluor,2018-01-01,43,38,19,19,1,36,1,73,0,1,0,0,0,0,231
ROBORE,atencion odontologica,aplicacion de fluor,2018-01-01,19,17,1,0,0,3,0,1,0,0,0,0,0,0,41
RURRENABAQUE,atencion odontologica,aplicacion de fluor,2018-01-01,13,17,12,13,8,9,6,10,5,3,0,0,0,0,96
SABAYA,atencion odontologica,aplicacion de fluor,2018-01-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
SACABA,atencion odontologica,aplicacion de fluor,2018-01-01,7,9,1,3,0,2,3,6,0,0,0,0,0,0,31
SACACA,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SALINAS DE GARCI MENDOZA,atencion odontologica,aplicacion de fluor,2018-01-01,9,4,2,0,0,3,1,5,2,1,0,0,0,0,27
SAMAIPATA,atencion odontologica,aplicacion de fluor,2018-01-01,22,32,0,0,0,0,0,0,3,2,0,0,0,0,59
SAN ANDRES,atencion odontologica,aplicacion de fluor,2018-01-01,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4
SAN ANTONIO DE ESMORUCO,atencion odontologica,aplicacion de fluor,2018-01-01,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
SAN ANTONIO DE LOMERIO,atencion odontologica,aplicacion de fluor,2018-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
SAN BENITO,atencion odontologica,aplicacion de fluor,2018-01-01,4,3,1,1,0,0,0,3,2,0,0,0,0,0,14
SAN BORJA,atencion odontologica,aplicacion de fluor,2018-01-01,2,2,0,0,0,0,0,2,0,0,0,0,0,0,6
SAN BUENA VENTURA,atencion odontologica,aplicacion de fluor,2018-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
SAN IGNACIO,atencion odontologica,aplicacion de fluor,2018-01-01,4,3,8,10,6,3,3,6,6,1,0,0,0,0,50
SAN IGNACIO DE VELASCO,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,1,1,0,2,0,0,0,0,0,0,0,0,4
SAN JAVIER(BNI),atencion odontologica,aplicacion de fluor,2018-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
SAN JAVIER(STC),atencion odontologica,aplicacion de fluor,2018-01-01,3,5,2,4,0,4,3,2,0,1,0,0,0,0,24
SAN JOSE DE CHIQUITOS,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
SAN JUAN DE YAPACANI,atencion odontologica,aplicacion de fluor,2018-01-01,6,14,0,0,0,2,0,0,0,0,0,0,0,0,22
SAN JULIAN,atencion odontologica,aplicacion de fluor,2018-01-01,58,48,19,21,2,2,4,23,9,3,0,0,0,0,189
SAN LORENZO(PND),atencion odontologica,aplicacion de fluor,2018-01-01,23,21,0,3,0,0,0,0,0,0,0,0,0,0,47
SAN LORENZO(TJA),atencion odontologica,aplicacion de fluor,2018-01-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2
SAN LUCAS,atencion odontologica,aplicacion de fluor,2018-01-01,27,28,0,0,0,0,0,1,0,0,0,0,0,0,56
SAN MATIAS,atencion odontologica,aplicacion de fluor,2018-01-01,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7
SAN MIGUEL DE VELASCO,atencion odontologica,aplicacion de fluor,2018-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAN RAFAEL,atencion odontologica,aplicacion de fluor,2018-01-01,13,16,0,0,0,1,0,4,0,0,0,0,0,0,34
SAN RAMON SCZ,atencion odontologica,aplicacion de fluor,2018-01-01,3,4,0,0,0,0,0,3,0,0,0,0,0,0,10
SANTA CRUZ DE LA SIERRA,atencion odontologica,aplicacion de fluor,2018-01-01,439,410,280,214,66,123,197,590,122,54,0,0,0,0,2495
SANTA ROSA,atencion odontologica,aplicacion de fluor,2018-01-01,5,1,1,3,0,0,0,1,0,0,0,0,0,0,11
SANTIAGO DE HUARI,atencion odontologica,aplicacion de fluor,2018-01-01,1,1,3,14,1,6,4,4,4,7,0,0,0,0,45
SANTIAGO DE HUATA,atencion odontologica,aplicacion de fluor,2018-01-01,3,3,0,0,0,1,0,0,0,0,0,0,0,0,7
SANTUARIO DE QUILLACAS,atencion odontologica,aplicacion de fluor,2018-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SAPAHAQUI,atencion odontologica,aplicacion de fluor,2018-01-01,5,8,0,0,0,0,0,0,0,0,0,0,0,0,13
SENA,atencion odontologica,aplicacion de fluor,2018-01-01,4,4,1,0,0,0,0,0,0,0,0,0,0,0,9
SHINAOTA,atencion odontologica,aplicacion de fluor,2018-01-01,1,2,0,0,0,1,0,0,0,0,0,0,0,0,4
