,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES
ARQUE,atencion odontologica,consulta repetida,2018-01-01,1,0,0,0,0,0,8,1,0,0,0,1,0,0,11
ASCENCION DE GUARAYOS,atencion odontologica,consulta repetida,2018-01-01,26,21,6,3,0,13,0,14,11,3,0,12,0,2,111
ATOCHA,atencion odontologica,consulta repetida,2018-01-01,1,21,40,51,18,52,67,105,18,46,0,1,0,0,420
AYO AYO,atencion odontologica,consulta repetida,2018-01-01,0,1,0,3,0,1,3,4,5,0,0,0,0,1,18
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,consulta repetida,2018-01-01,5,7,44,22,28,13,29,25,3,1,0,2,0,4,183
AZURDUY,atencion odontologica,consulta repetida,2018-01-01,17,29,5,4,0,60,20,56,1,0,0,15,0,13,220
BATALLAS,atencion odontologica,consulta repetida,2018-01-01,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3
BAURES,atencion odontologica,consulta repetida,2018-01-01,0,0,0,1,0,0,2,2,0,0,0,0,0,1,6
BELEN DE URMIRI,atencion odontologica,consulta repetida,2018-01-01,4,0,0,0,1,0,0,1,0,0,0,0,0,1,7
BERMEJO,atencion odontologica,consulta repetida,2018-01-01,0,3,9,11,9,11,6,51,1,1,0,1,0,0,103
BETANZOS,atencion odontologica,consulta repetida,2018-01-01,3,1,5,8,3,11,1,37,1,3,0,2,0,0,75
BOLIVAR,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,2,2,0,2,0,0,0,0,0,0,6
BOYUIBE,atencion odontologica,consulta repetida,2018-01-01,0,0,0,1,0,1,1,2,1,0,0,0,0,0,6
BUENA VISTA,atencion odontologica,consulta repetida,2018-01-01,1,4,1,0,1,4,4,7,0,1,0,0,0,4,27
CABEZAS,atencion odontologica,consulta repetida,2018-01-01,1,1,2,7,1,8,4,11,0,0,0,2,0,0,37
CAIROMA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"CAIZA ""D""",atencion odontologica,consulta repetida,2018-01-01,1,2,6,6,1,2,3,17,2,4,0,4,0,20,68
CAJUATA,atencion odontologica,consulta repetida,2018-01-01,0,0,4,1,0,2,1,7,1,0,0,0,0,5,21
CALAMARCA,atencion odontologica,consulta repetida,2018-01-01,3,0,2,3,9,21,2,16,1,2,0,1,0,1,61
CAMARGO,atencion odontologica,consulta repetida,2018-01-01,1,3,10,14,2,6,15,29,5,1,0,10,0,18,114
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,consulta repetida,2018-01-01,0,0,10,1,0,11,8,13,1,0,0,0,0,2,46
CAMIRI,atencion odontologica,consulta repetida,2018-01-01,23,14,12,18,19,10,17,11,13,2,0,4,0,3,146
CAPINOTA,atencion odontologica,consulta repetida,2018-01-01,2,10,0,5,2,3,4,14,4,1,0,6,0,4,55
CAQUIAVIRI,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,5,5,0,3,0,0,0,0,0,0,13
CARACOLLO,atencion odontologica,consulta repetida,2018-01-01,13,5,5,13,7,5,11,23,2,8,0,1,0,7,100
CARANAVI,atencion odontologica,consulta repetida,2018-01-01,15,11,3,3,7,8,3,12,10,2,0,5,0,11,90
CARAPARI,atencion odontologica,consulta repetida,2018-01-01,7,0,16,11,10,20,29,37,0,0,0,0,0,0,130
CHACARILLA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
CHALLAPATA,atencion odontologica,consulta repetida,2018-01-01,2,34,16,30,3,10,1,49,13,8,0,4,0,13,183
CHAQUI,atencion odontologica,consulta repetida,2018-01-01,2,1,2,6,4,6,8,18,2,3,0,3,0,3,58
CHARAGUA,atencion odontologica,consulta repetida,2018-01-01,1,0,0,1,3,2,4,7,1,0,0,0,0,1,20
CHARAÑA,atencion odontologica,consulta repetida,2018-01-01,4,0,0,0,0,0,1,1,1,0,0,0,0,0,7
CHAYANTA,atencion odontologica,consulta repetida,2018-01-01,3,7,4,4,3,0,8,6,0,0,0,0,0,1,36
CHIMORE,atencion odontologica,consulta repetida,2018-01-01,8,4,3,7,9,11,1,18,1,0,0,5,0,14,81
CHIPAYA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,2,3,0,2,0,0,0,0,0,7
CHOQUE COTA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,1,1,5,2,0,0,0,0,0,9
CHUA COCANI,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,5,2,2,0,0,0,0,0,0,9
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta repetida,2018-01-01,9,4,0,0,0,0,2,5,0,0,0,3,0,1,24
CHUMA,atencion odontologica,consulta repetida,2018-01-01,0,0,4,0,2,7,6,9,5,0,0,0,0,1,34
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta repetida,2018-01-01,0,0,5,11,4,12,3,31,3,0,0,6,0,18,93
CKOCHAS,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,2,1,0,3,0,0,0,0,0,0,6
CLIZA,atencion odontologica,consulta repetida,2018-01-01,22,18,18,12,9,21,10,25,5,10,0,0,0,0,150
COBIJA,atencion odontologica,consulta repetida,2018-01-01,11,16,46,62,15,33,70,75,10,0,0,3,0,3,344
COCHABAMBA,atencion odontologica,consulta repetida,2018-01-01,387,349,581,603,190,278,802,1222,285,158,0,46,0,227,5128
COIPASA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,2,0,0,5,0,0,0,0,0,0,7
COLCAPIRHUA,atencion odontologica,consulta repetida,2018-01-01,6,22,9,7,3,5,7,14,6,16,0,2,0,0,97
"COLCHA ""K""",atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,3,25,0,0,0,0,0,0,0,28
COLLANA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COLOMI,atencion odontologica,consulta repetida,2018-01-01,1,3,0,0,1,1,0,0,0,0,0,0,0,0,6
COLQUECHACA,atencion odontologica,consulta repetida,2018-01-01,7,7,13,26,11,13,19,76,16,21,0,14,0,19,242
COLQUENCHA,atencion odontologica,consulta repetida,2018-01-01,0,3,0,1,2,5,0,5,0,0,0,0,0,0,16
COLQUIRI,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COMANCHE,atencion odontologica,consulta repetida,2018-01-01,2,6,0,0,0,0,0,0,2,1,0,0,0,0,11
COMARAPA,atencion odontologica,consulta repetida,2018-01-01,3,0,1,1,0,11,2,2,0,2,0,0,0,5,27
CONCEPCION,atencion odontologica,consulta repetida,2018-01-01,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4
COPACABANA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CORO CORO,atencion odontologica,consulta repetida,2018-01-01,0,0,9,14,4,14,7,5,0,0,0,0,0,1,54
COROICO,atencion odontologica,consulta repetida,2018-01-01,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3
CORQUE,atencion odontologica,consulta repetida,2018-01-01,0,0,2,1,0,1,1,2,3,1,0,0,0,1,12
COTAGAITA,atencion odontologica,consulta repetida,2018-01-01,15,6,55,48,30,22,61,88,7,3,0,1,0,1,337
COTOCA,atencion odontologica,consulta repetida,2018-01-01,25,8,0,0,0,0,0,0,0,0,0,0,0,0,33
CUATRO CAÑADAS,atencion odontologica,consulta repetida,2018-01-01,45,44,4,3,5,13,3,32,1,3,0,4,0,24,181
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta repetida,2018-01-01,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3
CUEVO,atencion odontologica,consulta repetida,2018-01-01,0,0,0,5,4,8,2,7,0,3,0,6,0,3,38
CULPINA,atencion odontologica,consulta repetida,2018-01-01,1,1,3,5,0,2,4,29,0,0,0,5,0,5,55
CURAHUARA DE CARANGAS,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
DESAGUADERO,atencion odontologica,consulta repetida,2018-01-01,6,5,5,3,2,6,3,10,1,0,0,4,0,6,51
EL ALTO,atencion odontologica,consulta repetida,2018-01-01,149,116,399,424,219,291,258,469,42,35,0,21,0,11,2434
EL PUENTE(TJA),atencion odontologica,consulta repetida,2018-01-01,0,0,2,0,0,0,3,8,0,0,0,0,0,0,13
EL TORNO,atencion odontologica,consulta repetida,2018-01-01,3,4,3,10,3,5,11,11,7,4,0,3,0,2,66
EL VILLAR,atencion odontologica,consulta repetida,2018-01-01,3,1,4,2,1,2,2,10,0,1,0,0,0,0,26
ENTRE RIOS TRJ,atencion odontologica,consulta repetida,2018-01-01,1,6,2,4,2,0,0,4,0,0,0,0,0,0,19
ENTRE RIOS CBBA,atencion odontologica,consulta repetida,2018-01-01,15,18,5,3,4,0,3,10,0,2,0,1,0,7,68
ESCARA,atencion odontologica,consulta repetida,2018-01-01,5,3,0,0,0,0,0,6,8,2,0,2,0,3,29
ESCOMA,atencion odontologica,consulta repetida,2018-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ESMERALDA,atencion odontologica,consulta repetida,2018-01-01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
EUCALIPTUS,atencion odontologica,consulta repetida,2018-01-01,5,2,2,5,6,7,5,17,3,0,0,2,0,1,55
FILADELFIA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consulta repetida,2018-01-01,6,11,0,0,0,0,3,3,1,0,0,1,0,0,25
GUAYARAMERIN,atencion odontologica,consulta repetida,2018-01-01,7,12,29,52,17,25,51,80,14,5,0,2,0,2,296
GUTIERREZ,atencion odontologica,consulta repetida,2018-01-01,2,0,1,4,3,2,3,4,4,3,0,0,0,0,26
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,1,3,3,5,0,0,0,0,0,1,13
HUACHACALLA,atencion odontologica,consulta repetida,2018-01-01,0,0,2,0,0,4,0,11,0,3,0,0,0,2,22
HUANUNI,atencion odontologica,consulta repetida,2018-01-01,11,21,21,35,14,27,17,71,4,13,0,5,0,3,242
HUARACAJE,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,3,2,1,3,0,2,0,3,0,0,14
HUARINA,atencion odontologica,consulta repetida,2018-01-01,0,0,3,3,1,2,2,0,8,0,0,1,0,0,20
HUATAJATA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,2,1,1,1,0,1,0,0,0,0,0,6
HUMANATA,atencion odontologica,consulta repetida,2018-01-01,4,2,0,0,0,0,0,6,17,17,0,0,0,6,52
ICHOCA,atencion odontologica,consulta repetida,2018-01-01,0,1,0,0,0,0,0,0,1,2,0,0,0,0,4
ICLA,atencion odontologica,consulta repetida,2018-01-01,0,1,0,4,0,7,1,10,0,0,0,1,0,1,25
INCAHUASI,atencion odontologica,consulta repetida,2018-01-01,0,0,0,6,0,1,1,5,0,1,0,0,0,2,16
INGAVI (HUMAITA),atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta repetida,2018-01-01,7,10,0,1,0,1,0,3,3,0,0,0,0,0,25
IXIAMAS,atencion odontologica,consulta repetida,2018-01-01,4,1,0,5,1,5,2,4,1,0,0,0,0,1,24
JESUS DE MACHACA,atencion odontologica,consulta repetida,2018-01-01,0,1,0,0,0,2,0,1,0,1,0,0,0,0,5
LA ASUNTA,atencion odontologica,consulta repetida,2018-01-01,0,0,3,4,1,3,2,9,1,0,0,3,0,1,27
LA GUARDIA,atencion odontologica,consulta repetida,2018-01-01,1,1,1,0,1,1,0,3,0,1,0,0,0,2,11
LA PAZ,atencion odontologica,consulta repetida,2018-01-01,349,320,714,743,343,518,874,1620,319,220,0,58,0,36,6114
LA RIVERA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
LAGUNILLAS,atencion odontologica,consulta repetida,2018-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LAJA,atencion odontologica,consulta repetida,2018-01-01,21,20,5,3,2,18,2,18,10,11,0,1,0,4,115
LAS CARRERAS,atencion odontologica,consulta repetida,2018-01-01,0,1,1,3,1,0,2,24,1,0,0,0,0,0,33
LLALLAGUA,atencion odontologica,consulta repetida,2018-01-01,42,21,22,41,12,6,20,63,16,4,0,14,0,3,264
MACHACAMARCA,atencion odontologica,consulta repetida,2018-01-01,3,12,41,18,13,11,8,15,10,21,0,0,0,0,152
MACHARETI,atencion odontologica,consulta repetida,2018-01-01,1,0,2,1,0,0,2,3,0,0,0,0,0,0,9
MAGDALENA,atencion odontologica,consulta repetida,2018-01-01,0,0,3,0,5,1,1,11,0,0,0,0,0,0,21
MAIRANA,atencion odontologica,consulta repetida,2018-01-01,29,19,7,10,9,12,19,27,8,6,0,0,0,0,146
MAPIRI,atencion odontologica,consulta repetida,2018-01-01,2,5,5,0,2,3,2,9,1,0,0,4,0,2,35
MECAPACA,atencion odontologica,consulta repetida,2018-01-01,0,0,1,0,0,2,1,1,1,0,0,0,0,0,6
MINEROS,atencion odontologica,consulta repetida,2018-01-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
MIZQUE,atencion odontologica,consulta repetida,2018-01-01,8,7,7,13,4,7,8,28,5,2,0,10,0,5,104
MOCOMOCO,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,3,1,2,0,0,0,0,0,0,6
MOJINETE,atencion odontologica,consulta repetida,2018-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MOJOCOYA,atencion odontologica,consulta repetida,2018-01-01,4,0,9,14,4,17,16,29,0,1,0,0,0,0,94
MONTEAGUDO,atencion odontologica,consulta repetida,2018-01-01,1,2,1,4,5,9,12,37,0,2,0,1,0,11,85
MONTERO,atencion odontologica,consulta repetida,2018-01-01,7,1,18,26,7,16,7,50,8,6,0,10,0,4,160
MORO MORO,atencion odontologica,consulta repetida,2018-01-01,0,1,0,0,1,6,1,7,0,1,0,0,0,4,21
OCURI,atencion odontologica,consulta repetida,2018-01-01,0,0,0,2,0,1,0,6,0,3,0,0,0,2,14
OMEREQUE,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ORURO,atencion odontologica,consulta repetida,2018-01-01,233,196,212,319,127,187,276,524,89,89,0,58,0,68,2378
PADCAYA,atencion odontologica,consulta repetida,2018-01-01,0,0,2,9,26,9,6,19,2,0,0,1,0,0,74
PADILLA,atencion odontologica,consulta repetida,2018-01-01,2,15,27,19,8,21,11,16,0,1,0,8,0,10,138
PAILON,atencion odontologica,consulta repetida,2018-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PALCA,atencion odontologica,consulta repetida,2018-01-01,3,0,0,0,1,1,0,3,0,0,0,0,0,1,9
PALOS BLANCOS,atencion odontologica,consulta repetida,2018-01-01,5,3,0,0,0,0,0,3,2,0,0,0,0,2,15
PAMPA AULLAGAS,atencion odontologica,consulta repetida,2018-01-01,1,0,1,0,0,0,2,4,0,3,0,0,0,1,12
PAMPA GRANDE,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
PAPEL PAMPA,atencion odontologica,consulta repetida,2018-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
PASORAPA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,0,7,1,0,0,0,0,0,8
PATACAMAYA,atencion odontologica,consulta repetida,2018-01-01,6,2,0,7,2,2,0,5,3,0,0,1,0,2,30
PAZÑA,atencion odontologica,consulta repetida,2018-01-01,3,1,0,2,0,4,6,9,5,7,0,1,0,0,38
POJO (CBBA),atencion odontologica,consulta repetida,2018-01-01,4,0,4,5,3,2,2,12,1,0,0,1,0,3,37
POOPO,atencion odontologica,consulta repetida,2018-01-01,1,3,18,9,10,15,13,21,1,3,0,3,0,3,100
PORCO,atencion odontologica,consulta repetida,2018-01-01,2,0,0,0,0,3,0,4,0,0,0,1,0,5,15
POROMA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,2,1,0,2,3,0,0,0,0,0,0,8
PORTACHUELO,atencion odontologica,consulta repetida,2018-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PORVENIR,atencion odontologica,consulta repetida,2018-01-01,0,1,1,2,3,0,0,0,0,0,0,0,0,0,7
POSTRER VALLE,atencion odontologica,consulta repetida,2018-01-01,0,0,1,1,0,0,0,2,0,0,0,0,0,1,5
POTOSI,atencion odontologica,consulta repetida,2018-01-01,225,175,171,226,156,242,267,495,56,37,0,48,0,52,2150
PRESTO,atencion odontologica,consulta repetida,2018-01-01,0,1,0,1,3,3,2,10,0,0,0,1,0,4,25
PUCARANI,atencion odontologica,consulta repetida,2018-01-01,3,0,0,0,0,6,1,2,1,0,0,0,0,0,13
PUERTO GONZALO MORENO,atencion odontologica,consulta repetida,2018-01-01,5,0,2,1,0,4,4,3,0,0,0,0,0,1,20
PUERTO QUIJARRO,atencion odontologica,consulta repetida,2018-01-01,0,3,0,1,0,0,1,0,2,0,0,0,0,0,7
PUERTO RICO,atencion odontologica,consulta repetida,2018-01-01,0,0,0,5,14,4,14,7,0,0,0,0,0,0,44
PUERTO SUAREZ,atencion odontologica,consulta repetida,2018-01-01,1,1,2,3,4,3,3,3,6,4,0,0,0,0,30
PUERTO VILLARROEL,atencion odontologica,consulta repetida,2018-01-01,36,23,3,8,7,29,5,48,8,14,0,37,0,28,246
PUNA,atencion odontologica,consulta repetida,2018-01-01,2,6,0,13,3,3,6,16,0,2,0,0,0,6,57
PUNATA,atencion odontologica,consulta repetida,2018-01-01,19,36,11,20,2,4,27,30,13,3,0,2,0,0,167
QUIABAYA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,2,0,4,1,0,0,0,0,0,0,7
QUILLACOLLO,atencion odontologica,consulta repetida,2018-01-01,39,43,54,23,10,42,31,77,16,10,0,6,0,6,357
QUIME,atencion odontologica,consulta repetida,2018-01-01,0,0,0,1,0,0,4,1,0,0,0,0,0,0,6
RAVELO,atencion odontologica,consulta repetida,2018-01-01,0,0,3,1,2,2,3,8,0,0,0,0,0,2,21
REYES,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,1,1,1,2,0,0,0,0,0,0,5
RIBERALTA,atencion odontologica,consulta repetida,2018-01-01,19,36,57,72,105,187,172,132,34,28,0,3,0,2,847
ROBORE,atencion odontologica,consulta repetida,2018-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
RURRENABAQUE,atencion odontologica,consulta repetida,2018-01-01,0,0,0,2,0,2,2,1,4,0,0,0,0,0,11
SABAYA,atencion odontologica,consulta repetida,2018-01-01,3,0,5,5,6,7,4,11,2,1,0,0,0,0,44
SACABA,atencion odontologica,consulta repetida,2018-01-01,43,22,130,49,28,18,123,56,18,14,0,2,0,2,505
SACABAMBA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,1,1,0,3,0,1,0,1,0,0,7
SACACA,atencion odontologica,consulta repetida,2018-01-01,2,4,0,1,0,3,2,6,1,0,0,4,0,2,25
SAIPINA,atencion odontologica,consulta repetida,2018-01-01,1,3,3,0,0,0,16,3,2,1,0,3,0,1,33
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta repetida,2018-01-01,0,7,0,4,0,3,13,9,2,0,0,0,0,0,38
SAMAIPATA,atencion odontologica,consulta repetida,2018-01-01,0,0,1,4,0,1,0,2,0,0,0,1,0,0,9
SAN AGUSTIN,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SAN ANDRES DE MACHACA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,3,1,3,4,0,0,0,0,0,0,11
SAN ANTONIO DE ESMORUCO,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
SAN BENITO,atencion odontologica,consulta repetida,2018-01-01,11,14,8,11,0,2,0,29,10,2,0,2,0,20,109
SAN BORJA,atencion odontologica,consulta repetida,2018-01-01,0,2,13,7,16,7,17,43,5,0,0,5,0,7,122
SAN BUENA VENTURA,atencion odontologica,consulta repetida,2018-01-01,0,0,2,0,0,0,1,1,1,1,0,0,0,0,6
SAN CARLOS,atencion odontologica,consulta repetida,2018-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SAN IGNACIO,atencion odontologica,consulta repetida,2018-01-01,2,2,16,15,13,22,13,35,2,2,0,3,0,2,127
SAN IGNACIO DE VELASCO,atencion odontologica,consulta repetida,2018-01-01,0,0,36,14,0,17,2,12,0,1,0,0,0,0,82
SAN JAVIER(STC),atencion odontologica,consulta repetida,2018-01-01,1,0,2,1,0,2,0,4,0,0,0,1,0,0,11
SAN JOAQUIN,atencion odontologica,consulta repetida,2018-01-01,4,5,2,7,14,1,7,18,1,8,0,4,0,0,71
SAN JOSE DE CHIQUITOS,atencion odontologica,consulta repetida,2018-01-01,1,0,1,0,0,0,0,2,0,0,0,0,0,3,7
SAN JULIAN,atencion odontologica,consulta repetida,2018-01-01,15,7,0,0,4,5,1,9,3,1,0,1,0,6,52
SAN LORENZO(TJA),atencion odontologica,consulta repetida,2018-01-01,0,0,4,9,8,1,7,29,0,1,0,0,0,0,59
SAN LUCAS,atencion odontologica,consulta repetida,2018-01-01,7,5,8,9,1,11,11,34,1,0,0,2,0,0,89
SAN MATIAS,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,1,1,0,3,0,0,0,0,0,0,5
SAN MIGUEL DE VELASCO,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,2,5,0,0,0,0,0,2,9
SAN PABLO DE LIPEZ,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
SAN PEDRO,atencion odontologica,consulta repetida,2018-01-01,0,0,0,4,3,1,2,21,9,0,0,2,0,1,43
SAN PEDRO DE BUENA VISTA,atencion odontologica,consulta repetida,2018-01-01,0,11,0,4,1,12,5,18,2,5,0,3,0,18,79
SAN PEDRO DE CURAHUARA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,4,0,0,3,0,0,0,2,0,0,9
SAN PEDRO DE TIQUINA,atencion odontologica,consulta repetida,2018-01-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SAN RAFAEL,atencion odontologica,consulta repetida,2018-01-01,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3
SAN RAMON BENI,atencion odontologica,consulta repetida,2018-01-01,0,0,0,0,0,0,0,5,0,0,0,5,0,0,10
SANTA ANA,atencion odontologica,consulta repetida,2018-01-01,0,0,2,11,9,4,9,16,13,0,0,0,0,0,64
SANTA CRUZ DE LA SIERRA,atencion odontologica,consulta repetida,2018-01-01,107,144,259,290,131,195,555,865,91,66,0,22,0,5,2730
SANTA ROSA DEL SARA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3
SANTIAGO DE HUARI,atencion odontologica,consulta repetida,2018-01-01,1,1,15,22,7,30,14,23,6,7,0,0,0,1,127
SANTIAGO DE HUATA,atencion odontologica,consulta repetida,2018-01-01,0,3,0,0,0,3,3,7,3,0,0,1,0,2,22
SANTIVAÑES,atencion odontologica,consulta repetida,2018-01-01,5,5,0,0,4,5,1,5,9,2,0,0,0,1,37
SANTUARIO DE QUILLACAS,atencion odontologica,consulta repetida,2018-01-01,0,2,1,1,0,0,1,9,0,1,0,0,0,4,19
SAPAHAQUI,atencion odontologica,consulta repetida,2018-01-01,0,1,0,0,0,2,0,3,1,0,0,0,0,0,7
SHINAOTA,atencion odontologica,consulta repetida,2018-01-01,2,2,0,0,0,0,0,3,0,0,0,0,0,3,10
SICA SICA (VILLA AROMA),atencion odontologica,consulta repetida,2018-01-01,24,9,1,2,0,1,0,3,6,2,0,1,0,0,49
SICAYA,atencion odontologica,consulta repetida,2018-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SIPE SIPE,atencion odontologica,consulta repetida,2018-01-01,58,66,4,8,4,8,1,23,13,31,0,2,0,5,223
SOPACHUY,atencion odontologica,consulta repetida,2018-01-01,5,5,8,3,11,2,15,23,1,0,0,0,0,3,76
SORACACHI,atencion odontologica,consulta repetida,2018-01-01,7,0,0,1,4,10,5,5,1,0,0,0,0,2,35
SORATA,atencion odontologica,consulta repetida,2018-01-01,0,0,3,5,0,2,3,10,0,0,0,1,0,0,24
