,group,variable,month,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA EMB,EXODONCIA EMB,EXODONCIA POST,EXODONCIA POST,TOTALES
ASCENCION DE GUARAYOS,atencion odontologica,exodoncia,2018-01-01,1,5,7,7,0,0,5,9,7,1,0,0,0,0,42
ATOCHA,atencion odontologica,exodoncia,2018-01-01,2,0,17,23,6,6,19,32,2,5,0,0,0,0,112
AUCAPATA,atencion odontologica,exodoncia,2018-01-01,0,0,3,2,1,1,3,6,7,2,0,0,0,0,25
AYATA,atencion odontologica,exodoncia,2018-01-01,0,0,0,3,1,1,9,5,1,0,0,0,0,0,20
AYO AYO,atencion odontologica,exodoncia,2018-01-01,0,0,1,6,1,2,0,6,0,0,0,0,0,0,16
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,exodoncia,2018-01-01,0,2,10,19,4,4,6,32,2,17,0,0,0,0,96
AZURDUY,atencion odontologica,exodoncia,2018-01-01,0,0,11,13,4,2,2,18,3,0,0,0,0,0,53
BATALLAS,atencion odontologica,exodoncia,2018-01-01,1,1,17,20,11,14,14,23,16,10,0,0,0,0,127
BAURES,atencion odontologica,exodoncia,2018-01-01,0,0,8,5,6,2,10,4,1,6,0,0,0,0,42
BELEN DE ANDAMARCA,atencion odontologica,exodoncia,2018-01-01,0,0,3,0,0,0,1,0,0,1,0,0,0,0,5
BELEN DE URMIRI,atencion odontologica,exodoncia,2018-01-01,0,0,3,0,0,0,0,0,0,2,0,0,0,0,5
BELLA FLOR,atencion odontologica,exodoncia,2018-01-01,0,0,5,0,1,3,1,2,0,0,0,0,0,0,12
BERMEJO,atencion odontologica,exodoncia,2018-01-01,0,0,14,8,1,3,8,19,15,3,0,0,0,0,71
BETANZOS,atencion odontologica,exodoncia,2018-01-01,0,0,12,10,6,10,17,39,43,25,0,0,0,0,162
BOLIVAR,atencion odontologica,exodoncia,2018-01-01,0,0,3,3,2,1,0,6,6,1,0,0,0,0,22
BOYUIBE,atencion odontologica,exodoncia,2018-01-01,0,0,2,3,1,0,5,5,0,1,0,0,0,0,17
BUENA VISTA,atencion odontologica,exodoncia,2018-01-01,0,0,2,5,0,1,3,3,3,0,0,0,0,0,17
CABEZAS,atencion odontologica,exodoncia,2018-01-01,0,0,15,9,3,9,12,25,4,7,0,0,0,0,84
CAIROMA,atencion odontologica,exodoncia,2018-01-01,1,0,3,6,1,2,1,8,5,2,0,0,0,0,29
"CAIZA ""D""",atencion odontologica,exodoncia,2018-01-01,0,0,3,8,2,3,1,3,0,2,0,0,0,0,22
CAJUATA,atencion odontologica,exodoncia,2018-01-01,0,0,12,7,3,10,16,22,5,2,0,0,0,0,77
CALACOTO,atencion odontologica,exodoncia,2018-01-01,0,0,2,1,0,0,0,3,3,0,0,0,0,0,9
CALAMARCA,atencion odontologica,exodoncia,2018-01-01,0,2,34,27,16,16,10,28,3,2,0,0,0,0,138
CAMARGO,atencion odontologica,exodoncia,2018-01-01,0,0,4,6,1,6,2,15,9,9,0,0,0,0,52
CAMATAQUI (C. VILLA ABECIA),atencion odontologica,exodoncia,2018-01-01,0,0,3,2,0,4,3,10,3,0,0,0,0,0,25
CAMIRI,atencion odontologica,exodoncia,2018-01-01,0,0,5,2,2,5,2,37,4,1,0,0,0,0,58
CAPINOTA,atencion odontologica,exodoncia,2018-01-01,2,0,4,7,0,0,3,5,7,1,0,0,0,0,29
CAQUIAVIRI,atencion odontologica,exodoncia,2018-01-01,1,0,3,6,4,3,7,8,7,3,0,0,0,0,42
CARACOLLO,atencion odontologica,exodoncia,2018-01-01,0,0,1,5,0,0,6,5,6,7,0,0,0,0,30
CARANAVI,atencion odontologica,exodoncia,2018-01-01,0,1,11,8,4,10,9,37,32,8,0,0,0,0,120
CARAPARI,atencion odontologica,exodoncia,2018-01-01,8,1,21,16,5,9,12,34,5,0,0,0,0,0,111
CARIPUYO,atencion odontologica,exodoncia,2018-01-01,0,0,2,4,1,3,3,6,6,9,0,0,0,0,34
CARMEN RIVERO TORREZ,atencion odontologica,exodoncia,2018-01-01,0,0,3,3,0,0,2,6,1,3,0,0,0,0,18
CATACORA,atencion odontologica,exodoncia,2018-01-01,0,0,4,6,0,0,5,3,0,1,0,0,0,0,19
CHACARILLA,atencion odontologica,exodoncia,2018-01-01,0,0,1,1,0,0,0,3,1,1,0,0,0,0,7
CHALLAPATA,atencion odontologica,exodoncia,2018-01-01,1,2,46,46,4,5,16,39,14,12,0,0,0,0,185
CHAQUI,atencion odontologica,exodoncia,2018-01-01,0,0,6,3,2,9,7,14,6,11,0,0,0,0,58
CHARAGUA,atencion odontologica,exodoncia,2018-01-01,1,2,10,15,14,18,30,49,7,2,0,0,0,0,148
CHARAÑA,atencion odontologica,exodoncia,2018-01-01,0,0,1,1,0,0,4,1,2,0,0,0,0,0,9
CHAYANTA,atencion odontologica,exodoncia,2018-01-01,0,0,1,7,4,2,2,14,6,16,0,0,0,0,52
CHIMORE,atencion odontologica,exodoncia,2018-01-01,4,3,16,18,1,7,16,12,12,2,0,0,0,0,91
CHIPAYA,atencion odontologica,exodoncia,2018-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
CHOQUE COTA,atencion odontologica,exodoncia,2018-01-01,0,0,3,1,3,0,0,3,1,1,0,0,0,0,12
CHUA COCANI,atencion odontologica,exodoncia,2018-01-01,0,0,0,2,1,3,3,8,8,2,0,0,0,0,27
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,exodoncia,2018-01-01,1,2,2,8,3,4,4,12,7,0,0,0,0,0,43
CHUMA,atencion odontologica,exodoncia,2018-01-01,0,0,15,14,7,14,32,51,33,34,0,0,0,0,200
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,exodoncia,2018-01-01,1,0,4,5,1,1,0,0,0,0,0,0,0,0,12
CKOCHAS,atencion odontologica,exodoncia,2018-01-01,0,1,1,0,0,0,3,13,9,14,0,0,0,0,41
CLIZA,atencion odontologica,exodoncia,2018-01-01,0,1,14,12,3,1,6,4,14,5,0,0,0,0,60
COBIJA,atencion odontologica,exodoncia,2018-01-01,1,0,23,14,11,13,34,25,10,2,0,0,0,0,133
COCAPATA,atencion odontologica,exodoncia,2018-01-01,0,0,1,1,5,9,1,11,9,19,0,0,0,0,56
COCHABAMBA,atencion odontologica,exodoncia,2018-01-01,8,9,149,147,29,41,72,142,80,68,0,0,0,0,745
COIPASA,atencion odontologica,exodoncia,2018-01-01,0,0,0,0,0,0,2,2,1,2,0,0,0,0,7
COLCAPIRHUA,atencion odontologica,exodoncia,2018-01-01,2,4,9,6,1,1,1,16,13,10,0,0,0,0,63
"COLCHA ""K""",atencion odontologica,exodoncia,2018-01-01,0,0,5,5,3,6,10,18,9,6,0,0,0,0,62
COLLANA,atencion odontologica,exodoncia,2018-01-01,0,0,0,0,0,0,0,1,1,2,0,0,0,0,4
COLOMI,atencion odontologica,exodoncia,2018-01-01,0,3,14,1,2,4,2,3,11,4,0,0,0,0,44
COLQUECHACA,atencion odontologica,exodoncia,2018-01-01,4,1,16,22,9,11,16,44,40,52,0,0,0,0,215
COLQUENCHA,atencion odontologica,exodoncia,2018-01-01,0,0,14,12,7,28,7,31,3,6,0,0,0,0,108
COLQUIRI,atencion odontologica,exodoncia,2018-01-01,0,1,11,8,3,4,10,19,9,10,0,0,0,0,75
COMANCHE,atencion odontologica,exodoncia,2018-01-01,0,0,1,9,3,3,0,3,0,1,0,0,0,0,20
COMARAPA,atencion odontologica,exodoncia,2018-01-01,0,1,0,3,3,2,1,7,4,3,0,0,0,0,24
CONCEPCION,atencion odontologica,exodoncia,2018-01-01,1,2,2,2,5,4,5,7,2,6,0,0,0,0,36
COPACABANA,atencion odontologica,exodoncia,2018-01-01,1,0,8,3,2,3,3,7,6,8,0,0,0,0,41
CORIPATA,atencion odontologica,exodoncia,2018-01-01,1,1,2,3,0,0,3,11,2,0,0,0,0,0,23
CORO CORO,atencion odontologica,exodoncia,2018-01-01,0,0,15,8,6,8,15,14,1,4,0,0,0,0,71
COROICO,atencion odontologica,exodoncia,2018-01-01,2,0,2,1,6,3,6,7,6,1,0,0,0,0,34
CORQUE,atencion odontologica,exodoncia,2018-01-01,0,0,1,7,1,0,1,5,4,1,0,0,0,0,20
COTAGAITA,atencion odontologica,exodoncia,2018-01-01,0,0,17,6,4,3,8,8,2,3,0,0,0,0,51
COTOCA,atencion odontologica,exodoncia,2018-01-01,0,0,9,3,0,0,0,5,1,3,0,0,0,0,21
CRUZ DE MACHACAMARCA,atencion odontologica,exodoncia,2018-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
CUATRO CAÑADAS,atencion odontologica,exodoncia,2018-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,exodoncia,2018-01-01,0,0,1,5,2,2,1,5,0,0,0,0,0,0,16
CUEVO,atencion odontologica,exodoncia,2018-01-01,0,0,0,1,0,0,1,2,0,0,0,0,0,0,4
CULPINA,atencion odontologica,exodoncia,2018-01-01,0,2,4,11,2,2,5,4,0,12,0,0,0,0,42
CURAHUARA DE CARANGAS,atencion odontologica,exodoncia,2018-01-01,0,0,4,0,0,0,2,2,4,3,0,0,0,0,15
CURVA,atencion odontologica,exodoncia,2018-01-01,0,0,0,0,2,1,2,2,3,2,0,0,0,0,12
DESAGUADERO,atencion odontologica,exodoncia,2018-01-01,1,1,3,2,2,2,5,7,0,1,0,0,0,0,24
EL ALTO,atencion odontologica,exodoncia,2018-01-01,24,19,432,465,72,138,112,176,51,41,0,0,0,0,1530
EL CHORO,atencion odontologica,exodoncia,2018-01-01,0,0,0,6,0,0,0,3,0,3,0,0,0,0,12
EL PUENTE(STC),atencion odontologica,exodoncia,2018-01-01,0,0,3,6,0,0,6,1,0,0,0,0,0,0,16
EL PUENTE(TJA),atencion odontologica,exodoncia,2018-01-01,1,0,15,5,4,6,4,17,2,3,0,0,0,0,57
EL TORNO,atencion odontologica,exodoncia,2018-01-01,4,5,13,17,11,16,17,31,11,17,0,0,0,0,142
EL VILLAR,atencion odontologica,exodoncia,2018-01-01,1,0,1,2,4,5,1,4,0,5,0,0,0,0,23
ENTRE RIOS TRJ,atencion odontologica,exodoncia,2018-01-01,0,0,17,16,1,8,14,41,5,8,0,0,0,0,110
ENTRE RIOS CBBA,atencion odontologica,exodoncia,2018-01-01,4,0,0,0,1,3,0,8,3,3,0,0,0,0,22
ESCARA,atencion odontologica,exodoncia,2018-01-01,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3
ESCOMA,atencion odontologica,exodoncia,2018-01-01,5,3,6,4,8,3,8,12,14,12,0,0,0,0,75
ESMERALDA,atencion odontologica,exodoncia,2018-01-01,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3
EUCALIPTUS,atencion odontologica,exodoncia,2018-01-01,0,0,3,5,3,4,0,4,2,2,0,0,0,0,23
EXALTACION,atencion odontologica,exodoncia,2018-01-01,0,0,2,2,2,1,1,2,1,0,0,0,0,0,11
FERNANDEZ ALONSO,atencion odontologica,exodoncia,2018-01-01,0,0,0,5,2,2,2,5,2,3,0,0,0,0,21
FILADELFIA,atencion odontologica,exodoncia,2018-01-01,0,0,6,4,0,1,6,9,0,0,0,0,0,0,26
GENERAL SAAVEDRA,atencion odontologica,exodoncia,2018-01-01,0,0,1,3,1,0,0,4,2,1,0,0,0,0,12
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,exodoncia,2018-01-01,0,1,2,4,1,7,15,9,15,14,0,0,0,0,68
GUANAY,atencion odontologica,exodoncia,2018-01-01,0,0,0,0,0,0,0,5,9,9,0,0,0,0,23
GUAQUI,atencion odontologica,exodoncia,2018-01-01,0,0,1,4,8,2,9,14,9,5,0,0,0,0,52
GUAYARAMERIN,atencion odontologica,exodoncia,2018-01-01,3,3,29,28,6,5,3,9,13,3,0,0,0,0,102
GUTIERREZ,atencion odontologica,exodoncia,2018-01-01,2,3,4,9,8,13,16,18,2,1,0,0,0,0,76
HUACARETA,atencion odontologica,exodoncia,2018-01-01,0,0,3,5,0,4,8,12,5,9,0,0,0,0,46
HUACAYA (VILLA DE HUACAYA),atencion odontologica,exodoncia,2018-01-01,0,0,1,0,1,1,1,4,0,0,0,0,0,0,8
HUACHACALLA,atencion odontologica,exodoncia,2018-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
HUANUNI,atencion odontologica,exodoncia,2018-01-01,1,0,13,27,6,12,13,22,2,5,0,0,0,0,101
HUARACAJE,atencion odontologica,exodoncia,2018-01-01,0,0,2,5,0,0,2,5,3,5,0,0,0,0,22
HUARINA,atencion odontologica,exodoncia,2018-01-01,0,0,2,2,6,1,4,7,6,1,0,0,0,0,29
HUATAJATA,atencion odontologica,exodoncia,2018-01-01,1,0,0,2,3,3,3,4,7,1,0,0,0,0,24
HUAYLLAMARCA,atencion odontologica,exodoncia,2018-01-01,0,0,1,1,0,0,0,3,0,1,0,0,0,0,6
HUMANATA,atencion odontologica,exodoncia,2018-01-01,1,2,5,1,3,0,6,16,35,33,0,0,0,0,102
ICHOCA,atencion odontologica,exodoncia,2018-01-01,0,0,3,1,3,1,1,1,8,6,0,0,0,0,24
ICLA,atencion odontologica,exodoncia,2018-01-01,0,0,8,5,0,7,11,16,4,1,0,0,0,0,52
INCAHUASI,atencion odontologica,exodoncia,2018-01-01,0,0,7,3,0,2,1,12,3,1,0,0,0,0,29
INGAVI (HUMAITA),atencion odontologica,exodoncia,2018-01-01,0,0,2,1,0,0,4,5,0,0,0,0,0,0,12
INQUISIVI,atencion odontologica,exodoncia,2018-01-01,0,0,2,8,6,15,13,21,15,12,0,0,0,0,92
IRUPANA (VILLA DE LANZA),atencion odontologica,exodoncia,2018-01-01,0,0,5,6,5,3,7,14,12,6,0,0,0,0,58
IXIAMAS,atencion odontologica,exodoncia,2018-01-01,1,0,7,6,3,6,0,3,0,0,0,0,0,0,26
JESUS DE MACHACA,atencion odontologica,exodoncia,2018-01-01,0,0,7,8,10,10,3,19,4,4,0,0,0,0,65
LA ASUNTA,atencion odontologica,exodoncia,2018-01-01,1,3,23,29,13,17,25,46,10,3,0,0,0,0,170
LA GUARDIA,atencion odontologica,exodoncia,2018-01-01,6,2,6,8,1,8,3,31,20,20,0,0,0,0,105
LA PAZ,atencion odontologica,exodoncia,2018-01-01,9,20,277,291,57,80,147,254,116,55,0,0,0,0,1306
LA RIVERA,atencion odontologica,exodoncia,2018-01-01,0,0,2,0,1,0,0,0,2,4,0,0,0,0,9
LAGUNILLAS,atencion odontologica,exodoncia,2018-01-01,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
LAJA,atencion odontologica,exodoncia,2018-01-01,2,1,3,6,9,16,6,29,14,18,0,0,0,0,104
LAS CARRERAS,atencion odontologica,exodoncia,2018-01-01,0,0,0,4,0,1,1,8,2,1,0,0,0,0,17
LICOMA PAMPA,atencion odontologica,exodoncia,2018-01-01,1,0,0,4,0,2,0,1,0,3,0,0,0,0,11
LLALLAGUA,atencion odontologica,exodoncia,2018-01-01,1,2,6,13,4,4,3,20,5,10,0,0,0,0,68
LORETO,atencion odontologica,exodoncia,2018-01-01,1,0,1,1,0,0,4,1,0,0,0,0,0,0,8
LURIBAY,atencion odontologica,exodoncia,2018-01-01,0,0,2,2,1,5,5,9,3,4,0,0,0,0,31
MACHACAMARCA,atencion odontologica,exodoncia,2018-01-01,0,0,5,5,1,4,2,5,1,1,0,0,0,0,24
MACHARETI,atencion odontologica,exodoncia,2018-01-01,0,0,2,2,2,0,0,10,3,0,0,0,0,0,19
MAGDALENA,atencion odontologica,exodoncia,2018-01-01,1,0,8,13,6,1,4,10,1,0,0,0,0,0,44
MAIRANA,atencion odontologica,exodoncia,2018-01-01,0,0,5,8,5,7,7,12,6,7,0,0,0,0,57
MALLA,atencion odontologica,exodoncia,2018-01-01,0,0,2,4,0,4,4,6,4,11,0,0,0,0,35
MAPIRI,atencion odontologica,exodoncia,2018-01-01,0,0,7,8,3,15,5,10,3,2,0,0,0,0,53
MECAPACA,atencion odontologica,exodoncia,2018-01-01,1,1,3,7,1,5,2,16,2,1,0,0,0,0,39
MINEROS,atencion odontologica,exodoncia,2018-01-01,1,0,1,0,0,0,0,3,7,1,0,0,0,0,13
MIZQUE,atencion odontologica,exodoncia,2018-01-01,2,0,8,5,3,17,21,23,17,11,0,0,0,0,107
MOCOMOCO,atencion odontologica,exodoncia,2018-01-01,1,1,10,9,5,10,9,25,15,8,0,0,0,0,93
MOJINETE,atencion odontologica,exodoncia,2018-01-01,0,0,0,2,0,1,1,11,0,1,0,0,0,0,16
MOJOCOYA,atencion odontologica,exodoncia,2018-01-01,0,0,6,12,1,5,7,22,9,17,0,0,0,0,79
MONTEAGUDO,atencion odontologica,exodoncia,2018-01-01,0,0,3,6,2,3,19,35,0,3,0,0,0,0,71
MONTERO,atencion odontologica,exodoncia,2018-01-01,3,3,46,42,7,17,7,55,11,30,0,0,0,0,221
MORO MORO,atencion odontologica,exodoncia,2018-01-01,0,0,2,1,0,1,1,6,0,1,0,0,0,0,12
MOROCHATA,atencion odontologica,exodoncia,2018-01-01,0,0,2,5,1,1,1,1,1,2,0,0,0,0,14
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,exodoncia,2018-01-01,0,0,3,2,1,1,1,1,0,0,0,0,0,0,9
NAZACARA DE PACAJES,atencion odontologica,exodoncia,2018-01-01,0,0,1,1,0,0,0,3,0,0,0,0,0,0,5
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,exodoncia,2018-01-01,0,0,0,0,0,2,0,2,1,0,0,0,0,0,5
OCURI,atencion odontologica,exodoncia,2018-01-01,0,0,6,4,1,6,9,23,10,5,0,0,0,0,64
OKINAWA,atencion odontologica,exodoncia,2018-01-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
OMEREQUE,atencion odontologica,exodoncia,2018-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
ORURO,atencion odontologica,exodoncia,2018-01-01,5,9,145,147,31,49,84,175,47,66,0,0,0,0,758
PADCAYA,atencion odontologica,exodoncia,2018-01-01,0,0,9,7,3,5,5,18,5,6,0,0,0,0,58
PADILLA,atencion odontologica,exodoncia,2018-01-01,0,0,9,17,2,7,16,21,13,3,0,0,0,0,88
PAILON,atencion odontologica,exodoncia,2018-01-01,2,0,7,7,1,2,5,18,1,0,0,0,0,0,43
PALCA,atencion odontologica,exodoncia,2018-01-01,2,1,34,20,18,17,14,39,8,5,0,0,0,0,158
PALOS BLANCOS,atencion odontologica,exodoncia,2018-01-01,2,1,23,12,6,9,10,23,12,10,0,0,0,0,108
PAMPA AULLAGAS,atencion odontologica,exodoncia,2018-01-01,0,0,0,4,1,0,0,2,0,0,0,0,0,0,7
PAMPA GRANDE,atencion odontologica,exodoncia,2018-01-01,0,0,3,2,0,2,0,3,5,2,0,0,0,0,17
PAPEL PAMPA,atencion odontologica,exodoncia,2018-01-01,0,0,1,2,2,1,2,3,1,2,0,0,0,0,14
PASORAPA,atencion odontologica,exodoncia,2018-01-01,0,0,2,2,0,0,0,7,3,0,0,0,0,0,14
PAZÑA,atencion odontologica,exodoncia,2018-01-01,0,0,9,12,1,3,3,7,0,0,0,0,0,0,35
PELECHUCO,atencion odontologica,exodoncia,2018-01-01,0,0,2,4,2,10,12,12,4,3,0,0,0,0,49
POCOATA,atencion odontologica,exodoncia,2018-01-01,0,0,2,4,0,0,0,2,3,1,0,0,0,0,12
POCONA,atencion odontologica,exodoncia,2018-01-01,0,0,2,3,3,2,3,6,4,5,0,0,0,0,28
POJO (CBBA),atencion odontologica,exodoncia,2018-01-01,0,0,7,5,0,0,2,4,2,4,0,0,0,0,24
POOPO,atencion odontologica,exodoncia,2018-01-01,0,0,16,6,3,3,4,10,2,2,0,0,0,0,46
PORCO,atencion odontologica,exodoncia,2018-01-01,0,0,3,0,2,1,3,0,0,0,0,0,0,0,9
POROMA,atencion odontologica,exodoncia,2018-01-01,0,2,2,3,0,0,3,2,3,4,0,0,0,0,19
PORTACHUELO,atencion odontologica,exodoncia,2018-01-01,0,0,3,2,0,0,0,1,1,0,0,0,0,0,7
PORVENIR,atencion odontologica,exodoncia,2018-01-01,0,1,9,5,3,1,7,4,1,2,0,0,0,0,33
POSTRER VALLE,atencion odontologica,exodoncia,2018-01-01,0,0,1,2,0,1,0,1,0,0,0,0,0,0,5
POTOSI,atencion odontologica,exodoncia,2018-01-01,6,5,47,50,19,33,29,121,30,32,0,0,0,0,372
PRESTO,atencion odontologica,exodoncia,2018-01-01,0,0,2,2,0,0,1,13,0,2,0,0,0,0,20
PUCARA,atencion odontologica,exodoncia,2018-01-01,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
PUCARANI,atencion odontologica,exodoncia,2018-01-01,1,2,34,41,10,40,19,59,20,23,0,0,0,0,249
PUERTO ACOSTA,atencion odontologica,exodoncia,2018-01-01,1,0,14,6,7,6,12,27,13,19,0,0,0,0,105
PUERTO CARABUCO,atencion odontologica,exodoncia,2018-01-01,1,0,13,4,4,10,10,8,14,12,0,0,0,0,76
PUERTO GONZALO MORENO,atencion odontologica,exodoncia,2018-01-01,0,0,13,4,2,3,3,9,2,0,0,0,0,0,36
PUERTO PEREZ,atencion odontologica,exodoncia,2018-01-01,0,1,2,4,0,0,0,4,4,5,0,0,0,0,20
PUERTO QUIJARRO,atencion odontologica,exodoncia,2018-01-01,0,0,0,0,18,0,0,0,0,1,0,0,0,0,19
PUERTO RICO,atencion odontologica,exodoncia,2018-01-01,0,0,8,3,15,3,17,26,6,0,0,0,0,0,78
PUERTO SUAREZ,atencion odontologica,exodoncia,2018-01-01,0,0,0,0,1,5,5,4,5,2,0,0,0,0,22
PUERTO VILLARROEL,atencion odontologica,exodoncia,2018-01-01,3,3,8,15,2,15,5,38,14,9,0,0,0,0,112
PUNA,atencion odontologica,exodoncia,2018-01-01,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3
PUNATA,atencion odontologica,exodoncia,2018-01-01,1,0,9,20,1,3,1,10,13,4,0,0,0,0,62
QUIABAYA,atencion odontologica,exodoncia,2018-01-01,0,0,1,5,3,6,6,19,8,2,0,0,0,0,50
QUILLACOLLO,atencion odontologica,exodoncia,2018-01-01,27,20,33,50,44,42,28,40,46,44,0,0,0,0,374
QUIME,atencion odontologica,exodoncia,2018-01-01,2,2,10,17,10,11,11,22,16,14,0,0,0,0,115
RAVELO,atencion odontologica,exodoncia,2018-01-01,0,0,5,1,3,4,9,24,20,15,0,0,0,0,81
REYES,atencion odontologica,exodoncia,2018-01-01,0,0,1,0,1,1,2,1,1,0,0,0,0,0,7
RIBERALTA,atencion odontologica,exodoncia,2018-01-01,0,3,13,29,21,25,31,45,8,5,0,0,0,0,180
ROBORE,atencion odontologica,exodoncia,2018-01-01,0,0,0,1,6,5,7,10,0,0,0,0,0,0,29
RURRENABAQUE,atencion odontologica,exodoncia,2018-01-01,2,4,11,8,9,5,17,18,4,5,0,0,0,0,83
SABAYA,atencion odontologica,exodoncia,2018-01-01,0,0,2,6,1,3,11,7,2,2,0,0,0,0,34
SACABA,atencion odontologica,exodoncia,2018-01-01,6,3,14,25,0,3,4,28,35,40,0,0,0,0,158
SACABAMBA,atencion odontologica,exodoncia,2018-01-01,0,0,3,5,0,1,4,2,0,4,0,0,0,0,19
SACACA,atencion odontologica,exodoncia,2018-01-01,1,0,6,6,2,6,9,14,4,4,0,0,0,0,52
SAIPINA,atencion odontologica,exodoncia,2018-01-01,0,0,3,6,2,2,2,2,1,1,0,0,0,0,19
SALINAS DE GARCI MENDOZA,atencion odontologica,exodoncia,2018-01-01,0,0,14,10,2,4,9,8,6,9,0,0,0,0,62
SAMAIPATA,atencion odontologica,exodoncia,2018-01-01,0,0,4,11,0,2,1,9,4,1,0,0,0,0,32
SAN AGUSTIN,atencion odontologica,exodoncia,2018-01-01,0,0,0,2,0,0,0,6,0,0,0,0,0,0,8
SAN ANDRES,atencion odontologica,exodoncia,2018-01-01,0,0,8,12,1,1,4,10,1,1,0,0,0,0,38
SAN ANDRES DE MACHACA,atencion odontologica,exodoncia,2018-01-01,0,0,1,1,2,0,3,3,0,2,0,0,0,0,12
SAN ANTONIO DE ESMORUCO,atencion odontologica,exodoncia,2018-01-01,0,0,1,0,0,0,2,1,0,0,0,0,0,0,4
SAN ANTONIO DE LOMERIO,atencion odontologica,exodoncia,2018-01-01,0,0,2,2,2,0,1,3,1,0,0,0,0,0,11
SAN BENITO,atencion odontologica,exodoncia,2018-01-01,0,0,1,1,0,0,0,1,3,0,0,0,0,0,6
SAN BORJA,atencion odontologica,exodoncia,2018-01-01,4,1,13,8,1,6,8,21,8,7,0,0,0,0,77
SAN BUENA VENTURA,atencion odontologica,exodoncia,2018-01-01,0,3,1,2,3,0,1,16,0,0,0,0,0,0,26
