,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2018-02-01,0,0,1,2,2,0,0,11,8,1,0,0,0,0,25
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2018-02-01,0,0,2,0,0,2,4,8,1,1,0,0,0,0,18
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2018-02-01,1,0,2,3,0,2,10,23,0,0,0,0,0,0,41
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2018-03-01,6,5,8,0,0,0,2,5,0,0,0,0,0,0,26
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2018-03-01,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2018-03-01,2,2,2,7,3,2,37,34,4,9,0,0,0,0,102
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2018-03-01,0,1,1,3,0,1,6,2,1,0,0,0,0,0,15
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2018-03-01,0,0,0,0,2,0,8,5,0,0,0,0,0,0,15
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2018-03-01,3,0,1,5,1,0,16,16,1,1,0,0,0,0,44
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2018-03-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2018-04-01,0,3,1,0,0,0,6,1,1,2,0,0,0,0,14
COLQUIRI,atencion odontologica,trat. de fracturas dentoalveolares,2018-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2018-04-01,4,2,7,8,1,1,34,35,7,13,0,0,0,0,112
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2018-04-01,3,1,1,0,0,1,14,17,5,3,0,0,0,0,45
SAN BORJA,atencion odontologica,trat. de fracturas dentoalveolares,2018-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2018-04-01,3,1,1,2,0,0,4,11,0,0,0,0,0,0,22
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2018-04-01,1,0,4,2,0,2,11,27,2,1,0,0,0,0,50
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2018-04-01,1,1,0,0,1,0,2,0,0,0,0,0,0,0,5
CARAPARI,atencion odontologica,trat. de fracturas dentoalveolares,2018-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2018-05-01,1,2,1,0,1,0,3,7,0,0,0,0,0,0,15
LA GUARDIA,atencion odontologica,trat. de fracturas dentoalveolares,2018-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2018-05-01,2,2,3,1,0,0,9,13,3,4,0,0,0,0,37
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2018-05-01,1,3,0,0,0,0,0,10,2,0,0,0,0,0,16
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2018-05-01,2,1,1,1,2,2,10,20,2,0,0,0,0,0,41
CARAPARI,atencion odontologica,trat. de fracturas dentoalveolares,2018-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
COBIJA,atencion odontologica,trat. de fracturas dentoalveolares,2018-06-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2018-06-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2018-06-01,0,1,1,0,0,0,2,0,0,0,0,0,0,0,4
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2018-06-01,0,2,2,5,0,1,3,19,2,2,0,0,0,0,36
RIBERALTA,atencion odontologica,trat. de fracturas dentoalveolares,2018-06-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SAN JUAN DE YAPACANI,atencion odontologica,trat. de fracturas dentoalveolares,2018-06-01,0,0,1,2,0,0,0,7,0,0,0,0,0,0,10
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2018-06-01,1,1,1,0,0,0,4,3,0,0,0,0,0,0,10
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2018-06-01,0,0,0,0,0,1,1,3,1,0,0,0,0,0,6
COBIJA,atencion odontologica,trat. de fracturas dentoalveolares,2018-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2018-07-01,0,1,5,0,0,0,2,1,0,0,0,0,0,0,9
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2018-07-01,2,2,2,4,2,4,23,38,10,14,0,0,0,0,101
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2018-07-01,2,1,4,6,0,0,15,24,5,3,0,0,0,0,60
QUILLACOLLO,atencion odontologica,trat. de fracturas dentoalveolares,2018-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2018-07-01,0,0,2,0,0,0,10,6,0,3,0,0,0,0,21
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2018-07-01,2,3,3,3,0,1,15,22,4,2,0,0,0,0,55
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2018-07-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2018-07-01,0,0,1,0,1,3,2,5,0,0,0,0,0,0,12
YAPACANI,atencion odontologica,trat. de fracturas dentoalveolares,2018-07-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2018-08-01,2,0,0,8,0,0,0,5,0,1,0,0,0,0,16
COTOCA,atencion odontologica,trat. de fracturas dentoalveolares,2018-08-01,0,0,1,1,0,1,1,20,0,1,0,0,0,0,25
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2018-08-01,0,0,1,0,0,0,2,0,1,0,0,0,0,0,4
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2018-08-01,2,4,5,12,1,1,35,48,4,8,0,0,0,0,120
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2018-08-01,0,2,2,2,0,1,15,24,10,5,0,0,0,0,61
QUILLACOLLO,atencion odontologica,trat. de fracturas dentoalveolares,2018-08-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAMAIPATA,atencion odontologica,trat. de fracturas dentoalveolares,2018-08-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2018-08-01,1,0,7,0,0,0,5,4,0,0,0,0,0,0,17
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2018-08-01,1,0,2,0,0,0,13,16,7,2,0,0,0,0,41
URUBICHA,atencion odontologica,trat. de fracturas dentoalveolares,2018-08-01,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2018-09-01,0,0,2,2,0,0,1,3,1,3,0,0,0,0,12
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2018-09-01,0,0,0,0,0,1,0,2,1,0,0,0,0,0,4
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2018-09-01,2,3,6,3,3,1,16,26,8,10,0,0,0,0,78
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2018-09-01,0,4,0,1,0,0,13,21,7,7,0,0,0,0,53
PORVENIR,atencion odontologica,trat. de fracturas dentoalveolares,2018-09-01,1,3,2,1,0,0,2,4,0,0,0,0,0,0,13
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2018-09-01,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2018-09-01,0,0,0,0,0,0,12,20,5,0,0,0,0,0,37
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2018-09-01,0,0,0,1,0,0,1,2,0,0,0,0,0,0,4
"CAIZA ""D""",atencion odontologica,trat. de fracturas dentoalveolares,2018-10-01,0,0,2,4,1,3,3,8,2,6,0,0,0,0,29
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2018-10-01,3,3,2,1,0,0,4,2,0,0,0,0,0,0,15
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2018-10-01,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2018-10-01,5,4,0,5,1,1,25,35,3,3,0,0,0,0,82
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2018-10-01,0,2,1,4,0,0,17,19,6,8,0,0,0,0,57
POTOSI,atencion odontologica,trat. de fracturas dentoalveolares,2018-10-01,2,2,2,1,0,0,1,5,3,2,0,0,0,0,18
QUILLACOLLO,atencion odontologica,trat. de fracturas dentoalveolares,2018-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2018-10-01,3,0,1,0,0,0,2,8,2,1,0,0,0,0,17
SOPACHUY,atencion odontologica,trat. de fracturas dentoalveolares,2018-10-01,0,0,2,1,2,1,0,9,0,1,0,0,0,0,16
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2018-10-01,1,1,2,1,2,0,17,26,2,1,0,0,0,0,53
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2018-10-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2018-11-01,1,1,0,2,0,0,1,1,0,0,0,0,0,0,6
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2018-11-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2018-11-01,5,4,3,5,3,2,31,39,5,6,0,0,0,0,103
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2018-11-01,1,1,2,4,0,1,5,9,8,5,0,0,0,0,36
POTOSI,atencion odontologica,trat. de fracturas dentoalveolares,2018-11-01,2,1,2,2,0,1,4,4,0,1,0,0,0,0,17
QUILLACOLLO,atencion odontologica,trat. de fracturas dentoalveolares,2018-11-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2018-11-01,2,0,0,0,4,0,0,2,0,0,0,0,0,0,8
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2018-11-01,0,0,1,3,1,0,11,24,0,3,0,0,0,0,43
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2018-11-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
BOLPEBRA,atencion odontologica,trat. de fracturas dentoalveolares,2018-12-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CHAYANTA,atencion odontologica,trat. de fracturas dentoalveolares,2018-12-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2018-12-01,1,0,0,0,1,0,3,1,3,0,0,0,0,0,9
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2018-12-01,0,1,0,0,0,0,4,0,0,0,0,0,0,0,5
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2018-12-01,4,6,2,2,2,1,16,45,1,2,0,0,0,0,81
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2018-12-01,0,1,1,1,0,1,2,5,13,4,0,0,0,0,28
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2018-12-01,2,8,6,0,0,0,6,7,2,7,0,0,0,0,38
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2018-12-01,0,0,3,5,2,0,7,10,1,1,0,0,0,0,29
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2018-12-01,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
