,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-01-01,0,0,2,0,1,1,2,1,0,0,0,0,0,0,7
TARVITA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-01-01,0,0,1,0,1,5,0,0,0,3,0,0,0,0,10
YACUIBA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
HUACARETA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-02-01,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-02-01,0,0,0,0,0,5,0,5,1,0,0,0,0,0,11
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-02-01,1,0,0,0,2,3,5,6,0,2,0,0,0,0,19
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-02-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
VILLA SERRANO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-02-01,0,0,2,3,0,0,6,8,9,0,0,0,0,0,28
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-03-01,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ESCOMA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-03-01,0,0,1,4,1,3,3,6,4,1,0,0,0,0,23
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-03-01,0,0,0,4,0,2,1,4,7,0,0,0,0,0,18
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-03-01,0,0,1,1,4,10,9,7,5,2,0,0,0,0,39
SAN JULIAN,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-03-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-03-01,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-03-01,0,0,0,0,0,0,0,2,5,0,0,0,0,0,7
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-04-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-04-01,0,0,0,1,0,6,5,3,0,0,0,0,0,0,15
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-04-01,0,0,0,0,4,1,4,6,0,2,0,0,0,0,17
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-04-01,0,0,2,0,0,1,1,1,3,1,0,0,0,0,9
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-05-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
LA GUARDIA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-05-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-05-01,0,0,1,1,0,4,3,10,0,0,0,0,0,0,19
MORO MORO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-05-01,0,0,4,3,0,1,1,2,2,2,0,0,0,0,15
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-05-01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-05-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-05-01,0,2,0,0,0,0,1,1,0,0,0,0,0,0,4
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-05-01,0,0,0,0,0,0,4,7,2,0,0,0,0,0,13
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-06-01,0,0,0,4,5,10,0,0,4,0,0,0,0,0,23
LLALLAGUA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-06-01,0,1,0,1,0,0,2,4,0,1,0,0,0,0,9
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-06-01,0,0,0,0,0,0,1,2,0,1,0,0,0,0,4
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-06-01,0,0,2,2,0,1,6,7,21,19,0,0,0,0,58
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-06-01,0,0,0,0,1,0,0,2,0,1,0,0,0,0,4
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-06-01,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3
CHAYANTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-07-01,0,0,3,0,0,1,3,3,0,1,0,0,0,0,11
CHIMORE,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-07-01,0,0,5,7,0,0,0,14,0,0,0,0,0,0,26
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-07-01,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-07-01,0,0,0,0,5,9,2,7,0,0,0,0,0,0,23
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-07-01,0,0,0,0,1,1,3,2,0,0,0,0,0,0,7
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-07-01,0,0,0,4,0,1,3,0,1,0,0,0,0,0,9
TUPIZA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
YAPACANI,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-07-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
CAMIRI,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CKOCHAS,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-08-01,0,0,4,1,1,1,1,12,12,9,0,0,0,0,41
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
GENERAL SAAVEDRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-08-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-08-01,0,0,1,2,6,0,3,8,0,0,0,0,0,0,20
LAGUNILLAS,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-08-01,4,0,4,5,0,3,2,4,0,0,0,0,0,0,22
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-08-01,2,1,1,0,0,1,2,1,2,0,0,0,0,0,10
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-08-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SAN IGNACIO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-08-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-08-01,0,0,0,0,0,4,1,4,0,0,0,0,0,0,9
TUPIZA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
URUBICHA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-08-01,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4
YACUIBA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CARANAVI,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-09-01,0,1,7,11,5,2,3,5,0,1,0,0,0,0,35
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-09-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-09-01,0,0,1,1,2,1,0,1,0,0,0,0,0,0,6
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-09-01,0,0,0,0,3,1,1,6,2,1,0,0,0,0,14
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-09-01,1,1,0,1,2,1,3,2,1,0,0,0,0,0,12
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-09-01,0,1,0,0,0,2,0,6,0,0,0,0,0,0,9
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-09-01,0,0,0,1,0,0,3,0,0,0,0,0,0,0,4
AIQUILE,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-10-01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3
"CAIZA ""D""",atencion odontologica,cirugia bucomaxilofacial  mediana,2018-10-01,1,0,3,6,2,4,8,14,6,6,0,0,0,0,50
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-10-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
COLQUECHACA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-10-01,0,0,1,4,1,0,2,4,1,0,0,0,0,0,13
CULPINA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-10-01,0,0,1,1,3,1,2,3,5,0,0,0,0,0,16
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-10-01,0,0,0,0,2,6,3,8,0,0,0,0,0,0,19
MIZQUE,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-10-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-10-01,0,0,1,1,0,4,2,1,0,0,0,0,0,0,9
POTOSI,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-10-01,1,0,3,2,1,0,4,2,0,0,0,0,0,0,13
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-10-01,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-10-01,0,1,0,1,0,0,2,6,0,1,0,0,0,0,11
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-11-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-11-01,0,0,2,0,1,0,1,10,1,0,0,0,0,0,15
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-11-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-11-01,0,0,0,1,0,1,0,2,0,0,0,0,0,0,4
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-11-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-11-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-11-01,0,0,0,1,0,0,0,1,1,1,0,0,0,0,4
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-11-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
ATOCHA,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-12-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-12-01,0,0,3,5,0,0,0,0,0,0,0,0,0,0,8
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-12-01,0,0,0,0,2,2,5,8,0,0,0,0,0,0,17
MORO MORO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-12-01,0,0,1,2,1,0,2,1,0,1,0,0,0,0,8
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-12-01,3,0,1,2,1,4,7,4,0,1,0,0,0,0,23
POTOSI,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-12-01,0,0,4,4,6,12,1,1,2,0,0,0,0,0,30
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-12-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
QUILLACOLLO,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2018-12-01,0,0,5,4,2,0,0,1,4,0,0,0,0,0,16
