,group,variable,month,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA EMB,PERIODONCIA EMB,PERIODONCIA POST,PERIODONCIA POST,TOTALES
ASCENCION DE GUARAYOS,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
ATOCHA,atencion odontologica,periodoncia,2018-01-01,0,0,0,2,0,1,8,20,10,20,0,0,0,0,61
AYATA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,2,4,1,0,0,0,0,0,7
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica,periodoncia,2018-01-01,0,0,1,2,2,2,7,13,3,1,0,0,0,0,31
AZURDUY,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
BATALLAS,atencion odontologica,periodoncia,2018-01-01,0,0,2,0,0,0,0,1,1,0,0,0,0,0,4
BAURES,atencion odontologica,periodoncia,2018-01-01,0,0,0,2,0,2,3,5,0,0,0,0,0,0,12
BELEN DE ANDAMARCA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BELEN DE URMIRI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
BELLA FLOR,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
BERMEJO,atencion odontologica,periodoncia,2018-01-01,0,0,2,0,4,2,5,15,0,0,0,0,0,0,28
BETANZOS,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,1,3,0,3,1,0,0,0,0,0,8
BOLIVAR,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,3,1,0,0,0,0,0,5
BOYUIBE,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BUENA VISTA,atencion odontologica,periodoncia,2018-01-01,0,0,1,1,2,1,3,6,0,0,0,0,0,0,14
CABEZAS,atencion odontologica,periodoncia,2018-01-01,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4
CAIROMA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
"CAIZA ""D""",atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,2,1,0,0,0,0,0,4
CAJUATA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,0,3,0,0,0,0,0,0,4
CALACOTO,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3
CALAMARCA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,3,2,1,0,0,0,0,0,0,0,6
CAMARGO,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,2,3,6,1,2,0,0,0,0,14
CAMIRI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,2,3,4,4,9,1,0,0,0,0,23
CAPINOTA,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,1,3,2,18,1,3,0,0,0,0,29
CAQUIAVIRI,atencion odontologica,periodoncia,2018-01-01,0,0,3,5,3,4,3,6,5,11,0,0,0,0,40
CARACOLLO,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,0,1,1,5,1,3,0,0,0,0,12
CARANAVI,atencion odontologica,periodoncia,2018-01-01,0,0,2,3,6,9,2,26,8,9,0,0,0,0,65
CARAPARI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,1,1,6,10,0,0,0,0,0,0,18
CARIPUYO,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CARMEN RIVERO TORREZ,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,1,3,2,28,4,5,0,0,0,0,43
CHALLAPATA,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,4,7,13,38,30,19,0,0,0,0,112
CHAQUI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,2,2,0,1,2,0,0,0,0,7
CHARAGUA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,3,3,8,0,0,0,0,0,0,14
CHARAÑA,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3
CHAYANTA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,9,0,1,0,0,0,0,10
CHIMORE,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,0,1,3,1,1,1,0,0,0,0,8
CHIPAYA,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3
CHOQUE COTA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CHUA COCANI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,3,1,2,4,0,0,0,0,10
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,2,2,5,2,0,0,0,0,0,11
CHUMA,atencion odontologica,periodoncia,2018-01-01,0,0,1,1,0,0,2,3,1,0,0,0,0,0,8
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CKOCHAS,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,1,5,3,19,19,17,0,0,0,0,64
CLIZA,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,4,3,9,21,8,10,0,0,0,0,56
COBIJA,atencion odontologica,periodoncia,2018-01-01,0,0,1,1,1,2,15,14,4,0,0,0,0,0,38
COCAPATA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,3,0,11,12,13,0,0,0,0,39
COCHABAMBA,atencion odontologica,periodoncia,2018-01-01,0,0,55,75,74,154,313,687,142,85,0,0,0,0,1585
COIPASA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
COLCAPIRHUA,atencion odontologica,periodoncia,2018-01-01,0,0,1,3,0,1,8,28,13,13,0,0,0,0,67
"COLCHA ""K""",atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,5,3,1,0,0,0,0,9
COLLANA,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3
COLOMI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,5,2,11,10,11,0,0,0,0,39
COLQUECHACA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,2,2,1,16,7,10,0,0,0,0,38
COLQUENCHA,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4
COLQUIRI,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,0,0,0,1,2,4,0,0,0,0,8
COMANCHE,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COMARAPA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
CONCEPCION,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3
COPACABANA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CORO CORO,atencion odontologica,periodoncia,2018-01-01,0,0,1,1,1,0,1,2,0,0,0,0,0,0,6
CORQUE,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,0,2,3,4,0,0,0,0,10
COTAGAITA,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,3,0,3,7,0,0,0,0,0,0,14
COTOCA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,3,0,4,1,2,0,0,0,0,10
CUATRO CAÑADAS,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,1,1,6,12,17,9,0,0,0,0,46
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,periodoncia,2018-01-01,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3
CULPINA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
CURAHUARA DE CARANGAS,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,0,1,4,5,0,0,0,0,11
CURVA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
DESAGUADERO,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
EL ALTO,atencion odontologica,periodoncia,2018-01-01,0,0,48,38,58,98,91,290,34,34,0,0,0,0,691
EL CHORO,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
EL PUENTE(STC),atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
EL PUENTE(TJA),atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
EL TORNO,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,6,17,4,9,0,0,0,0,36
EL VILLAR,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,1,0,1,4,0,0,0,0,0,0,6
ENTRE RIOS TRJ,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,2,4,8,19,5,7,0,0,0,0,45
ENTRE RIOS CBBA,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3
ESCARA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ESCOMA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,2,2,1,0,0,0,0,0,0,5
ESMERALDA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
FERNANDEZ ALONSO,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,1,0,0,3,0,0,0,0,0,0,4
FILADELFIA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,3,3,3,0,0,0,0,0,9
GUANAY,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,11,17,12,0,0,0,0,40
GUAQUI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
GUAYARAMERIN,atencion odontologica,periodoncia,2018-01-01,0,0,3,0,1,11,0,23,1,2,0,0,0,0,41
GUTIERREZ,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
HUACAYA (VILLA DE HUACAYA),atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
HUACHACALLA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,4,4,1,0,0,0,0,9
HUANUNI,atencion odontologica,periodoncia,2018-01-01,0,0,3,1,2,2,11,31,1,3,0,0,0,0,54
HUARACAJE,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4
HUARINA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
HUATAJATA,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
HUMANATA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,1,4,7,0,0,0,0,13
ICHOCA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,1,3,6,0,0,0,0,11
ICLA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,3,1,3,2,0,0,0,0,0,0,9
INCAHUASI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
INGAVI (HUMAITA),atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
INQUISIVI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4
IRUPANA (VILLA DE LANZA),atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6
IXIAMAS,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4
JESUS DE MACHACA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
LA ASUNTA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,3,1,1,13,0,0,0,0,0,0,18
LA GUARDIA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,1,5,0,22,5,4,0,0,0,0,37
LA PAZ,atencion odontologica,periodoncia,2018-01-01,0,0,103,52,177,174,409,792,121,136,0,0,0,0,1964
LA RIVERA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
LAS CARRERAS,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
LICOMA PAMPA,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
LLALLAGUA,atencion odontologica,periodoncia,2018-01-01,0,0,2,5,0,0,1,8,0,1,0,0,0,0,17
MACHACAMARCA,atencion odontologica,periodoncia,2018-01-01,0,0,10,6,4,2,1,7,1,4,0,0,0,0,35
MACHARETI,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MAGDALENA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,1,0,0,6,1,1,0,0,0,0,9
MAIRANA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,6,14,5,7,0,0,0,0,32
MALLA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
MAPIRI,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,0,4,0,9,5,3,0,0,0,0,22
MINEROS,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,1,2,2,0,0,0,0,0,6
MIZQUE,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,0,6,1,5,3,11,0,0,0,0,27
MOJOCOYA,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,2,1,3,12,0,1,0,0,0,0,20
MONTEAGUDO,atencion odontologica,periodoncia,2018-01-01,0,0,0,2,0,4,3,23,2,0,0,0,0,0,34
MONTERO,atencion odontologica,periodoncia,2018-01-01,0,0,13,11,10,20,18,80,22,16,0,0,0,0,190
MORO MORO,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
MOROCHATA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,3,2,6,6,2,0,0,0,0,19
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
OCURI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,2,3,2,0,0,0,0,7
OKINAWA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ORURO,atencion odontologica,periodoncia,2018-01-01,0,0,2,11,37,53,273,269,110,10,0,0,0,0,765
PADILLA,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,1,1,3,9,0,2,0,0,0,0,17
PAILON,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,3,2,1,7,5,0,0,0,0,0,18
PALCA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PALOS BLANCOS,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,3,3,1,12,2,3,0,0,0,0,24
PAMPA AULLAGAS,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
PAMPA GRANDE,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3
PAPEL PAMPA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,8,2,0,0,0,0,11
PASORAPA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,0,3,2,2,0,0,0,0,8
PATACAMAYA,atencion odontologica,periodoncia,2018-01-01,0,0,1,1,0,0,1,4,1,1,0,0,0,0,9
PAZÑA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,3,1,2,1,0,0,0,0,8
POCOATA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,0,6,0,0,0,0,0,0,7
POOPO,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,1,2,2,7,2,2,0,0,0,0,16
PORCO,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
POROMA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
PORTACHUELO,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PORVENIR,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,1,0,2,1,0,0,0,0,0,0,4
POSTRER VALLE,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,0,0,0,2,1,0,0,0,0,0,4
POTOSI,atencion odontologica,periodoncia,2018-01-01,0,0,5,9,10,10,10,55,2,3,0,0,0,0,104
PRESTO,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PUCARANI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
PUERTO ACOSTA,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,1,2,1,2,0,0,0,0,0,0,7
PUERTO CARABUCO,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,5,0,2,0,0,0,0,8
PUERTO GONZALO MORENO,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,0,2,1,5,1,1,0,0,0,0,11
PUERTO RICO,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PUERTO SUAREZ,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4
PUERTO VILLARROEL,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,9,6,27,3,4,0,0,0,0,49
PUNA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,1,2,0,3,0,0,0,0,0,0,6
PUNATA,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,1,3,2,18,0,3,0,0,0,0,28
QUIABAYA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
QUILLACOLLO,atencion odontologica,periodoncia,2018-01-01,0,0,9,9,3,26,14,60,28,24,0,0,0,0,173
QUIME,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3
RAVELO,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,2,5,3,5,0,0,0,0,15
REYES,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,1,5,0,0,0,0,0,0,7
RIBERALTA,atencion odontologica,periodoncia,2018-01-01,0,0,2,8,9,36,19,80,3,3,0,0,0,0,160
ROBORE,atencion odontologica,periodoncia,2018-01-01,0,0,2,2,3,3,5,14,1,1,0,0,0,0,31
RURRENABAQUE,atencion odontologica,periodoncia,2018-01-01,0,0,6,4,4,3,11,12,6,5,0,0,0,0,51
SABAYA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,4,1,0,1,0,0,0,0,6
SACABA,atencion odontologica,periodoncia,2018-01-01,0,0,2,1,3,4,11,51,21,28,0,0,0,0,121
SACABAMBA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,0,2,5,4,0,0,0,0,12
SALINAS DE GARCI MENDOZA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,3,5,0,0,0,0,9
SAMAIPATA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3
SAN AGUSTIN,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,0,1,1,2,0,2,0,0,0,0,7
SAN ANDRES,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,0,5,4,10,0,1,0,0,0,0,21
SAN ANDRES DE MACHACA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SAN BENITO,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,2,2,1,0,0,0,0,0,5
SAN BORJA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,2,1,12,19,1,1,0,0,0,0,36
SAN BUENA VENTURA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3
SAN CARLOS,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
SAN IGNACIO,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,2,3,5,6,1,0,0,0,0,0,18
SAN IGNACIO DE VELASCO,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6
SAN JAVIER(STC),atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,2,4,6,1,2,0,0,0,0,15
SAN JOAQUIN,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SAN JOSE DE CHIQUITOS,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,3,3,1,3,0,0,0,0,0,0,10
SAN JUAN DE YAPACANI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,3,3,2,0,0,0,0,8
SAN JULIAN,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,0,2,4,16,4,16,0,0,0,0,43
SAN LORENZO(TJA),atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SAN LUCAS,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,0,4,3,19,1,1,0,0,0,0,29
SAN MATIAS,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,1,0,0,2,1,0,0,0,0,0,4
SAN PABLO DE LIPEZ,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SAN PEDRO,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,1,2,12,2,0,0,0,0,17
SAN PEDRO DE BUENA VISTA,atencion odontologica,periodoncia,2018-01-01,0,0,1,1,0,3,2,8,6,4,0,0,0,0,25
SAN RAFAEL,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,3,3,0,10,4,3,0,0,0,0,24
SAN RAMON SCZ,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
SANTA ANA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,periodoncia,2018-01-01,0,0,25,19,37,140,184,686,99,85,0,0,0,0,1275
SANTA ROSA DEL SARA,atencion odontologica,periodoncia,2018-01-01,0,0,2,0,0,2,0,6,10,7,0,0,0,0,27
SANTIAGO DE CALLAPA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
SANTIAGO DE HUARI,atencion odontologica,periodoncia,2018-01-01,0,0,2,1,0,3,2,7,13,15,0,0,0,0,43
SANTIAGO DE HUATA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,1,1,5,0,2,0,0,0,0,9
SANTIAGO DE MACHACA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
SANTIVAÑES,atencion odontologica,periodoncia,2018-01-01,0,0,1,0,0,2,1,4,2,3,0,0,0,0,13
SANTUARIO DE QUILLACAS,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
SAPAHAQUI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,2,0,2,1,0,0,0,0,5
SENA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
SHINAOTA,atencion odontologica,periodoncia,2018-01-01,0,0,0,1,0,2,1,9,1,1,0,0,0,0,15
SIPE SIPE,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,7,6,30,14,19,0,0,0,0,76
SOPACHUY,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,0,3,7,0,0,0,0,0,0,10
SORACACHI,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,2,0,1,2,2,0,0,0,0,7
SORATA,atencion odontologica,periodoncia,2018-01-01,0,0,0,0,0,3,1,4,1,1,0,0,0,0,10
SUCRE,atencion odontologica,periodoncia,2018-01-01,0,0,18,24,31,45,150,245,11,6,0,0,0,0,530
