,group,variable,month,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES REPETIDO,TOTALES,TOTALES,TOTALES
BATALLAS,consulta externa,menores de 6 meses,2018-01-01,16,15,0,3,16,18,34
BAURES,consulta externa,menores de 6 meses,2018-01-01,13,18,0,1,13,19,32
BELEN DE ANDAMARCA,consulta externa,menores de 6 meses,2018-01-01,0,1,0,0,0,1,1
BELEN DE URMIRI,consulta externa,menores de 6 meses,2018-01-01,4,0,0,0,4,0,4
BELLA FLOR,consulta externa,menores de 6 meses,2018-01-01,5,10,0,0,5,10,15
BERMEJO,consulta externa,menores de 6 meses,2018-01-01,187,146,9,7,196,153,349
BETANZOS,consulta externa,menores de 6 meses,2018-01-01,43,38,0,0,43,38,81
BOLIVAR,consulta externa,menores de 6 meses,2018-01-01,6,6,0,0,6,6,12
BOLPEBRA,consulta externa,menores de 6 meses,2018-01-01,0,1,0,0,0,1,1
BOYUIBE,consulta externa,menores de 6 meses,2018-01-01,13,12,0,0,13,12,25
BUENA VISTA,consulta externa,menores de 6 meses,2018-01-01,41,33,7,5,48,38,86
CABEZAS,consulta externa,menores de 6 meses,2018-01-01,155,117,9,15,164,132,296
CAIROMA,consulta externa,menores de 6 meses,2018-01-01,31,23,8,3,39,26,65
"CAIZA ""D""",consulta externa,menores de 6 meses,2018-01-01,22,13,0,0,22,13,35
CAJUATA,consulta externa,menores de 6 meses,2018-01-01,49,28,0,0,49,28,77
CALACOTO,consulta externa,menores de 6 meses,2018-01-01,2,3,5,5,7,8,15
CALAMARCA,consulta externa,menores de 6 meses,2018-01-01,21,11,6,2,27,13,40
CAMARGO,consulta externa,menores de 6 meses,2018-01-01,43,36,3,6,46,42,88
CAMATAQUI (C. VILLA ABECIA),consulta externa,menores de 6 meses,2018-01-01,0,1,0,2,0,3,3
CAMIRI,consulta externa,menores de 6 meses,2018-01-01,125,98,18,12,143,110,253
CAPINOTA,consulta externa,menores de 6 meses,2018-01-01,72,54,20,17,92,71,163
CAQUIAVIRI,consulta externa,menores de 6 meses,2018-01-01,10,16,0,0,10,16,26
CARACOLLO,consulta externa,menores de 6 meses,2018-01-01,101,80,1,1,102,81,183
CARANAVI,consulta externa,menores de 6 meses,2018-01-01,200,195,70,79,270,274,544
CARANGAS,consulta externa,menores de 6 meses,2018-01-01,1,2,0,0,1,2,3
CARAPARI,consulta externa,menores de 6 meses,2018-01-01,55,35,9,2,64,37,101
CARIPUYO,consulta externa,menores de 6 meses,2018-01-01,7,2,0,0,7,2,9
CARMEN RIVERO TORREZ,consulta externa,menores de 6 meses,2018-01-01,10,8,2,0,12,8,20
CATACORA,consulta externa,menores de 6 meses,2018-01-01,7,3,0,1,7,4,11
CHALLAPATA,consulta externa,menores de 6 meses,2018-01-01,144,128,3,7,147,135,282
CHAQUI,consulta externa,menores de 6 meses,2018-01-01,15,16,0,0,15,16,31
CHARAGUA,consulta externa,menores de 6 meses,2018-01-01,136,127,7,4,143,131,274
CHARAÑA,consulta externa,menores de 6 meses,2018-01-01,1,1,0,0,1,1,2
CHAYANTA,consulta externa,menores de 6 meses,2018-01-01,17,13,0,0,17,13,30
CHIMORE,consulta externa,menores de 6 meses,2018-01-01,161,140,28,28,189,168,357
CHIPAYA,consulta externa,menores de 6 meses,2018-01-01,7,9,0,0,7,9,16
CHOQUE COTA,consulta externa,menores de 6 meses,2018-01-01,0,1,0,0,0,1,1
CHUA COCANI,consulta externa,menores de 6 meses,2018-01-01,4,5,6,5,10,10,20
CHULUMANI (V. DE LA LIBERTAD),consulta externa,menores de 6 meses,2018-01-01,91,79,2,1,93,80,173
CHUMA,consulta externa,menores de 6 meses,2018-01-01,12,16,0,0,12,16,28
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,menores de 6 meses,2018-01-01,8,6,0,0,8,6,14
CKOCHAS,consulta externa,menores de 6 meses,2018-01-01,30,21,0,0,30,21,51
CLIZA,consulta externa,menores de 6 meses,2018-01-01,32,42,30,39,62,81,143
COBIJA,consulta externa,menores de 6 meses,2018-01-01,197,169,33,27,230,196,426
COCAPATA,consulta externa,menores de 6 meses,2018-01-01,64,60,1,1,65,61,126
COCHABAMBA,consulta externa,menores de 6 meses,2018-01-01,2864,2630,883,925,3747,3555,7302
COLCAPIRHUA,consulta externa,menores de 6 meses,2018-01-01,104,120,83,90,187,210,397
"COLCHA ""K""",consulta externa,menores de 6 meses,2018-01-01,39,24,6,2,45,26,71
COLLANA,consulta externa,menores de 6 meses,2018-01-01,2,3,0,0,2,3,5
COLOMI,consulta externa,menores de 6 meses,2018-01-01,58,53,7,3,65,56,121
COLPA BELGICA,consulta externa,menores de 6 meses,2018-01-01,12,18,2,1,14,19,33
COLQUECHACA,consulta externa,menores de 6 meses,2018-01-01,79,79,1,0,80,79,159
COLQUENCHA,consulta externa,menores de 6 meses,2018-01-01,7,5,2,7,9,12,21
COLQUIRI,consulta externa,menores de 6 meses,2018-01-01,10,22,0,0,10,22,32
COMANCHE,consulta externa,menores de 6 meses,2018-01-01,0,5,0,0,0,5,5
COMARAPA,consulta externa,menores de 6 meses,2018-01-01,34,33,4,8,38,41,79
COMBAYA,consulta externa,menores de 6 meses,2018-01-01,3,7,0,1,3,8,11
CONCEPCION,consulta externa,menores de 6 meses,2018-01-01,46,26,2,2,48,28,76
COPACABANA,consulta externa,menores de 6 meses,2018-01-01,17,11,0,1,17,12,29
CORIPATA,consulta externa,menores de 6 meses,2018-01-01,55,61,13,17,68,78,146
CORO CORO,consulta externa,menores de 6 meses,2018-01-01,21,22,1,4,22,26,48
COROICO,consulta externa,menores de 6 meses,2018-01-01,46,62,6,13,52,75,127
CORQUE,consulta externa,menores de 6 meses,2018-01-01,15,18,2,3,17,21,38
COTAGAITA,consulta externa,menores de 6 meses,2018-01-01,37,33,1,1,38,34,72
COTOCA,consulta externa,menores de 6 meses,2018-01-01,143,127,9,8,152,135,287
CUATRO CAÑADAS,consulta externa,menores de 6 meses,2018-01-01,78,51,18,11,96,62,158
CUCHUMUELA (V. G. VILLARROEL),consulta externa,menores de 6 meses,2018-01-01,6,4,0,2,6,6,12
CUEVO,consulta externa,menores de 6 meses,2018-01-01,8,10,1,4,9,14,23
CULPINA,consulta externa,menores de 6 meses,2018-01-01,31,22,0,0,31,22,53
CURAHUARA DE CARANGAS,consulta externa,menores de 6 meses,2018-01-01,3,2,1,0,4,2,6
CURVA,consulta externa,menores de 6 meses,2018-01-01,2,4,0,1,2,5,7
DESAGUADERO,consulta externa,menores de 6 meses,2018-01-01,2,14,0,0,2,14,16
EL ALTO,consulta externa,menores de 6 meses,2018-01-01,3392,3390,1136,1175,4528,4565,9093
EL CHORO,consulta externa,menores de 6 meses,2018-01-01,8,6,0,0,8,6,14
EL PUENTE(STC),consulta externa,menores de 6 meses,2018-01-01,31,41,0,0,31,41,72
EL PUENTE(TJA),consulta externa,menores de 6 meses,2018-01-01,26,16,1,2,27,18,45
EL TORNO,consulta externa,menores de 6 meses,2018-01-01,116,107,38,33,154,140,294
EL VILLAR,consulta externa,menores de 6 meses,2018-01-01,3,1,0,0,3,1,4
ENTRE RIOS TRJ,consulta externa,menores de 6 meses,2018-01-01,46,35,1,1,47,36,83
ENTRE RIOS CBBA,consulta externa,menores de 6 meses,2018-01-01,182,174,19,15,201,189,390
ESCARA,consulta externa,menores de 6 meses,2018-01-01,0,2,0,0,0,2,2
ESCOMA,consulta externa,menores de 6 meses,2018-01-01,15,9,2,1,17,10,27
EUCALIPTUS,consulta externa,menores de 6 meses,2018-01-01,13,5,0,0,13,5,18
EUREKA (SANTOS MERCADO),consulta externa,menores de 6 meses,2018-01-01,3,5,0,0,3,5,8
EXALTACION,consulta externa,menores de 6 meses,2018-01-01,8,6,0,1,8,7,15
FERNANDEZ ALONSO,consulta externa,menores de 6 meses,2018-01-01,67,43,25,29,92,72,164
FILADELFIA,consulta externa,menores de 6 meses,2018-01-01,25,17,0,1,25,18,43
GENERAL SAAVEDRA,consulta externa,menores de 6 meses,2018-01-01,53,64,5,5,58,69,127
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,menores de 6 meses,2018-01-01,17,14,6,3,23,17,40
GUANAY,consulta externa,menores de 6 meses,2018-01-01,43,52,7,4,50,56,106
GUAQUI,consulta externa,menores de 6 meses,2018-01-01,2,3,1,0,3,3,6
GUAYARAMERIN,consulta externa,menores de 6 meses,2018-01-01,132,120,26,18,158,138,296
GUTIERREZ,consulta externa,menores de 6 meses,2018-01-01,55,53,3,1,58,54,112
HUACARETA,consulta externa,menores de 6 meses,2018-01-01,15,21,1,3,16,24,40
HUACAYA (VILLA DE HUACAYA),consulta externa,menores de 6 meses,2018-01-01,5,3,0,2,5,5,10
HUACHACALLA,consulta externa,menores de 6 meses,2018-01-01,8,8,1,0,9,8,17
HUANUNI,consulta externa,menores de 6 meses,2018-01-01,68,53,14,4,82,57,139
HUARACAJE,consulta externa,menores de 6 meses,2018-01-01,11,5,1,0,12,5,17
HUARINA,consulta externa,menores de 6 meses,2018-01-01,7,6,10,8,17,14,31
HUATAJATA,consulta externa,menores de 6 meses,2018-01-01,4,5,6,5,10,10,20
HUAYLLAMARCA,consulta externa,menores de 6 meses,2018-01-01,4,2,0,0,4,2,6
HUMANATA,consulta externa,menores de 6 meses,2018-01-01,6,10,0,0,6,10,16
ICHOCA,consulta externa,menores de 6 meses,2018-01-01,7,10,0,2,7,12,19
ICLA,consulta externa,menores de 6 meses,2018-01-01,35,27,0,0,35,27,62
INCAHUASI,consulta externa,menores de 6 meses,2018-01-01,42,26,1,1,43,27,70
INGAVI (HUMAITA),consulta externa,menores de 6 meses,2018-01-01,8,6,0,0,8,6,14
INQUISIVI,consulta externa,menores de 6 meses,2018-01-01,15,24,0,0,15,24,39
IRUPANA (VILLA DE LANZA),consulta externa,menores de 6 meses,2018-01-01,45,47,8,3,53,50,103
IXIAMAS,consulta externa,menores de 6 meses,2018-01-01,28,16,0,0,28,16,44
JESUS DE MACHACA,consulta externa,menores de 6 meses,2018-01-01,25,26,17,24,42,50,92
LA ASUNTA,consulta externa,menores de 6 meses,2018-01-01,127,101,2,9,129,110,239
LA GUARDIA,consulta externa,menores de 6 meses,2018-01-01,343,275,60,38,403,313,716
LA PAZ,consulta externa,menores de 6 meses,2018-01-01,3516,3458,734,864,4250,4322,8572
LA RIVERA,consulta externa,menores de 6 meses,2018-01-01,0,1,0,0,0,1,1
LAGUNILLAS,consulta externa,menores de 6 meses,2018-01-01,21,20,7,11,28,31,59
LAJA,consulta externa,menores de 6 meses,2018-01-01,31,23,4,5,35,28,63
LAS CARRERAS,consulta externa,menores de 6 meses,2018-01-01,6,6,0,0,6,6,12
LICOMA PAMPA,consulta externa,menores de 6 meses,2018-01-01,5,7,2,0,7,7,14
LLALLAGUA,consulta externa,menores de 6 meses,2018-01-01,194,151,5,4,199,155,354
LLICA,consulta externa,menores de 6 meses,2018-01-01,1,5,0,0,1,5,6
LORETO,consulta externa,menores de 6 meses,2018-01-01,13,7,1,0,14,7,21
LURIBAY,consulta externa,menores de 6 meses,2018-01-01,17,13,7,3,24,16,40
MACHACAMARCA,consulta externa,menores de 6 meses,2018-01-01,15,5,0,0,15,5,20
MACHARETI,consulta externa,menores de 6 meses,2018-01-01,25,30,0,0,25,30,55
MAGDALENA,consulta externa,menores de 6 meses,2018-01-01,26,25,3,1,29,26,55
MAIRANA,consulta externa,menores de 6 meses,2018-01-01,28,27,2,3,30,30,60
MALLA,consulta externa,menores de 6 meses,2018-01-01,4,4,0,0,4,4,8
MAPIRI,consulta externa,menores de 6 meses,2018-01-01,57,66,23,26,80,92,172
MECAPACA,consulta externa,menores de 6 meses,2018-01-01,15,12,1,3,16,15,31
MINEROS,consulta externa,menores de 6 meses,2018-01-01,45,42,5,7,50,49,99
MIZQUE,consulta externa,menores de 6 meses,2018-01-01,70,65,3,2,73,67,140
MOCOMOCO,consulta externa,menores de 6 meses,2018-01-01,9,6,0,0,9,6,15
MOJINETE,consulta externa,menores de 6 meses,2018-01-01,1,0,0,0,1,0,1
MOJOCOYA,consulta externa,menores de 6 meses,2018-01-01,10,11,0,1,10,12,22
MONTEAGUDO,consulta externa,menores de 6 meses,2018-01-01,158,123,11,6,169,129,298
MONTERO,consulta externa,menores de 6 meses,2018-01-01,758,608,69,42,827,650,1477
MORO MORO,consulta externa,menores de 6 meses,2018-01-01,13,6,2,0,15,6,21
MOROCHATA,consulta externa,menores de 6 meses,2018-01-01,10,21,1,0,11,21,32
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,menores de 6 meses,2018-01-01,12,16,0,0,12,16,28
NAZACARA DE PACAJES,consulta externa,menores de 6 meses,2018-01-01,1,3,1,4,2,7,9
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,menores de 6 meses,2018-01-01,8,7,0,0,8,7,15
OCURI,consulta externa,menores de 6 meses,2018-01-01,23,24,0,0,23,24,47
OKINAWA,consulta externa,menores de 6 meses,2018-01-01,28,45,0,1,28,46,74
OMEREQUE,consulta externa,menores de 6 meses,2018-01-01,28,21,2,0,30,21,51
ORURO,consulta externa,menores de 6 meses,2018-01-01,1053,1128,288,287,1341,1415,2756
PADCAYA,consulta externa,menores de 6 meses,2018-01-01,51,43,3,1,54,44,98
PADILLA,consulta externa,menores de 6 meses,2018-01-01,33,42,1,2,34,44,78
PAILON,consulta externa,menores de 6 meses,2018-01-01,67,53,4,3,71,56,127
PALCA,consulta externa,menores de 6 meses,2018-01-01,37,35,1,1,38,36,74
PALOS BLANCOS,consulta externa,menores de 6 meses,2018-01-01,136,114,9,26,145,140,285
PAMPA AULLAGAS,consulta externa,menores de 6 meses,2018-01-01,3,7,0,0,3,7,10
PAMPA GRANDE,consulta externa,menores de 6 meses,2018-01-01,23,23,1,0,24,23,47
PAPEL PAMPA,consulta externa,menores de 6 meses,2018-01-01,22,4,0,0,22,4,26
PASORAPA,consulta externa,menores de 6 meses,2018-01-01,4,15,0,0,4,15,19
PATACAMAYA,consulta externa,menores de 6 meses,2018-01-01,73,53,0,2,73,55,128
PAZÑA,consulta externa,menores de 6 meses,2018-01-01,6,6,0,0,6,6,12
PELECHUCO,consulta externa,menores de 6 meses,2018-01-01,19,15,1,0,20,15,35
POCOATA,consulta externa,menores de 6 meses,2018-01-01,19,15,0,0,19,15,34
POCONA,consulta externa,menores de 6 meses,2018-01-01,31,24,0,1,31,25,56
POJO (CBBA),consulta externa,menores de 6 meses,2018-01-01,35,30,2,0,37,30,67
POOPO,consulta externa,menores de 6 meses,2018-01-01,14,8,0,1,14,9,23
PORCO,consulta externa,menores de 6 meses,2018-01-01,31,19,1,0,32,19,51
POROMA,consulta externa,menores de 6 meses,2018-01-01,24,27,0,0,24,27,51
PORONGO,consulta externa,menores de 6 meses,2018-01-01,19,22,0,1,19,23,42
PORTACHUELO,consulta externa,menores de 6 meses,2018-01-01,53,40,0,0,53,40,93
PORVENIR,consulta externa,menores de 6 meses,2018-01-01,8,14,3,1,11,15,26
POSTRER VALLE,consulta externa,menores de 6 meses,2018-01-01,1,3,0,0,1,3,4
POTOSI,consulta externa,menores de 6 meses,2018-01-01,849,815,25,27,874,842,1716
PRESTO,consulta externa,menores de 6 meses,2018-01-01,8,6,0,1,8,7,15
PUCARA,consulta externa,menores de 6 meses,2018-01-01,4,3,0,0,4,3,7
PUCARANI,consulta externa,menores de 6 meses,2018-01-01,42,44,1,0,43,44,87
PUERTO ACOSTA,consulta externa,menores de 6 meses,2018-01-01,20,11,1,1,21,12,33
PUERTO CARABUCO,consulta externa,menores de 6 meses,2018-01-01,5,10,2,8,7,18,25
PUERTO GONZALO MORENO,consulta externa,menores de 6 meses,2018-01-01,20,20,1,2,21,22,43
PUERTO PEREZ,consulta externa,menores de 6 meses,2018-01-01,5,9,0,0,5,9,14
PUERTO QUIJARRO,consulta externa,menores de 6 meses,2018-01-01,26,20,22,8,48,28,76
PUERTO RICO,consulta externa,menores de 6 meses,2018-01-01,29,35,2,0,31,35,66
PUERTO SILES,consulta externa,menores de 6 meses,2018-01-01,7,1,0,0,7,1,8
PUERTO SUAREZ,consulta externa,menores de 6 meses,2018-01-01,61,60,13,14,74,74,148
PUERTO VILLARROEL,consulta externa,menores de 6 meses,2018-01-01,421,348,23,13,444,361,805
PUNA,consulta externa,menores de 6 meses,2018-01-01,14,18,1,0,15,18,33
PUNATA,consulta externa,menores de 6 meses,2018-01-01,122,106,10,13,132,119,251
QUIABAYA,consulta externa,menores de 6 meses,2018-01-01,8,6,0,0,8,6,14
QUILLACOLLO,consulta externa,menores de 6 meses,2018-01-01,504,460,336,264,840,724,1564
QUIME,consulta externa,menores de 6 meses,2018-01-01,16,10,0,0,16,10,26
QUIRUSILLAS,consulta externa,menores de 6 meses,2018-01-01,6,2,0,0,6,2,8
RAQAYPAMPA(ETA),consulta externa,menores de 6 meses,2018-01-01,30,19,2,0,32,19,51
RAVELO,consulta externa,menores de 6 meses,2018-01-01,28,18,0,0,28,18,46
REYES,consulta externa,menores de 6 meses,2018-01-01,43,32,0,2,43,34,77
RIBERALTA,consulta externa,menores de 6 meses,2018-01-01,456,437,58,53,514,490,1004
ROBORE,consulta externa,menores de 6 meses,2018-01-01,28,19,2,1,30,20,50
RURRENABAQUE,consulta externa,menores de 6 meses,2018-01-01,68,57,1,2,69,59,128
SABAYA,consulta externa,menores de 6 meses,2018-01-01,2,7,1,0,3,7,10
SACABA,consulta externa,menores de 6 meses,2018-01-01,598,594,98,99,696,693,1389
SACABAMBA,consulta externa,menores de 6 meses,2018-01-01,12,8,0,0,12,8,20
SACACA,consulta externa,menores de 6 meses,2018-01-01,27,31,0,0,27,31,58
SAIPINA,consulta externa,menores de 6 meses,2018-01-01,12,9,4,1,16,10,26
SALINAS DE GARCI MENDOZA,consulta externa,menores de 6 meses,2018-01-01,11,19,1,1,12,20,32
SAMAIPATA,consulta externa,menores de 6 meses,2018-01-01,17,20,3,2,20,22,42
SAN AGUSTIN,consulta externa,menores de 6 meses,2018-01-01,6,5,1,0,7,5,12
SAN ANDRES,consulta externa,menores de 6 meses,2018-01-01,42,24,2,3,44,27,71
SAN ANDRES DE MACHACA,consulta externa,menores de 6 meses,2018-01-01,3,1,2,1,5,2,7
SAN ANTONIO DE ESMORUCO,consulta externa,menores de 6 meses,2018-01-01,5,4,0,0,5,4,9
SAN ANTONIO DE LOMERIO,consulta externa,menores de 6 meses,2018-01-01,16,11,3,1,19,12,31
SAN BENITO,consulta externa,menores de 6 meses,2018-01-01,24,18,20,7,44,25,69
SAN BORJA,consulta externa,menores de 6 meses,2018-01-01,133,144,5,4,138,148,286
SAN BUENA VENTURA,consulta externa,menores de 6 meses,2018-01-01,44,34,1,0,45,34,79
SAN CARLOS,consulta externa,menores de 6 meses,2018-01-01,29,37,3,3,32,40,72
SAN IGNACIO,consulta externa,menores de 6 meses,2018-01-01,113,87,10,8,123,95,218
SAN IGNACIO DE VELASCO,consulta externa,menores de 6 meses,2018-01-01,136,121,3,6,139,127,266
SAN JAVIER(BNI),consulta externa,menores de 6 meses,2018-01-01,11,14,2,0,13,14,27
SAN JAVIER(STC),consulta externa,menores de 6 meses,2018-01-01,26,27,1,0,27,27,54
SAN JOAQUIN,consulta externa,menores de 6 meses,2018-01-01,22,7,1,1,23,8,31
SAN JOSE DE CHIQUITOS,consulta externa,menores de 6 meses,2018-01-01,20,31,9,4,29,35,64
SAN JUAN DE YAPACANI,consulta externa,menores de 6 meses,2018-01-01,36,36,18,5,54,41,95
SAN JULIAN,consulta externa,menores de 6 meses,2018-01-01,159,113,103,81,262,194,456
SAN LORENZO(PND),consulta externa,menores de 6 meses,2018-01-01,17,21,1,0,18,21,39
SAN LORENZO(TJA),consulta externa,menores de 6 meses,2018-01-01,88,77,3,1,91,78,169
SAN LUCAS,consulta externa,menores de 6 meses,2018-01-01,62,51,0,0,62,51,113
SAN MATIAS,consulta externa,menores de 6 meses,2018-01-01,31,34,0,1,31,35,66
SAN MIGUEL DE VELASCO,consulta externa,menores de 6 meses,2018-01-01,28,21,4,4,32,25,57
SAN PABLO DE LIPEZ,consulta externa,menores de 6 meses,2018-01-01,12,7,0,0,12,7,19
SAN PEDRO,consulta externa,menores de 6 meses,2018-01-01,89,65,5,6,94,71,165
SAN PEDRO DE BUENA VISTA,consulta externa,menores de 6 meses,2018-01-01,41,36,3,1,44,37,81
SAN PEDRO DE CURAHUARA,consulta externa,menores de 6 meses,2018-01-01,9,5,0,0,9,5,14
SAN PEDRO DE QUEMES,consulta externa,menores de 6 meses,2018-01-01,0,1,0,0,0,1,1
SAN PEDRO DE TIQUINA,consulta externa,menores de 6 meses,2018-01-01,4,5,0,1,4,6,10
SAN PEDRO(PND),consulta externa,menores de 6 meses,2018-01-01,4,6,0,0,4,6,10
SAN RAFAEL,consulta externa,menores de 6 meses,2018-01-01,14,21,16,16,30,37,67
SAN RAMON BENI,consulta externa,menores de 6 meses,2018-01-01,12,24,0,3,12,27,39
SAN RAMON SCZ,consulta externa,menores de 6 meses,2018-01-01,40,22,2,0,42,22,64
SANTA ANA,consulta externa,menores de 6 meses,2018-01-01,94,92,9,13,103,105,208
SANTA CRUZ DE LA SIERRA,consulta externa,menores de 6 meses,2018-01-01,3521,3233,627,584,4148,3817,7965
SANTA ROSA,consulta externa,menores de 6 meses,2018-01-01,21,24,0,0,21,24,45
SANTA ROSA DEL SARA,consulta externa,menores de 6 meses,2018-01-01,43,64,0,0,43,64,107
SANTIAGO DE CALLAPA,consulta externa,menores de 6 meses,2018-01-01,6,5,1,4,7,9,16
SANTIAGO DE HUARI,consulta externa,menores de 6 meses,2018-01-01,14,21,0,1,14,22,36
SANTIAGO DE HUATA,consulta externa,menores de 6 meses,2018-01-01,2,3,0,2,2,5,7
SANTIAGO DE MACHACA,consulta externa,menores de 6 meses,2018-01-01,3,1,0,0,3,1,4
SANTIVAÑES,consulta externa,menores de 6 meses,2018-01-01,10,7,0,1,10,8,18
SANTUARIO DE QUILLACAS,consulta externa,menores de 6 meses,2018-01-01,8,3,0,0,8,3,11
SAPAHAQUI,consulta externa,menores de 6 meses,2018-01-01,13,18,0,0,13,18,31
SENA,consulta externa,menores de 6 meses,2018-01-01,25,31,2,0,27,31,58
SHINAOTA,consulta externa,menores de 6 meses,2018-01-01,121,120,10,16,131,136,267
SICA SICA (VILLA AROMA),consulta externa,menores de 6 meses,2018-01-01,27,31,0,1,27,32,59
SICAYA,consulta externa,menores de 6 meses,2018-01-01,11,10,0,0,11,10,21
SIPE SIPE,consulta externa,menores de 6 meses,2018-01-01,142,116,35,29,177,145,322
SOPACHUY,consulta externa,menores de 6 meses,2018-01-01,21,22,0,0,21,22,43
SORACACHI,consulta externa,menores de 6 meses,2018-01-01,13,12,0,0,13,12,25
SORATA,consulta externa,menores de 6 meses,2018-01-01,40,43,17,15,57,58,115
SUCRE,consulta externa,menores de 6 meses,2018-01-01,944,958,145,161,1089,1119,2208
TACACHI,consulta externa,menores de 6 meses,2018-01-01,2,2,0,0,2,2,4
TACACOMA,consulta externa,menores de 6 meses,2018-01-01,29,32,16,7,45,39,84
TACOBAMBA,consulta externa,menores de 6 meses,2018-01-01,6,7,0,0,6,7,13
TACOPAYA,consulta externa,menores de 6 meses,2018-01-01,15,14,0,1,15,15,30
TAHUA,consulta externa,menores de 6 meses,2018-01-01,4,3,0,0,4,3,7
TAPACARI,consulta externa,menores de 6 meses,2018-01-01,43,41,1,2,44,43,87
TARABUCO,consulta externa,menores de 6 meses,2018-01-01,69,42,0,0,69,42,111
TARACO,consulta externa,menores de 6 meses,2018-01-01,6,3,2,2,8,5,13
TARATA,consulta externa,menores de 6 meses,2018-01-01,29,33,4,6,33,39,72
TARIJA,consulta externa,menores de 6 meses,2018-01-01,770,732,270,285,1040,1017,2057
TARVITA,consulta externa,menores de 6 meses,2018-01-01,56,63,2,0,58,63,121
TEOPONTE,consulta externa,menores de 6 meses,2018-01-01,48,34,5,5,53,39,92
TIAWANACU,consulta externa,menores de 6 meses,2018-01-01,13,17,0,1,13,18,31
TINGUIPAYA,consulta externa,menores de 6 meses,2018-01-01,46,27,1,0,47,27,74
TIPUANI,consulta externa,menores de 6 meses,2018-01-01,29,31,0,0,29,31,60
TIQUIPAYA,consulta externa,menores de 6 meses,2018-01-01,170,182,12,16,182,198,380
TIRAQUE (CBBA),consulta externa,menores de 6 meses,2018-01-01,35,33,9,8,44,41,85
TOCO,consulta externa,menores de 6 meses,2018-01-01,15,19,3,6,18,25,43
TODOS SANTOS,consulta externa,menores de 6 meses,2018-01-01,1,1,0,0,1,1,2
TOLATA,consulta externa,menores de 6 meses,2018-01-01,10,21,7,10,17,31,48
TOLEDO,consulta externa,menores de 6 meses,2018-01-01,4,4,2,0,6,4,10
TOMAVE,consulta externa,menores de 6 meses,2018-01-01,33,15,0,1,33,16,49
TOMINA,consulta externa,menores de 6 meses,2018-01-01,36,22,1,1,37,23,60
TORO TORO,consulta externa,menores de 6 meses,2018-01-01,22,21,0,0,22,21,43
TOTORA(CBBA),consulta externa,menores de 6 meses,2018-01-01,39,30,0,3,39,33,72
TOTORA(ORR),consulta externa,menores de 6 meses,2018-01-01,9,17,2,2,11,19,30
TRIGAL,consulta externa,menores de 6 meses,2018-01-01,7,1,1,0,8,1,9
TRINIDAD,consulta externa,menores de 6 meses,2018-01-01,535,474,53,63,588,537,1125
