,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,2,0,1,0,3,0,3
TOLATA,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2010-01-01,7,1,2,1,9,2,11
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,1,0,1,0,2,0,2
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,0,1,1,2,1,3,4
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,1,0,0,0,1,0,1
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,0,0,0,1,0,1,1
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,0,1,1,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,1,6,1,6,2,12,14
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,3,0,0,0,3,0,3
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,0,1,0,0,0,1,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,1,0,0,1,1,1,2
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,0,0,0,1,0,1,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,1,1,0,0,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,3,2,1,3,4,5,9
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,14,0,6,0,20,0,20
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,0,1,0,0,0,1,1
POTOSI,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,1,0,1,0,2,0,2
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,2,0,0,0,2,0,2
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,1,1,0,0,1,1,2
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,0,0,4,0,4,0,4
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,2,2,0,0,2,2,4
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,1,0,2,1,3,1,4
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,1,0,1,0,2,0,2
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,1,0,1,0,2,0,2
TARATA,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,1,0,0,0,1,0,1
TARIJA,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,1,0,0,0,1,0,1
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,1,1,0,0,1,1,2
TIQUIPAYA,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,1,0,1,0,2,0,2
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2010-02-01,17,3,8,1,25,4,29
ALTO BENI,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,0,1,0,1,0,2,2
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,1,1,1,0,2,1,3
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,0,1,0,0,0,1,1
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,3,4,2,5,5,9,14
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,2,2,0,0,2,2,4
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,6,0,3,0,9,0,9
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,2,0,1,0,3,0,3
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,1,0,1,0,2,0,2
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,0,0,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,0,0,1,0,1,0,1
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,1,1,0,0,1,1,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,3,0,1,0,4,0,4
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,0,1,0,1,0,2,2
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,2,1,0,1,2,2,4
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,2,2,0,0,2,2,4
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,13,11,9,3,22,14,36
MAGDALENA,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,1,0,0,0,1,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,13,1,4,1,17,2,19
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,2,0,0,0,2,0,2
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,0,1,0,1,0,2,2
REYES,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,1,0,1,0,2,0,2
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,4,1,0,0,4,1,5
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,2,2,2,2,4,4,8
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,1,0,1,0,2,0,2
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,1,0,1,0,2,0,2
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,1,0,1,0,2,0,2
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,0,0,0,0,0,0,0
TIPUANI,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,0,0,1,0,1,0,1
TOLATA,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,0,0,1,0,1,0,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,0,1,0,0,0,1,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2010-03-01,7,4,12,1,19,5,24
AIQUILE,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,1,0,0,0,1,0,1
APOLO,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,1,0,0,0,1,0,1
ARQUE,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,0,1,0,0,0,1,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,1,0,0,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,0,0,1,1,1,1,2
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,2,1,2,0,4,1,5
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,0,1,0,1,0,2,2
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,7,1,1,0,8,1,9
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,1,0,9,0,10,0,10
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,0,0,1,0,1,0,1
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,0,6,0,0,0,6,6
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,0,1,0,0,0,1,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,7,1,2,0,9,1,10
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,1,1,3,2,4,3,7
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,2,0,4,2,6,2,8
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,17,13,11,11,28,24,52
LAGUNILLAS,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,2,0,0,0,2,0,2
MONTEAGUDO,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,0,0,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,1,0,0,0,1,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,7,6,5,3,12,9,21
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,6,0,1,0,7,0,7
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,2,0,1,0,3,0,3
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,5,0,3,0,8,0,8
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,1,0,1,0,2,0,2
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,0,1,0,0,0,1,1
REYES,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,1,0,0,0,1,0,1
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,2,0,2,0,4,0,4
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,0,0,1,0,1,0,1
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,1,0,0,0,1,0,1
SAN LUCAS,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,1,0,0,0,1,0,1
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,1,0,0,0,1,0,1
SENA,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,1,0,0,0,1,0,1
TARATA,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,0,0,1,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,6,1,6,2,12,3,15
YACUIBA,leishmaniasis,tratamientos de leishmania cutanea,2010-04-01,2,0,0,0,2,0,2
AIQUILE,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,0,0,1,0,1,0,1
BAURES,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,0,0,1,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,2,1,1,0,3,1,4
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,2,0,1,0,3,0,3
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,1,0,0,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,0,3,0,1,0,4,4
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,2,0,1,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,3,2,2,2,5,4,9
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,14,4,6,0,20,4,24
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,0,1,0,0,0,1,1
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,0,0,1,0,1,0,1
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,2,1,1,2,3,3,6
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,0,1,0,0,0,1,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,8,2,8,1,16,3,19
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,0,1,0,0,0,1,1
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,0,1,2,1,2,2,4
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,11,8,13,6,24,14,38
MAGDALENA,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,0,2,0,0,0,2,2
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,6,3,0,0,6,3,9
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,5,2,2,0,7,2,9
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,1,0,0,0,1,0,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,1,0,0,0,1,0,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,0,1,0,1,0,2,2
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,1,0,0,0,1,0,1
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,29,27,0,0,29,27,56
SENA,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,1,1,1,0,2,1,3
TARIJA,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,0,0,1,0,1,0,1
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,1,2,0,0,1,2,3
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,4,1,3,0,7,1,8
YANACACHI,leishmaniasis,tratamientos de leishmania cutanea,2010-05-01,1,0,0,0,1,0,1
APOLO,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,1,0,0,0,1,0,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,0,2,0,0,0,2,2
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,0,1,0,1,0,2,2
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,0,0,1,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,1,0,1,2,2,2,4
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,16,6,1,5,17,11,28
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,4,3,9,4,13,7,20
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,1,0,1,0,2,0,2
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,1,0,1,0,2,0,2
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,0,0,1,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,0,0,1,0,1,0,1
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,0,2,0,0,0,2,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,5,0,5,2,10,2,12
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,1,1,2,1,3,2,5
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,1,0,0,0,1,0,1
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,3,0,0,0,3,0,3
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,11,11,14,16,25,27,52
LICOMA PAMPA,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,0,1,0,0,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,0,1,0,2,0,3,3
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,6,6,3,1,9,7,16
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,0,0,1,1,1,1,2
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,1,0,0,0,1,0,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,1,1,0,0,1,1,2
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,0,0,0,1,0,1,1
REYES,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,1,3,0,0,1,3,4
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,0,0,1,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,3,0,0,0,3,0,3
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,1,0,1,0,2,0,2
SAN PEDRO(PND),leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,0,0,0,0,0,0,0
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,1,0,1,0,2,0,2
SENA,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,3,1,1,1,4,2,6
SIPE SIPE,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,1,0,1,0,2,0,2
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,6,1,0,0,6,1,7
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,1,0,1,0,2,0,2
VILLA RIVERO,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2010-06-01,6,1,3,3,9,4,13
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,0,1,0,2,0,3,3
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,1,1,0,0,1,1,2
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,3,0,0,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,1,3,5,6,6,9,15
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,0,4,3,2,3,6,9
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,1,0,0,0,1,0,1
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,2,2,0,0,2,2,4
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,1,2,1,0,2,2,4
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,2,0,0,0,2,0,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,0,0,5,0,5,0,5
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,2,0,1,1,3,1,4
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,1,0,5,0,6,0,6
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,21,23,20,24,41,47,88
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,0,0,0,2,0,2,2
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,24,8,12,4,36,12,48
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,2,1,0,0,2,1,3
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,0,0,1,0,1,0,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,3,3,1,1,4,4,8
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,0,0,3,0,3,0,3
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,1,0,1,0,2,0,2
SAN PEDRO(PND),leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,2,0,1,0,3,0,3
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,0,0,0,0,0,0,0
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,4,0,0,0,4,0,4
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,5,2,5,0,10,2,12
VINTO,leishmaniasis,tratamientos de leishmania cutanea,2010-07-01,0,1,0,0,0,1,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,1,1,0,0,1,1,2
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,0,0,1,1,1,1,2
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,2,5,1,3,3,8,11
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,8,4,5,1,13,5,18
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,6,4,1,1,7,5,12
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,4,0,3,3,7,3,10
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,2,0,1,0,3,0,3
COTAGAITA,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,6,0,0,0,6,0,6
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,0,0,1,0,1,0,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,1,0,0,0,1,0,1
INGAVI (HUMAITA),leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,1,0,0,0,1,0,1
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,2,2,0,0,2,2,4
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,9,8,4,1,13,9,22
MIZQUE,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,0,0,1,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,0,2,0,0,0,2,2
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,15,7,11,9,26,16,42
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,0,0,2,1,2,1,3
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,1,0,1,0,2,0,2
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,2,1,1,0,3,1,4
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,0,0,0,0,0,0,0
TARIJA,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,1,0,0,0,1,0,1
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,5,1,3,1,8,2,10
VINTO,leishmaniasis,tratamientos de leishmania cutanea,2010-08-01,0,0,0,1,0,1,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2010-09-01,1,1,0,0,1,1,2
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2010-09-01,1,1,0,0,1,1,2
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2010-09-01,1,0,0,0,1,0,1
CABEZAS,leishmaniasis,tratamientos de leishmania cutanea,2010-09-01,15,0,0,0,15,0,15
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2010-09-01,2,4,1,1,3,5,8
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2010-09-01,0,1,3,4,3,5,8
CARAPARI,leishmaniasis,tratamientos de leishmania cutanea,2010-09-01,0,0,1,0,1,0,1
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2010-09-01,2,2,1,0,3,2,5
