municipality,group,variable,month,RN con corte tardío de Cordón Umbilical,TOTAL
CHAQUI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,2,2
CHAYANTA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,4,4
"COLCHA ""K""",atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,7,7
COROICO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,1,1
CULPINA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,3,3
FILADELFIA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,5,5
ICLA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,3,3
INCAHUASI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,4,4
LLALLAGUA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,1,1
MACHARETI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,1,1
OCURI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,5,5
PADILLA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,1,1
PORCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,1,1
POROMA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,9,9
PRESTO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,5,5
SACACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,2,2
SAN LUCAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,16,16
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,2,2
SOPACHUY,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,1,1
TARABUCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,5,5
TOMAVE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,6,6
TORO TORO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,5,5
TOTORA(ORR),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,2,2
TUPIZA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,1,1
UNCIA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,5,5
VILLA SERRANO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,1,1
VITICHI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,3,3
YAMPARAEZ,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-02-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,2,2
CARIPUYO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,4,4
CHALLAPATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,4,4
CHAQUI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,4,4
CHAYANTA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,2,2
"COLCHA ""K""",atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,3,3
COLQUECHACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,1,1
CULPINA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,27,27
EL ALTO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,4,4
ICLA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,4,4
INCAHUASI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,6,6
LAS CARRERAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,1,1
LLALLAGUA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,2,2
MONTEAGUDO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,1,1
OCURI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,11,11
PORCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,1,1
POROMA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,10,10
PRESTO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,9,9
PUNA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,1,1
SAN BORJA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,4,4
SAN LUCAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,18,18
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,1,1
TARABUCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,3,3
TOMAVE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,6,6
TOMINA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,2,2
TORO TORO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,6,6
TOTORA(ORR),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,2,2
UNCIA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,1,1
VILLA SERRANO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,1,1
VITICHI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,7,7
ZUDAÑEZ,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-03-01,1,1
ACACIO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
ARAMPAMPA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
AYO AYO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,2,2
BELEN DE URMIRI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
CARIPUYO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,9,9
CHALLAPATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,5,5
CHAQUI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,2,2
CKOCHAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,3,3
"COLCHA ""K""",atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,2,2
COLQUECHACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,12,12
COTAGAITA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
CULPINA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,5,5
EL ALTO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,3,3
EL TORNO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
FILADELFIA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
HUMANATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,2,2
ICLA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
INCAHUASI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,7,7
MOCOMOCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,3,3
MOJOCOYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
OCURI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,7,7
PORCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,2,2
POROMA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
PRESTO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,6,6
REYES,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
ROBORE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,2,2
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
SAN BORJA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,10,10
SAN IGNACIO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
SAN LUCAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,16,16
SAN MATIAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,2,2
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,2,2
SAN PEDRO DE MACHA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,16,16
SAN PEDRO(PND),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,2,2
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
SOPACHUY,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
SUCRE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
TARABUCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,6,6
TOMAVE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,2,2
TORO TORO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,10,10
TOTORA(ORR),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
TUPIZA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
UNCIA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,7,7
VILLA SERRANO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,1,1
VITICHI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,2,2
ZUDAÑEZ,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-04-01,2,2
ANDAMARCA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,2,2
ARAMPAMPA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
"CAIZA ""D""",atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,2,2
CAMARGO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
CARIPUYO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,4,4
CHALLAPATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,5,5
CHAQUI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
CHAYANTA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,2,2
CKOCHAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,6,6
"COLCHA ""K""",atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,3,3
CULPINA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,4,4
EL ALTO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,9,9
EL TORNO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,3,3
EL VILLAR,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
HUMANATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,2,2
ICLA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,7,7
INCAHUASI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,9,9
JESUS DE MACHACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,2,2
LAS CARRERAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
LORETO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
MACHACAMARCA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
MOCOMOCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
OCURI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,4,4
PORCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,2,2
POROMA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,6,6
POTOSI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
PRESTO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,6,6
PUERTO RICO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
REYES,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
SACACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
SAN BORJA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,8,8
SAN LORENZO(PND),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,2,2
SAN LUCAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,16,16
SAN PEDRO DE MACHA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,16,16
SAN PEDRO(PND),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
SANTIAGO DE CALLAPA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
SAPAHAQUI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,2,2
TARABUCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
TARIJA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,1,1
TARVITA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,3,3
TOMAVE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,7,7
TORO TORO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,7,7
TOTORA(ORR),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,4,4
TUPIZA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,2,2
URUBICHA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,3,3
VILLA TUNARI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-05-01,6,6
ACACIO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
ACHACACHI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,23,23
AIQUILE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,2,2
ANDAMARCA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
APOLO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
ARAMPAMPA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,2,2
ARQUE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,6,6
ATOCHA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
AYATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
AYO AYO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
BETANZOS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,6,6
"CAIZA ""D""",atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,5,5
CAJUATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,2,2
CALAMARCA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,13,13
CAMARGO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
CARACOLLO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
CARANAVI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,2,2
CARIPUYO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,6,6
CHALLAPATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,13,13
CHAYANTA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,4,4
CHIPAYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
CKOCHAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,8,8
COCAPATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,23,23
"COLCHA ""K""",atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,5,5
COLOMI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
COLQUECHACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
COLQUENCHA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,5,5
COLQUIRI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,3,3
COMANCHE,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
COROICO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
CUEVO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
CULPINA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,3,3
CURAHUARA DE CARANGAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
CURVA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,3,3
EL ALTO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,9,9
EL VILLAR,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,6,6
ENTRE RIOS CBBA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,5,5
FILADELFIA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,2,2
GUAQUI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,2,2
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
HUAYLLAMARCA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
HUMANATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,2,2
ICHOCA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,2,2
ICLA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
INCAHUASI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,9,9
INQUISIVI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,3,3
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,10,10
JESUS DE MACHACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,2,2
LA ASUNTA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,2,2
LORETO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
MACHARETI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
MAGDALENA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
MOCOMOCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,2,2
MOROCHATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
OCURI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,5,5
PAMPA AULLAGAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,3,3
PATACAMAYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,4,4
PAZÑA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,5,5
PELECHUCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
POCOATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,27,27
POROMA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,6,6
PRESTO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,9,9
PUERTO ACOSTA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,2,2
PUERTO CARABUCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,4,4
PUERTO VILLARROEL,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,3,3
PUNA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,2,2
QUILLACOLLO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
RAVELO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
SACACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,2,2
SAN ANDRES DE MACHACA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
SAN BENITO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
SAN BORJA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,3,3
SAN LORENZO(PND),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,2,2
SAN LUCAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,19,19
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,6,6
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,6,6
SAN PEDRO DE MACHA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,15,15
SANTIAGO DE HUATA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,4,4
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
SAPAHAQUI,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,5,5
SICA SICA (VILLA AROMA),atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,6,6
SOPACHUY,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
TACACOMA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
TACOPAYA,atencion de partos en domicilio,rn con corte tardio de cordon umbilical,2021-06-01,1,1
