municipality,group,variable,month,Nacidos vivos atendidos por otros,TOTAL
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-02-01,1,1
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-02-01,3,3
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-02-01,1,1
MACHACAMARCA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-02-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-02-01,2,2
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-02-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-02-01,7,7
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-02-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-02-01,4,4
SUCRE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-02-01,1,1
VILLA MONTES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-02-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,1,1
COMANCHE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,1,1
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,15,15
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,5,5
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,2,2
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,2,2
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,4,4
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,2,2
SAN JULIAN,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,1,1
SAN RAMON SCZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,3,3
TIAHUANACU,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,3,3
TURCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,1,1
VILLA MONTES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,1,1
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-03-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
COBIJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
CONCEPCION,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,10,10
EL CHORO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,2,2
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,2,2
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,2,2
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,3,3
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,2,2
MAGDALENA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,2,2
PADILLA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,3,3
POROMA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,2,2
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
REYES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
RURRENABAQUE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,2,2
SACABA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,4,4
SAPAHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,5,5
VILLA MONTES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,1,1
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-04-01,2,2
ANZALDO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,2,2
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
CAMARGO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
CARMEN RIVERO TORREZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,2,2
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,19,19
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,3,3
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,3,3
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
LA ASUNTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,4,4
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,2,2
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,2,2
POSTRER VALLE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,5,5
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
REYES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,6,6
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,2,2
SANTIVAÑES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,2,2
SENA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
URIONDO (A. CONCEPCION),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
URUBICHA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
UYUNI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,2,2
VILLA MONTES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-05-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,2,2
BELEN DE URMIRI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,3,3
CARIPUYO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,2,2
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
CHUMA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,2,2
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,5,5
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,2,2
CUATRO CAÑADAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,14,14
EL PUENTE(STC),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,2,2
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,2,2
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,2,2
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,2,2
MACHARETI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
MINEROS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,10,10
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,2,2
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,3,3
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,2,2
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,2,2
RIBERALTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,3,3
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
SHINAOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,4,4
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,2,2
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
TIQUIPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,3,3
TRINIDAD,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
UYUNI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
VILA VILA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-06-01,1,1
AUCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,2,2
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
CABEZAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,50,50
"CAIZA ""D""",atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,4,4
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,2,2
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,2,2
COLQUENCHA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
CORQUE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,2,2
COTOCA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,19,19
LA GUARDIA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,4,4
MACHARETI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
MIZQUE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,12,12
PALOS BLANCOS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,4,4
POJO (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,2,2
POROMA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,3,3
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,2,2
PUERTO ACOSTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
PUNA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
PUNATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,5,5
RAVELO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,3,3
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,3,3
SAN LUCAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
SANTA ANA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
SANTIVAÑES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,2,2
SAPAHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,2,2
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,3,3
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,2,2
TARIJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
TIAHUANACU,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
TIPUANI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
TOLEDO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
VACAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
VILLA MONTES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,2,2
VILLA TUNARI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,2,2
WALDO BALLIVIAN,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,1,1
YAPACANI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-07-01,2,2
ACHOCALLA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
BATALLAS,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
CAMIRI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,3,3
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,5,5
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,3,3
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,14,14
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,2,2
MAIRANA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,2,2
MOROCHATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
OCURI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,2,2
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,7,7
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,2,2
PAZÑA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,4,4
PUCARANI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,2,2
QUILLACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,2,2
REYES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
RURRENABAQUE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
SACABA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,3,3
SACACA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,8,8
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,2,2
SANTA ANA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,3,3
SANTIVAÑES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
SAPAHAQUI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,3,3
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,6,6
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,2,2
TAPACARI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
TOTORA(CBBA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,3,3
VIACHA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,2,2
VILLA MONTES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
VILLAZON,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,2,2
VINTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
YACUIBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
YOTALA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-08-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,2,2
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,2,2
COCHABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,2,2
COLOMI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
CONCEPCION,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
CORO CORO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,8,8
EL TORNO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
ENTRE RIOS CBBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,2,2
GUTIERREZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,2,2
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,2,2
JESUS DE MACHACA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
LA ASUNTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,2,2
LLALLAGUA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
ORURO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,6,6
PAMPA GRANDE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
POJO (CBBA),atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,2,2
POTOSI,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,7,7
PUERTO PEREZ,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
SACABAMBA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,3,3
SAN BUENA VENTURA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,2,2
SANTIVAÑES,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
SHINAOTA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
SIPE SIPE,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,6,6
SOPACHUY,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
TACOPAYA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,2,2
TARATA,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
TIAHUANACU,atencion de partos en domicilio,nacidos vivos atendidos por otros,2021-09-01,1,1
