,group,variable,month,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES
LAS CARRERAS,consultas prenatales, repetidas,2014-01-01,12,2,14
LICOMA PAMPA,consultas prenatales, repetidas,2014-01-01,5,0,5
LLALLAGUA,consultas prenatales, repetidas,2014-01-01,309,4,313
LLICA,consultas prenatales, repetidas,2014-01-01,20,3,23
LORETO,consultas prenatales, repetidas,2014-01-01,12,2,14
LURIBAY,consultas prenatales, repetidas,2014-01-01,13,0,13
MACHACAMARCA,consultas prenatales, repetidas,2014-01-01,13,2,15
MACHARETI,consultas prenatales, repetidas,2014-01-01,47,2,49
MAGDALENA,consultas prenatales, repetidas,2014-01-01,115,1,116
MAIRANA,consultas prenatales, repetidas,2014-01-01,91,0,91
MALLA,consultas prenatales, repetidas,2014-01-01,0,3,3
MAPIRI,consultas prenatales, repetidas,2014-01-01,104,0,104
MECAPACA,consultas prenatales, repetidas,2014-01-01,63,3,66
MINEROS,consultas prenatales, repetidas,2014-01-01,197,0,197
MIZQUE,consultas prenatales, repetidas,2014-01-01,185,0,185
MOCOMOCO,consultas prenatales, repetidas,2014-01-01,34,2,36
MOJINETE,consultas prenatales, repetidas,2014-01-01,1,0,1
MOJOCOYA,consultas prenatales, repetidas,2014-01-01,30,4,34
MONTEAGUDO,consultas prenatales, repetidas,2014-01-01,242,7,249
MONTERO,consultas prenatales, repetidas,2014-01-01,1239,0,1239
MORO MORO,consultas prenatales, repetidas,2014-01-01,13,4,17
MOROCHATA,consultas prenatales, repetidas,2014-01-01,33,14,47
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales, repetidas,2014-01-01,10,0,10
NAZACARA DE PACAJES,consultas prenatales, repetidas,2014-01-01,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales, repetidas,2014-01-01,6,1,7
OCURI,consultas prenatales, repetidas,2014-01-01,45,22,67
OKINAWA,consultas prenatales, repetidas,2014-01-01,114,0,114
OMEREQUE,consultas prenatales, repetidas,2014-01-01,20,1,21
ORURO,consultas prenatales, repetidas,2014-01-01,2715,0,2715
PADCAYA,consultas prenatales, repetidas,2014-01-01,114,1,115
PADILLA,consultas prenatales, repetidas,2014-01-01,51,2,53
PAILON,consultas prenatales, repetidas,2014-01-01,150,3,153
PALCA,consultas prenatales, repetidas,2014-01-01,72,2,74
PALOS BLANCOS,consultas prenatales, repetidas,2014-01-01,236,0,236
PAMPA AULLAGAS,consultas prenatales, repetidas,2014-01-01,16,0,16
PAMPA GRANDE,consultas prenatales, repetidas,2014-01-01,58,1,59
PAPEL PAMPA,consultas prenatales, repetidas,2014-01-01,18,10,28
PASORAPA,consultas prenatales, repetidas,2014-01-01,14,3,17
PATACAMAYA,consultas prenatales, repetidas,2014-01-01,139,5,144
PAZÑA,consultas prenatales, repetidas,2014-01-01,22,2,24
PELECHUCO,consultas prenatales, repetidas,2014-01-01,26,1,27
POCOATA,consultas prenatales, repetidas,2014-01-01,46,31,77
POCONA,consultas prenatales, repetidas,2014-01-01,53,1,54
POJO (CBBA),consultas prenatales, repetidas,2014-01-01,61,1,62
POOPO,consultas prenatales, repetidas,2014-01-01,41,0,41
PORCO,consultas prenatales, repetidas,2014-01-01,80,1,81
POROMA,consultas prenatales, repetidas,2014-01-01,30,22,52
PORONGO,consultas prenatales, repetidas,2014-01-01,36,1,37
PORTACHUELO,consultas prenatales, repetidas,2014-01-01,270,0,270
PORVENIR,consultas prenatales, repetidas,2014-01-01,41,1,42
POSTRER VALLE,consultas prenatales, repetidas,2014-01-01,8,1,9
POTOSI,consultas prenatales, repetidas,2014-01-01,1857,0,1857
PRESTO,consultas prenatales, repetidas,2014-01-01,21,20,41
PUCARA,consultas prenatales, repetidas,2014-01-01,4,0,4
PUCARANI,consultas prenatales, repetidas,2014-01-01,125,9,134
PUERTO ACOSTA,consultas prenatales, repetidas,2014-01-01,12,12,24
PUERTO CARABUCO,consultas prenatales, repetidas,2014-01-01,36,6,42
PUERTO GONZALO MORENO,consultas prenatales, repetidas,2014-01-01,30,3,33
PUERTO PEREZ,consultas prenatales, repetidas,2014-01-01,20,1,21
PUERTO QUIJARRO,consultas prenatales, repetidas,2014-01-01,52,0,52
PUERTO RICO,consultas prenatales, repetidas,2014-01-01,59,5,64
PUERTO SILES,consultas prenatales, repetidas,2014-01-01,2,0,2
PUERTO SUAREZ,consultas prenatales, repetidas,2014-01-01,144,0,144
PUERTO VILLARROEL,consultas prenatales, repetidas,2014-01-01,598,0,598
PUNA,consultas prenatales, repetidas,2014-01-01,95,5,100
PUNATA,consultas prenatales, repetidas,2014-01-01,236,0,236
QUIABAYA,consultas prenatales, repetidas,2014-01-01,14,0,14
QUILLACOLLO,consultas prenatales, repetidas,2014-01-01,1015,34,1049
QUIME,consultas prenatales, repetidas,2014-01-01,48,0,48
QUIRUSILLAS,consultas prenatales, repetidas,2014-01-01,10,0,10
RAVELO,consultas prenatales, repetidas,2014-01-01,14,34,48
REYES,consultas prenatales, repetidas,2014-01-01,94,7,101
RIBERALTA,consultas prenatales, repetidas,2014-01-01,1055,9,1064
ROBORE,consultas prenatales, repetidas,2014-01-01,81,0,81
RURRENABAQUE,consultas prenatales, repetidas,2014-01-01,226,0,226
SABAYA,consultas prenatales, repetidas,2014-01-01,15,0,15
SACABA,consultas prenatales, repetidas,2014-01-01,964,0,964
SACABAMBA,consultas prenatales, repetidas,2014-01-01,19,1,20
SACACA,consultas prenatales, repetidas,2014-01-01,65,11,76
SAIPINA,consultas prenatales, repetidas,2014-01-01,40,0,40
SALINAS DE GARCI MENDOZA,consultas prenatales, repetidas,2014-01-01,41,24,65
SAMAIPATA,consultas prenatales, repetidas,2014-01-01,47,0,47
SAN AGUSTIN,consultas prenatales, repetidas,2014-01-01,7,0,7
SAN ANDRES,consultas prenatales, repetidas,2014-01-01,39,0,39
SAN ANDRES DE MACHACA,consultas prenatales, repetidas,2014-01-01,9,2,11
SAN ANTONIO DE ESMORUCO,consultas prenatales, repetidas,2014-01-01,5,0,5
SAN ANTONIO DE LOMERIO,consultas prenatales, repetidas,2014-01-01,22,21,43
SAN BENITO,consultas prenatales, repetidas,2014-01-01,16,4,20
SAN BORJA,consultas prenatales, repetidas,2014-01-01,338,0,338
SAN BUENA VENTURA,consultas prenatales, repetidas,2014-01-01,98,0,98
SAN CARLOS,consultas prenatales, repetidas,2014-01-01,200,0,200
SAN IGNACIO,consultas prenatales, repetidas,2014-01-01,207,4,211
SAN IGNACIO DE VELASCO,consultas prenatales, repetidas,2014-01-01,417,23,440
SAN JAVIER(BNI),consultas prenatales, repetidas,2014-01-01,10,2,12
SAN JAVIER(STC),consultas prenatales, repetidas,2014-01-01,114,0,114
SAN JOAQUIN,consultas prenatales, repetidas,2014-01-01,28,0,28
SAN JOSE DE CHIQUITOS,consultas prenatales, repetidas,2014-01-01,89,0,89
SAN JUAN DE YAPACANI,consultas prenatales, repetidas,2014-01-01,73,0,73
SAN JULIAN,consultas prenatales, repetidas,2014-01-01,359,12,371
SAN LORENZO(PND),consultas prenatales, repetidas,2014-01-01,12,5,17
SAN LORENZO(TJA),consultas prenatales, repetidas,2014-01-01,152,5,157
SAN LUCAS,consultas prenatales, repetidas,2014-01-01,144,53,197
SAN MATIAS,consultas prenatales, repetidas,2014-01-01,158,0,158
SAN MIGUEL DE VELASCO,consultas prenatales, repetidas,2014-01-01,108,1,109
SAN PABLO DE LIPEZ,consultas prenatales, repetidas,2014-01-01,11,3,14
SAN PEDRO,consultas prenatales, repetidas,2014-01-01,134,0,134
SAN PEDRO DE BUENA VISTA,consultas prenatales, repetidas,2014-01-01,84,13,97
SAN PEDRO DE CURAHUARA,consultas prenatales, repetidas,2014-01-01,9,0,9
SAN PEDRO DE QUEMES,consultas prenatales, repetidas,2014-01-01,1,0,1
SAN PEDRO DE TIQUINA,consultas prenatales, repetidas,2014-01-01,22,0,22
SAN PEDRO(PND),consultas prenatales, repetidas,2014-01-01,3,1,4
SAN RAFAEL,consultas prenatales, repetidas,2014-01-01,38,3,41
SAN RAMON BENI,consultas prenatales, repetidas,2014-01-01,47,0,47
SAN RAMON SCZ,consultas prenatales, repetidas,2014-01-01,85,0,85
SANTA ANA,consultas prenatales, repetidas,2014-01-01,185,0,185
SANTA CRUZ DE LA SIERRA,consultas prenatales, repetidas,2014-01-01,10847,0,10847
SANTA ROSA,consultas prenatales, repetidas,2014-01-01,69,0,69
SANTA ROSA DEL SARA,consultas prenatales, repetidas,2014-01-01,94,0,94
SANTIAGO DE CALLAPA,consultas prenatales, repetidas,2014-01-01,3,7,10
SANTIAGO DE HUARI,consultas prenatales, repetidas,2014-01-01,41,0,41
SANTIAGO DE HUATA,consultas prenatales, repetidas,2014-01-01,16,0,16
SANTIAGO DE MACHACA,consultas prenatales, repetidas,2014-01-01,11,0,11
SANTIVAÑES,consultas prenatales, repetidas,2014-01-01,40,0,40
SANTUARIO DE QUILLACAS,consultas prenatales, repetidas,2014-01-01,9,11,20
SAPAHAQUI,consultas prenatales, repetidas,2014-01-01,31,4,35
SENA,consultas prenatales, repetidas,2014-01-01,42,0,42
SHINAOTA,consultas prenatales, repetidas,2014-01-01,378,0,378
SICA SICA (VILLA AROMA),consultas prenatales, repetidas,2014-01-01,77,1,78
SICAYA,consultas prenatales, repetidas,2014-01-01,18,1,19
SIPE SIPE,consultas prenatales, repetidas,2014-01-01,448,0,448
SOPACHUY,consultas prenatales, repetidas,2014-01-01,29,5,34
SORACACHI,consultas prenatales, repetidas,2014-01-01,22,8,30
SORATA,consultas prenatales, repetidas,2014-01-01,51,0,51
SUCRE,consultas prenatales, repetidas,2014-01-01,3112,8,3120
TACACHI,consultas prenatales, repetidas,2014-01-01,3,0,3
TACACOMA,consultas prenatales, repetidas,2014-01-01,16,13,29
TACOBAMBA,consultas prenatales, repetidas,2014-01-01,21,4,25
TACOPAYA,consultas prenatales, repetidas,2014-01-01,30,1,31
TAHUA,consultas prenatales, repetidas,2014-01-01,2,1,3
TAPACARI,consultas prenatales, repetidas,2014-01-01,74,12,86
TARABUCO,consultas prenatales, repetidas,2014-01-01,49,9,58
TARACO,consultas prenatales, repetidas,2014-01-01,8,0,8
TARATA,consultas prenatales, repetidas,2014-01-01,75,5,80
TARIJA,consultas prenatales, repetidas,2014-01-01,2018,25,2043
TARVITA,consultas prenatales, repetidas,2014-01-01,55,20,75
TEOPONTE,consultas prenatales, repetidas,2014-01-01,64,6,70
TIAWANACU,consultas prenatales, repetidas,2014-01-01,65,2,67
TINGUIPAYA,consultas prenatales, repetidas,2014-01-01,47,11,58
TIPUANI,consultas prenatales, repetidas,2014-01-01,103,0,103
TIQUIPAYA,consultas prenatales, repetidas,2014-01-01,466,2,468
TIRAQUE (CBBA),consultas prenatales, repetidas,2014-01-01,128,1,129
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales, repetidas,2014-01-01,9,1,10
TOCO,consultas prenatales, repetidas,2014-01-01,41,0,41
TOLATA,consultas prenatales, repetidas,2014-01-01,46,0,46
TOLEDO,consultas prenatales, repetidas,2014-01-01,17,2,19
TOMAVE,consultas prenatales, repetidas,2014-01-01,37,14,51
TOMINA,consultas prenatales, repetidas,2014-01-01,63,0,63
TORO TORO,consultas prenatales, repetidas,2014-01-01,36,7,43
TOTORA(CBBA),consultas prenatales, repetidas,2014-01-01,186,2,188
TOTORA(ORR),consultas prenatales, repetidas,2014-01-01,8,7,15
TRIGAL,consultas prenatales, repetidas,2014-01-01,2,0,2
TRINIDAD,consultas prenatales, repetidas,2014-01-01,1058,1,1059
TUPIZA,consultas prenatales, repetidas,2014-01-01,304,5,309
TURCO,consultas prenatales, repetidas,2014-01-01,11,1,12
UMALA,consultas prenatales, repetidas,2014-01-01,14,6,20
UNCIA,consultas prenatales, repetidas,2014-01-01,153,12,165
URIONDO (A. CONCEPCION),consultas prenatales, repetidas,2014-01-01,109,1,110
URUBICHA,consultas prenatales, repetidas,2014-01-01,41,0,41
UYUNI,consultas prenatales, repetidas,2014-01-01,306,5,311
VACAS,consultas prenatales, repetidas,2014-01-01,39,0,39
VALLEGRANDE,consultas prenatales, repetidas,2014-01-01,118,1,119
VIACHA,consultas prenatales, repetidas,2014-01-01,344,9,353
VILA VILA,consultas prenatales, repetidas,2014-01-01,12,0,12
VILLA CHARCAS,consultas prenatales, repetidas,2014-01-01,60,26,86
VILLA MONTES,consultas prenatales, repetidas,2014-01-01,376,2,378
VILLA NUEVA (LOMA ALTA),consultas prenatales, repetidas,2014-01-01,10,1,11
VILLA RIVERO,consultas prenatales, repetidas,2014-01-01,48,0,48
VILLA SERRANO,consultas prenatales, repetidas,2014-01-01,34,21,55
VILLA TUNARI,consultas prenatales, repetidas,2014-01-01,779,0,779
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales, repetidas,2014-01-01,40,2,42
VILLAZON,consultas prenatales, repetidas,2014-01-01,376,2,378
VINTO,consultas prenatales, repetidas,2014-01-01,272,0,272
VITICHI,consultas prenatales, repetidas,2014-01-01,30,5,35
WALDO BALLIVIAN,consultas prenatales, repetidas,2014-01-01,13,0,13
WARNES,consultas prenatales, repetidas,2014-01-01,817,2,819
YACO,consultas prenatales, repetidas,2014-01-01,12,4,16
YACUIBA,consultas prenatales, repetidas,2014-01-01,554,2,556
YAMPARAEZ,consultas prenatales, repetidas,2014-01-01,22,2,24
YANACACHI,consultas prenatales, repetidas,2014-01-01,21,0,21
YAPACANI,consultas prenatales, repetidas,2014-01-01,388,0,388
YOCALLA,consultas prenatales, repetidas,2014-01-01,25,6,31
YOTALA,consultas prenatales, repetidas,2014-01-01,54,0,54
YUNCHARA,consultas prenatales, repetidas,2014-01-01,14,14,28
ZUDAÑEZ,consultas prenatales, repetidas,2014-01-01,30,2,32
ACACIO,consultas prenatales, repetidas,2014-02-01,15,5,20
ACHACACHI,consultas prenatales, repetidas,2014-02-01,129,3,132
ACHOCALLA,consultas prenatales, repetidas,2014-02-01,49,31,80
AIQUILE,consultas prenatales, repetidas,2014-02-01,142,2,144
ALALAY,consultas prenatales, repetidas,2014-02-01,2,3,5
ALCALA,consultas prenatales, repetidas,2014-02-01,21,1,22
ALTO BENI,consultas prenatales, repetidas,2014-02-01,34,0,34
ANCORAIMES,consultas prenatales, repetidas,2014-02-01,34,10,44
ANDAMARCA,consultas prenatales, repetidas,2014-02-01,9,4,13
ANTEQUERA,consultas prenatales, repetidas,2014-02-01,15,0,15
ANZALDO,consultas prenatales, repetidas,2014-02-01,17,6,23
APOLO,consultas prenatales, repetidas,2014-02-01,108,5,113
ARAMPAMPA,consultas prenatales, repetidas,2014-02-01,9,7,16
ARANI,consultas prenatales, repetidas,2014-02-01,95,1,96
ARBIETO,consultas prenatales, repetidas,2014-02-01,70,0,70
ARQUE,consultas prenatales, repetidas,2014-02-01,34,2,36
ASCENCION DE GUARAYOS,consultas prenatales, repetidas,2014-02-01,217,8,225
ATOCHA,consultas prenatales, repetidas,2014-02-01,82,1,83
AUCAPATA,consultas prenatales, repetidas,2014-02-01,8,8,16
AYATA,consultas prenatales, repetidas,2014-02-01,24,6,30
AYO AYO,consultas prenatales, repetidas,2014-02-01,15,0,15
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, repetidas,2014-02-01,133,8,141
AZURDUY,consultas prenatales, repetidas,2014-02-01,29,15,44
BATALLAS,consultas prenatales, repetidas,2014-02-01,69,6,75
BAURES,consultas prenatales, repetidas,2014-02-01,30,1,31
BELEN DE ANDAMARCA,consultas prenatales, repetidas,2014-02-01,6,1,7
BELEN DE URMIRI,consultas prenatales, repetidas,2014-02-01,5,2,7
BELLA FLOR,consultas prenatales, repetidas,2014-02-01,16,0,16
BERMEJO,consultas prenatales, repetidas,2014-02-01,327,1,328
BETANZOS,consultas prenatales, repetidas,2014-02-01,133,18,151
BOLIVAR,consultas prenatales, repetidas,2014-02-01,13,6,19
BOLPEBRA,consultas prenatales, repetidas,2014-02-01,8,0,8
BOYUIBE,consultas prenatales, repetidas,2014-02-01,22,0,22
BUENA VISTA,consultas prenatales, repetidas,2014-02-01,50,1,51
CABEZAS,consultas prenatales, repetidas,2014-02-01,174,2,176
CAIROMA,consultas prenatales, repetidas,2014-02-01,27,4,31
"CAIZA ""D""",consultas prenatales, repetidas,2014-02-01,44,0,44
CAJUATA,consultas prenatales, repetidas,2014-02-01,62,0,62
CALACOTO,consultas prenatales, repetidas,2014-02-01,7,5,12
CALAMARCA,consultas prenatales, repetidas,2014-02-01,61,5,66
CAMARGO,consultas prenatales, repetidas,2014-02-01,94,17,111
CAMATAQUI (C. VILLA ABECIA),consultas prenatales, repetidas,2014-02-01,19,1,20
CAMIRI,consultas prenatales, repetidas,2014-02-01,218,3,221
CAPINOTA,consultas prenatales, repetidas,2014-02-01,184,0,184
CAQUIAVIRI,consultas prenatales, repetidas,2014-02-01,25,9,34
CARACOLLO,consultas prenatales, repetidas,2014-02-01,107,1,108
CARANAVI,consultas prenatales, repetidas,2014-02-01,334,5,339
CARANGAS,consultas prenatales, repetidas,2014-02-01,0,1,1
CARAPARI,consultas prenatales, repetidas,2014-02-01,111,3,114
CARIPUYO,consultas prenatales, repetidas,2014-02-01,17,16,33
CARMEN RIVERO TORREZ,consultas prenatales, repetidas,2014-02-01,45,0,45
CATACORA,consultas prenatales, repetidas,2014-02-01,6,0,6
CHACARILLA,consultas prenatales, repetidas,2014-02-01,4,0,4
CHALLAPATA,consultas prenatales, repetidas,2014-02-01,252,16,268
CHAQUI,consultas prenatales, repetidas,2014-02-01,28,1,29
CHARAGUA,consultas prenatales, repetidas,2014-02-01,219,6,225
CHARAÑA,consultas prenatales, repetidas,2014-02-01,4,0,4
CHAYANTA,consultas prenatales, repetidas,2014-02-01,47,7,54
CHIMORE,consultas prenatales, repetidas,2014-02-01,109,2,111
CHIPAYA,consultas prenatales, repetidas,2014-02-01,9,0,9
