,group,variable,month,TOTAL 4.1 NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,TOTAL 4.1 NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES
EL VILLAR,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,8,0,8
ENTRE RIOS TRJ,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,31,0,31
ENTRE RIOS CBBA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,82,0,82
ESCARA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1,0,1
ESCOMA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,3,0,3
EUCALIPTUS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,7,0,7
EUREKA (SANTOS MERCADO),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,3,1,4
EXALTACION,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,3,0,3
FERNANDEZ ALONSO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,17,0,17
FILADELFIA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,5,1,6
GENERAL SAAVEDRA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,25,0,25
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,10,2,12
GUANAY,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,21,1,22
GUAQUI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,7,1,8
GUAYARAMERIN,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,147,2,149
GUTIERREZ,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,14,3,17
HUACARETA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,8,3,11
HUACAYA (VILLA DE HUACAYA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,3,3,6
HUACHACALLA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,3,0,3
HUANUNI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,58,0,58
HUARACAJE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,7,0,7
HUARINA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,3,1,4
HUATAJATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2,0,2
HUAYLLAMARCA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,3,0,3
HUMANATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,5,4,9
ICHOCA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1,1,2
ICLA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,14,1,15
INCAHUASI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,9,11,20
INGAVI (HUMAITA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,5,0,5
INQUISIVI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,11,3,14
IRUPANA (VILLA DE LANZA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,23,1,24
IXIAMAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,14,2,16
JESUS DE MACHACA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,27,0,27
LA ASUNTA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,81,0,81
LA GUARDIA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,159,1,160
LA PAZ,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1791,1,1792
LAGUNILLAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,5,0,5
LAJA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,23,0,23
LAS CARRERAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,10,1,11
LICOMA PAMPA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2,0,2
LLALLAGUA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,81,2,83
LLICA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,0,2,2
LORETO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2,0,2
LURIBAY,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,12,1,13
MACHACAMARCA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2,0,2
MACHARETI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,9,0,9
MAGDALENA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,24,2,26
MAIRANA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,21,0,21
MAPIRI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,40,0,40
MECAPACA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,12,3,15
MINEROS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,59,0,59
MIZQUE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,38,0,38
MOCOMOCO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,9,2,11
MOJINETE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2,0,2
MOJOCOYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,8,1,9
MONTEAGUDO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,34,1,35
MONTERO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,318,0,318
MORO MORO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1,0,1
MOROCHATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,13,0,13
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,4,0,4
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,6,1,7
OCURI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,10,2,12
OKINAWA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,29,0,29
OMEREQUE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,8,0,8
ORURO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,898,0,898
PADCAYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,33,0,33
PADILLA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,13,1,14
PAILON,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,68,2,70
PALCA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,28,0,28
PALOS BLANCOS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,55,0,55
PAMPA AULLAGAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,4,1,5
PAMPA GRANDE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,27,0,27
PAPEL PAMPA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,6,0,6
PASORAPA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2,2,4
PATACAMAYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,26,0,26
PAZÑA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,5,0,5
PELECHUCO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,5,0,5
POCOATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,10,10,20
POCONA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,12,0,12
POJO (CBBA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,23,0,23
POOPO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,9,0,9
PORCO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,20,0,20
POROMA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,9,3,12
PORONGO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,8,0,8
PORTACHUELO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,63,0,63
PORVENIR,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,15,2,17
POSTRER VALLE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1,0,1
POTOSI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,562,0,562
PRESTO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,12,6,18
PUCARA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1,0,1
PUCARANI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,30,4,34
PUERTO ACOSTA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,4,2,6
PUERTO CARABUCO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,10,1,11
PUERTO GONZALO MORENO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,7,0,7
PUERTO PEREZ,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1,0,1
PUERTO QUIJARRO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,27,0,27
PUERTO RICO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,18,4,22
PUERTO SILES,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2,0,2
PUERTO SUAREZ,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,49,0,49
PUERTO VILLARROEL,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,171,0,171
PUNA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,14,1,15
PUNATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,88,0,88
QUIABAYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,9,0,9
QUILLACOLLO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,319,16,335
QUIME,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,13,0,13
QUIRUSILLAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2,0,2
RAVELO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,5,9,14
REYES,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,15,6,21
RIBERALTA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,300,3,303
ROBORE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,18,0,18
RURRENABAQUE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,43,0,43
SABAYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,6,0,6
SACABA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,287,0,287
SACABAMBA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,8,2,10
SACACA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,31,0,31
SAIPINA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,11,0,11
SALINAS DE GARCI MENDOZA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,13,0,13
SAMAIPATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,18,0,18
SAN AGUSTIN,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,3,0,3
SAN ANDRES,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,9,0,9
SAN ANDRES DE MACHACA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,4,0,4
SAN ANTONIO DE ESMORUCO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2,0,2
SAN ANTONIO DE LOMERIO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,13,6,19
SAN BENITO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,4,1,5
SAN BORJA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,91,2,93
SAN BUENA VENTURA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,27,1,28
SAN CARLOS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,42,0,42
SAN IGNACIO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,40,1,41
SAN IGNACIO DE VELASCO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,139,8,147
SAN JAVIER(BNI),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,5,1,6
SAN JAVIER(STC),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,20,0,20
SAN JOAQUIN,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,10,0,10
SAN JOSE DE CHIQUITOS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,19,0,19
SAN JUAN DE YAPACANI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,16,0,16
SAN JULIAN,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,90,7,97
SAN LORENZO(PND),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,6,0,6
SAN LORENZO(TJA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,28,2,30
SAN LUCAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,32,13,45
SAN MATIAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,29,0,29
SAN MIGUEL DE VELASCO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,26,1,27
SAN PABLO DE LIPEZ,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,4,0,4
SAN PEDRO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,24,0,24
SAN PEDRO DE BUENA VISTA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,20,5,25
SAN PEDRO DE CURAHUARA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,7,1,8
SAN PEDRO DE TIQUINA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1,0,1
SAN RAFAEL,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,11,1,12
SAN RAMON BENI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,6,0,6
SAN RAMON SCZ,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,20,0,20
SANTA ANA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,34,0,34
SANTA CRUZ DE LA SIERRA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,4076,0,4076
SANTA ROSA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,11,1,12
SANTA ROSA DEL SARA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,30,0,30
SANTIAGO DE CALLAPA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1,1,2
SANTIAGO DE HUARI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,9,0,9
SANTIAGO DE HUATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,4,0,4
SANTIAGO DE MACHACA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,3,0,3
SANTIVAÑES,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,9,0,9
SANTUARIO DE QUILLACAS,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,6,1,7
SAPAHAQUI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,1,2,3
SENA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,6,0,6
SHINAOTA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,92,0,92
SICA SICA (VILLA AROMA),consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,31,1,32
SICAYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,5,1,6
SIPE SIPE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,96,0,96
SOPACHUY,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,15,1,16
SORACACHI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,9,1,10
SORATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,15,5,20
SUCRE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,642,10,652
TACACHI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,0,1,1
TACACOMA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,16,3,19
TACOBAMBA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,13,2,15
TACOPAYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,8,0,8
TAHUA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2,1,3
TAPACARI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,23,2,25
TARABUCO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,17,0,17
TARACO,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,2,0,2
TARATA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,18,0,18
TARIJA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,585,7,592
TARVITA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,28,3,31
TEOPONTE,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,21,2,23
TIAWANACU,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,16,0,16
TINGUIPAYA,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,20,4,24
TIPUANI,consultas prenatales, nuevas antes del 5to mes de embarazo,2014-01-01,21,0,21
